TrialNumber,SubjectID,Scene,RefFilename,RefPath,LeftCondition,LeftFilename,LeftMetric,LeftLevel,LeftPath,RightCondition,RightFilename,RightMetric,RightLevel,RightPath
1,yaru,attic,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/reference/video0.rgb,attic:restir_level0,attic/restir/level0/video0.rgb,restir,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/restir/level0/video0.rgb,attic:motion_noise_level2,attic/motion_noise/level2/video0.rgb,motion_noise,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/attic/motion_noise/level2/video0.rgb
2,yaru,bistro_interior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:dlss_rr_level0,bistro_interior/dlss_rr/level0/video0.rgb,dlss_rr,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/dlss_rr/level0/video0.rgb,bistro_interior:judder_level1,bistro_interior/judder/level1/video0.rgb,judder,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/judder/level1/video0.rgb
3,yaru,landscape,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/reference/video0.rgb,landscape:temporal-resolution-multiplexing_level0,landscape/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/temporal-resolution-multiplexing/level0/video0.rgb,landscape:noise_colors_level0,landscape/noise_colors/level0/video0.rgb,noise_colors,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/landscape/noise_colors/level0/video0.rgb
4,yaru,pink_room,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/reference/video0.rgb,pink_room:stutter_level0,pink_room/stutter/level0/video0.rgb,stutter,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/stutter/level0/video0.rgb,pink_room:temporal-resolution-multiplexing_level0,pink_room/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/pink_room/temporal-resolution-multiplexing/level0/video0.rgb
5,yaru,bistro_exterior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb,bistro_exterior:noise_colors_level2,bistro_exterior/noise_colors/level2/video0.rgb,noise_colors,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/noise_colors/level2/video0.rgb,bistro_exterior:motion_noise_level2,bistro_exterior/motion_noise/level2/video0.rgb,motion_noise,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/motion_noise/level2/video0.rgb
6,yaru,classroom,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:motion_resolution_level1,classroom/motion_resolution/level1/video0.rgb,motion_resolution,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/motion_resolution/level1/video0.rgb,classroom:restir_level2,classroom/restir/level2/video0.rgb,restir,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/restir/level2/video0.rgb
7,yaru,classroom,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/reference/video0.rgb,classroom:stutter_level1,classroom/stutter/level1/video0.rgb,stutter,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/stutter/level1/video0.rgb,classroom:restir_level0,classroom/restir/level0/video0.rgb,restir,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/classroom/restir/level0/video0.rgb
8,yaru,zeroday,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/reference/video0.rgb,zeroday:temporal-resolution-multiplexing_level1,zeroday/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/temporal-resolution-multiplexing/level1/video0.rgb,zeroday:duration_flicker_level1,zeroday/duration_flicker/level1/video0.rgb,duration_flicker,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/zeroday/duration_flicker/level1/video0.rgb
9,yaru,bistro_exterior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/reference/video0.rgb,bistro_exterior:dlss_rr_level0,bistro_exterior/dlss_rr/level0/video0.rgb,dlss_rr,level0,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/dlss_rr/level0/video0.rgb,bistro_exterior:dlss_rr_level1,bistro_exterior/dlss_rr/level1/video0.rgb,dlss_rr,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_exterior/dlss_rr/level1/video0.rgb
10,yaru,bistro_interior,video0.rgb,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/reference/video0.rgb,bistro_interior:stutter_level1,bistro_interior/stutter/level1/video0.rgb,stutter,level1,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/stutter/level1/video0.rgb,bistro_interior:duration_flicker_level2,bistro_interior/duration_flicker/level2/video0.rgb,duration_flicker,level2,/mnt/wdblack2tb/all_sequences_new_lossless_raw/bistro_interior/duration_flicker/level2/video0.rgb
