observer,scene,condition_A,condition_B,is_A_selected,metric_A,level_A,metric_B,level_B,response_time_sec
Jorge,bistro_interior,dlss_rr_level1,judder_level0,0,dlss_rr,level1,judder,level0,3.5549
Jorge,classroom,duration_flicker_level2,noise_colors_level0,0,duration_flicker,level2,noise_colors,level0,4.5133
Jorge,landscape,dlss_rr_level0,motion_noise_level0,0,dlss_rr,level0,motion_noise,level0,5.4885
Jorge,zeroday,restir_level2,motion_resolution_level1,0,restir,level2,motion_resolution,level1,5.5843
Jorge,subway,judder_level1,temporal-resolution-multiplexing_level1,1,judder,level1,temporal-resolution-multiplexing,level1,5.3427
Jorge,zeroday,dlss_rr_level2,noise_colors_level0,0,dlss_rr,level2,noise_colors,level0,5.3967
Jorge,attic,dlss_rr_level0,noise_colors_level2,1,dlss_rr,level0,noise_colors,level2,5.2342
Jorge,classroom,duration_flicker_level0,stutter_level0,0,duration_flicker,level0,stutter,level0,4.4424
Jorge,classroom,noise_colors_level2,judder_level1,0,noise_colors,level2,judder,level1,4.8300
Jorge,marbles,restir_level0,duration_flicker_level0,1,restir,level0,duration_flicker,level0,5.5468
Jorge,marbles,motion_resolution_level2,dlss_rr_level1,0,motion_resolution,level2,dlss_rr,level1,5.3176
Jorge,subway,temporal-resolution-multiplexing_level2,motion_noise_level2,1,temporal-resolution-multiplexing,level2,motion_noise,level2,5.4593
Jorge,marbles,temporal-resolution-multiplexing_level0,motion_resolution_level2,1,temporal-resolution-multiplexing,level0,motion_resolution,level2,5.2718
Jorge,bistro_exterior,motion_resolution_level0,restir_level2,0,motion_resolution,level0,restir,level2,11.3018
Jorge,bistro_exterior,judder_level1,noise_colors_level1,1,judder,level1,noise_colors,level1,5.3844
Jorge,bistro_interior,noise_colors_level0,temporal-resolution-multiplexing_level1,1,noise_colors,level0,temporal-resolution-multiplexing,level1,5.6384
Jorge,subway,motion_noise_level0,duration_flicker_level2,1,motion_noise,level0,duration_flicker,level2,6.5386
Jorge,zeroday,stutter_level1,stutter_level2,1,stutter,level1,stutter,level2,5.5927
Jorge,classroom,motion_noise_level2,temporal-resolution-multiplexing_level2,1,motion_noise,level2,temporal-resolution-multiplexing,level2,5.2842
Jorge,landscape,temporal-resolution-multiplexing_level2,duration_flicker_level1,1,temporal-resolution-multiplexing,level2,duration_flicker,level1,5.6884
Jorge,zeroday,judder_level2,restir_level1,0,judder,level2,restir,level1,10.6474
Jorge,bistro_interior,duration_flicker_level2,motion_resolution_level2,1,duration_flicker,level2,motion_resolution,level2,5.4010
Jorge,landscape,judder_level2,dlss_rr_level2,1,judder,level2,dlss_rr,level2,5.6552
Jorge,bistro_interior,stutter_level1,duration_flicker_level1,0,stutter,level1,duration_flicker,level1,5.4385
Jorge,attic,temporal-resolution-multiplexing_level2,judder_level0,0,temporal-resolution-multiplexing,level2,judder,level0,5.2510
Jorge,subway,dlss_rr_level0,stutter_level0,0,dlss_rr,level0,stutter,level0,5.4218
Jorge,attic,dlss_rr_level2,motion_noise_level1,0,dlss_rr,level2,motion_noise,level1,5.2552
Jorge,bistro_interior,temporal-resolution-multiplexing_level2,motion_noise_level2,0,temporal-resolution-multiplexing,level2,motion_noise,level2,7.1219
Jorge,marbles,duration_flicker_level0,motion_resolution_level0,0,duration_flicker,level0,motion_resolution,level0,5.7385
Jorge,zeroday,judder_level1,noise_colors_level2,1,judder,level1,noise_colors,level2,5.7260
Jorge,classroom,judder_level0,motion_resolution_level2,1,judder,level0,motion_resolution,level2,4.8508
Jorge,bistro_interior,restir_level1,duration_flicker_level1,0,restir,level1,duration_flicker,level1,5.6176
Jorge,landscape,duration_flicker_level1,motion_resolution_level1,1,duration_flicker,level1,motion_resolution,level1,5.6718
Jorge,marbles,judder_level2,restir_level1,0,judder,level2,restir,level1,5.2260
Jorge,attic,stutter_level2,temporal-resolution-multiplexing_level2,0,stutter,level2,temporal-resolution-multiplexing,level2,11.1684
Jorge,classroom,restir_level0,noise_colors_level1,1,restir,level0,noise_colors,level1,4.5967
Jorge,landscape,restir_level1,restir_level2,1,restir,level1,restir,level2,5.3760
Jorge,landscape,motion_noise_level1,judder_level2,1,motion_noise,level1,judder,level2,5.3718
Jorge,subway,duration_flicker_level0,dlss_rr_level0,1,duration_flicker,level0,dlss_rr,level0,7.8888
Jorge,landscape,duration_flicker_level0,dlss_rr_level2,1,duration_flicker,level0,dlss_rr,level2,10.0599
Jorge,marbles,stutter_level0,noise_colors_level1,1,stutter,level0,noise_colors,level1,4.8382
Jorge,attic,judder_level1,dlss_rr_level1,1,judder,level1,dlss_rr,level1,4.9550
Jorge,landscape,motion_resolution_level0,noise_colors_level2,1,motion_resolution,level0,noise_colors,level2,5.3760
Jorge,zeroday,noise_colors_level2,restir_level0,1,noise_colors,level2,restir,level0,5.5427
Jorge,landscape,motion_noise_level1,noise_colors_level1,0,motion_noise,level1,noise_colors,level1,6.8970
Jorge,attic,duration_flicker_level0,duration_flicker_level2,1,duration_flicker,level0,duration_flicker,level2,4.9718
Jorge,zeroday,duration_flicker_level0,judder_level1,0,duration_flicker,level0,judder,level1,5.8635
Jorge,classroom,dlss_rr_level0,judder_level2,1,dlss_rr,level0,judder,level2,4.7466
Jorge,pink_room,duration_flicker_level1,restir_level1,0,duration_flicker,level1,restir,level1,5.3386
Jorge,landscape,duration_flicker_level2,temporal-resolution-multiplexing_level1,0,duration_flicker,level2,temporal-resolution-multiplexing,level1,5.4550
Jorge,pink_room,judder_level2,stutter_level2,1,judder,level2,stutter,level2,5.3551
Jorge,marbles,dlss_rr_level1,judder_level0,0,dlss_rr,level1,judder,level0,4.9884
Jorge,attic,restir_level0,motion_noise_level0,0,restir,level0,motion_noise,level0,4.8218
Jorge,landscape,judder_level1,stutter_level2,1,judder,level1,stutter,level2,5.3969
Jorge,marbles,duration_flicker_level0,duration_flicker_level2,1,duration_flicker,level0,duration_flicker,level2,4.5174
Jorge,subway,motion_resolution_level2,duration_flicker_level2,0,motion_resolution,level2,duration_flicker,level2,7.1804
Jorge,zeroday,stutter_level1,judder_level0,1,stutter,level1,judder,level0,6.2594
Jorge,attic,dlss_rr_level2,duration_flicker_level1,0,dlss_rr,level2,duration_flicker,level1,4.7466
Jorge,attic,restir_level1,stutter_level0,0,restir,level1,stutter,level0,5.0843
