Scene,RankInScene,ConditionName,Filename,Metric,Level,VisualQuality_Mean,Uncertainty_StdDev,ComparisonsCount
attic,1,attic:motion_resolution_level0,attic/motion_resolution/level0/video0.rgb,motion_resolution,level0,+1.11190,0.36548,13
attic,2,attic:noise_colors_level1,attic/noise_colors/level1/video0.rgb,noise_colors,level1,+0.99407,0.38301,10
attic,3,attic:motion_noise_level0,attic/motion_noise/level0/video0.rgb,motion_noise,level0,+0.83555,0.37037,11
attic,4,attic:motion_noise_level1,attic/motion_noise/level1/video0.rgb,motion_noise,level1,+0.77622,0.36619,13
attic,5,attic:stutter_level0,attic/stutter/level0/video0.rgb,stutter,level0,+0.66279,0.35601,12
attic,6,attic:noise_colors_level0,attic/noise_colors/level0/video0.rgb,noise_colors,level0,+0.52822,0.35313,12
attic,7,attic:judder_level1,attic/judder/level1/video0.rgb,judder,level1,+0.47999,0.36300,11
attic,8,attic:judder_level0,attic/judder/level0/video0.rgb,judder,level0,+0.45563,0.34906,12
attic,9,attic:motion_noise_level2,attic/motion_noise/level2/video0.rgb,motion_noise,level2,+0.45527,0.33148,15
attic,10,attic:temporal-resolution-multiplexing_level0,attic/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+0.27582,0.36446,11
attic,11,attic:stutter_level1,attic/stutter/level1/video0.rgb,stutter,level1,+0.27425,0.34862,14
attic,12,attic:temporal-resolution-multiplexing_level1,attic/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,+0.13183,0.34949,13
attic,13,attic:dlss_rr_level0,attic/dlss_rr/level0/video0.rgb,dlss_rr,level0,+0.11582,0.37950,10
attic,14,attic:judder_level2,attic/judder/level2/video0.rgb,judder,level2,+0.09040,0.36103,12
attic,15,attic:duration_flicker_level0,attic/duration_flicker/level0/video0.rgb,duration_flicker,level0,+0.07262,0.34835,12
attic,16,attic:motion_resolution_level1,attic/motion_resolution/level1/video0.rgb,motion_resolution,level1,-0.08250,0.38817,9
attic,17,attic:restir_level0,attic/restir/level0/video0.rgb,restir,level0,-0.11173,0.34084,14
attic,18,attic:duration_flicker_level1,attic/duration_flicker/level1/video0.rgb,duration_flicker,level1,-0.12642,0.36821,11
attic,19,attic:noise_colors_level2,attic/noise_colors/level2/video0.rgb,noise_colors,level2,-0.30233,0.35444,13
attic,20,attic:duration_flicker_level2,attic/duration_flicker/level2/video0.rgb,duration_flicker,level2,-0.34431,0.37494,11
attic,21,attic:dlss_rr_level1,attic/dlss_rr/level1/video0.rgb,dlss_rr,level1,-0.41461,0.39313,10
attic,22,attic:dlss_rr_level2,attic/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.58317,0.35975,13
attic,23,attic:restir_level1,attic/restir/level1/video0.rgb,restir,level1,-0.87131,0.40326,11
attic,24,attic:stutter_level2,attic/stutter/level2/video0.rgb,stutter,level2,-1.08290,0.40772,9
attic,25,attic:motion_resolution_level2,attic/motion_resolution/level2/video0.rgb,motion_resolution,level2,-1.12132,0.43227,8
attic,26,attic:temporal-resolution-multiplexing_level2,attic/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-1.14113,0.41788,11
attic,27,attic:restir_level2,attic/restir/level2/video0.rgb,restir,level2,-1.17083,0.38660,11
bistro_exterior,1,bistro_exterior:motion_noise_level0,bistro_exterior/motion_noise/level0/video0.rgb,motion_noise,level0,+1.23027,0.41502,11
bistro_exterior,2,bistro_exterior:stutter_level0,bistro_exterior/stutter/level0/video0.rgb,stutter,level0,+1.22706,0.41460,10
bistro_exterior,3,bistro_exterior:noise_colors_level0,bistro_exterior/noise_colors/level0/video0.rgb,noise_colors,level0,+1.02753,0.39398,10
bistro_exterior,4,bistro_exterior:motion_noise_level1,bistro_exterior/motion_noise/level1/video0.rgb,motion_noise,level1,+0.81850,0.33640,15
bistro_exterior,5,bistro_exterior:restir_level0,bistro_exterior/restir/level0/video0.rgb,restir,level0,+0.56661,0.40115,8
bistro_exterior,6,bistro_exterior:judder_level1,bistro_exterior/judder/level1/video0.rgb,judder,level1,+0.52738,0.38767,10
bistro_exterior,7,bistro_exterior:judder_level0,bistro_exterior/judder/level0/video0.rgb,judder,level0,+0.44803,0.34232,14
bistro_exterior,8,bistro_exterior:noise_colors_level1,bistro_exterior/noise_colors/level1/video0.rgb,noise_colors,level1,+0.41864,0.37262,11
bistro_exterior,9,bistro_exterior:restir_level1,bistro_exterior/restir/level1/video0.rgb,restir,level1,+0.32440,0.35044,13
bistro_exterior,10,bistro_exterior:temporal-resolution-multiplexing_level0,bistro_exterior/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+0.31546,0.36086,12
bistro_exterior,11,bistro_exterior:dlss_rr_level0,bistro_exterior/dlss_rr/level0/video0.rgb,dlss_rr,level0,+0.26459,0.35692,12
bistro_exterior,12,bistro_exterior:motion_noise_level2,bistro_exterior/motion_noise/level2/video0.rgb,motion_noise,level2,+0.07939,0.35435,13
bistro_exterior,13,bistro_exterior:stutter_level1,bistro_exterior/stutter/level1/video0.rgb,stutter,level1,+0.00129,0.37555,10
bistro_exterior,14,bistro_exterior:duration_flicker_level0,bistro_exterior/duration_flicker/level0/video0.rgb,duration_flicker,level0,-0.02109,0.36764,11
bistro_exterior,15,bistro_exterior:duration_flicker_level1,bistro_exterior/duration_flicker/level1/video0.rgb,duration_flicker,level1,-0.08631,0.38079,10
bistro_exterior,16,bistro_exterior:motion_resolution_level0,bistro_exterior/motion_resolution/level0/video0.rgb,motion_resolution,level0,-0.14960,0.34916,12
bistro_exterior,17,bistro_exterior:motion_resolution_level1,bistro_exterior/motion_resolution/level1/video0.rgb,motion_resolution,level1,-0.21333,0.36166,11
bistro_exterior,18,bistro_exterior:dlss_rr_level1,bistro_exterior/dlss_rr/level1/video0.rgb,dlss_rr,level1,-0.29939,0.34674,14
bistro_exterior,19,bistro_exterior:restir_level2,bistro_exterior/restir/level2/video0.rgb,restir,level2,-0.31119,0.35384,12
bistro_exterior,20,bistro_exterior:duration_flicker_level2,bistro_exterior/duration_flicker/level2/video0.rgb,duration_flicker,level2,-0.50593,0.34240,14
bistro_exterior,21,bistro_exterior:temporal-resolution-multiplexing_level1,bistro_exterior/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,-0.51990,0.34116,14
bistro_exterior,22,bistro_exterior:stutter_level2,bistro_exterior/stutter/level2/video0.rgb,stutter,level2,-0.61527,0.36791,12
bistro_exterior,23,bistro_exterior:judder_level2,bistro_exterior/judder/level2/video0.rgb,judder,level2,-0.63241,0.37042,11
bistro_exterior,24,bistro_exterior:noise_colors_level2,bistro_exterior/noise_colors/level2/video0.rgb,noise_colors,level2,-0.78741,0.37021,11
bistro_exterior,25,bistro_exterior:dlss_rr_level2,bistro_exterior/dlss_rr/level2/video0.rgb,dlss_rr,level2,-0.81053,0.36824,11
bistro_exterior,26,bistro_exterior:temporal-resolution-multiplexing_level2,bistro_exterior/temporal-resolution-multiplexing/level2/video0.rgb,temporal-resolution-multiplexing,level2,-1.02577,0.38894,10
bistro_exterior,27,bistro_exterior:motion_resolution_level2,bistro_exterior/motion_resolution/level2/video0.rgb,motion_resolution,level2,-1.25034,0.40823,10
bistro_interior,1,bistro_interior:temporal-resolution-multiplexing_level0,bistro_interior/temporal-resolution-multiplexing/level0/video0.rgb,temporal-resolution-multiplexing,level0,+1.35236,0.40062,11
bistro_interior,2,bistro_interior:motion_noise_level0,bistro_interior/motion_noise/level0/video0.rgb,motion_noise,level0,+1.22047,0.38510,11
bistro_interior,3,bistro_interior:noise_colors_level0,bistro_interior/noise_colors/level0/video0.rgb,noise_colors,level0,+0.87344,0.36118,12
bistro_interior,4,bistro_interior:duration_flicker_level0,bistro_interior/duration_flicker/level0/video0.rgb,duration_flicker,level0,+0.66911,0.36511,12
bistro_interior,5,bistro_interior:stutter_level1,bistro_interior/stutter/level1/video0.rgb,stutter,level1,+0.64825,0.35573,12
bistro_interior,6,bistro_interior:judder_level1,bistro_interior/judder/level1/video0.rgb,judder,level1,+0.51425,0.35803,11
bistro_interior,7,bistro_interior:motion_noise_level1,bistro_interior/motion_noise/level1/video0.rgb,motion_noise,level1,+0.45139,0.38146,10
bistro_interior,8,bistro_interior:temporal-resolution-multiplexing_level1,bistro_interior/temporal-resolution-multiplexing/level1/video0.rgb,temporal-resolution-multiplexing,level1,+0.42663,0.33298,16
bistro_interior,9,bistro_interior:stutter_level0,bistro_interior/stutter/level0/video0.rgb,stutter,level0,+0.41799,0.38554,10
bistro_interior,10,bistro_interior:noise_colors_level1,bistro_interior/noise_colors/level1/video0.rgb,noise_colors,level1,+0.36641,0.36315,12
bistro_interior,11,bistro_interior:duration_flicker_level2,bistro_interior/duration_flicker/level2/video0.rgb,duration_flicker,level2,+0.28843,0.36656,11
bistro_interior,12,bistro_interior:judder_level0,bistro_interior/judder/level0/video0.rgb,judder,level0,+0.22008,0.33889,13
bistro_interior,13,bistro_interior:dlss_rr_level1,bistro_interior/dlss_rr/level1/video0.rgb,dlss_rr,level1,+0.17170,0.35483,14
bistro_interior,14,bistro_interior:duration_flicker_level1,bistro_interior/duration_flicker/level1/video0.rgb,duration_flicker,level1,+0.16175,0.36573,11
bistro_interior,15,bistro_interior:motion_noise_level2,bistro_interior/motion_noise/level2/video0.rgb,motion_noise,level2,+0.05370,0.38772,10
