SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
Jorge2,1,bistro_exterior,bistro_exterior:duration_flicker_level2,bistro_exterior:noise_colors_level1,RIGHT,bistro_exterior:noise_colors_level1,bistro_exterior:duration_flicker_level2,5.5217,240.08
Jorge2,2,attic,attic:duration_flicker_level2,attic:motion_resolution_level0,RIGHT,attic:motion_resolution_level0,attic:duration_flicker_level2,4.6168,240.01
Jorge2,3,bistro_interior,bistro_interior:dlss_rr_level2,bistro_interior:noise_colors_level1,RIGHT,bistro_interior:noise_colors_level1,bistro_interior:dlss_rr_level2,5.2751,240.01
Jorge2,4,classroom,classroom:noise_colors_level1,classroom:motion_noise_level0,RIGHT,classroom:motion_noise_level0,classroom:noise_colors_level1,4.8334,240.01
Jorge2,5,pink_room,pink_room:stutter_level2,pink_room:dlss_rr_level1,RIGHT,pink_room:dlss_rr_level1,pink_room:stutter_level2,6.0834,240.0
Jorge2,6,pink_room,pink_room:motion_resolution_level0,pink_room:noise_colors_level0,LEFT,pink_room:motion_resolution_level0,pink_room:noise_colors_level0,10.072,239.98
Jorge2,7,marbles,marbles:judder_level2,marbles:motion_resolution_level1,LEFT,marbles:judder_level2,marbles:motion_resolution_level1,9.2932,239.97
Jorge2,8,zeroday,zeroday:restir_level1,zeroday:motion_noise_level0,RIGHT,zeroday:motion_noise_level0,zeroday:restir_level1,5.5883,239.98
Jorge2,9,marbles,marbles:motion_resolution_level2,marbles:duration_flicker_level2,RIGHT,marbles:duration_flicker_level2,marbles:motion_resolution_level2,4.534,239.98
Jorge2,10,classroom,classroom:restir_level1,classroom:stutter_level2,LEFT,classroom:restir_level1,classroom:stutter_level2,4.7048,239.98
Jorge2,11,bistro_interior,bistro_interior:dlss_rr_level0,bistro_interior:duration_flicker_level0,RIGHT,bistro_interior:duration_flicker_level0,bistro_interior:dlss_rr_level0,5.1917,240.01
