SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
j3,1,zeroday,zeroday:motion_noise_level0,zeroday:judder_level1,LEFT,zeroday:motion_noise_level0,zeroday:judder_level1,5.3676,240.07
j3,2,bistro_interior,bistro_interior:duration_flicker_level2,bistro_interior:judder_level1,LEFT,bistro_interior:duration_flicker_level2,bistro_interior:judder_level1,10.0293,240.0
j3,3,classroom,classroom:dlss_rr_level1,classroom:motion_noise_level1,LEFT,classroom:dlss_rr_level1,classroom:motion_noise_level1,4.4005,239.99
j3,4,landscape,landscape:temporal-resolution-multiplexing_level0,landscape:restir_level1,RIGHT,landscape:restir_level1,landscape:temporal-resolution-multiplexing_level0,5.4126,240.01
j3,5,classroom,classroom:restir_level2,classroom:motion_resolution_level2,LEFT,classroom:restir_level2,classroom:motion_resolution_level2,4.709,239.98
j3,6,zeroday,zeroday:motion_noise_level1,zeroday:temporal-resolution-multiplexing_level0,RIGHT,zeroday:temporal-resolution-multiplexing_level0,zeroday:motion_noise_level1,5.6799,239.98
j3,7,bistro_interior,bistro_interior:judder_level2,bistro_interior:temporal-resolution-multiplexing_level1,RIGHT,bistro_interior:temporal-resolution-multiplexing_level1,bistro_interior:judder_level2,5.1008,239.98
j3,8,bistro_interior,bistro_interior:stutter_level0,bistro_interior:temporal-resolution-multiplexing_level0,RIGHT,bistro_interior:temporal-resolution-multiplexing_level0,bistro_interior:stutter_level0,8.7264,239.97
j3,9,subway,subway:dlss_rr_level2,subway:dlss_rr_level1,RIGHT,subway:dlss_rr_level1,subway:dlss_rr_level2,5.5421,239.99
j3,10,landscape,landscape:motion_resolution_level1,landscape:temporal-resolution-multiplexing_level0,RIGHT,landscape:temporal-resolution-multiplexing_level0,landscape:motion_resolution_level1,5.4674,239.98
j3,11,bistro_exterior,bistro_exterior:duration_flicker_level1,bistro_exterior:restir_level2,LEFT,bistro_exterior:duration_flicker_level1,bistro_exterior:restir_level2,6.9009,239.98
j3,12,attic,attic:temporal-resolution-multiplexing_level0,attic:motion_resolution_level0,RIGHT,attic:motion_resolution_level0,attic:temporal-resolution-multiplexing_level0,4.9584,240.01
j3,13,attic,attic:dlss_rr_level1,attic:temporal-resolution-multiplexing_level1,RIGHT,attic:temporal-resolution-multiplexing_level1,attic:dlss_rr_level1,8.75,240.0
j3,14,bistro_exterior,bistro_exterior:stutter_level1,bistro_exterior:dlss_rr_level0,RIGHT,bistro_exterior:dlss_rr_level0,bistro_exterior:stutter_level1,5.3167,240.01
j3,15,landscape,landscape:judder_level2,landscape:duration_flicker_level2,RIGHT,landscape:duration_flicker_level2,landscape:judder_level2,5.9842,239.97
j3,16,zeroday,zeroday:duration_flicker_level0,zeroday:motion_noise_level2,LEFT,zeroday:duration_flicker_level0,zeroday:motion_noise_level2,8.9335,240.0
j3,17,pink_room,pink_room:judder_level2,pink_room:noise_colors_level0,RIGHT,pink_room:noise_colors_level0,pink_room:judder_level2,6.5667,240.01
j3,18,marbles,marbles:judder_level2,marbles:noise_colors_level2,LEFT,marbles:judder_level2,marbles:noise_colors_level2,4.65,240.01
j3,19,landscape,landscape:temporal-resolution-multiplexing_level1,landscape:dlss_rr_level0,LEFT,landscape:temporal-resolution-multiplexing_level1,landscape:dlss_rr_level0,5.375,240.0
j3,20,bistro_interior,bistro_interior:motion_noise_level2,bistro_interior:noise_colors_level1,RIGHT,bistro_interior:noise_colors_level1,bistro_interior:motion_noise_level2,7.3385,239.98
j3,21,landscape,landscape:dlss_rr_level0,landscape:temporal-resolution-multiplexing_level2,LEFT,landscape:dlss_rr_level0,landscape:temporal-resolution-multiplexing_level2,5.259,239.98
j3,22,marbles,marbles:dlss_rr_level1,marbles:dlss_rr_level0,RIGHT,marbles:dlss_rr_level0,marbles:dlss_rr_level1,5.1757,239.98
j3,23,attic,attic:restir_level0,attic:restir_level2,LEFT,attic:restir_level0,attic:restir_level2,4.3917,240.01
j3,24,marbles,marbles:dlss_rr_level0,marbles:duration_flicker_level2,LEFT,marbles:dlss_rr_level0,marbles:duration_flicker_level2,4.5155,239.86
j3,25,classroom,classroom:judder_level1,classroom:stutter_level0,LEFT,classroom:judder_level1,classroom:stutter_level0,4.9709,240.0
j3,26,pink_room,pink_room:stutter_level0,pink_room:restir_level1,LEFT,pink_room:stutter_level0,pink_room:restir_level1,5.3501,240.01
j3,27,subway,subway:motion_resolution_level0,subway:duration_flicker_level0,LEFT,subway:motion_resolution_level0,subway:duration_flicker_level0,4.9875,240.01
j3,28,zeroday,zeroday:noise_colors_level0,zeroday:noise_colors_level2,LEFT,zeroday:noise_colors_level0,zeroday:noise_colors_level2,9.5678,239.97
j3,29,classroom,classroom:dlss_rr_level1,classroom:judder_level1,RIGHT,classroom:judder_level1,classroom:dlss_rr_level1,4.65,240.01
j3,30,bistro_interior,bistro_interior:temporal-resolution-multiplexing_level1,bistro_interior:judder_level0,RIGHT,bistro_interior:judder_level0,bistro_interior:temporal-resolution-multiplexing_level1,9.625,240.0
j3,31,classroom,classroom:duration_flicker_level1,classroom:motion_noise_level1,RIGHT,classroom:motion_noise_level1,classroom:duration_flicker_level1,4.4255,239.77
