SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
rafal,1,bistro_interior,bistro_interior:motion_resolution_level0,bistro_interior:dlss_rr_level0,RIGHT,bistro_interior:dlss_rr_level0,bistro_interior:motion_resolution_level0,2.8836,240.2
rafal,2,bistro_exterior,bistro_exterior:stutter_level2,bistro_exterior:duration_flicker_level2,LEFT,bistro_exterior:stutter_level2,bistro_exterior:duration_flicker_level2,8.2595,239.98
rafal,3,marbles,marbles:stutter_level1,marbles:duration_flicker_level0,RIGHT,marbles:duration_flicker_level0,marbles:stutter_level1,31.1625,239.94
rafal,4,subway,subway:restir_level1,subway:restir_level0,RIGHT,subway:restir_level0,subway:restir_level1,20.8293,240.0
rafal,5,attic,attic:judder_level2,attic:motion_resolution_level1,LEFT,attic:judder_level2,attic:motion_resolution_level1,38.6717,239.97
rafal,6,bistro_exterior,bistro_exterior:stutter_level2,bistro_exterior:dlss_rr_level1,RIGHT,bistro_exterior:dlss_rr_level1,bistro_exterior:stutter_level2,3.7298,239.98
rafal,7,bistro_interior,bistro_interior:motion_resolution_level2,bistro_interior:motion_resolution_level0,RIGHT,bistro_interior:motion_resolution_level0,bistro_interior:motion_resolution_level2,2.1793,240.02
rafal,8,bistro_interior,bistro_interior:judder_level2,bistro_interior:dlss_rr_level2,LEFT,bistro_interior:judder_level2,bistro_interior:dlss_rr_level2,13.8168,240.0
rafal,9,classroom,classroom:dlss_rr_level2,classroom:stutter_level2,RIGHT,classroom:stutter_level2,classroom:dlss_rr_level2,14.1042,240.0
rafal,10,zeroday,zeroday:motion_resolution_level0,zeroday:temporal-resolution-multiplexing_level2,LEFT,zeroday:motion_resolution_level0,zeroday:temporal-resolution-multiplexing_level2,2.3084,240.02
rafal,11,bistro_exterior,bistro_exterior:stutter_level1,bistro_exterior:motion_resolution_level1,LEFT,bistro_exterior:stutter_level1,bistro_exterior:motion_resolution_level1,4.7129,240.0
rafal,12,subway,subway:stutter_level1,subway:noise_colors_level0,LEFT,subway:stutter_level1,subway:noise_colors_level0,13.2559,239.97
rafal,13,pink_room,pink_room:duration_flicker_level0,pink_room:temporal-resolution-multiplexing_level1,RIGHT,pink_room:temporal-resolution-multiplexing_level1,pink_room:duration_flicker_level0,3.1625,240.02
rafal,14,marbles,marbles:judder_level2,marbles:dlss_rr_level1,RIGHT,marbles:dlss_rr_level1,marbles:judder_level2,14.097,239.98
rafal,15,landscape,landscape:dlss_rr_level2,landscape:motion_resolution_level1,LEFT,landscape:dlss_rr_level2,landscape:motion_resolution_level1,8.4763,239.97
rafal,16,marbles,marbles:motion_noise_level1,marbles:stutter_level0,RIGHT,marbles:stutter_level0,marbles:motion_noise_level1,8.5719,239.98
rafal,17,marbles,marbles:restir_level0,marbles:dlss_rr_level2,LEFT,marbles:restir_level0,marbles:dlss_rr_level2,5.3466,239.97
rafal,18,attic,attic:restir_level0,attic:temporal-resolution-multiplexing_level0,RIGHT,attic:temporal-resolution-multiplexing_level0,attic:restir_level0,4.4542,240.01
rafal,19,zeroday,zeroday:duration_flicker_level1,zeroday:noise_colors_level1,RIGHT,zeroday:noise_colors_level1,zeroday:duration_flicker_level1,12.7751,240.0
rafal,20,pink_room,pink_room:stutter_level2,pink_room:motion_resolution_level2,LEFT,pink_room:stutter_level2,pink_room:motion_resolution_level2,3.1961,240.01
rafal,21,attic,attic:temporal-resolution-multiplexing_level1,attic:judder_level2,RIGHT,attic:judder_level2,attic:temporal-resolution-multiplexing_level1,7.9209,240.01
rafal,22,bistro_exterior,bistro_exterior:motion_noise_level2,bistro_exterior:stutter_level1,RIGHT,bistro_exterior:stutter_level1,bistro_exterior:motion_noise_level2,8.5584,240.0
rafal,23,attic,attic:noise_colors_level0,attic:stutter_level0,LEFT,attic:noise_colors_level0,attic:stutter_level0,8.4174,239.98
rafal,24,landscape,landscape:motion_resolution_level2,landscape:motion_resolution_level1,RIGHT,landscape:motion_resolution_level1,landscape:motion_resolution_level2,4.6625,240.01
rafal,25,subway,subway:motion_noise_level2,subway:temporal-resolution-multiplexing_level1,RIGHT,subway:temporal-resolution-multiplexing_level1,subway:motion_noise_level2,16.3854,239.97
rafal,26,subway,subway:temporal-resolution-multiplexing_level2,subway:temporal-resolution-multiplexing_level1,RIGHT,subway:temporal-resolution-multiplexing_level1,subway:temporal-resolution-multiplexing_level2,6.3008,239.98
rafal,27,landscape,landscape:duration_flicker_level1,landscape:duration_flicker_level2,LEFT,landscape:duration_flicker_level1,landscape:duration_flicker_level2,15.2345,239.98
rafal,28,attic,attic:dlss_rr_level0,attic:judder_level0,RIGHT,attic:judder_level0,attic:dlss_rr_level0,9.0554,239.98
rafal,29,landscape,landscape:motion_resolution_level1,landscape:temporal-resolution-multiplexing_level1,RIGHT,landscape:temporal-resolution-multiplexing_level1,landscape:motion_resolution_level1,5.275,240.01
rafal,30,landscape,landscape:motion_resolution_level2,landscape:dlss_rr_level1,RIGHT,landscape:dlss_rr_level1,landscape:motion_resolution_level2,8.2709,240.01
rafal,31,marbles,marbles:reference,marbles:judder_level0,LEFT,marbles:reference,marbles:judder_level0,48.8764,239.97
rafal,32,classroom,classroom:temporal-resolution-multiplexing_level2,classroom:dlss_rr_level2,RIGHT,classroom:dlss_rr_level2,classroom:temporal-resolution-multiplexing_level2,7.8468,239.97
rafal,33,marbles,marbles:dlss_rr_level2,marbles:restir_level1,RIGHT,marbles:restir_level1,marbles:dlss_rr_level2,13.135,239.98
rafal,34,zeroday,zeroday:reference,zeroday:stutter_level0,LEFT,zeroday:reference,zeroday:stutter_level0,24.0018,239.99
rafal,35,landscape,landscape:restir_level1,landscape:noise_colors_level1,LEFT,landscape:restir_level1,landscape:noise_colors_level1,29.4556,239.99
rafal,36,attic,attic:duration_flicker_level1,attic:dlss_rr_level1,LEFT,attic:duration_flicker_level1,attic:dlss_rr_level1,23.3488,239.93
rafal,37,zeroday,zeroday:noise_colors_level1,zeroday:restir_level1,LEFT,zeroday:noise_colors_level1,zeroday:restir_level1,12.1183,239.97
rafal,38,marbles,marbles:motion_noise_level2,marbles:judder_level0,LEFT,marbles:motion_noise_level2,marbles:judder_level0,40.326,239.97
rafal,39,attic,attic:noise_colors_level2,attic:dlss_rr_level1,LEFT,attic:noise_colors_level2,attic:dlss_rr_level1,13.8091,239.99
rafal,40,landscape,landscape:duration_flicker_level0,landscape:motion_resolution_level1,LEFT,landscape:duration_flicker_level0,landscape:motion_resolution_level1,13.3975,239.97
rafal,41,zeroday,zeroday:temporal-resolution-multiplexing_level0,zeroday:restir_level0,RIGHT,zeroday:restir_level0,zeroday:temporal-resolution-multiplexing_level0,45.3346,239.97
rafal,42,marbles,marbles:temporal-resolution-multiplexing_level2,marbles:noise_colors_level2,RIGHT,marbles:noise_colors_level2,marbles:temporal-resolution-multiplexing_level2,8.3219,239.98
rafal,43,marbles,marbles:temporal-resolution-multiplexing_level2,marbles:motion_resolution_level1,LEFT,marbles:temporal-resolution-multiplexing_level2,marbles:motion_resolution_level1,10.1263,239.97
