SubjectID,TrialNumber,Scene,LeftCondition,RightCondition,ChosenSide,ChosenCondition,RejectedCondition,ResponseTime_sec,PresentationFPS
yaru,1,attic,attic:restir_level0,attic:motion_noise_level2,RIGHT,attic:motion_noise_level2,attic:restir_level0,19.051,179.05
yaru,2,bistro_interior,bistro_interior:dlss_rr_level0,bistro_interior:judder_level1,LEFT,bistro_interior:dlss_rr_level0,bistro_interior:judder_level1,8.4303,239.98
yaru,3,landscape,landscape:temporal-resolution-multiplexing_level0,landscape:noise_colors_level0,RIGHT,landscape:noise_colors_level0,landscape:temporal-resolution-multiplexing_level0,7.876,239.97
yaru,4,pink_room,pink_room:stutter_level0,pink_room:temporal-resolution-multiplexing_level0,LEFT,pink_room:stutter_level0,pink_room:temporal-resolution-multiplexing_level0,9.5959,240.01
yaru,5,bistro_exterior,bistro_exterior:noise_colors_level2,bistro_exterior:motion_noise_level2,RIGHT,bistro_exterior:motion_noise_level2,bistro_exterior:noise_colors_level2,3.0546,239.99
yaru,6,classroom,classroom:motion_resolution_level1,classroom:restir_level2,LEFT,classroom:motion_resolution_level1,classroom:restir_level2,5.3466,239.97
yaru,7,classroom,classroom:stutter_level1,classroom:restir_level0,RIGHT,classroom:restir_level0,classroom:stutter_level1,3.6046,239.99
yaru,8,zeroday,zeroday:temporal-resolution-multiplexing_level1,zeroday:duration_flicker_level1,LEFT,zeroday:temporal-resolution-multiplexing_level1,zeroday:duration_flicker_level1,7.5677,239.98
yaru,9,bistro_exterior,bistro_exterior:dlss_rr_level0,bistro_exterior:dlss_rr_level1,LEFT,bistro_exterior:dlss_rr_level0,bistro_exterior:dlss_rr_level1,7.9168,240.01
yaru,10,bistro_interior,bistro_interior:stutter_level1,bistro_interior:duration_flicker_level2,LEFT,bistro_interior:stutter_level1,bistro_interior:duration_flicker_level2,2.125,240.02
yaru,11,landscape,landscape:motion_noise_level0,landscape:judder_level0,RIGHT,landscape:judder_level0,landscape:motion_noise_level0,9.5668,240.01
yaru,12,pink_room,pink_room:stutter_level1,pink_room:restir_level1,RIGHT,pink_room:restir_level1,pink_room:stutter_level1,5.5292,240.01
yaru,13,landscape,landscape:dlss_rr_level2,landscape:temporal-resolution-multiplexing_level2,LEFT,landscape:dlss_rr_level2,landscape:temporal-resolution-multiplexing_level2,5.5542,240.01
yaru,14,bistro_exterior,bistro_exterior:duration_flicker_level0,bistro_exterior:judder_level0,RIGHT,bistro_exterior:judder_level0,bistro_exterior:duration_flicker_level0,5.325,240.01
yaru,15,pink_room,pink_room:noise_colors_level0,pink_room:motion_noise_level2,LEFT,pink_room:noise_colors_level0,pink_room:motion_noise_level2,7.1917,240.01
yaru,16,classroom,classroom:noise_colors_level0,classroom:restir_level0,RIGHT,classroom:restir_level0,classroom:noise_colors_level0,24.7656,239.97
yaru,17,attic,attic:dlss_rr_level0,attic:noise_colors_level0,RIGHT,attic:noise_colors_level0,attic:dlss_rr_level0,8.9836,239.99
yaru,18,classroom,classroom:noise_colors_level2,classroom:motion_resolution_level2,LEFT,classroom:noise_colors_level2,classroom:motion_resolution_level2,8.9053,239.98
yaru,19,marbles,marbles:noise_colors_level1,marbles:temporal-resolution-multiplexing_level2,LEFT,marbles:noise_colors_level1,marbles:temporal-resolution-multiplexing_level2,4.8505,239.99
yaru,20,landscape,landscape:noise_colors_level2,landscape:temporal-resolution-multiplexing_level2,RIGHT,landscape:temporal-resolution-multiplexing_level2,landscape:noise_colors_level2,9.2598,239.97
yaru,21,bistro_exterior,bistro_exterior:judder_level2,bistro_exterior:motion_resolution_level2,LEFT,bistro_exterior:judder_level2,bistro_exterior:motion_resolution_level2,1.85,240.03
yaru,22,attic,attic:duration_flicker_level1,attic:restir_level0,LEFT,attic:duration_flicker_level1,attic:restir_level0,29.9292,240.0
yaru,23,landscape,landscape:noise_colors_level0,landscape:noise_colors_level1,LEFT,landscape:noise_colors_level0,landscape:noise_colors_level1,3.0084,240.01
yaru,24,marbles,marbles:motion_resolution_level2,marbles:duration_flicker_level2,RIGHT,marbles:duration_flicker_level2,marbles:motion_resolution_level2,2.3212,239.6
yaru,25,zeroday,zeroday:duration_flicker_level2,zeroday:temporal-resolution-multiplexing_level2,LEFT,zeroday:duration_flicker_level2,zeroday:temporal-resolution-multiplexing_level2,2.1084,240.02
yaru,26,marbles,marbles:duration_flicker_level2,marbles:restir_level2,RIGHT,marbles:restir_level2,marbles:duration_flicker_level2,6.3427,239.82
yaru,27,bistro_exterior,bistro_exterior:judder_level2,bistro_exterior:noise_colors_level2,LEFT,bistro_exterior:judder_level2,bistro_exterior:noise_colors_level2,2.9337,239.99
yaru,28,bistro_exterior,bistro_exterior:motion_resolution_level1,bistro_exterior:duration_flicker_level0,LEFT,bistro_exterior:motion_resolution_level1,bistro_exterior:duration_flicker_level0,6.9171,239.99
yaru,29,bistro_interior,bistro_interior:judder_level2,bistro_interior:dlss_rr_level0,RIGHT,bistro_interior:dlss_rr_level0,bistro_interior:judder_level2,4.0292,240.01
