FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.002412,3.482941,0.676343,4.161696,7486.098956,N/A
1,0.001156,3.432522,0.720463,4.154141,7486.103129,4.172896
2,0.000745,3.484445,0.636504,4.121694,7486.107266,4.136578
3,0.000977,3.491240,0.656391,4.148608,7486.111433,4.167474
4,0.001011,3.546307,0.594002,4.141320,7486.115587,4.153940
5,0.003871,6.960972,0.194546,7.159389,7486.122812,7.225245
6,0.001300,3.472062,0.149430,3.622792,7486.126450,3.637789
7,0.000897,3.431371,0.082292,3.514560,7486.129976,3.526267
8,0.000858,3.433731,0.146685,3.581274,7486.133569,3.592340
9,0.000855,3.385063,0.088030,3.473948,7486.137054,3.485291
10,0.000648,3.388626,0.151015,3.540289,7486.140605,3.551229
11,0.000801,3.468305,0.636589,4.105695,7486.144721,4.116067
12,0.000811,3.403809,0.807264,4.211884,7486.148944,4.222422
13,0.000827,3.408303,0.774716,4.183846,7486.153140,4.196374
14,0.000794,3.427633,0.715189,4.143616,7486.157296,4.156093
15,0.000777,3.475676,0.614767,4.091220,7486.161400,4.103923
16,0.000791,3.452565,0.861916,4.315272,7486.165728,4.327879
17,0.000733,3.490708,0.625200,4.116641,7486.169857,4.129575
18,0.000715,3.411309,0.706449,4.118473,7486.173989,4.131122
19,0.001144,3.467763,0.629774,4.098681,7486.178108,4.119340
20,0.000920,3.461457,0.740353,4.202730,7486.182323,4.215519
21,0.000779,3.462601,0.637898,4.101278,7486.186438,4.114423
22,0.000662,3.471789,0.837748,4.310199,7486.190761,4.322709
23,0.000807,3.455366,0.563946,4.020119,7486.194794,4.033180
24,0.000796,3.444168,0.741208,4.186172,7486.198993,4.198809
25,0.000802,3.495773,0.566831,4.063406,7486.203074,4.081857
26,0.000816,3.465531,0.711849,4.178196,7486.207265,4.191005
27,0.000870,3.456388,0.697557,4.154815,7486.211433,4.167562
28,0.000742,3.464437,0.752746,4.217925,7486.215663,4.230407
29,0.002621,3.669495,0.397669,4.069785,7486.219762,4.098661
30,0.001457,3.507700,0.741590,4.250747,7486.224029,4.266808
31,0.000707,3.468178,0.658443,4.127328,7486.228169,4.140024
