FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001475,3.479768,2.595872,6.077115,7490.909852,N/A
1,0.000848,3.422814,0.150645,3.574307,7490.913441,3.588776
2,0.001158,3.445315,0.078351,3.524824,7490.916977,3.535830
3,0.000663,3.477736,0.153242,3.631641,7490.920619,3.641888
4,0.000690,3.468881,0.339129,3.808700,7490.924438,3.819748
5,0.000798,3.473217,0.813963,4.287978,7490.928738,4.299394
6,0.000785,3.497914,0.594885,4.093584,7490.932844,4.105782
7,0.000756,3.419902,0.842189,4.262847,7490.937119,4.275202
8,0.000792,3.483544,0.536309,4.020645,7490.941152,4.032751
9,0.000712,3.415727,0.821562,4.238001,7490.945402,4.250388
10,0.000761,3.460257,0.725347,4.186365,7490.949601,4.198790
11,0.001197,3.466166,0.676711,4.144074,7490.953757,4.156310
12,0.000802,3.482537,0.683748,4.167087,7490.957937,4.179607
13,0.000733,3.501872,0.561017,4.063622,7490.962013,4.075957
14,0.000721,3.488904,0.743682,4.233307,7490.966259,4.245874
15,0.001122,3.487921,0.580368,4.069411,7490.970340,4.081923
16,0.000772,3.522466,0.732917,4.256155,7490.974609,4.268407
17,0.002507,3.600002,0.501335,4.103844,7490.978742,4.132819
18,0.000907,3.499794,0.689325,4.190026,7490.982947,4.205072
19,0.000849,3.499815,0.604219,4.104883,7490.987064,4.117110
20,0.000769,3.497258,0.629644,4.127671,7490.991204,4.140032
21,0.000984,3.487468,0.711579,4.200031,7490.995416,4.212221
22,0.000739,3.464875,0.743061,4.208675,7490.999637,4.220859
23,0.000710,3.446960,0.641814,4.089484,7491.003739,4.102419
24,0.000829,3.496067,0.724939,4.221835,7491.007973,4.233838
25,0.000665,3.479640,0.422218,3.902523,7491.011889,3.915350
26,0.000652,3.427862,0.944382,4.372896,7491.016274,4.385185
27,0.000661,3.481425,0.552898,4.034984,7491.020321,4.047512
28,0.000789,3.471939,0.824077,4.296805,7491.024630,4.309003
29,0.000690,3.453394,0.606377,4.060461,7491.028703,4.073045
30,0.000731,3.433005,0.836406,4.270142,7491.032986,4.282666
31,0.000696,3.483392,0.454708,3.938796,7491.036937,3.951009
32,0.000723,3.419959,0.911267,4.331949,7491.041281,4.344316
33,0.000660,3.492866,0.574659,4.068185,7491.045362,4.080910
34,0.000701,3.471326,0.633462,4.105489,7491.049480,4.117724
35,0.001157,3.462724,0.845603,4.309484,7491.053802,4.321959
36,0.000684,3.412103,0.769604,4.182391,7491.057997,4.194729
37,0.000657,3.487013,0.487545,3.975215,7491.061990,3.993040
38,0.000791,3.456980,0.813831,4.271602,7491.066279,4.289236
39,0.000687,3.478463,0.622810,4.101960,7491.070393,4.114026
40,0.000790,3.477559,0.549830,4.028179,7491.074433,4.040409
41,0.000938,3.644122,0.649905,4.294965,7491.078743,4.309385
42,0.001425,3.518259,0.662874,4.182558,7491.082943,4.200193
