FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001197,3.357542,0.120739,3.479478,11900.218856,N/A
1,0.000930,3.385835,0.131778,3.518543,11900.222386,3.529896
2,0.000809,3.389107,0.095873,3.485789,11900.225882,3.496773
3,0.000998,3.388325,0.123063,3.512386,11900.229405,3.522714
4,0.001094,3.365474,0.069637,3.436205,11900.232851,3.446065
5,0.000886,3.404916,0.118260,3.524062,11900.236386,3.535226
6,0.000903,3.397767,0.105232,3.503902,11900.239900,3.513913
7,0.000824,3.439934,0.140026,3.580784,11900.243491,3.590864
8,0.000753,3.378490,0.067545,3.446788,11900.246948,3.456392
9,0.000908,3.397387,0.142374,3.540669,11900.250499,3.550973
10,0.000855,3.394256,0.067342,3.462453,11900.253971,3.472502
11,0.000992,3.392059,0.145727,3.538778,11900.257520,3.548785
12,0.000829,3.392011,0.068237,3.461077,11900.260991,3.471034
13,0.000920,3.603102,0.173252,3.777274,11900.264784,3.792855
14,0.001876,3.433132,0.151216,3.586224,11900.268384,3.600181
15,0.000784,3.415569,0.098292,3.514645,11900.271909,3.524907
16,0.000852,3.401805,0.139431,3.542088,11900.275461,3.551817
17,0.000837,3.392670,0.066803,3.460310,11900.278931,3.470815
18,0.000849,3.401614,0.141322,3.543785,11900.282485,3.553526
19,0.000964,3.393629,0.069592,3.464185,11900.285959,3.473998
20,0.000944,3.361263,0.144867,3.507074,11900.289476,3.516646
21,0.000901,3.398683,0.066129,3.465713,11900.292951,3.475288
22,0.000753,3.401929,0.140377,3.543059,11900.296504,3.552752
23,0.000693,3.395793,0.066343,3.462829,11900.299976,3.472313
24,0.000966,3.397286,0.140722,3.538974,11900.303525,3.548642
25,0.000943,3.394715,0.066205,3.461863,11900.306997,3.472283
26,0.001247,3.409838,0.146382,3.557467,11900.310569,3.572316
27,0.000759,3.377960,0.073522,3.452241,11900.314031,3.461958
28,0.000735,3.386496,0.139860,3.527091,11900.317568,3.536710
29,0.000823,3.391358,0.068785,3.460966,11900.321039,3.470904
30,0.000781,3.394102,0.136664,3.531547,11900.324580,3.541658
31,0.000777,3.393068,0.121477,3.515322,11900.328105,3.524665
32,0.001004,3.394729,0.139155,3.534888,11900.331650,3.544817
33,0.000798,3.454584,0.140175,3.595557,11900.335255,3.605533
34,0.000901,3.415726,0.133155,3.549782,11900.338815,3.559452
35,0.000753,3.407746,0.148359,3.556858,11900.342381,3.566450
36,0.000802,3.393015,0.107872,3.501689,11900.345893,3.511499
37,0.000729,3.404536,0.139125,3.544390,11900.349447,3.553805
38,0.000732,3.392070,0.067543,3.460345,11900.352917,3.469854
39,0.000690,3.403582,0.147892,3.552164,11900.356478,3.561820
40,0.000784,3.390990,0.068993,3.460767,11900.359949,3.470522
41,0.000642,3.551640,0.191941,3.744223,11900.363703,3.754416
42,0.003696,3.502025,0.142878,3.648599,11900.367374,3.670436
43,0.000944,3.418160,0.097584,3.516688,11900.370902,3.527917
44,0.000670,3.420078,0.143709,3.564457,11900.374477,3.575418
45,0.000663,3.400702,0.068236,3.469601,11900.377956,3.479373
46,0.000622,3.400793,0.146837,3.548252,11900.381514,3.558059
47,0.000731,3.383832,0.069025,3.453588,11900.384978,3.463200
48,0.000669,3.355669,0.135373,3.491711,11900.388479,3.501439
49,0.000674,3.363128,0.067191,3.430993,11900.391920,3.440554
50,0.000782,3.408952,0.134646,3.544380,11900.395474,3.554056
51,0.000736,3.364974,0.069685,3.435395,11900.398919,3.445103
52,0.000745,3.393371,0.136835,3.530951,11900.402459,3.540492
53,0.000743,3.431428,0.068561,3.500732,11900.405971,3.511556
54,0.000795,3.392743,0.135830,3.529368,11900.409510,3.539309
55,0.000695,3.406084,0.066527,3.473306,11900.412993,3.483224
56,0.000813,3.393369,0.136258,3.530440,11900.416539,3.545488
57,0.000785,3.401349,0.071247,3.473381,11900.420022,3.482962
58,0.000767,3.398530,0.146025,3.545322,11900.423577,3.555086
59,0.000813,3.352813,0.073509,3.427135,11900.427014,3.436758
60,0.000862,3.387899,0.141880,3.530641,11900.430554,3.540353
61,0.000809,12.909597,0.237303,13.147709,11900.443712,13.157443
62,0.000833,3.344717,0.137358,3.482908,11900.447205,3.493304
63,0.000691,3.393499,0.139617,3.533807,11900.450748,3.543606
64,0.000817,3.407689,0.135983,3.544489,11900.454303,3.554142
65,0.000807,3.386942,0.138787,3.526536,11900.457840,3.536962
66,0.000778,3.387004,0.137903,3.525685,11900.461375,3.535122
67,0.000739,3.550806,0.128576,3.680121,11900.465065,3.689946
68,0.001672,3.450311,0.135814,3.587797,11900.468670,3.605582
69,0.000797,3.390282,0.135561,3.526640,11900.472207,3.536961
70,0.000702,3.386265,0.135309,3.522276,11900.475739,3.532229
71,0.000721,3.389226,0.151892,3.541839,11900.479291,3.551586
72,0.000753,3.388486,0.140944,3.530183,11900.482831,3.539863
73,0.000798,3.387083,0.135665,3.523546,11900.486364,3.533244
74,0.000705,3.396468,0.129860,3.527033,11900.489901,3.536667
75,0.000670,3.380716,0.188561,3.569947,11900.493480,3.579509
76,0.000773,3.385341,0.067040,3.453154,11900.496943,3.462886
77,0.001034,3.383326,0.140363,3.524723,11900.500480,3.536939
78,0.000659,3.387843,0.067123,3.455625,11900.503945,3.465229
79,0.000824,3.387458,0.136939,3.525221,11900.507480,3.534578
80,0.000809,3.379843,0.066742,3.447394,11900.510937,3.457093
81,0.000765,3.393615,0.138846,3.533226,11900.514480,3.542674
82,0.000850,3.392752,0.067270,3.460872,11900.517950,3.470507
83,0.000781,3.389406,0.141781,3.531968,11900.521492,3.541542
84,0.000732,3.384351,0.065253,3.450336,11900.524951,3.459784
85,0.000670,3.387890,0.141534,3.530094,11900.528491,3.539590
86,0.000977,3.386678,0.064457,3.452112,11900.531953,3.461592
87,0.000658,3.390376,0.138550,3.529584,11900.535492,3.539052
88,0.000763,3.387472,0.066141,3.454376,11900.538956,3.463843
89,0.000695,3.390548,0.137824,3.529067,11900.542494,3.538524
90,0.000965,3.396321,0.065378,3.462664,11900.545966,3.472145
91,0.000812,3.402200,0.142898,3.545910,11900.549521,3.555277
92,0.000854,3.394992,0.064113,3.459959,11900.552991,3.469186
93,0.000875,3.390884,0.138833,3.530592,11900.556537,3.546650
94,0.000826,3.375944,0.063832,3.440602,11900.559988,3.450225
95,0.000863,3.422501,0.164668,3.588032,11900.563585,3.597439
96,0.001364,5.389529,0.200072,5.590965,11900.569190,5.605115
97,0.002193,3.461851,0.141259,3.605303,11900.572818,3.628342
98,0.000915,3.413833,0.135971,3.550719,11900.576380,3.561803
99,0.000800,3.430251,0.095974,3.527025,11900.579917,3.537084
100,0.000829,3.301172,0.134097,3.436098,11900.583363,3.445983
