FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001544,3.477112,0.782471,4.261127,9267.626630,N/A
1,0.000957,3.501527,0.562560,4.065044,9267.630708,4.078537
2,0.001017,3.484636,0.758098,4.243751,9267.634965,4.256324
3,0.001007,3.407646,0.701975,4.110628,9267.639088,4.123251
4,0.000974,3.481059,0.718521,4.200554,9267.643301,4.213046
5,0.000977,3.468845,0.595770,4.065592,9267.647380,4.078542
6,0.001124,3.469392,0.774775,4.245291,9267.651637,4.257537
7,0.000940,3.456433,0.691404,4.148777,9267.655799,4.161801
8,0.000909,3.462304,0.704407,4.167620,9267.659979,4.180036
9,0.000976,3.472448,0.653232,4.126656,9267.664119,4.139674
10,0.001052,5.458210,0.243997,5.703259,9267.669835,5.716565
11,0.003950,3.893653,0.182221,4.079824,9267.673950,4.114648
12,0.001885,3.432887,0.149945,3.584717,9267.677551,3.600759
13,0.000931,3.384886,0.082965,3.468782,9267.681030,3.479017
14,0.001076,3.380277,0.446599,3.827952,9267.684868,3.838223
15,0.000745,3.358421,0.827810,4.186976,9267.689065,4.197275
16,0.000843,3.466252,0.957309,4.424404,9267.693500,4.434852
17,0.000940,3.434428,0.435400,3.870768,9267.697384,3.884066
18,0.001013,3.458692,0.786675,4.246380,9267.701643,4.258549
19,0.000935,3.494459,0.652979,4.148373,9267.705803,4.160425
20,0.001079,3.454516,0.710764,4.166359,9267.709982,4.178565
21,0.000926,3.479741,0.630136,4.110803,9267.714104,4.122944
22,0.000967,3.487517,0.709707,4.198191,9267.718315,4.210427
23,0.000897,3.480662,0.598403,4.079962,9267.722407,4.092151
24,0.000841,3.483175,0.744837,4.228853,9267.726648,4.241190
25,0.000908,3.490300,0.646553,4.137761,9267.730799,4.150412
26,0.000906,3.458186,0.709626,4.168718,9267.734980,4.181158
27,0.000873,3.464389,0.629120,4.094382,9267.739086,4.106633
28,0.000928,3.533610,0.676153,4.210691,9267.743310,4.223079
29,0.000862,3.467530,0.596788,4.065180,9267.747387,4.077524
30,0.001077,3.469252,0.781582,4.251911,9267.751651,4.264287
31,0.000888,3.494116,0.633658,4.128662,9267.755792,4.140703
32,0.000919,3.481012,0.682180,4.164111,9267.759968,4.176151
33,0.000849,3.500575,0.637578,4.139002,9267.764120,4.151481
34,0.000948,3.459376,0.671930,4.132254,9267.768264,4.144472
35,0.000880,3.546962,0.621795,4.169637,9267.772446,4.182020
36,0.004116,3.595603,0.494981,4.094700,9267.776567,4.121057
37,0.001089,3.507535,0.730097,4.238721,9267.780819,4.252259
