FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001098,3.445535,0.756163,4.202796,7497.208626,N/A
1,0.000885,3.457474,0.677601,4.135960,7497.212776,4.149937
2,0.000964,3.430334,0.650928,4.082226,7497.216871,4.095129
3,0.000929,3.419580,0.753678,4.174187,7497.221056,4.185152
4,0.000841,3.426551,0.752169,4.179561,7497.225249,4.192555
5,0.000684,3.466874,0.695615,4.163173,7497.229423,4.174317
6,0.000903,3.497559,0.698002,4.196464,7497.233631,4.207652
7,0.000853,3.450063,0.694124,4.145040,7497.237789,4.157706
8,0.000854,3.623415,0.517070,4.141339,7497.241943,4.154142
9,0.002100,3.484781,0.654041,4.140922,7497.246107,4.164221
10,0.000845,3.503824,0.590271,4.094940,7497.250215,4.107604
11,0.000811,3.496329,0.735055,4.232195,7497.254459,4.244767
12,0.000865,3.488021,0.669666,4.158552,7497.258630,4.171014
13,0.000715,3.460489,0.687270,4.148474,7497.262792,4.161427
14,0.000823,3.484764,0.632354,4.117941,7497.266922,4.130372
15,0.000749,3.442693,0.673000,4.116442,7497.271051,4.128923
16,0.000795,3.554262,0.594578,4.149635,7497.275213,4.162158
17,0.000838,3.498655,0.736222,4.235715,7497.279461,4.247466
18,0.000756,3.482882,0.688125,4.171763,7497.283645,4.184248
19,0.000849,3.436648,0.667836,4.105333,7497.287763,4.117876
20,0.000788,3.482384,0.713580,4.196752,7497.291972,4.209310
21,0.000988,3.436353,0.635369,4.072710,7497.296057,4.085255
22,0.000870,3.495974,0.698364,4.195208,7497.300265,4.207613
23,0.000824,3.515550,0.675136,4.191510,7497.304469,4.203982
24,0.000743,3.473718,0.647640,4.122101,7497.308604,4.134584
25,0.000751,3.531592,0.586183,4.118526,7497.312735,4.131669
26,0.001366,3.475037,0.659482,4.135885,7497.316884,4.148701
27,0.001001,3.430082,0.703502,4.134585,7497.321030,4.146011
28,0.000878,3.500439,0.711101,4.212418,7497.325254,4.223652
29,0.000733,3.522608,0.679998,4.203339,7497.329470,4.216176
30,0.000957,3.538511,0.563621,4.103089,7497.333585,4.115626
31,0.000891,3.478047,0.667946,4.146884,7497.337745,4.159789
32,0.001239,3.479017,0.745607,4.225863,7497.341982,4.237092
33,0.002672,3.632463,0.384142,4.019277,7497.346048,4.065444
34,0.001168,3.455075,0.763563,4.219806,7497.350283,4.234978
35,0.000660,3.459941,0.692273,4.152874,7497.354448,4.165760
36,0.000790,3.484238,0.671758,4.156786,7497.358618,4.169537
37,0.000711,3.462457,0.653023,4.116191,7497.362747,4.129208
38,0.000809,3.465693,0.691424,4.157926,7497.366918,4.170506
39,0.000881,3.429959,0.707819,4.138659,7497.371069,4.151212
40,0.000838,3.478636,0.720071,4.199545,7497.375281,4.212119
41,0.000787,3.524358,0.633158,4.158303,7497.379452,4.171155
42,0.000878,3.414828,0.747945,4.163651,7497.383627,4.174992
43,0.000880,3.465653,0.700159,4.166692,7497.387806,4.179252
44,0.000752,3.470709,0.669156,4.140617,7497.391960,4.153141
45,0.000733,3.435769,0.698167,4.134669,7497.396107,4.147152
46,0.000846,3.495301,8.862300,12.358447,7497.408478,12.370920
47,0.000843,3.473404,0.089770,3.564017,7497.412054,3.576502
48,0.001166,3.510101,0.153386,3.664653,7497.415730,3.675676
49,0.000862,3.502348,0.153945,3.657155,7497.419398,3.668177
50,0.000908,3.514605,0.087231,3.602744,7497.423012,3.613562
51,0.000849,3.481032,0.146816,3.628697,7497.426651,3.639550
52,0.000714,3.552728,0.095177,3.648619,7497.430310,3.658856
53,0.000805,3.416161,0.148494,3.565460,7497.433887,3.577264
54,0.000839,3.400919,0.325329,3.727087,7497.437625,3.737999
55,0.000833,3.341503,0.779698,4.122034,7497.441758,4.132665
56,0.001126,3.664225,0.534245,4.199596,7497.445980,4.222258
57,0.001295,3.512727,0.780341,4.294363,7497.450292,4.311411
58,0.001188,3.506496,0.579471,4.087155,7497.454391,4.099538
59,0.000797,3.511570,0.710405,4.222772,7497.458626,4.235110
60,0.000773,3.460731,0.552852,4.014356,7497.462653,4.026669
61,0.000674,3.476073,0.819838,4.296585,7497.466962,4.308940
62,0.000725,3.430048,0.636862,4.067635,7497.471042,4.079917
63,0.000895,3.504766,0.735172,4.240833,7497.475295,4.253144
64,0.000749,3.489793,0.618708,4.109250,7497.479416,4.121561
65,0.000716,3.499840,0.702110,4.202666,7497.483632,4.215645
66,0.000663,3.474516,0.679398,4.154577,7497.487799,4.166897
67,0.000742,3.499925,0.654586,4.155253,7497.491967,4.167584
68,0.000704,3.493836,0.557551,4.052091,7497.496031,4.064302
69,0.000712,3.490928,0.756255,4.247895,7497.500291,4.260144
70,0.000707,3.506454,0.599924,4.107085,7497.504410,4.119248
71,0.000777,3.498566,0.716699,4.216042,7497.508638,4.228189
72,0.000779,3.482484,0.496550,3.979813,7497.512631,3.992056
73,0.000684,3.475408,0.834650,4.310742,7497.516954,4.323036
74,0.000741,3.423488,0.646925,4.071154,7497.521036,4.082031
75,0.000715,3.495544,0.754905,4.251164,7497.525297,4.261672
76,0.000686,3.504862,0.575472,4.081020,7497.529391,4.093373
77,0.000723,3.487359,0.742610,4.230692,7497.533636,4.245259
78,0.000722,3.478498,0.676772,4.155992,7497.537804,4.167848
79,0.000728,3.367287,0.793422,4.161437,7497.541977,4.173349
80,0.000806,3.629254,0.497854,4.127914,7497.546117,4.140114
81,0.001565,3.521288,0.664362,4.187215,7497.550325,4.208290
82,0.000816,3.469787,0.598090,4.068693,7497.554407,4.081172
83,0.000728,3.488428,0.728662,4.217818,7497.558637,4.230007
84,0.000720,3.424547,0.719351,4.144618,7497.562793,4.156637
85,0.000709,3.473081,0.701925,4.175715,7497.566981,4.187652
86,0.000642,3.442760,0.689604,4.133006,7497.571126,4.145162
87,0.000697,3.434540,0.734557,4.169794,7497.575308,4.181940
88,0.001059,3.503505,0.616090,4.120654,7497.579441,4.132793
89,0.000728,3.430122,0.778953,4.209803,7497.583663,4.221936
90,0.000715,3.420971,0.642472,4.064158,7497.587739,4.076377
91,0.000701,3.437291,0.874774,4.312766,7497.592064,4.324924
92,0.000661,3.466136,0.492266,3.959063,7497.596035,3.970978
93,0.000777,3.455793,0.783689,4.240259,7497.600302,4.266534
94,0.000665,3.441029,0.585419,4.027113,7497.604341,4.039425
95,0.000727,3.492248,0.800942,4.293917,7497.608647,4.306004
96,0.000821,3.434017,0.676264,4.111102,7497.612770,4.123243
97,0.000676,3.502367,0.697244,4.200287,7497.616983,4.212371
98,0.000647,3.441689,0.689038,4.131374,7497.621126,4.143266
99,0.000737,3.475508,0.697601,4.173846,7497.625312,4.185847
100,0.000811,3.443863,0.672305,4.116979,7497.629441,4.128836
101,0.000657,3.481672,0.713843,4.196172,7497.633649,4.208208
102,0.000707,3.486987,0.668439,4.156133,7497.637817,4.168143
103,0.000801,3.450504,0.613379,4.064684,7497.641894,4.076759
