FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001174,3.502175,0.086308,3.589657,9308.069028,N/A
1,0.001071,3.482255,0.544140,4.027466,9308.073068,4.039536
2,0.001062,3.387073,0.865772,4.253907,9308.077333,4.265134
3,0.000949,3.477254,0.646857,4.125060,9308.081470,4.137547
4,0.001168,3.416856,0.736812,4.154836,9308.085637,4.167024
5,0.000894,3.420155,0.791507,4.212556,9308.089863,4.225276
6,0.001059,3.448385,0.804089,4.253533,9308.094129,4.266297
7,0.000940,3.775913,0.212549,3.989402,9308.098131,4.001807
8,0.002106,3.554574,0.764986,4.321666,9308.102473,4.342720
9,0.000916,3.495347,0.553528,4.049791,9308.106537,4.063100
10,0.001173,3.510445,0.724652,4.236270,9308.110785,4.248375
11,0.000987,3.486938,0.615702,4.103627,9308.114901,4.116044
12,0.000887,3.462864,0.738251,4.202002,9308.119115,4.214039
13,0.000974,3.512281,0.523190,4.036445,9308.123164,4.048596
14,0.001051,3.498584,0.801565,4.301200,9308.127477,4.313391
15,0.001019,3.480902,0.583178,4.065099,9308.131554,4.077245
16,0.000875,3.492144,0.724176,4.217195,9308.135784,4.229309
17,0.000889,3.480032,0.597024,4.077945,9308.139874,4.090964
18,0.001039,3.454551,0.769256,4.224846,9308.144112,4.237128
19,0.000923,3.505559,0.486617,3.993099,9308.148117,4.005414
20,0.000894,3.495689,0.656979,4.153562,9308.152283,4.165664
21,0.001042,3.466086,0.684635,4.151763,9308.156446,4.162808
22,0.000997,3.484396,0.863366,4.348759,9308.160807,4.361008
23,0.001030,3.492324,0.473090,3.966444,9308.164785,3.978465
24,0.000898,3.480534,0.855050,4.336482,9308.169134,4.348695
25,0.000854,3.478100,0.501811,3.980765,9308.173127,3.993475
26,0.000984,3.496847,0.874033,4.371864,9308.177511,4.384028
27,0.000854,3.472575,0.574855,4.048284,9308.181572,4.060442
28,0.000853,3.500260,0.696828,4.197941,9308.185782,4.210095
29,0.000874,3.474556,0.615162,4.090592,9308.189885,4.102949
30,0.000900,3.426806,0.812144,4.239850,9308.194137,4.251949
31,0.000899,4.529449,0.213446,4.743794,9308.198893,4.756094
32,0.002155,3.414327,0.151793,3.568275,9308.202477,3.584413
33,0.000907,3.465794,0.661105,4.127806,9308.206616,4.138447
34,0.000930,3.469601,0.671875,4.142406,9308.210770,4.154593
35,0.000921,3.481594,0.665148,4.147663,9308.214930,4.159897
36,0.000865,3.496047,0.656098,4.153010,9308.219095,4.165196
37,0.000890,3.498668,0.524334,4.023892,9308.223131,4.036046
38,0.000920,3.506985,0.827634,4.335539,9308.227479,4.347829
39,0.001094,3.482880,0.585570,4.069544,9308.231561,4.081701
40,0.000871,3.491170,0.745766,4.237807,9308.235811,4.249974
41,0.000843,3.453423,0.645840,4.100106,9308.239924,4.112844
42,0.001136,3.470575,0.699142,4.170853,9308.244107,4.183049
43,0.000875,3.490614,0.537243,4.028732,9308.248148,4.041010
44,0.000844,3.502225,0.832220,4.335289,9308.252495,4.347349
45,0.000914,13.070898,0.157807,13.229619,9308.265737,13.241867
46,0.000998,3.489778,0.081507,3.572283,9308.269320,3.583157
47,0.000978,3.533816,0.151293,3.686087,9308.273017,3.696989
48,0.001218,3.487184,0.932816,4.421218,9308.277450,4.433415
49,0.000832,3.476927,0.614329,4.092088,9308.281555,4.104300
50,0.000891,3.500335,0.648816,4.150042,9308.285717,4.162328
51,0.000856,3.490649,0.647954,4.139459,9308.289869,4.151719
52,0.001012,3.469257,0.708528,4.178797,9308.294060,4.190887
53,0.000845,4.153821,0.201539,4.356205,9308.298429,4.369156
54,0.004474,3.794001,0.156203,3.954678,9308.302414,3.985479
55,0.001121,3.403231,0.737601,4.141953,9308.306569,4.154252
56,0.000850,3.498793,0.630672,4.130315,9308.310712,4.142968
57,0.000853,3.487873,0.680087,4.168813,9308.314893,4.180944
58,0.000911,3.431063,0.728907,4.160881,9308.319066,4.173037
59,0.000891,3.490876,0.593781,4.085548,9308.323163,4.097766
60,0.000877,3.489249,0.581639,4.071765,9308.327247,4.084034
61,0.000831,3.500309,0.604110,4.105250,9308.331365,4.117379
62,0.000875,3.487710,0.867091,4.355676,9308.335732,4.367762
63,0.000871,3.499694,0.625429,4.125994,9308.339871,4.138206
64,0.000809,3.462967,0.727834,4.191610,9308.344074,4.203786
65,0.000839,3.482007,0.595526,4.078372,9308.348166,4.091481
66,0.000954,3.480304,0.737738,4.218996,9308.352397,4.231111
67,0.000835,3.484923,0.676913,4.162671,9308.356572,4.174900
68,0.000911,3.490902,0.657683,4.149496,9308.360734,4.161567
69,0.000836,3.512137,0.635927,4.148900,9308.364895,4.161061
70,0.001078,3.475023,0.725682,4.201783,9308.369108,4.213493
71,0.000813,3.421671,0.669052,4.091536,9308.373212,4.103645
72,0.000822,3.429452,0.764722,4.194996,9308.377419,4.206923
73,0.000861,3.415317,0.754057,4.170235,9308.381601,4.182182
74,0.001189,3.478190,0.660933,4.140312,9308.385753,4.152122
75,0.000835,3.436560,0.711683,4.149078,9308.389914,4.160852
76,0.000817,3.407481,0.740446,4.148744,9308.394074,4.160492
77,0.000850,3.438179,0.691093,4.130122,9308.398218,4.143462
78,0.000872,6.099292,0.214157,6.314321,9308.404544,6.326232
79,0.002729,3.720390,0.150209,3.873328,9308.408442,3.898342
80,0.001060,3.390965,0.086273,3.478298,9308.411932,3.489622
81,0.000852,3.451454,0.147998,3.600304,9308.415543,3.610606
82,0.001159,3.336150,0.073011,3.410320,9308.418963,3.420390
83,0.000868,3.340445,0.764790,4.106103,9308.423079,4.116029
84,0.000904,3.313590,0.908845,4.223339,9308.427312,4.233222
85,0.000774,3.380405,0.784265,4.165444,9308.431487,4.175246
86,0.000841,3.472412,0.683463,4.156716,9308.435656,4.168627
87,0.000846,3.441676,0.654620,4.097142,9308.439765,4.108933
88,0.000841,3.427127,0.898642,4.326610,9308.444103,4.338378
89,0.000812,3.463388,0.583002,4.047202,9308.448162,4.059074
90,0.000864,3.426852,0.791744,4.219460,9308.452394,4.231423
91,0.000861,3.453879,0.691476,4.146216,9308.456552,4.158108
92,0.000858,3.422893,0.740554,4.164305,9308.460728,4.176251
93,0.000844,3.428476,0.606681,4.036001,9308.464778,4.049439
94,0.000912,3.460165,0.854042,4.315119,9308.469105,4.326876
95,0.000837,3.420744,0.635343,4.056924,9308.473174,4.068974
96,0.000830,3.419277,0.794144,4.214251,9308.477400,4.226143
97,0.000823,3.454413,0.701408,4.156644,9308.481568,4.168540
98,0.001220,3.417621,0.748301,4.167142,9308.485747,4.178929
99,0.000873,3.414109,0.604408,4.019390,9308.489778,4.031179
100,0.000878,3.420474,0.901648,4.323000,9308.494113,4.335066
101,0.000797,3.411927,0.628008,4.040732,9308.498166,4.052548
102,0.000803,3.393011,0.785082,4.178896,9308.502357,4.190704
103,0.001144,4.346058,0.198081,4.545283,9308.506918,4.561097
104,0.001608,3.390847,0.272427,3.664882,9308.510601,3.682876
105,0.000868,3.484836,0.811247,4.296951,9308.514910,4.309178
106,0.000843,3.439275,0.753264,4.193382,9308.519115,4.205228
107,0.000857,3.419154,0.628664,4.048675,9308.523176,4.060501
108,0.000875,3.425007,0.788820,4.214702,9308.527402,4.226634
109,0.001149,3.491706,0.662401,4.155256,9308.531572,4.170115
110,0.001006,3.412788,0.741846,4.155640,9308.535740,4.167516
111,0.000811,3.419799,0.580997,4.001607,9308.539753,4.013455
112,0.000795,3.464519,0.890580,4.355894,9308.544121,4.367756
113,0.000798,3.423134,0.623750,4.047682,9308.548181,4.059624
114,0.000846,3.423617,0.792519,4.216982,9308.552410,4.228896
115,0.000861,3.457413,0.692756,4.151030,9308.556572,4.162890
116,0.000957,3.473780,0.688848,4.163585,9308.560748,4.175480
117,0.000776,3.461255,0.684423,4.146454,9308.564906,4.158347
118,0.000869,3.388756,0.801830,4.191455,9308.569110,4.203363
119,0.000868,3.466523,0.592590,4.059981,9308.573181,4.071868
120,0.000887,3.422516,0.791301,4.214704,9308.577408,4.226589
121,0.000780,3.461377,0.691877,4.154034,9308.581574,4.165921
122,0.000861,3.412573,0.738725,4.152159,9308.585738,4.164026
123,0.000857,3.450020,0.715488,4.166365,9308.589916,4.178203
124,0.000847,3.433157,0.729039,4.163043,9308.594091,4.174679
125,0.001029,3.491607,0.580481,4.073117,9308.598176,4.085237
126,0.000867,3.468878,0.757277,4.227022,9308.602415,4.238884
127,0.000788,3.572228,0.531060,4.104076,9308.606531,4.115985
128,0.001756,3.473755,0.601741,4.077252,9308.610630,4.098737
129,0.000843,3.421978,0.851192,4.274013,9308.614918,4.287832
130,0.000863,3.424428,0.763363,4.188654,9308.619118,4.200549
131,0.000827,3.429600,0.636593,4.067020,9308.623197,4.079071
132,0.000901,3.475326,0.731907,4.208134,9308.627417,4.219860
133,0.001009,3.414265,0.738730,4.154004,9308.631583,4.165909
134,0.000860,3.472696,0.688408,4.161964,9308.635757,4.173820
135,0.000874,3.440949,0.703666,4.145489,9308.639914,4.157357
136,0.000776,3.398686,0.795567,4.195029,9308.644121,4.207160
137,0.000852,3.449531,0.610923,4.061306,9308.648195,4.073249
138,0.000823,3.419462,0.801899,4.222184,9308.652429,4.234125
139,0.001146,3.421671,0.729752,4.152569,9308.656593,4.164521
140,0.000804,3.423585,0.731703,4.156092,9308.660761,4.167913
141,0.000816,3.470687,0.671950,4.143453,9308.664917,4.155513
142,0.000871,3.423375,0.766759,4.191005,9308.669119,4.202840
143,0.000831,3.423352,0.675732,4.099915,9308.673231,4.111681
144,0.000843,3.474530,0.704761,4.180134,9308.677423,4.191945
145,0.000784,3.401908,0.748015,4.150707,9308.681586,4.162662
146,0.000897,3.415682,0.741900,4.158479,9308.685756,4.170417
147,0.001028,3.413661,0.590836,4.005525,9308.689773,4.017275
148,0.000903,3.424097,0.913932,4.338932,9308.694124,4.350729
149,0.000829,3.457453,0.608054,4.066336,9308.698204,4.079932
150,0.000874,3.423788,0.778558,4.203220,9308.702419,4.215140
151,0.000786,4.326633,0.232868,4.560287,9308.706991,4.572200
152,0.002339,3.427883,0.182187,3.612409,9308.710638,3.646742
153,0.000796,3.421212,0.856402,4.278410,9308.714928,4.289452
154,0.000980,3.356166,0.826925,4.184071,9308.719124,4.196608
155,0.000827,3.468499,0.606809,4.076135,9308.723212,4.088138
156,0.000811,3.545934,0.586715,4.133460,9308.727358,4.145261
157,0.000795,3.418526,0.681185,4.100506,9308.731470,4.112417
158,0.000894,3.474990,0.809726,4.285610,9308.735768,4.297448
159,0.000856,3.458404,0.571479,4.030739,9308.739810,4.042551
160,0.000832,3.415994,0.884722,4.301548,9308.744124,4.313550
161,0.000799,3.417623,0.669874,4.088296,9308.748224,4.100278
162,0.000888,3.475058,0.734067,4.210013,9308.752446,4.222005
163,0.000812,3.417029,0.722899,4.140740,9308.756599,4.152629
164,0.000826,3.485256,0.670195,4.156277,9308.760767,4.168084
165,0.000801,3.464255,0.690318,4.155374,9308.764934,4.167345
166,0.000796,3.474223,0.702012,4.177031,9308.769123,4.188954
167,0.000782,3.416269,0.663545,4.080596,9308.773215,4.092446
168,0.000820,3.538998,0.545057,4.084875,9308.777312,4.096717
169,0.000812,3.472386,0.713276,4.186474,9308.781510,4.198360
170,0.000829,3.461486,0.782181,4.244496,9308.785767,4.256449
171,0.000771,3.434389,0.719356,4.154516,9308.789933,4.166471
172,0.000981,3.381142,0.798471,4.180594,9308.794126,4.192664
173,0.000815,3.407408,0.685114,4.093337,9308.798233,4.106899
174,0.000853,3.427768,0.762294,4.190915,9308.802436,4.202668
175,0.000806,3.458483,0.562031,4.021320,9308.806469,4.033229
176,0.001311,3.713894,0.518208,4.233413,9308.810717,4.248676
177,0.001700,3.488456,0.711404,4.201560,9308.814940,4.222537
178,0.000991,3.497713,0.569407,4.068111,9308.819020,4.080427
179,0.000840,3.422810,0.770196,4.193846,9308.823226,4.205832
180,0.000881,3.425997,0.778560,4.205438,9308.827444,4.217524
181,0.000833,3.436183,0.715555,4.152571,9308.831608,4.164388
182,0.000866,3.468741,0.689892,4.159499,9308.835780,4.171449
183,0.000828,3.423308,0.726523,4.150659,9308.839942,4.162468
184,0.000796,3.439255,0.741034,4.181085,9308.844135,4.192857
185,0.000778,3.421108,0.675110,4.096996,9308.848244,4.108819
186,0.000789,3.431019,0.752723,4.184531,9308.852440,4.196384
187,0.000890,3.466788,0.692546,4.160224,9308.856612,4.172009
188,0.000776,3.433134,0.716959,4.150869,9308.860775,4.162686
189,0.000810,3.444481,0.714170,4.159461,9308.864946,4.171366
190,0.000843,3.522152,0.647026,4.170021,9308.869128,4.181901
191,0.000885,3.416401,0.694789,4.112075,9308.873252,4.123870
192,0.000804,3.425184,0.755784,4.181772,9308.877446,4.193762
193,0.000790,3.444542,0.710000,4.155332,9308.881613,4.167143
194,0.000859,3.424559,0.730023,4.155441,9308.885780,4.167305
195,0.000849,3.427511,0.723885,4.152245,9308.889944,4.164055
196,0.000939,3.496643,0.656239,4.153821,9308.894110,4.165571
197,0.000807,3.407688,0.730098,4.138593,9308.898260,4.150529
198,0.000877,3.427040,0.737698,4.165615,9308.902438,4.177854
199,0.000828,3.462659,0.704128,4.167615,9308.906618,4.179458
200,0.000800,4.599377,0.203363,4.803540,9308.911433,4.815414
201,0.001498,3.578796,0.156136,3.736430,9308.915190,3.757377
202,0.000825,3.442881,0.404668,3.848374,9308.919049,3.858984
203,0.000831,3.427524,0.754003,4.182358,9308.923257,4.207615
204,0.000861,3.425965,0.670018,4.096844,9308.927366,4.108723
205,0.000834,3.455742,0.786477,4.243053,9308.931621,4.254861
206,0.000865,3.458592,0.692004,4.151461,9308.935784,4.163286
207,0.000796,3.427509,0.727911,4.156216,9308.939952,4.168075
208,0.000833,3.434343,0.723659,4.158835,9308.944123,4.170583
209,0.000814,3.441296,0.695965,4.138075,9308.948272,4.149847
210,0.000887,3.417330,0.758077,4.176294,9308.952461,4.188217
211,0.000828,3.420556,0.727697,4.149081,9308.956622,4.160894
212,0.000855,3.459134,0.711418,4.171407,9308.960805,4.183214
213,0.000795,3.462743,0.674508,4.138046,9308.964955,4.149933
214,0.000890,3.475576,0.680153,4.156619,9308.969123,4.168441
215,0.000832,3.416398,0.589973,4.007203,9308.973142,4.018960
216,0.000816,3.474216,0.820124,4.295156,9308.977449,4.306941
217,0.000820,3.400705,0.763758,4.165283,9308.981626,4.177151
218,0.000807,3.451757,0.703011,4.155575,9308.985794,4.167716
219,0.000817,3.482217,0.672769,4.155803,9308.989962,4.167712
220,0.000865,3.438896,0.728363,4.168124,9308.994141,4.179840
221,0.000794,3.450035,0.683506,4.134335,9308.998288,4.146335
222,0.000853,3.528484,0.524919,4.054256,9309.002354,4.066097
223,0.000818,3.496043,0.763392,4.260253,9309.006626,4.272084
224,0.000829,3.661148,0.360167,4.022144,9309.010660,4.034095
225,0.002978,3.497989,0.773958,4.274925,9309.014965,4.304835
226,0.001001,3.432274,0.658765,4.092040,9309.019069,4.104407
227,0.000828,3.425415,0.776384,4.202627,9309.023284,4.214587
228,0.000948,3.415351,0.731389,4.147688,9309.027444,4.159633
229,0.000864,3.408506,0.768987,4.178357,9309.031634,4.190479
230,0.000959,3.452594,0.699693,4.153246,9309.035799,4.165070
231,0.000782,3.418056,0.742811,4.161649,9309.039973,4.173529
232,0.000781,3.425871,0.721136,4.147788,9309.044132,4.159673
233,0.000840,3.413512,0.739735,4.154087,9309.048300,4.168052
234,0.000811,3.461981,0.569017,4.031809,9309.052344,4.043557
235,0.000788,3.425339,0.821906,4.248033,9309.056604,4.259866
236,0.000824,3.443292,0.741805,4.185921,9309.060801,4.197741
237,0.000935,3.449038,0.704784,4.154757,9309.064968,4.166518
238,0.000847,3.403346,0.751111,4.155304,9309.069135,4.167138
239,0.000821,3.418000,0.733016,4.151837,9309.073299,4.163646
240,0.000897,3.419225,0.614609,4.034731,9309.077345,4.046540
241,0.000812,3.451692,0.822134,4.274638,9309.081632,4.286421
242,0.000901,3.424563,0.734505,4.159969,9309.085804,4.171836
243,0.000801,3.422096,0.731109,4.154006,9309.089970,4.166012
