FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.003420,3.573915,0.164121,3.741456,7501.392723,N/A
1,0.001186,3.468891,0.381972,3.852049,7501.396589,3.865317
2,0.001140,3.460585,0.792497,4.254222,7501.400854,4.265339
3,0.000770,3.458924,0.660464,4.120158,7501.404986,4.132424
4,0.000878,3.502446,0.664157,4.167481,7501.409166,4.179948
5,0.000874,3.493702,0.655128,4.149704,7501.413329,4.162732
6,0.000935,3.487336,0.649551,4.137822,7501.417479,4.150239
7,0.000744,3.484193,0.705458,4.190395,7501.421682,4.202719
8,0.000900,3.512983,0.622374,4.136257,7501.425830,4.148481
9,0.000943,3.452584,0.721332,4.174859,7501.430018,4.187408
10,0.000832,3.449001,0.691988,4.141821,7501.434172,4.154287
11,0.000725,3.499922,0.606763,4.107410,7501.438292,4.119684
12,0.000808,3.491477,0.676776,4.169061,7501.442473,4.181436
13,0.000726,3.427335,0.769847,4.197908,7501.446683,4.210120
14,0.000862,3.491795,0.634320,4.126977,7501.450823,4.139300
15,0.000774,3.459833,0.715601,4.176208,7501.455011,4.188590
16,0.000811,3.480813,0.669084,4.150708,7501.459174,4.163114
17,0.001094,3.487660,0.597421,4.086175,7501.463274,4.099499
18,0.000760,3.453028,0.708846,4.162634,7501.467449,4.175000
19,0.000800,3.430051,0.794549,4.225400,7501.471687,4.237759
20,0.000883,3.490045,0.592420,4.083348,7501.475783,4.095941
21,0.000694,3.487737,0.665186,4.153617,7501.479948,4.165741
22,0.000777,3.384849,0.841042,4.226668,7501.484187,4.238963
23,0.000781,3.450601,0.641032,4.092414,7501.488292,4.104649
24,0.000969,3.672678,0.495770,4.169417,7501.492474,4.182328
25,0.001671,3.492383,0.583643,4.077697,7501.496570,4.095701
26,0.000864,3.507550,0.735101,4.243515,7501.500825,4.255179
27,0.000756,3.455305,0.690230,4.146291,7501.504984,4.158850
28,0.000793,3.537328,0.629377,4.167498,7501.509164,4.179794
29,0.000734,3.564620,0.517911,4.083265,7501.513259,4.095515
30,0.001055,3.408226,0.788284,4.197565,7501.517470,4.210761
31,0.000805,3.489334,0.640448,4.130587,7501.521613,4.142796
32,0.000830,3.471078,0.758114,4.230022,7501.525855,4.242506
33,0.000810,3.453372,0.640332,4.094514,7501.529963,4.107420
34,0.000800,3.426608,0.796712,4.224120,7501.534200,4.236798
35,0.000873,3.502525,0.550731,4.054129,7501.538266,4.066958
36,0.000880,3.487261,0.691399,4.179540,7501.542459,4.192119
37,0.000824,3.465602,0.678654,4.145080,7501.546616,4.157560
38,0.000814,3.437847,0.791344,4.230005,7501.550858,4.242320
39,0.000767,3.488333,0.597642,4.086742,7501.554958,4.099415
40,0.000807,3.426990,0.796439,4.224236,7501.559194,4.236556
41,0.000786,3.494080,0.570726,4.065592,7501.563273,4.078558
42,0.000757,3.418575,0.736564,4.155896,7501.567441,4.168110
43,0.000762,3.490814,0.748145,4.239721,7501.571693,4.251945
44,0.000755,3.497114,0.593343,4.091212,7501.575796,4.103402
45,0.000777,3.469828,0.674618,4.145223,7501.579954,4.157585
46,0.000771,3.418149,0.811165,4.230085,7501.584196,4.242366
47,0.000771,3.484314,0.616485,4.101570,7501.588310,4.113813
48,0.000953,12.432257,0.234966,12.668176,7501.600991,12.680571
49,0.001609,3.492414,0.485824,3.979847,7501.604992,4.000986
50,0.000723,3.515134,0.516048,4.031905,7501.609041,4.049651
51,0.000803,3.491664,0.779728,4.272195,7501.613326,4.284259
52,0.000825,3.494987,0.582145,4.077957,7501.617416,4.090113
