FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001357,3.441564,0.142227,3.585148,11965.982855,N/A
1,0.001126,3.435418,0.137862,3.574406,11965.986442,3.586643
2,0.000783,3.423116,0.072401,3.496300,11965.989949,3.506659
3,0.000900,3.394136,0.146922,3.541958,11965.993501,3.552302
4,0.001087,3.399453,0.069681,3.470221,11965.996982,3.480675
5,0.000845,3.479948,0.129724,3.610517,11966.000603,3.621011
6,0.000897,3.424338,0.119049,3.544284,11966.004157,3.554451
7,0.001152,3.448015,0.134505,3.583672,11966.007751,3.593817
8,0.000842,3.430321,0.124754,3.555917,11966.011317,3.565820
9,0.000920,3.398806,0.138788,3.538514,11966.014866,3.548919
10,0.000951,3.438295,0.123442,3.562688,11966.018439,3.573069
11,0.000848,3.426334,0.070597,3.497779,11966.021947,3.507937
12,0.000707,3.424825,0.125978,3.551510,11966.025508,3.561823
13,0.000811,3.422561,0.072886,3.496258,11966.029015,3.506227
14,0.000984,3.433377,0.122429,3.556790,11966.032582,3.566966
15,0.000869,3.416744,0.095074,3.512687,11966.036105,3.522913
16,0.000900,3.381908,0.122460,3.505268,11966.039620,3.515109
17,0.000669,3.448027,0.130412,3.579108,11966.043209,3.589750
18,0.000796,3.451782,0.124255,3.576833,11966.046796,3.586788
19,0.000786,3.630323,0.166973,3.798082,11966.050604,3.808200
20,0.001892,3.506131,0.127177,3.635200,11966.054258,3.653940
21,0.000929,3.422468,0.122183,3.545580,11966.057815,3.556394
22,0.001043,3.458121,0.130394,3.589558,11966.061414,3.599647
23,0.000890,3.415024,0.069260,3.485174,11966.064910,3.495224
24,0.001335,3.374043,0.093932,3.469310,11966.068389,3.479397
25,0.000744,3.397358,0.106359,3.504461,11966.071904,3.514957
26,0.000833,3.417010,0.143756,3.561599,11966.075475,3.571466
27,0.000807,3.429379,0.064750,3.494936,11966.078980,3.504866
28,0.000798,3.364325,0.141118,3.506241,11966.082496,3.516005
29,0.000744,3.386085,0.070135,3.456964,11966.085963,3.466780
30,0.000850,3.379558,0.136382,3.516790,11966.089490,3.526481
31,0.000811,3.411706,0.066051,3.478568,11966.092978,3.488207
32,0.000831,3.565399,0.139934,3.706164,11966.096694,3.715884
33,0.000825,3.440235,0.100942,3.542002,11966.100246,3.552185
34,0.000889,3.400927,0.136757,3.538573,11966.103794,3.548469
35,0.000815,3.388270,0.133669,3.522754,11966.107327,3.532679
36,0.000790,3.383388,0.136444,3.520622,11966.110858,3.530597
37,0.000792,3.453527,0.125833,3.580152,11966.114447,3.589912
38,0.000923,3.389454,0.069804,3.460181,11966.117918,3.470106
39,0.000857,3.387639,0.135530,3.524026,11966.121451,3.533888
40,0.000903,3.445674,0.064966,3.511543,11966.124973,3.521380
41,0.000714,3.652712,0.138313,3.791739,11966.128775,3.802427
42,0.000924,3.574862,0.127378,3.703164,11966.132490,3.714271
43,0.000783,3.468862,0.096799,3.566444,11966.136066,3.576751
44,0.000870,3.495805,0.161780,3.658455,11966.139736,3.669331
45,0.000876,3.527743,0.131234,3.659853,11966.143406,3.670511
46,0.001171,3.558569,0.139224,3.698964,11966.147116,3.709667
47,0.000968,3.685783,0.167471,3.854222,11966.150981,3.865381
48,0.003468,3.497620,0.129752,3.630840,11966.154640,3.658450
49,0.000981,3.409461,0.128663,3.539105,11966.158190,3.550039
50,0.000844,3.393006,0.118369,3.512219,11966.161712,3.522372
51,0.000788,3.381596,0.123633,3.506017,11966.165228,3.515638
52,0.000815,3.371393,0.130301,3.502509,11966.168740,3.512394
53,0.000723,3.375702,0.180474,3.556899,11966.172308,3.568193
54,0.000884,3.381813,0.122272,3.504969,11966.175824,3.515261
55,0.000764,13.079396,0.069698,13.149858,11966.188983,13.159848
56,0.000901,3.368257,0.141832,3.510990,11966.192504,3.521028
57,0.000692,3.384538,0.068607,3.453837,11966.195968,3.463738
58,0.000841,3.378109,0.142528,3.521478,11966.199500,3.531390
59,0.000784,3.380167,0.066888,3.447839,11966.202957,3.457652
60,0.000729,3.388589,0.139221,3.528539,11966.206496,3.538620
61,0.000608,3.378169,0.069812,3.448589,11966.209954,3.458245
62,0.000973,3.383639,0.140789,3.525401,11966.213489,3.535143
63,0.000782,3.385987,0.066529,3.453298,11966.216952,3.462993
64,0.000743,3.390649,0.142182,3.533574,11966.220496,3.543527
65,0.000829,3.375077,0.069575,3.445481,11966.223952,3.456346
66,0.000795,3.387225,0.143381,3.531401,11966.227494,3.541493
67,0.000821,3.383904,0.067708,3.452433,11966.230956,3.462188
68,0.000765,3.379143,0.139679,3.519587,11966.234485,3.529353
