FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001509,3.481054,0.565235,4.047798,9335.372303,N/A
1,0.001016,3.470359,0.683298,4.154673,9335.376471,4.168132
2,0.000983,3.413947,0.831953,4.246883,9335.380731,4.259486
3,0.000977,3.486555,0.652976,4.140508,9335.384884,4.152850
4,0.000878,3.409766,0.712143,4.122787,9335.389019,4.135282
5,0.000888,3.417861,0.761616,4.180365,9335.393213,4.193505
6,0.001000,3.478445,0.682200,4.161645,9335.397387,4.174286
7,0.000955,3.467663,0.680300,4.148918,9335.401548,4.161389
8,0.000991,3.597413,0.507046,4.105450,9335.405666,4.117807
9,0.002676,3.539521,0.628142,4.170339,9335.409858,4.192319
10,0.000975,3.486263,0.664518,4.151756,9335.414023,4.164298
11,0.001327,3.473937,0.709249,4.184513,9335.418220,4.197037
12,0.000890,3.478997,0.669078,4.148965,9335.422381,4.161557
13,0.000926,3.472534,0.693220,4.166680,9335.426560,4.179164
14,0.000994,3.465854,0.680606,4.147454,9335.430720,4.159801
15,0.000945,3.466515,0.686179,4.153639,9335.434886,4.165828
16,0.001020,3.417235,0.714950,4.133205,9335.439032,4.146120
17,0.000877,3.504373,0.677144,4.182394,9335.443228,4.195369
18,0.000972,3.479718,0.843778,4.324468,9335.447564,4.336623
19,0.001005,3.462097,0.445303,3.908405,9335.451485,3.920712
20,0.000929,3.472660,0.746135,4.219724,9335.455717,4.231973
21,0.001200,3.494592,0.658472,4.154264,9335.459884,4.166774
22,0.000902,3.441654,0.693837,4.136393,9335.464032,4.148709
23,0.000809,3.476624,0.702775,4.180208,9335.468225,4.192533
24,0.001020,3.499775,0.599283,4.100078,9335.472337,4.112376
25,0.000886,3.500987,0.694254,4.196127,9335.476546,4.208953
26,0.000909,3.473380,0.691641,4.165930,9335.480724,4.178147
27,0.000877,3.461494,0.685004,4.147375,9335.484884,4.159841
28,0.000984,3.440387,0.696868,4.138239,9335.489035,4.150478
29,0.000921,3.503223,0.683701,4.187845,9335.493235,4.200122
30,0.001000,3.471944,0.626774,4.099718,9335.497347,4.111987
31,0.001072,3.476981,0.716266,4.194319,9335.501553,4.206607
32,0.001008,3.576502,3.599848,7.177358,9335.508743,7.189676
33,0.003202,3.673878,0.188244,3.865324,9335.512645,3.902048
34,0.001570,3.551665,0.138158,3.691393,9335.516352,3.706900
35,0.001044,3.484856,0.085918,3.571818,9335.519935,3.583421
36,0.000901,3.404798,0.137390,3.543089,9335.523489,3.554046
37,0.000907,3.473072,0.148444,3.622423,9335.527123,3.633273
38,0.001058,3.468678,0.116283,3.586019,9335.530720,3.597359
39,0.000966,3.471315,0.579757,4.052038,9335.534783,4.063042
40,0.001117,3.439299,0.751512,4.191928,9335.538986,4.203168
41,0.007049,3.452490,0.683350,4.142889,9335.543143,4.156396
42,0.000930,3.416163,0.768472,4.185565,9335.547341,4.198064
43,0.000956,3.472923,0.668746,4.142625,9335.551496,4.155323
44,0.000920,3.495690,0.656304,4.152914,9335.555662,4.165489
45,0.000965,3.440776,0.720889,4.162630,9335.559837,4.175230
46,0.000980,3.453055,0.693530,4.147565,9335.563997,4.160069
47,0.000860,3.489248,8.871976,12.362084,9335.576377,12.380277
48,0.000914,3.475795,0.083762,3.560471,9335.579950,3.573279
49,0.001043,3.429127,0.150844,3.581014,9335.583542,3.592088
50,0.000844,3.508501,0.152488,3.661833,9335.587215,3.672292
51,0.001233,3.503539,0.153425,3.658197,9335.590884,3.669035
52,0.000883,3.464648,0.144877,3.610408,9335.594505,3.621349
53,0.000997,3.521705,0.156397,3.679099,9335.598195,3.690264
54,0.000951,3.442696,0.149563,3.593210,9335.601800,3.604295
55,0.000899,3.473704,0.254799,3.729402,9335.605540,3.740029
56,0.001944,3.645070,0.525688,4.172702,9335.609733,4.193600
57,0.001431,3.485948,0.810680,4.298059,9335.614051,4.317615
58,0.000824,3.477237,0.619672,4.097733,9335.618159,4.108080
59,0.000988,3.499261,0.710240,4.210489,9335.622382,4.223182
60,0.000934,3.490553,0.668660,4.160147,9335.626555,4.172624
61,0.000799,3.499888,0.623444,4.124131,9335.630692,4.136653
62,0.000992,3.504967,0.685904,4.191863,9335.634896,4.204233
63,0.000848,3.436979,0.726090,4.163917,9335.639072,4.176356
64,0.000873,3.502959,0.505400,4.009232,9335.643094,4.021895
65,0.000885,3.524016,0.669804,4.194705,9335.647302,4.208089
66,0.000914,3.492879,0.746490,4.240283,9335.651555,4.252718
67,0.000896,3.491213,0.668201,4.160310,9335.655728,4.173093
68,0.000858,3.501021,0.632514,4.134393,9335.659875,4.146945
69,0.000840,3.449136,0.703627,4.153603,9335.664041,4.166134
70,0.000930,3.429741,0.681256,4.111927,9335.668165,4.124501
71,0.000871,3.430308,0.776567,4.207746,9335.672385,4.219935
72,0.000925,3.440385,0.694412,4.135722,9335.676533,4.148008
73,0.001180,3.467087,0.715385,4.183652,9335.680729,4.195858
74,0.000822,3.403888,0.744725,4.149435,9335.684891,4.161593
75,0.000818,3.362994,0.792840,4.156652,9335.689060,4.168890
76,0.000820,3.471529,0.645982,4.118331,9335.693190,4.130624
77,0.001070,3.514787,0.561620,4.077477,9335.697283,4.092839
78,0.001019,3.431781,0.626889,4.059689,9335.701355,4.072050
79,0.000914,3.466499,0.806055,4.273468,9335.705641,4.285599
80,0.001058,3.751295,0.421448,4.173801,9335.709827,4.186397
81,0.001549,3.471068,0.787684,4.260301,9335.714109,4.281502
82,0.000917,3.474373,0.559222,4.034512,9335.718156,4.047149
83,0.000851,3.427278,0.797880,4.226009,9335.722394,4.238448
84,0.000842,3.429072,0.729304,4.159218,9335.726566,4.171474
85,0.000822,3.489418,0.670847,4.161087,9335.730739,4.173267
86,0.000897,3.427213,0.720779,4.148889,9335.734900,4.161172
87,0.000838,3.365098,0.831589,4.197525,9335.739110,4.209740
88,0.000972,3.429414,0.651344,4.081730,9335.743204,4.094152
89,0.000857,3.436420,0.747165,4.184442,9335.747401,4.196644
90,0.000830,3.431887,0.731179,4.163896,9335.751577,4.176237
91,0.000870,3.427222,0.724294,4.152386,9335.755742,4.164545
92,0.000832,3.426953,0.719527,4.147312,9335.759901,4.159634
93,0.000881,3.499007,0.647789,4.147677,9335.764063,4.161655
94,0.000986,3.467583,0.643253,4.111822,9335.768185,4.122444
95,0.000854,3.462139,0.744178,4.207171,9335.772405,4.219355
96,0.000894,3.425654,0.727162,4.153710,9335.776571,4.165856
97,0.000875,3.426748,0.736359,4.163982,9335.780747,4.176187
98,0.000911,3.426116,0.712421,4.139448,9335.784898,4.151678
99,0.000826,3.365190,0.838214,4.204230,9335.789115,4.216513
100,0.001093,3.470943,0.573786,4.045822,9335.793173,4.058217
101,0.000821,3.466449,0.741382,4.208652,9335.797394,4.220807
102,0.000829,3.477978,0.677375,4.156182,9335.801562,4.168428
103,0.000812,3.421728,0.750224,4.172764,9335.805747,4.184992
104,0.000907,3.678572,0.345654,4.025133,9335.809785,4.037289
105,0.001623,3.467944,0.849120,4.318687,9335.814124,4.339810
106,0.000839,3.468075,0.567285,4.036199,9335.818173,4.048799
107,0.000799,3.428218,0.794389,4.223406,9335.822409,4.235801
108,0.000834,3.522276,0.638036,4.161146,9335.826583,4.173451
109,0.000799,3.470801,0.680351,4.151951,9335.830750,4.167265
110,0.000858,3.427768,0.719672,4.148298,9335.834910,4.160597
111,0.000789,3.369593,0.819539,4.189921,9335.839112,4.202084
112,0.001090,3.432633,0.675768,4.109491,9335.843234,4.121852
113,0.000899,3.441929,0.587779,4.030607,9335.847277,4.042862
114,0.000866,3.543270,0.748825,4.292961,9335.851582,4.305286
115,0.001080,3.491887,0.672782,4.165749,9335.855761,4.178230
116,0.000850,3.434466,0.708672,4.143988,9335.859917,4.156159
117,0.000858,3.370037,0.817313,4.188208,9335.864117,4.200640
118,0.000975,3.434799,0.671016,4.106790,9335.868237,4.119127
119,0.000885,3.469598,0.491080,3.961563,9335.872210,3.973686
120,0.001225,3.422541,0.878008,4.301774,9335.876524,4.313921
121,0.000898,3.439329,0.778802,4.219029,9335.880756,4.231384
122,0.000802,3.413205,0.530927,3.944934,9335.884713,3.957294
123,0.000829,3.416825,0.978203,4.395857,9335.889121,4.408059
124,0.000830,3.432136,0.674532,4.107498,9335.893241,4.119720
125,0.000893,3.501780,0.544701,4.047374,9335.897300,4.059658
126,0.000864,3.434152,0.635868,4.070884,9335.901383,4.083096
127,0.000815,3.413969,0.883232,4.298016,9335.905694,4.310305
128,0.000963,3.696495,0.466744,4.164202,9335.909870,4.176405
129,0.001866,3.539665,0.668208,4.209739,9335.914105,4.235256
130,0.000844,3.479563,0.620350,4.100757,9335.918218,4.112975
131,0.000870,3.474349,0.709186,4.184405,9335.922415,4.196777
132,0.000823,3.455440,0.712368,4.168631,9335.926596,4.180719
133,0.000774,3.508858,0.569001,4.078633,9335.930687,4.090866
134,0.000862,3.482531,0.743092,4.226485,9335.934926,4.238901
135,0.000814,3.367413,0.817804,4.186031,9335.939124,4.198296
136,0.000943,3.462711,0.639387,4.103041,9335.943239,4.115347
137,0.000902,3.486816,0.571859,4.059577,9335.947311,4.071741
138,0.000784,3.482464,0.785931,4.269179,9335.951592,4.281348
139,0.000805,3.440833,0.711497,4.153135,9335.955758,4.165281
140,0.000800,3.445220,0.713543,4.159563,9335.959929,4.171728
141,0.000836,3.411960,0.769109,4.181905,9335.964124,4.194187
142,0.000834,3.427152,0.689886,4.117872,9335.968254,4.130103
143,0.000811,3.427717,0.740339,4.168867,9335.972435,4.180988
144,0.000807,3.474977,0.675099,4.150883,9335.976598,4.162984
145,0.000822,3.476873,0.669009,4.146704,9335.980757,4.158921
146,0.000888,3.458960,0.709380,4.169228,9335.984938,4.181671
147,0.000809,3.405399,0.773755,4.179963,9335.989130,4.192267
148,0.000881,3.432993,0.647977,4.081851,9335.993225,4.094154
149,0.000832,3.431221,0.767045,4.199098,9335.997439,4.214544
150,0.000879,3.466426,0.682856,4.150161,9336.001601,4.162196
151,0.000839,3.446654,0.715766,4.163259,9336.005777,4.175328
152,0.000896,3.621114,0.448308,4.070318,9336.009859,4.082543
153,0.005636,5.494786,0.195909,5.696331,9336.015602,5.742438
154,0.001580,3.435069,0.148391,3.585040,9336.019204,3.602523
155,0.000766,3.443805,0.147916,3.592487,9336.022807,3.602939
156,0.000961,3.380529,0.186042,3.567532,9336.026386,3.578359
157,0.000797,3.429540,0.740740,4.171077,9336.030567,4.181456
158,0.001026,3.316286,1.026783,4.344095,9336.034921,4.354372
159,0.000903,3.424306,0.725601,4.150810,9336.039084,4.163068
160,0.000932,3.439361,0.706527,4.146820,9336.043243,4.158970
161,0.000796,3.433096,0.738427,4.172319,9336.047428,4.184498
162,0.000821,3.489935,0.660058,4.150814,9336.051591,4.163080
163,0.000794,3.461813,0.685422,4.148029,9336.055751,4.160318
164,0.000812,3.443239,0.705254,4.149305,9336.059913,4.161547
165,0.000845,3.457420,0.727826,4.186091,9336.064110,4.196753
166,0.000695,3.435545,0.654268,4.090508,9336.068211,4.101035
167,0.000851,3.468011,0.731778,4.200640,9336.072424,4.212955
168,0.000823,3.482476,0.672133,4.155432,9336.076591,4.167634
