FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001139,3.497822,0.550021,4.048982,7507.639071,N/A
1,0.000828,3.476134,0.760851,4.237813,7507.643323,4.251618
2,0.000927,3.489435,0.577704,4.068066,7507.647404,4.080922
3,0.000858,3.471577,0.686354,4.158789,7507.651575,4.171608
4,0.000865,3.594573,0.613456,4.208894,7507.655797,4.221447
5,0.002274,3.489943,0.620384,4.112601,7507.659930,4.133333
6,0.001018,3.443197,0.782539,4.226754,7507.664170,4.239824
7,0.000749,3.483575,0.454723,3.939047,7507.668122,3.952185
8,0.000758,3.465116,0.799532,4.265406,7507.672400,4.277910
9,0.000774,3.474711,0.766629,4.242114,7507.676655,4.255150
10,0.000870,3.483937,0.609215,4.094022,7507.680762,4.106498
11,0.000802,3.486947,0.725152,4.212901,7507.684987,4.225198
12,0.000673,3.507369,0.566852,4.074894,7507.689074,4.087284
13,0.000791,3.474462,0.769549,4.244802,7507.693332,4.257349
14,0.000813,3.481982,0.571872,4.054667,7507.697399,4.067200
15,0.000753,3.464527,0.800348,4.265628,7507.701677,4.278153
16,0.000770,3.471244,0.602456,4.074470,7507.705764,4.086823
17,0.000741,3.485594,0.714940,4.201275,7507.709978,4.214224
18,0.000842,3.477481,0.624724,4.103047,7507.714093,4.115534
19,0.000793,3.477502,0.749271,4.227566,7507.718334,4.240243
20,0.000743,3.473691,0.580759,4.055193,7507.722401,4.067580
21,0.000741,3.471331,0.788950,4.261022,7507.726675,4.273439
22,0.000930,3.508212,0.550539,4.059681,7507.730747,4.072142
23,0.000786,3.479069,0.538896,4.018751,7507.734778,4.031231
24,0.000997,3.483505,0.668643,4.153145,7507.738946,4.167933
25,0.001037,3.504126,0.735240,4.240403,7507.743203,4.257090
26,0.001380,3.480313,0.700248,4.181941,7507.747399,4.195846
27,0.000810,3.476516,0.720354,4.197680,7507.751609,4.210087
28,0.000701,6.263508,0.457554,6.721763,7507.758343,6.734178
29,0.003099,3.732772,2.032194,5.768065,7507.764138,5.795213
30,0.001186,3.514609,0.550517,4.066312,7507.768219,4.080755
31,0.000878,3.499133,0.658482,4.158493,7507.772390,4.170981
32,0.000813,3.490118,0.715421,4.206352,7507.776609,4.218903
33,0.001036,3.527165,0.583111,4.111312,7507.780733,4.124142
34,0.000887,3.503583,0.688438,4.192908,7507.784939,4.205526
35,0.000859,3.433026,0.714506,4.148391,7507.789100,4.161075
36,0.000999,3.499523,0.643979,4.144501,7507.793257,4.157255
37,0.000771,3.487204,0.564608,4.052583,7507.797322,4.064899
38,0.000840,3.375111,0.851328,4.227279,7507.801561,4.238693
39,0.000806,3.479950,0.730923,4.211679,7507.805785,4.224099
40,0.000739,3.482610,0.657486,4.140835,7507.809938,4.153301
41,0.000722,3.507848,0.649224,4.157794,7507.814109,4.170663
42,0.000889,3.499764,0.613219,4.113872,7507.818235,4.126318
43,0.000807,3.510315,0.600049,4.111171,7507.822359,4.123813
44,0.000798,3.501774,0.691880,4.194452,7507.826566,4.206760
45,0.000907,3.493463,0.703454,4.197824,7507.830776,4.210363
46,0.000759,3.475231,0.661429,4.137419,7507.834926,4.149895
47,0.000775,3.458206,0.700408,4.159389,7507.839098,4.171980
48,0.001234,3.488274,0.679254,4.168762,7507.843279,4.181129
49,0.000745,3.482827,0.630270,4.113842,7507.847405,4.126274
50,0.000868,13.360569,0.160809,13.522246,7507.860940,13.534707
51,0.001212,3.527420,0.157684,3.686316,7507.864642,3.701824
52,0.000776,3.509095,0.157156,3.667027,7507.868320,3.677736
53,0.000910,3.493200,0.491779,3.985889,7507.872317,3.997478
54,0.000875,3.496541,0.768193,4.265609,7507.876595,4.277912
55,0.000737,3.489121,0.632132,4.121990,7507.880729,4.134277
56,0.000711,3.491298,0.690961,4.182970,7507.884924,4.195281
57,0.000727,3.572687,0.514034,4.087448,7507.889024,4.099678
58,0.000882,3.496881,0.675852,4.173615,7507.893210,4.186182
59,0.000859,3.511230,0.494861,4.006950,7507.897230,4.019257
60,0.000779,3.500537,0.640270,4.141586,7507.901383,4.153905
61,0.000763,3.501582,0.880668,4.383013,7507.905779,4.395346
62,0.000745,3.468960,0.674812,4.144517,7507.909936,4.157005
63,0.000814,3.469021,0.651444,4.121279,7507.914069,4.133617
64,0.000680,3.498961,0.666562,4.166203,7507.918248,4.178456
65,0.000780,3.498981,0.462118,3.961879,7507.922223,3.974952
66,0.000773,3.500619,0.657062,4.158454,7507.926394,4.170744
67,0.000757,3.488169,0.868621,4.357547,7507.930764,4.369942
68,0.000701,3.464467,0.697432,4.162600,7507.934938,4.174921
69,0.000738,3.476182,0.673928,4.150848,7507.939102,4.163129
70,0.000734,3.495425,0.622406,4.118565,7507.943232,4.130809
71,0.000757,3.495016,0.585531,4.081304,7507.947326,4.093486
72,0.000693,3.484382,0.772540,4.257615,7507.951596,4.269756
73,0.000855,3.490416,0.511847,4.003118,7507.955611,4.015379
74,0.000890,3.669255,0.623457,4.293602,7507.959919,4.307791
75,0.001439,3.535363,0.582108,4.118910,7507.964062,4.142716
76,0.000770,3.495300,0.711764,4.207834,7507.968282,4.220354
77,0.000695,3.507341,0.459806,3.967842,7507.972264,3.982422
78,0.000798,3.491684,0.831631,4.324113,7507.976601,4.336473
79,0.000707,3.481491,0.678926,4.161124,7507.980774,4.173472
80,0.000656,3.497997,0.638982,4.137635,7507.984924,4.150027
81,0.000674,3.495683,0.602955,4.099312,7507.989036,4.111588
82,0.000937,3.501880,0.671976,4.174793,7507.993221,4.185369
83,0.000801,3.493382,0.527455,4.021638,7507.997255,4.034104
84,0.000764,3.499319,0.837975,4.338058,7508.001606,4.350366
85,0.000724,3.477301,0.696656,4.174681,7508.005793,4.186958
86,0.000814,3.490906,0.627583,4.119303,7508.009924,4.131571
87,0.000690,3.465633,0.690383,4.156706,7508.014093,4.169029
88,0.000815,3.491542,0.645198,4.137555,7508.018243,4.149939
89,0.000732,3.509344,0.471098,3.981174,7508.022237,3.993398
90,0.000811,3.503638,0.649909,4.154358,7508.026403,4.166572
91,0.000676,3.495966,0.866042,4.362684,7508.030778,4.375048
92,0.000672,3.501164,0.671918,4.173754,7508.034964,4.186218
93,0.000674,3.499032,0.633181,4.132887,7508.039111,4.147061
94,0.000744,3.433874,0.740209,4.174827,7508.043299,4.187053
95,0.000630,3.499691,0.555746,4.056067,7508.047367,4.068223
96,0.000751,3.481398,0.765818,4.247967,7508.051627,4.259880
97,0.000694,3.442727,0.731319,4.174740,7508.055813,4.186827
98,0.000710,3.747845,0.213665,3.962220,7508.059788,3.974132
99,0.002061,3.462105,0.822392,4.286558,7508.064095,4.307233
100,0.000693,3.423430,0.787184,4.211307,7508.068319,4.223938
101,0.000676,3.439991,0.601836,4.042503,7508.072373,4.054438
102,0.000710,3.472121,0.764020,4.236851,7508.076622,4.248758
103,0.000666,3.435452,0.739721,4.175839,7508.080810,4.187869
104,0.000781,3.421612,0.745183,4.167576,7508.084989,4.179624
105,0.000698,3.500895,0.586693,4.088286,7508.089095,4.106023
106,0.000907,3.437934,0.723459,4.162300,7508.093269,4.173264
107,0.000755,3.456929,0.538966,3.996650,7508.097277,4.008641
108,0.000718,3.495349,0.653273,4.149340,7508.101439,4.161546
109,0.000701,3.432770,0.935362,4.368833,7508.105822,4.383384
110,0.000684,3.432999,0.714102,4.147785,7508.109982,4.159848
111,0.000669,3.435707,0.728160,4.164536,7508.114159,4.176597
112,0.000636,3.426606,0.726202,4.153444,7508.118324,4.165427
113,0.000738,3.424655,0.517421,3.942814,7508.122279,3.954743
114,0.000918,3.440285,0.708757,4.149960,7508.126441,4.161928
115,0.000801,3.439523,0.712565,4.152889,7508.130606,4.165000
116,0.000662,3.472393,0.886889,4.359944,7508.134977,4.370706
117,0.000701,3.419673,0.645648,4.066022,7508.139055,4.078428
118,0.000759,3.441187,0.801247,4.243193,7508.143309,4.253766
119,0.000648,3.427082,0.531645,3.959375,7508.147280,3.971564
