FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001301,3.447635,0.718245,4.167181,9377.690073,N/A
1,0.001129,3.477338,0.616198,4.094665,9377.694182,4.108759
2,0.001028,3.506528,0.679483,4.187039,9377.698382,4.200534
3,0.001019,3.466278,0.660358,4.127655,9377.702523,4.140352
4,0.000958,3.480256,0.720316,4.201530,9377.706737,4.214121
5,0.000971,3.462652,0.639046,4.102669,9377.710853,4.115800
6,0.001208,3.463104,0.743828,4.208140,9377.715073,4.220423
7,0.001446,3.475275,0.614757,4.091478,9377.719177,4.104093
8,0.001093,3.490906,0.721802,4.213801,9377.723404,4.226354
9,0.000962,3.477680,0.628438,4.107080,9377.727524,4.120078
10,0.000968,3.506445,0.843020,4.350433,9377.731887,4.362874
11,0.000988,3.412437,0.523060,3.936485,9377.735835,3.948794
12,0.001005,3.446949,0.747078,4.195032,9377.740043,4.207372
13,0.000973,3.496662,0.648157,4.145792,9377.744201,4.158136
14,0.001016,4.554572,0.166993,4.722581,9377.748936,4.735033
15,0.001744,3.420151,0.172021,3.593916,9377.752546,3.609891
16,0.001109,3.498713,0.665649,4.165471,9377.756722,4.176466
17,0.001039,3.492934,0.618993,4.112966,9377.760848,4.125986
18,0.001039,3.455289,0.771216,4.227544,9377.765088,4.239922
19,0.000984,3.493576,0.610150,4.104710,9377.769205,4.117302
20,0.000985,3.477091,0.871916,4.349992,9377.773568,4.362312
21,0.000867,3.461024,0.457871,3.919762,9377.777500,3.932264
22,0.001025,3.473538,0.745781,4.220344,9377.781733,4.232723
23,0.000987,3.460123,0.698820,4.159930,9377.785905,4.172363
24,0.000861,3.463767,0.684752,4.149380,9377.790067,4.161785
25,0.000902,3.486162,0.623997,4.111061,9377.794191,4.124473
26,0.000938,3.480023,0.713142,4.194103,9377.798398,4.206717
27,0.000954,3.467806,0.681947,4.150707,9377.802561,4.162956
28,0.000908,3.470545,0.696696,4.168149,9377.806742,4.180631
29,0.000939,3.479895,0.628105,4.108939,9377.810863,4.121427
30,0.000965,3.446770,0.757254,4.204989,9377.815081,4.217473
31,0.001134,3.482994,0.608942,4.093070,9377.819186,4.105647
32,0.000946,3.471004,0.877686,4.349636,9377.823548,4.361913
33,0.000894,3.466894,0.473722,3.941510,9377.827502,3.954214
34,0.000917,3.464080,0.766236,4.231233,9377.831746,4.243774
35,0.001089,3.448311,0.696231,4.145631,9377.835904,4.158206
36,0.001008,3.421737,0.742414,4.165159,9377.840082,4.177589
37,0.000985,3.475901,0.622205,4.099091,9377.844194,4.111613
38,0.001057,4.206971,0.198637,4.406665,9377.848613,4.419006
39,0.002662,3.762277,0.144707,3.909646,9377.852550,3.937419
40,0.001232,3.503715,0.674263,4.179210,9377.856743,4.192538
41,0.000867,3.482864,0.656648,4.140379,9377.860897,4.154030
