FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001396,3.505929,0.494235,4.001560,7515.102458,N/A
1,0.000925,3.579268,0.597211,4.177404,7515.106649,4.191044
2,0.000975,3.558172,0.556057,4.115204,7515.110777,4.127883
3,0.000894,3.568023,0.621269,4.190186,7515.114980,4.203240
4,0.000835,3.645675,0.423802,4.070312,7515.119063,4.082819
5,0.000975,3.435858,0.796680,4.233513,7515.123309,4.245959
6,0.000869,3.442132,0.680148,4.123149,7515.127445,4.135829
7,0.000746,3.466571,0.787425,4.254742,7515.131712,4.267129
8,0.002080,3.612069,0.429168,4.043317,7515.135779,4.067124
9,0.001317,3.473683,0.721744,4.196744,7515.139991,4.212539
10,0.000855,3.441002,0.725120,4.166977,7515.144178,4.186719
11,0.000701,3.434538,0.675507,4.110746,7515.148301,4.123216
12,0.000758,3.449354,0.689437,4.139549,7515.152453,4.151981
13,0.000727,3.437377,0.737801,4.175905,7515.156641,4.188030
14,0.000702,3.427410,0.923771,4.351883,7515.161006,4.364194
15,0.000725,3.430951,0.479000,3.910676,7515.164929,3.923343
16,0.000868,3.449275,0.974549,4.424692,7515.169368,4.438615
17,0.000753,3.422094,0.500620,3.923467,7515.173304,3.936392
18,0.000760,3.480627,0.677715,4.159102,7515.177476,4.171799
19,0.000755,3.438068,0.920403,4.359226,7515.181847,4.371654
20,0.001245,3.446716,0.461618,3.909579,7515.185770,3.922134
21,0.000738,3.451936,0.754362,4.207036,7515.189989,4.219586
22,0.000743,3.436769,0.763269,4.200781,7515.194210,4.221283
23,0.000753,3.446998,0.673691,4.121442,7515.198344,4.133927
24,0.000804,3.454566,0.658482,4.113852,7515.202470,4.126025
25,0.000838,3.432609,0.753429,4.186876,7515.206670,4.199536
26,0.001018,3.437788,0.928191,4.366997,7515.211049,4.379274
27,0.000711,3.440800,0.445291,3.886802,7515.214948,3.898898
28,0.000922,3.433707,0.969969,4.404598,7515.219367,4.418719
29,0.000755,3.432690,0.491510,3.924955,7515.223304,3.937135
30,0.000707,3.488854,0.666324,4.155885,7515.227472,4.168061
31,0.000715,3.434836,0.885174,4.320725,7515.231805,4.333226
32,0.001694,6.104219,0.267214,6.373127,7515.238197,6.391713
33,0.002823,3.587973,0.142493,3.733289,7515.241954,3.756645
34,0.001369,3.480481,0.153455,3.635305,7515.245604,3.650109
35,0.000819,3.461571,0.121776,3.584166,7515.249199,3.594849
36,0.000774,3.300286,0.109483,3.410543,7515.252620,3.421135
37,0.000709,3.384798,0.754203,4.139710,7515.256770,4.150309
38,0.000717,3.366933,0.639350,4.007000,7515.260789,4.019068
39,0.000767,3.433765,0.893107,4.327639,7515.265129,4.339839
40,0.000681,3.399115,0.608622,4.008418,7515.269150,4.020754
41,0.000743,3.423264,0.635683,4.059690,7515.273222,4.072850
42,0.001002,3.300289,1.066911,4.368202,7515.277601,4.378927
43,0.000833,3.481161,0.586553,4.068547,7515.281682,4.080660
44,0.000825,3.400269,0.838570,4.239664,7515.285934,4.251816
45,0.000746,3.341064,0.845918,4.187728,7515.290134,4.199898
