FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001151,3.380416,0.104850,3.486417,12061.973162,N/A
1,0.000877,5.971214,0.160792,6.132883,12061.979306,6.144350
2,0.003063,4.585125,0.099199,4.687387,12061.984017,4.710350
3,0.001790,3.447812,0.141721,3.591323,12061.987623,3.606298
4,0.001218,3.393580,0.140651,3.535449,12061.991169,3.546322
5,0.000840,3.380729,0.146078,3.527647,12061.994708,3.538316
6,0.000773,3.399305,0.141427,3.541505,12061.998259,3.551353
7,0.000750,3.379118,0.138542,3.518410,12062.001787,3.528277
8,0.001153,3.373404,0.103554,3.478111,12062.005275,3.488161
9,0.000783,3.382869,0.144326,3.527978,12062.008814,3.538292
10,0.000921,3.375400,0.138253,3.514574,12062.012338,3.524276
11,0.000763,3.388784,0.136966,3.526513,12062.015874,3.536018
12,0.000788,3.370888,0.140237,3.511913,12062.019396,3.521592
13,0.000862,3.366536,0.107929,3.475327,12062.022881,3.485404
14,0.000970,3.358603,0.140167,3.499740,12062.026391,3.509861
15,0.000888,3.371961,0.108147,3.480996,12062.029881,3.490674
16,0.000761,3.372589,0.141683,3.515033,12062.033406,3.524778
17,0.000785,3.366960,0.102262,3.470007,12062.036887,3.480478
18,0.000951,3.375705,0.147232,3.523888,12062.040420,3.533367
19,0.000899,3.374423,0.115792,3.491114,12062.043921,3.500678
20,0.000804,3.349553,0.136985,3.487342,12062.047418,3.497098
21,0.000693,3.362079,0.101758,3.464530,12062.050892,3.474204
22,0.000789,3.365639,0.135435,3.501863,12062.054404,3.511646
23,0.000794,3.370697,0.107619,3.479110,12062.057893,3.489080
24,0.000758,3.375896,0.143554,3.520208,12062.061423,3.529924
25,0.000722,3.356677,0.107670,3.465069,12062.064898,3.475571
26,0.000874,3.362565,0.139060,3.502499,12062.068411,3.512452
27,0.001216,3.363461,0.105074,3.469751,12062.071890,3.479467
28,0.000941,3.375638,0.167833,3.544412,12062.075444,3.554224
29,0.001516,3.597337,0.165784,3.764637,12062.079225,3.780090
30,0.002001,3.416592,0.144423,3.563016,12062.082802,3.577510
31,0.000704,3.375196,0.120336,3.496236,12062.086309,3.507021
32,0.000794,3.342720,0.147332,3.490846,12062.089809,3.500415
33,0.000687,3.367508,0.121007,3.489202,12062.093309,3.499285
34,0.000839,3.360599,0.124995,3.486433,12062.096805,3.496054
35,0.000772,3.364986,0.124260,3.490018,12062.100305,3.499865
36,0.000797,3.348211,0.069690,3.418698,12062.103733,3.428313
37,0.000650,3.344778,0.124274,3.469702,12062.107212,3.479327
38,0.001064,3.372500,0.124434,3.497998,12062.110720,3.507547
39,0.000728,3.353652,0.166668,3.521048,12062.114250,3.530408
40,0.000657,3.376279,0.126097,3.503033,12062.117763,3.512591
41,0.000901,3.361698,0.119188,3.481787,12062.121255,3.492203
42,0.000879,3.361240,0.121919,3.484038,12062.124749,3.493505
43,0.000912,3.365148,0.124379,3.490439,12062.128249,3.500054
44,0.000752,3.362832,0.122322,3.485906,12062.131744,3.495390
45,0.000641,3.338980,0.120193,3.459814,12062.135213,3.469330
46,0.000561,3.361680,0.124769,3.487010,12062.138710,3.496380
47,0.000726,3.357367,0.124404,3.482497,12062.142202,3.492272
48,0.001067,3.361871,0.121989,3.484927,12062.145696,3.494357
49,0.000638,3.367792,0.127646,3.496076,12062.149202,3.505571
50,0.000878,3.362353,0.122285,3.485516,12062.152697,3.495112
51,0.000709,3.341162,0.065955,3.407826,12062.156115,3.417731
52,0.000775,3.351124,0.139932,3.491831,12062.159616,3.501486
53,0.000712,3.364346,0.109937,3.474995,12062.163102,3.485497
54,0.000723,3.362903,0.124572,3.488198,12062.166600,3.497899
55,0.000636,3.356112,0.071553,3.428301,12062.170038,3.438140
56,0.000702,13.021384,0.299026,13.321112,12062.183369,13.330742
57,0.001767,3.413530,0.105590,3.520887,12062.186906,3.537631
58,0.000765,3.369215,0.141890,3.511870,12062.190428,3.522140
59,0.000800,3.368998,0.100463,3.470261,12062.193909,3.480582
60,0.000734,3.351137,0.138996,3.490867,12062.197409,3.500502
61,0.000672,3.378730,0.105791,3.485193,12062.200904,3.494659
62,0.000648,3.351432,0.137181,3.489261,12062.204403,3.498666
63,0.000697,3.372596,0.106814,3.480107,12062.207892,3.489561
64,0.000696,3.353809,0.139671,3.494176,12062.211396,3.503720
65,0.000645,3.368104,0.104254,3.473003,12062.214880,3.483813
66,0.000732,3.347479,0.140055,3.488266,12062.218378,3.498010
67,0.000754,3.369988,0.132277,3.503019,12062.221890,3.512357
68,0.000694,3.347892,0.145403,3.493989,12062.225394,3.503366
69,0.000721,3.369690,0.128380,3.498791,12062.228902,3.508346
70,0.000710,3.350054,0.136526,3.487290,12062.232399,3.496710
71,0.000777,3.375016,0.104530,3.480323,12062.235888,3.489712
72,0.000672,3.328442,0.135752,3.464866,12062.239362,3.474159
73,0.000690,3.371007,0.140661,3.512358,12062.242884,3.521744
74,0.000723,3.349383,0.143561,3.493667,12062.246387,3.503032
75,0.000820,3.374035,0.131490,3.506345,12062.249903,3.515960
76,0.000838,3.344784,0.137771,3.483393,12062.253396,3.492724
77,0.000709,3.372800,0.104187,3.477696,12062.256885,3.489572
78,0.000633,3.335280,0.135622,3.471535,12062.260366,3.480830
79,0.001021,3.302617,0.131505,3.435143,12062.263811,3.444340
80,0.000700,3.340435,0.101333,3.442468,12062.267262,3.451806
81,0.000620,3.277123,0.138336,3.416079,12062.270688,3.425142
82,0.000812,3.298710,0.116297,3.415819,12062.274113,3.425090
83,0.000638,3.387214,0.172721,3.560573,12062.277683,3.569861
84,0.002247,3.567321,0.166918,3.736486,12062.281439,3.756163
85,0.001401,3.338342,0.105736,3.445479,12062.284899,3.460746
86,0.000708,3.323035,0.137455,3.461198,12062.288371,3.471069
87,0.000672,3.307443,0.143887,3.452002,12062.291832,3.461609
88,0.000689,3.352607,0.138059,3.491355,12062.295333,3.500794
89,0.000675,3.348055,0.137820,3.486550,12062.298829,3.495755
90,0.000732,3.320056,0.140686,3.461474,12062.302299,3.470722
91,0.000672,3.302126,0.142350,3.445148,12062.305754,3.454420
92,0.000790,3.328643,0.134907,3.464340,12062.309228,3.473693
