FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001485,3.469756,0.636460,4.107701,9433.184281,N/A
1,0.001026,3.461162,0.689345,4.151533,9433.188447,4.165679
2,0.001097,3.472537,0.734158,4.207792,9433.192667,4.220534
3,0.000971,3.475281,0.621284,4.097536,9433.196777,4.110066
4,0.000945,3.500492,0.708328,4.209765,9433.200999,4.222090
5,0.000942,3.477410,0.668709,4.147061,9433.205165,4.165482
6,0.001002,3.469553,0.630460,4.101015,9433.209278,4.113344
7,0.001013,3.467901,0.695008,4.163922,9433.213454,4.176120
8,0.000953,3.501615,0.701645,4.204213,9433.217671,4.216384
9,0.000934,3.470811,0.663527,4.135272,9433.221819,4.147971
10,0.000999,3.465520,0.696751,4.163270,9433.225994,4.175454
11,0.001044,3.465081,0.657315,4.123440,9433.230135,4.141051
12,0.000975,3.480842,0.645268,4.127085,9433.234274,4.139146
13,0.000990,3.462236,0.750945,4.214171,9433.238501,4.226486
14,0.000965,3.472967,0.682660,4.156592,9433.242669,4.168816
15,0.000927,3.481833,0.657944,4.140704,9433.246822,4.152962
16,0.000890,3.599793,0.520557,4.121240,9433.250956,4.133590
17,0.001775,3.473270,0.722647,4.197692,9433.255173,4.217152
18,0.001145,3.459933,0.712217,4.173295,9433.259359,4.185507
19,0.000913,3.466891,0.618816,4.086620,9433.263458,4.098931
20,0.000983,3.501888,0.713880,4.216751,9433.267687,4.229016
21,0.000904,3.479655,0.638730,4.119289,9433.271818,4.131708
22,0.000962,3.467335,0.712911,4.181208,9433.276012,4.193438
23,0.000980,3.463983,0.683524,4.148487,9433.280173,4.161029
24,0.000869,3.473502,0.624825,4.099196,9433.284285,4.111962
25,0.000900,3.475479,0.676006,4.152385,9433.288450,4.165445
26,0.000960,3.476192,0.748334,4.225486,9433.292688,4.237672
27,0.001269,3.476621,0.651936,4.129826,9433.296830,4.142134
28,0.000883,3.455088,0.722640,4.178611,9433.301021,4.190922
29,0.000844,3.459950,0.680538,4.141332,9433.305175,4.153675
30,0.000981,3.460832,0.641882,4.103695,9433.309291,4.116116
31,0.000959,3.473744,0.646226,4.120929,9433.313424,4.133261
32,0.000802,3.490036,0.754153,4.244991,9433.317681,4.257458
33,0.001111,3.478344,0.664318,4.143773,9433.321838,4.156740
34,0.001014,3.470082,0.689534,4.160630,9433.326011,4.172892
35,0.001018,3.462853,0.698560,4.162431,9433.330186,4.174839
36,0.000820,3.475907,0.689523,4.166250,9433.334364,4.178559
37,0.000931,3.476397,0.613466,4.090794,9433.338468,4.103181
38,0.000953,3.491226,0.717029,4.209208,9433.342689,4.221724
39,0.000887,3.467379,0.809231,4.277497,9433.346979,4.289724
40,0.000912,3.652778,0.328761,3.982451,9433.350974,3.994594
41,0.001823,3.577116,0.529316,4.108255,9433.355101,4.127316
42,0.000914,3.353867,0.815291,4.170072,9433.359284,4.182509
43,0.000813,3.491899,0.682435,4.175147,9433.363471,4.187512
44,0.000899,3.495572,0.702946,4.199417,9433.367683,4.211783
45,0.000950,3.512585,0.655283,4.168818,9433.371864,4.181088
46,0.000866,3.428375,0.711366,4.140607,9433.376017,4.152709
47,0.000921,3.483235,8.805155,12.289311,9433.388318,12.301837
48,0.000864,3.429943,0.141903,3.572710,9433.391904,3.585153
49,0.001047,3.498255,0.158070,3.657372,9433.395572,3.667898
50,0.000864,3.456943,0.159147,3.616954,9433.399199,3.627892
51,0.000836,3.440826,0.158168,3.599830,9433.402810,3.610170
52,0.000681,3.434261,0.145779,3.580721,9433.406400,3.590905
53,0.000859,3.434707,0.078640,3.514206,9433.409926,3.525029
54,0.000908,3.443008,0.144092,3.588008,9433.413524,3.597981
55,0.000869,3.430715,0.513941,3.945525,9433.417479,3.955328
56,0.000654,3.403972,0.856373,4.260999,9433.421750,4.270794
57,0.000752,3.472466,0.774641,4.247859,9433.426008,4.258089
58,0.000941,3.485928,0.623755,4.110624,9433.430130,4.122757
59,0.000879,3.503299,0.694813,4.198991,9433.434342,4.211374
60,0.000978,3.490369,0.604793,4.096140,9433.438450,4.108421
61,0.000858,3.488779,0.717508,4.207145,9433.442670,4.219366
62,0.000871,3.465615,0.660888,4.127374,9433.446809,4.139492
63,0.000826,6.344086,0.244094,6.589006,9433.453410,6.601199
64,0.002561,3.668886,0.189486,3.860933,9433.457296,3.885465
65,0.001613,3.549226,0.084372,3.635211,9433.460949,3.653074
66,0.000903,3.532613,0.154290,3.687806,9433.464647,3.698523
67,0.000773,3.430671,0.152083,3.583527,9433.468241,3.593855
68,0.000745,3.412235,0.141732,3.554712,9433.471806,3.565149
69,0.000745,3.435328,0.539525,3.975598,9433.475792,3.985477
70,0.000757,3.396256,0.977727,4.374740,9433.480176,4.384615
71,0.000848,3.401258,0.589240,3.991346,9433.484180,4.003257
72,0.000766,3.432802,0.818789,4.252357,9433.488444,4.264306
73,0.000795,3.462173,0.745449,4.208417,9433.492664,4.220366
74,0.001143,3.408105,0.615399,4.024647,9433.496701,4.036578
75,0.000855,3.439956,0.843325,4.284136,9433.500997,4.296106
76,0.000893,3.459622,0.728992,4.189507,9433.505203,4.205807
77,0.000964,3.478293,0.589920,4.069177,9433.509287,4.084424
78,0.000849,3.433893,0.634708,4.069450,9433.513369,4.081514
79,0.000857,3.432735,0.844120,4.277712,9433.517658,4.289636
80,0.000866,3.423938,0.738282,4.163086,9433.521834,4.175065
81,0.000843,3.470968,0.673417,4.145228,9433.525991,4.157073
82,0.000890,3.440726,0.673166,4.114782,9433.530123,4.132315
83,0.000858,3.430328,0.764729,4.195915,9433.534331,4.208092
84,0.000877,3.537353,0.541803,4.080033,9433.538423,4.091936
85,0.001030,3.465702,0.765918,4.232650,9433.542667,4.244543
86,0.000863,3.435098,0.712667,4.148628,9433.546828,4.160618
87,0.000810,3.438577,0.725968,4.165355,9433.551005,4.177327
88,0.000802,3.728349,0.291736,4.020887,9433.555039,4.033225
89,0.001936,3.498967,0.631555,4.132458,9433.559192,4.152915
90,0.000886,3.393728,0.848530,4.243144,9433.563447,4.255301
91,0.000770,3.444444,0.748823,4.194037,9433.567668,4.221181
92,0.000892,3.448147,0.711189,4.160228,9433.571840,4.172178
93,0.000805,3.434591,0.720070,4.155466,9433.576009,4.168884
94,0.000859,3.433645,0.668925,4.103429,9433.580125,4.115494
95,0.000850,3.474711,0.722706,4.198267,9433.584335,4.210324
96,0.000918,3.471903,0.644399,4.117220,9433.588464,4.129125
97,0.000832,3.424132,0.767881,4.192845,9433.592669,4.204626
98,0.000895,3.403088,0.751425,4.155408,9433.596836,4.167469
99,0.000863,3.479705,0.681870,4.162438,9433.601011,4.174612
100,0.001126,3.468270,0.655347,4.124743,9433.605148,4.136918
101,0.000784,3.425536,0.751445,4.177765,9433.609337,4.189785
102,0.000852,3.465023,0.594570,4.060445,9433.613410,4.072282
103,0.000772,3.473232,0.779057,4.253061,9433.617675,4.265068
104,0.000790,3.474250,0.674995,4.150035,9433.621837,4.162001
105,0.000822,3.399737,0.763570,4.164129,9433.626013,4.175909
106,0.000883,3.485617,0.601021,4.087521,9433.630112,4.099430
107,0.000862,3.427197,0.787065,4.215124,9433.634339,4.227035
108,0.000922,3.466632,0.654299,4.121853,9433.638473,4.133760
109,0.001174,3.426679,0.762371,4.190224,9433.642678,4.204710
110,0.000947,3.484669,0.616818,4.102434,9433.646792,4.114346
111,0.000932,3.561413,0.632435,4.194780,9433.650999,4.206774
112,0.000836,3.642992,0.481096,4.124924,9433.655141,4.142536
113,0.002056,3.475672,0.709109,4.186837,9433.659348,4.206525
114,0.001014,3.477066,0.638727,4.116807,9433.663477,4.128788
115,0.000822,3.430081,0.764894,4.195797,9433.667685,4.207879
116,0.000998,3.454414,0.564076,4.019488,9433.671716,4.031287
117,0.000800,3.439027,0.852983,4.292810,9433.676021,4.304799
118,0.000877,3.427075,0.603111,4.031063,9433.680064,4.043242
119,0.000907,3.475009,0.823874,4.299790,9433.684376,4.311718
120,0.000895,3.464953,0.539663,4.005511,9433.688393,4.017488
121,0.000764,3.438829,0.847205,4.286798,9433.692692,4.298878
122,0.000921,3.489367,0.568261,4.058549,9433.696762,4.070414
123,0.000916,3.436402,0.804997,4.242315,9433.701017,4.254247
124,0.000870,3.495944,0.693693,4.190507,9433.705219,4.202554
125,0.000783,3.428050,0.689203,4.118036,9433.709349,4.129920
126,0.000889,3.472751,0.630457,4.104097,9433.713465,4.116003
127,0.001060,3.423268,0.788594,4.212922,9433.717690,4.224826
128,0.000781,3.464888,0.597472,4.063141,9433.721765,4.075151
129,0.000809,3.480232,0.794574,4.275615,9433.726056,4.290566
130,0.000786,3.437715,0.687106,4.125607,9433.730193,4.137686
131,0.000785,3.473194,0.675176,4.149155,9433.734355,4.161282
132,0.001010,3.437071,0.696200,4.134281,9433.738501,4.146231
133,0.000808,3.425358,0.750087,4.176253,9433.742689,4.188223
134,0.000936,3.508878,0.636784,4.146598,9433.746848,4.158491
135,0.000854,3.428194,0.771877,4.200925,9433.751060,4.212826
