FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001162,3.474271,0.673277,4.148710,7519.819769,N/A
1,0.000847,3.470016,0.686554,4.157417,7519.823940,4.171381
2,0.001242,3.431244,0.736059,4.168545,7519.828122,4.181447
3,0.000914,3.494694,0.535964,4.031572,7519.832166,4.044142
4,0.000825,3.499238,0.815628,4.315691,7519.836494,4.328354
5,0.000884,3.489712,0.548285,4.038881,7519.840546,4.051755
6,0.000860,3.505901,0.740086,4.246847,7519.844805,4.259290
7,0.000766,3.458907,0.658193,4.117866,7519.848936,4.130223
8,0.000759,3.461152,0.605957,4.067868,7519.853016,4.080704
9,0.000882,3.591663,0.544042,4.136587,7519.857165,4.148113
10,0.001283,3.475604,0.838925,4.315812,7519.861494,4.329024
11,0.000785,3.461781,0.598989,4.061555,7519.865568,4.074018
12,0.000850,3.456036,0.794754,4.251640,7519.869832,4.264113
13,0.000742,3.424982,0.672227,4.097951,7519.873942,4.110438
14,0.000801,3.423231,0.759489,4.183521,7519.878138,4.196156
15,0.000780,3.472920,0.548481,4.022181,7519.882173,4.034780
16,0.001239,3.700058,0.474237,4.175534,7519.886364,4.191129
17,0.001385,3.496335,0.785748,4.283468,7519.890667,4.302964
18,0.000894,3.478172,0.545214,4.024280,7519.894704,4.037055
19,0.000781,3.471200,0.729280,4.201261,7519.898918,4.214058
20,0.000727,3.448075,0.787162,4.235964,7519.903167,4.248331
21,0.000671,3.478178,0.519252,3.998101,7519.907177,4.010598
22,0.001141,3.483102,0.826000,4.310243,7519.911500,4.322720
23,0.000713,3.458658,0.642299,4.101670,7519.915614,4.114233
24,0.000776,3.471268,0.687016,4.159060,7519.919786,4.171552
25,0.000722,3.490002,0.657271,4.147995,7519.923947,4.161003
26,0.000770,3.404544,0.783740,4.189054,7519.928148,4.201461
27,0.000721,3.478064,0.536015,4.014800,7519.932176,4.027633
28,0.000783,3.481677,0.838029,4.320489,7519.936509,4.332779
29,0.000744,3.467254,0.585350,4.053348,7519.940574,4.065869
30,0.000806,3.487079,0.744424,4.232309,7519.944819,4.244779
31,0.000909,3.438135,0.680282,4.119326,7519.948951,4.131596
32,0.000811,3.489618,0.644788,4.135217,7519.953098,4.147665
33,0.000693,3.492949,0.672529,4.166171,7519.957277,4.179001
34,0.000702,3.472682,0.616569,4.089953,7519.961380,4.102315
35,0.000693,3.467258,0.806167,4.274118,7519.965666,4.286493
36,0.000746,3.480719,0.528570,4.010035,7519.969689,4.022363
37,0.000760,3.472214,0.825443,4.298417,7519.973999,4.310637
38,0.000838,3.488508,0.527338,4.016684,7519.978039,4.039802
39,0.000709,3.465106,0.830493,4.296308,7519.982348,4.308807
40,0.000848,3.709168,0.398894,4.108910,7519.986469,4.121297
41,0.001636,3.502631,0.571904,4.076171,7519.990564,4.094815
42,0.000721,3.480271,0.786507,4.267499,7519.994845,4.280548
43,0.000904,3.445300,0.613081,4.059285,7519.998917,4.072120
44,0.000791,3.416384,0.806763,4.223938,7520.003153,4.236459
45,0.000839,13.055216,0.164702,13.220757,7520.016387,13.233398
46,0.001147,3.460103,0.086564,3.547814,7520.019946,3.559030
47,0.000803,3.453944,0.369860,3.824607,7520.023781,3.835365
48,0.000806,3.492857,0.759158,4.252821,7520.028046,4.265322
49,0.000729,3.472180,0.641067,4.113976,7520.032173,4.126337
50,0.000707,3.416031,0.781591,4.198329,7520.036383,4.210895
51,0.000783,3.384711,0.558608,3.944102,7520.040340,3.956179
52,0.000787,3.395827,0.759513,4.156127,7520.044508,4.168175
53,0.000722,3.416535,0.947856,4.365113,7520.048886,4.377973
54,0.000776,3.383282,0.779775,4.163833,7520.053062,4.175989
55,0.000718,3.396141,0.697383,4.094242,7520.057168,4.106395
56,0.000740,3.388770,0.819524,4.209034,7520.061389,4.221031
57,0.000754,3.393174,0.756256,4.150184,7520.065551,4.162095
58,0.000738,3.392365,0.770596,4.163699,7520.069727,4.175774
59,0.000702,3.364756,0.791080,4.156538,7520.073896,4.168586
60,0.000812,3.350114,0.801540,4.152466,7520.078060,4.164447
61,0.001047,3.459176,0.635966,4.096189,7520.082168,4.108191
62,0.000750,3.612641,0.520687,4.134078,7520.086315,4.146235
63,0.001935,3.439895,0.575067,4.016897,7520.090352,4.036965
64,0.000742,3.402583,0.953238,4.356563,7520.094720,4.368784
65,0.000701,3.423178,0.732848,4.156727,7520.098890,4.170205
66,0.000748,3.347934,0.813274,4.161956,7520.103064,4.173997
67,0.000670,3.389703,0.711754,4.102127,7520.107179,4.114309
68,0.000789,3.428056,0.805994,4.234839,7520.111426,4.246810
69,0.000965,3.412105,0.639424,4.052494,7520.115490,4.064407
70,0.000932,3.365054,0.856669,4.222655,7520.119725,4.234690
71,0.000727,3.386950,0.751229,4.138906,7520.123876,4.150807
72,0.000712,3.355812,0.827556,4.184080,7520.128072,4.196124
73,0.001065,3.400580,0.700786,4.102431,7520.132186,4.114533
74,0.000691,3.388400,0.804707,4.193798,7520.136392,4.205891
75,0.000704,3.389444,0.770520,4.160668,7520.140565,4.172784
76,0.000729,3.363931,0.792196,4.156856,7520.144734,4.168712
77,0.000672,3.459808,0.476024,3.936504,7520.148685,3.950953
78,0.000787,3.376992,0.994459,4.372238,7520.153069,4.384315
79,0.000670,3.399709,0.725617,4.125996,7520.157207,4.138314
80,0.000782,3.394131,0.780826,4.175739,7520.161395,4.187688
81,0.000693,3.382946,0.565855,3.949494,7520.165356,3.961643
82,0.000755,3.394434,0.760613,4.155802,7520.169524,4.167885
83,0.000695,3.387982,0.973666,4.362343,7520.173899,4.374402
84,0.000740,3.372638,0.789604,4.162982,7520.178074,4.174807
85,0.000728,3.428597,0.655947,4.085272,7520.182171,4.097363
86,0.000731,5.963758,0.291564,6.256053,7520.188439,6.268162
