FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001462,3.559149,0.560534,4.121145,7525.928758,N/A
1,0.001207,3.564059,0.616600,4.181866,7525.932958,4.199806
2,0.000981,3.535910,0.626756,4.163647,7525.937136,4.178212
3,0.000926,3.596265,0.485156,4.082347,7525.941237,4.100708
4,0.001243,3.648162,0.556456,4.205861,7525.945459,4.221953
5,0.002677,3.672702,0.439006,4.114385,7525.949603,4.144035
6,0.001473,3.571040,0.549150,4.121663,7525.953742,4.139611
7,0.001181,3.556282,0.649426,4.206889,7525.957965,4.222916
8,0.000841,3.568375,0.509352,4.078568,7525.962061,4.095244
9,0.001166,3.573595,0.630871,4.205632,7525.966282,4.221129
10,0.000953,3.554319,0.578112,4.133384,7525.970432,4.150645
11,0.001112,3.554508,0.592716,4.148336,7525.974600,4.167190
12,0.001179,3.561865,0.581413,4.144457,7525.978760,4.160886
13,0.001152,3.566592,0.589356,4.157100,7525.982935,4.174543
14,0.001235,3.555413,0.611385,4.168033,7525.987119,4.183640
15,0.001100,3.555278,0.592889,4.149267,7525.991286,4.167659
16,0.001126,3.543097,0.590641,4.134864,7525.995439,4.153147
17,0.001215,3.609586,0.514659,4.125460,7525.999584,4.144933
18,0.001029,3.598318,0.537884,4.137231,7526.003739,4.154506
19,0.001333,3.559636,0.731298,4.292267,7526.008044,4.305465
20,0.001211,3.573263,0.421778,3.996252,7526.012057,4.012277
21,0.000820,3.525070,0.693466,4.219356,7526.016287,4.230551
22,0.001435,3.553341,0.583041,4.137817,7526.020442,4.154868
23,0.001205,3.561337,0.590404,4.152946,7526.024613,4.170866
24,0.001564,3.558104,0.571911,4.131579,7526.028763,4.150218
25,0.000966,3.576312,0.563039,4.140317,7526.032921,4.157406
26,0.001014,3.520528,0.871046,4.392588,7526.037330,4.409334
27,0.001195,3.521309,0.379936,3.902440,7526.041250,3.920162
28,0.001091,3.652832,0.645433,4.299356,7526.045568,4.318204
29,0.001953,3.872791,0.233058,4.107802,7526.049705,4.137096
30,0.001662,3.590183,0.420522,4.012367,7526.053733,4.027501
31,0.000983,3.486880,0.718702,4.206565,7526.057951,4.217922
32,0.001651,3.535114,0.606864,4.143629,7526.062113,4.162122
33,0.001193,3.501029,0.883451,4.385673,7526.066516,4.402757
34,0.001191,3.459849,0.462470,3.923510,7526.070457,3.941457
35,0.001450,3.458732,0.730004,4.190186,7526.074665,4.208295
36,0.000857,3.464693,0.639101,4.104651,7526.078788,4.122351
37,0.000886,3.582929,0.555025,4.138840,7526.082944,4.156028
38,0.001137,3.540165,0.657578,4.198880,7526.087161,4.216993
39,0.001112,3.512840,0.572063,4.086015,7526.091265,4.103825
40,0.001012,3.469871,0.686987,4.157870,7526.095440,4.175065
41,0.000950,3.577971,0.558870,4.137791,7526.099594,4.154658
42,0.001104,3.483454,0.890953,4.375511,7526.103987,4.392575
43,0.001144,3.535499,0.385289,3.921932,7526.107950,3.962867
