FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001104,3.403871,0.068895,3.473870,12130.133932,N/A
1,0.000938,3.392062,0.139906,3.532906,12130.137476,3.544016
2,0.000883,3.385835,0.069144,3.455862,12130.140942,3.466135
3,0.000684,3.347178,0.162769,3.510631,12130.144462,3.520667
4,0.000885,3.381783,0.068744,3.451412,12130.147924,3.461375
5,0.000823,3.393835,0.138592,3.533250,12130.151467,3.543635
6,0.000821,3.382401,0.070280,3.453502,12130.154931,3.463187
7,0.000823,3.387697,0.142843,3.531363,12130.158471,3.540972
8,0.000842,3.388775,0.067406,3.457023,12130.161939,3.467504
9,0.000746,3.374282,0.141396,3.516424,12130.165465,3.526482
10,0.000642,3.382887,0.099678,3.483207,12130.168958,3.493011
11,0.000712,3.349572,0.122945,3.473229,12130.172441,3.482852
12,0.000739,3.377977,0.096850,3.475566,12130.175927,3.485572
13,0.000774,3.385491,0.130670,3.516935,12130.179454,3.526768
14,0.001027,3.379261,0.068920,3.449208,12130.182913,3.458848
15,0.000757,3.867341,0.151968,4.020066,12130.186943,4.029978
16,0.002333,6.217936,0.175324,6.395593,12130.193361,6.418008
17,0.001470,3.712557,0.128085,3.842112,12130.197218,3.857943
18,0.000840,3.672262,0.079051,3.752153,12130.200982,3.763584
19,0.001104,3.612210,0.155985,3.769299,12130.204762,3.780290
20,0.001148,3.647250,0.133393,3.781791,12130.208555,3.792691
21,0.000941,3.593352,0.145750,3.740043,12130.212306,3.750763
22,0.001150,3.506975,0.102324,3.610449,12130.215931,3.625475
23,0.000806,3.550044,0.130259,3.681109,12130.219623,3.691453
24,0.001074,3.619902,0.125370,3.746346,12130.223379,3.756589
25,0.000912,3.599681,0.097113,3.697706,12130.227088,3.708515
26,0.000932,3.606138,0.138781,3.745851,12130.230844,3.756373
27,0.000827,3.612869,0.139240,3.752936,12130.234607,3.763255
28,0.001018,3.513773,0.130624,3.645415,12130.238263,3.655809
29,0.000735,3.601780,0.073194,3.675709,12130.241949,3.686109
30,0.000868,3.526336,0.145217,3.672421,12130.245632,3.682860
31,0.001059,3.515390,0.127561,3.644010,12130.249291,3.658625
32,0.000880,3.567077,0.071027,3.638984,12130.252940,3.649628
33,0.000837,3.560329,0.132902,3.694068,12130.256645,3.704813
34,0.000817,3.620258,0.131899,3.752974,12130.260409,3.763355
35,0.000838,3.653565,0.126632,3.781035,12130.264200,3.791413
36,0.001047,3.605011,0.101054,3.707112,12130.267918,3.717562
37,0.000837,3.521948,0.130775,3.653560,12130.271582,3.663933
38,0.000829,3.601399,0.130660,3.732888,12130.275325,3.743582
39,0.000841,3.493708,0.074426,3.568975,12130.278905,3.579567
40,0.001002,3.526312,0.131844,3.659158,12130.282578,3.673324
41,0.000772,3.592589,0.127906,3.721267,12130.286310,3.732212
42,0.000831,3.781971,0.175124,3.957926,12130.290278,3.968161
43,0.002137,3.686221,0.108019,3.796377,12130.294094,3.815251
44,0.000890,3.633847,0.132707,3.767444,12130.297874,3.779915
45,0.000870,3.582487,0.129274,3.712631,12130.301598,3.724137
46,0.000913,3.605547,0.130876,3.737336,12130.305345,3.747800
47,0.000958,3.520135,0.074382,3.595475,12130.308952,3.606039
48,0.000712,3.581778,0.138132,3.720622,12130.312683,3.730994
49,0.000728,3.547270,0.132505,3.680503,12130.316374,3.690973
50,0.001020,3.526351,0.072721,3.600092,12130.319986,3.612466
51,0.000880,3.610763,0.128331,3.739974,12130.323736,3.750373
52,0.000889,3.594372,0.129188,3.724449,12130.327471,3.734856
53,0.000812,3.604412,0.127753,3.732977,12130.331216,3.744394
54,0.000865,3.600258,0.104531,3.705654,12130.334932,3.716398
55,0.000809,3.597867,0.129681,3.728357,12130.338671,3.738861
56,0.000857,3.529947,0.124529,3.655333,12130.342337,3.666180
57,0.000754,3.612143,0.082786,3.695683,12130.346043,3.706113
58,0.000899,3.464103,0.139716,3.604718,12130.349659,3.615463
59,0.000738,10.569128,0.137713,10.707579,12130.360376,10.717869
60,0.000890,3.388403,0.108418,3.497711,12130.363885,3.508077
61,0.000701,3.360432,0.141892,3.503025,12130.367398,3.513504
62,0.000699,3.379009,0.105954,3.485662,12130.370894,3.495799
63,0.000652,3.355425,0.141867,3.497944,12130.374402,3.507776
64,0.000689,3.385058,0.104016,3.489763,12130.377901,3.499527
65,0.000662,3.351814,0.140184,3.492660,12130.381404,3.503029
66,0.000938,3.377515,0.106167,3.484620,12130.384899,3.494546
67,0.000706,3.364312,0.139344,3.504362,12130.388413,3.513982
68,0.000792,3.548773,0.161500,3.711065,12130.392133,3.720711
69,0.001785,3.450204,0.143650,3.595639,12130.395748,3.614393
70,0.000793,3.394688,0.148106,3.543587,12130.399302,3.554049
71,0.000653,3.384673,0.141708,3.527034,12130.402839,3.536796
72,0.000730,3.385722,0.143376,3.529828,12130.406378,3.539427
73,0.000651,3.376473,0.137111,3.514235,12130.409902,3.523888
74,0.000643,3.351359,0.140928,3.492930,12130.413405,3.502520
75,0.000670,3.389842,0.099907,3.490419,12130.416905,3.500027
76,0.000752,3.352620,0.148703,3.502075,12130.420416,3.511594
77,0.001142,3.378249,0.094940,3.474331,12130.423902,3.485993
78,0.000849,3.355296,0.141776,3.497921,12130.427410,3.507880
79,0.000698,3.374129,0.162039,3.536866,12130.430956,3.546427
80,0.000841,3.360946,0.141128,3.502915,12130.434469,3.512732
81,0.000677,3.387820,0.066275,3.454772,12130.437933,3.464328
82,0.000682,3.348105,0.141237,3.490024,12130.441433,3.499712
83,0.000655,3.385223,0.092129,3.478007,12130.444921,3.487562
84,0.000756,3.345888,0.140872,3.487516,12130.448418,3.497207
85,0.000671,3.375363,0.095420,3.471454,12130.451899,3.481005
86,0.000668,3.355694,0.144202,3.500564,12130.455409,3.510285
87,0.000689,3.341434,0.134056,3.476179,12130.458895,3.485850
88,0.000691,3.377408,0.136432,3.514531,12130.462419,3.523594
89,0.000661,3.354372,0.102256,3.457289,12130.465885,3.466591
90,0.000599,3.323100,0.135958,3.459657,12130.469354,3.468891
91,0.000710,3.340222,0.134538,3.475470,12130.472839,3.484663
92,0.000843,3.335733,0.140719,3.477295,12130.476326,3.486803
93,0.000744,3.358708,0.144360,3.503812,12130.479840,3.514350
94,0.000871,3.314168,0.139694,3.454733,12130.483304,3.464085
95,0.000702,3.339825,0.136402,3.476929,12130.486790,3.486106
96,0.000608,3.408325,0.142385,3.551318,12130.490351,3.560775
97,0.000774,3.546574,0.124823,3.672171,12130.494033,3.681567
98,0.001685,3.442465,0.135943,3.580093,12130.497632,3.599735
99,0.000637,3.463133,0.138237,3.602007,12130.501244,3.611600
100,0.000716,3.418306,0.137561,3.556583,12130.504810,3.566252
101,0.001039,3.360201,0.139895,3.501135,12130.508321,3.510504
102,0.000746,3.380022,0.140037,3.520805,12130.511851,3.530111
103,0.000703,3.422278,0.144705,3.567686,12130.515428,3.576991
104,0.000617,3.409410,0.064078,3.474105,12130.518911,3.483719
105,0.000688,3.426981,0.139985,3.567654,12130.522488,3.576817
106,0.000870,3.350088,0.063852,3.414810,12130.525913,3.424451
107,0.000759,3.353255,0.137974,3.491988,12130.529414,3.501434
108,0.001529,3.301986,0.137461,3.440976,12130.532864,3.450268
109,0.000657,3.399408,0.138068,3.538133,12130.536415,3.550287
110,0.000804,3.420536,0.064528,3.485868,12130.539910,3.495360
111,0.000699,3.316043,0.143179,3.459921,12130.543380,3.469478
112,0.000648,3.321044,0.153024,3.474716,12130.546864,3.484023
113,0.000617,3.401334,0.141995,3.543946,12130.550417,3.553521
114,0.000655,3.310463,0.136776,3.447894,12130.553874,3.457259
115,0.000760,3.322989,0.137115,3.460864,12130.557345,3.470221
116,0.000794,3.407593,0.134496,3.542883,12130.560897,3.552232
117,0.000621,3.374501,0.137749,3.512871,12130.564419,3.522246
118,0.000823,3.305383,0.136185,3.442391,12130.567871,3.451748
119,0.000683,3.316173,0.138687,3.455543,12130.571336,3.465031
120,0.000660,3.374133,0.137061,3.511854,12130.574857,3.521253
121,0.000741,3.339456,0.139683,3.479880,12130.578346,3.489045
122,0.000695,3.306995,0.137430,3.445120,12130.581801,3.454657
123,0.000661,3.385283,0.101316,3.487260,12130.585297,3.496620
124,0.000793,3.321317,0.134918,3.457028,12130.588764,3.466712
125,0.000692,3.397909,0.137459,3.536060,12130.592309,3.545392
126,0.000814,3.636495,0.179144,3.816453,12130.596135,3.825907
127,0.001331,3.429872,0.136708,3.567911,12130.599721,3.585357
128,0.000723,3.348612,0.141209,3.490544,12130.603222,3.501261
129,0.000687,3.311165,0.135974,3.447826,12130.606683,3.460843
130,0.000693,3.304988,0.155274,3.460955,12130.610153,3.470448
131,0.000675,3.348937,0.139705,3.489317,12130.613652,3.498722
132,0.001067,3.335599,0.169603,3.506269,12130.617168,3.516011
133,0.000708,3.309719,0.141683,3.452110,12130.620630,3.461713
134,0.000753,3.304785,0.068503,3.374041,12130.624013,3.383584
135,0.000674,3.342958,0.136032,3.479664,12130.627503,3.489179
