FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001327,3.546008,0.557776,4.105111,9503.180359,N/A
1,0.004760,3.540392,0.531112,4.076264,9503.184463,4.104143
2,0.001075,3.453213,0.755962,4.210250,9503.188688,4.225341
3,0.000930,3.453073,0.706593,4.160596,9503.192861,4.173033
4,0.001022,3.422607,0.863769,4.287398,9503.197161,4.299925
5,0.000950,3.464007,0.501904,3.966861,9503.201141,3.979808
6,0.000987,3.434204,0.779714,4.214905,9503.205368,4.227330
7,0.000934,3.435712,0.664125,4.100771,9503.209482,4.113923
8,0.000952,3.430758,0.775336,4.207046,9503.213702,4.219569
9,0.000874,3.462818,0.679510,4.143202,9503.217858,4.156306
10,0.000896,3.377746,0.771072,4.149714,9503.222020,4.162173
11,0.000956,3.458165,0.725866,4.184987,9503.226218,4.198096
12,0.000964,3.443534,0.684571,4.129069,9503.230360,4.141533
13,0.000930,3.455898,0.628373,4.085201,9503.234457,4.097666
14,0.001565,3.391881,0.840962,4.234408,9503.238704,4.246877
15,0.000982,3.429167,0.720946,4.151095,9503.242868,4.163541
16,0.000877,3.407007,0.690117,4.098001,9503.246978,4.110474
17,0.001002,3.454004,0.774240,4.229246,9503.251221,4.242558
18,0.000908,3.445882,0.691157,4.137947,9503.255371,4.150527
19,0.000896,3.444192,0.662615,4.107703,9503.259492,4.120189
20,0.000900,3.389945,0.811879,4.202724,9503.263707,4.215244
21,0.000879,3.447937,0.694773,4.143589,9503.267863,4.156049
22,0.000959,3.417725,0.720658,4.139342,9503.272015,4.152004
23,0.000878,3.448257,0.747707,4.196842,9503.276225,4.210538
24,0.000901,3.490563,3.420168,6.911632,9503.283150,6.924173
25,0.002554,4.029563,2.166388,6.198505,9503.289384,6.234734
26,0.001667,3.511172,0.093743,3.606582,9503.293008,3.623702
27,0.000999,3.507237,0.511864,4.020100,9503.297039,4.030908
28,0.001306,3.510326,0.558105,4.069737,9503.301120,4.081345
29,0.000936,3.510373,0.825165,4.336474,9503.305469,4.348960
30,0.001000,3.490214,0.530204,4.021418,9503.309503,4.033872
31,0.000835,3.502215,0.757115,4.260165,9503.313776,4.272639
32,0.001008,3.485672,0.582951,4.069631,9503.317858,4.081980
33,0.001001,3.423442,0.812284,4.236727,9503.322107,4.249657
34,0.000963,3.503062,0.487142,3.991167,9503.326111,4.003495
35,0.000903,3.489544,0.787906,4.278353,9503.330402,4.290754
36,0.001013,3.499420,0.649131,4.149564,9503.334564,4.162253
37,0.000796,3.511369,0.616665,4.128830,9503.338705,4.141233
38,0.000913,3.514402,0.657319,4.172634,9503.342890,4.184908
39,0.000879,3.457594,0.675861,4.134334,9503.347037,4.146757
40,0.001010,3.496060,0.619209,4.116279,9503.351166,4.128727
41,0.000974,3.512469,0.770312,4.283755,9503.355462,4.296751
42,0.000892,3.498357,0.582108,4.081357,9503.359556,4.093680
43,0.000897,3.525608,0.620542,4.147047,9503.363715,4.159491
44,0.000958,3.509562,0.633503,4.144023,9503.367872,4.156335
45,0.000920,3.436565,0.790823,4.228308,9503.372113,4.240726
46,0.000974,3.508769,0.478813,3.988556,9503.376114,4.000983
47,0.000997,3.488840,0.784048,4.273885,9503.380400,4.286253
48,0.001012,13.296459,0.192576,13.490047,9503.393902,13.502611
49,0.001550,3.530573,0.150922,3.683045,9503.397601,3.698906
50,0.000777,3.496039,0.122771,3.619587,9503.401232,3.630754
