FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.000941,3.507525,0.599972,4.108438,7530.291796,N/A
1,0.001922,3.674562,0.461404,4.137888,7530.295953,4.156420
2,0.002014,3.449213,0.773067,4.224294,7530.300195,4.242677
3,0.000703,3.494984,0.546866,4.042553,7530.304251,4.055524
4,0.000992,3.472072,0.724095,4.197159,7530.308459,4.208245
5,0.000869,3.484093,0.701642,4.186604,7530.312659,4.200081
6,0.000769,3.458269,0.712726,4.171764,7530.316844,4.184465
7,0.000741,3.455062,0.703519,4.159322,7530.321016,4.171932
8,0.000765,3.484427,0.652189,4.137381,7530.325165,4.149926
9,0.000800,3.492386,0.568446,4.061632,7530.329240,4.074366
10,0.000799,3.520938,0.652070,4.173807,7530.333425,4.184711
11,0.000766,3.491665,0.755022,4.247453,7530.337684,4.259779
12,0.000744,3.452568,0.704905,4.158217,7530.341855,4.170603
13,0.000676,3.452557,0.670490,4.123723,7530.345991,4.135980
14,0.000754,3.486060,0.638511,4.125325,7530.350133,4.142564
15,0.000808,3.515910,0.648146,4.164864,7530.354311,4.177271
16,0.000688,3.478677,0.645180,4.124545,7530.358448,4.137159
17,0.000767,3.471797,0.709671,4.182235,7530.362644,4.195619
18,0.001137,3.454388,0.727759,4.183284,7530.366839,4.195692
19,0.000760,3.460136,0.672701,4.133597,7530.370985,4.145815
20,0.000736,3.517735,0.636713,4.155184,7530.375153,4.167540
21,0.001032,3.478788,0.632742,4.112562,7530.379278,4.124982
22,0.000726,3.434124,0.725635,4.160485,7530.383451,4.173134
23,0.000824,3.485035,0.729127,4.214986,7530.387678,4.227224
24,0.000806,3.427070,0.703669,4.131545,7530.391822,4.143838
25,0.001184,3.573468,0.557951,4.132603,7530.395967,4.145491
26,0.001861,3.568445,0.561446,4.131752,7530.400118,4.150929
27,0.000756,3.463156,0.645076,4.108988,7530.404240,4.121655
28,0.000961,3.423593,0.827449,4.252003,7530.408503,4.262912
29,0.000676,3.482773,0.647997,4.131446,7530.412646,4.143749
