FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001257,3.351305,0.069524,3.422086,12191.707987,N/A
1,0.005673,3.390961,0.146594,3.543228,12191.711543,3.555218
2,0.000800,3.384478,0.072399,3.457677,12191.715011,3.467950
3,0.000809,3.354514,0.144452,3.499775,12191.718520,3.509815
4,0.000822,3.372909,0.069255,3.442986,12191.721973,3.452829
5,0.000898,3.353815,0.145479,3.500192,12191.725484,3.510577
6,0.000842,3.366896,0.071389,3.439127,12191.728933,3.448924
7,0.000737,3.390957,0.137703,3.529397,12191.732472,3.539253
8,0.001174,3.390241,0.071756,3.463171,12191.735945,3.473019
9,0.000919,3.388865,0.140873,3.530657,12191.739486,3.541311
10,0.000899,3.420063,0.115416,3.536378,12191.743032,3.546157
11,0.001833,3.596731,0.183540,3.782104,12191.746832,3.799756
12,0.001394,3.419012,0.144377,3.564783,12191.750411,3.579053
13,0.000714,3.376517,0.108491,3.485722,12191.753907,3.495857
14,0.000841,3.356938,0.155306,3.513085,12191.757430,3.522916
15,0.000799,3.357371,0.105145,3.463315,12191.760903,3.473099
16,0.000820,3.384256,0.144343,3.529419,12191.764442,3.539197
17,0.000803,3.388782,0.069105,3.458690,12191.767912,3.469468
18,0.000948,3.386560,0.135811,3.523319,12191.771445,3.533107
19,0.000848,3.352351,0.097722,3.450921,12191.774906,3.460790
20,0.000789,3.381588,0.140348,3.522725,12191.778438,3.532442
21,0.000902,3.390393,0.067721,3.459016,12191.781907,3.468818
22,0.000882,3.385460,0.142340,3.528682,12191.785445,3.538442
23,0.000736,3.393828,0.066587,3.461151,12191.788916,3.470722
24,0.000704,3.374501,0.143148,3.518353,12191.792444,3.527758
25,0.000801,3.354843,0.100611,3.456255,12191.795911,3.466642
26,0.000764,3.382781,0.141069,3.524614,12191.799445,3.534110
27,0.000756,3.383936,0.066967,3.451659,12191.802906,3.461460
28,0.000952,3.390112,0.147623,3.538687,12191.806454,3.548194
