FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001103,3.490105,0.624895,4.116103,9566.504722,N/A
1,0.000890,3.477909,0.715052,4.193851,9566.508930,4.207595
2,0.000985,3.465547,0.632582,4.099114,9566.513041,4.111613
3,0.000892,3.429552,0.796023,4.226467,9566.517280,4.238957
4,0.000911,3.495022,0.599178,4.095111,9566.521388,4.107595
5,0.000916,3.481239,0.723077,4.205232,9566.525606,4.218703
6,0.000980,3.485243,0.602756,4.088979,9566.529708,4.101291
7,0.000939,3.492816,0.730303,4.224058,9566.533944,4.236356
8,0.000940,3.511740,0.572575,4.085255,9566.538042,4.097620
9,0.000877,3.498157,0.729556,4.228590,9566.542283,4.241448
10,0.000978,3.498055,0.588504,4.087537,9566.546383,4.099753
11,0.000949,3.492340,0.716157,4.209446,9566.550605,4.221938
12,0.000939,3.475089,0.667866,4.143894,9566.554761,4.156287
13,0.000914,3.494725,0.651201,4.146840,9566.558920,4.159151
14,0.001337,3.431229,0.689270,4.121836,9566.563054,4.134082
15,0.001038,3.659434,0.513807,4.174279,9566.567242,4.187361
16,0.001837,3.536432,0.576579,4.114848,9566.571377,4.134870
17,0.000992,3.497854,0.727588,4.226434,9566.575616,4.239773
18,0.001022,3.480614,0.620655,4.102291,9566.579731,4.114648
19,0.000966,3.494791,0.707740,4.203497,9566.583947,4.215864
20,0.001046,3.517024,0.561492,4.079562,9566.588039,4.091966
21,0.000892,3.498062,0.742283,4.241237,9566.592293,4.253913
22,0.000964,3.492556,0.560290,4.053810,9566.596359,4.066277
23,0.000839,3.489321,0.760500,4.250660,9566.600622,4.262832
24,0.001025,3.474007,0.632675,4.107707,9566.604742,4.119931
25,0.000850,3.500436,0.686341,4.187627,9566.608943,4.201143
26,0.000916,3.508342,0.572574,4.081832,9566.613037,4.094191
27,0.001188,3.495200,0.736629,4.233017,9566.617282,4.245341
28,0.000876,3.496005,0.599677,4.096558,9566.621392,4.109588
29,0.000833,3.485650,0.729185,4.215668,9566.625620,4.228116
30,0.000955,3.500561,0.598240,4.099756,9566.629732,4.112091
31,0.000921,3.493824,0.715263,4.210008,9566.633955,4.222641
32,0.001122,3.500566,0.588887,4.090575,9566.638058,4.103116
33,0.000812,3.494582,0.724928,4.220322,9566.642291,4.233004
34,0.001383,3.497538,0.568370,4.067291,9566.646371,4.079676
35,0.000945,3.487150,0.747550,4.235645,9566.650619,4.247897
36,0.001065,3.509822,0.576136,4.087023,9566.654718,4.099505
37,0.000875,3.499618,0.739430,4.239923,9566.658970,4.252374
38,0.000919,3.495651,0.599999,4.096569,9566.663080,4.109159
39,0.001206,3.631663,0.532615,4.165484,9566.667257,4.177676
40,0.002498,3.560292,0.539884,4.102674,9566.671380,4.123032
41,0.000954,3.495576,0.732721,4.229251,9566.675623,4.243050
42,0.000996,3.503031,0.565916,4.069943,9566.679706,4.082492
43,0.000904,3.497646,0.738828,4.237378,9566.683956,4.249875
44,0.000853,3.497214,0.605758,4.103825,9566.688072,4.116421
45,0.000861,3.494968,0.718848,4.214677,9566.692299,4.226925
46,0.001042,3.489986,0.604337,4.095365,9566.696407,4.107624
47,0.001156,13.385291,0.115836,13.502283,9566.709921,13.514781
48,0.000897,3.403790,0.148954,3.553641,9566.713486,3.564667
49,0.000823,3.488876,0.117065,3.606764,9566.717103,3.617203
50,0.000922,3.490108,0.822071,4.313101,9566.721427,4.323734
51,0.000852,3.461295,0.695371,4.157518,9566.725597,4.169796
52,0.000884,3.474597,0.661721,4.137202,9566.729747,4.149644
53,0.000869,3.493359,0.675079,4.169307,9566.733929,4.182610
54,0.000824,3.429392,0.726797,4.157013,9566.738099,4.169433
55,0.000858,3.497717,0.600957,4.099532,9566.742211,4.111929
56,0.000860,3.497692,0.643005,4.141557,9566.746364,4.153984
57,0.000900,3.490027,0.728283,4.219210,9566.750596,4.232004
58,0.001007,3.479125,0.692947,4.173079,9566.754782,4.185516
59,0.000889,3.505673,0.604626,4.111188,9566.758905,4.123447
60,0.000872,3.463602,0.704276,4.168750,9566.763087,4.181137
61,0.000793,3.636127,3.560510,7.197430,9566.770297,7.209953
62,0.002889,3.520887,1.694298,5.218074,9566.775550,5.253817
63,0.000896,3.502325,0.549115,4.052336,9566.779616,4.065555
64,0.000861,3.480307,0.834115,4.315283,9566.783944,4.327902
65,0.000847,3.422730,0.716321,4.139898,9566.788097,4.153637
