FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001317,3.470921,0.659375,4.131613,7540.372213,N/A
1,0.000854,3.472191,0.858553,4.331598,7540.376559,4.345998
2,0.000752,3.526606,0.421807,3.949165,7540.380520,3.961621
3,0.000750,3.464213,0.745026,4.209989,7540.384743,4.222601
4,0.000871,3.455907,0.705832,4.162610,7540.388918,4.175166
5,0.000747,3.414466,3.183661,6.598874,7540.395530,6.611793
6,0.002446,4.073240,0.193370,4.269056,7540.399835,4.304891
7,0.001544,3.483955,0.151675,3.637174,7540.403491,3.656222
8,0.000644,3.471886,0.150241,3.622771,7540.407125,3.633802
9,0.000764,3.442861,0.152979,3.596604,7540.410733,3.608021
10,0.000798,3.415184,0.145357,3.561339,7540.414305,3.572038
11,0.000724,3.390861,0.249408,3.640993,7540.417956,3.651641
12,0.000679,3.367809,1.116957,4.485445,7540.422452,4.495981
13,0.000719,3.452331,0.408330,3.861380,7540.426327,3.874117
14,0.000735,3.461232,0.714187,4.176154,7540.430515,4.188945
15,0.000799,3.394367,0.807073,4.202239,7540.434731,4.215204
16,0.000722,3.459595,0.695076,4.155393,7540.438898,4.167803
17,0.000711,3.396990,0.747750,4.145451,7540.443057,4.158465
18,0.000767,3.450574,0.727537,4.178878,7540.447248,4.191397
19,0.000759,3.454070,0.843499,4.298328,7540.451559,4.310781
20,0.000859,3.478490,0.454843,3.934192,7540.455506,3.946876
21,0.000767,3.415259,0.803798,4.219824,7540.459738,4.232381
22,0.000817,3.468345,0.692253,4.161415,7540.463912,4.173941
23,0.000757,3.396080,0.725100,4.121937,7540.468047,4.134358
24,0.000743,3.472491,0.677951,4.151185,7540.472210,4.163643
25,0.000769,3.407902,0.926016,4.334687,7540.476558,4.347571
26,0.000813,3.427516,0.505112,3.933441,7540.480504,3.945968
27,0.000748,3.403492,0.787685,4.191925,7540.484708,4.204393
28,0.000852,3.482940,0.654660,4.138452,7540.488859,4.150806
29,0.000768,3.394939,0.802814,4.198521,7540.493070,4.211032
30,0.000765,3.599081,0.462181,4.062027,7540.497145,4.074545
31,0.002736,3.518811,0.876313,4.397860,7540.501564,4.419179
32,0.000767,3.469047,0.440280,3.910094,7540.505487,3.923271
33,0.000829,3.476765,0.775411,4.253005,7540.509753,4.265897
34,0.000715,3.469377,0.637198,4.107290,7540.513873,4.119886
35,0.000868,3.442890,0.741009,4.184767,7540.518070,4.197189
36,0.000885,3.484415,0.676407,4.161707,7540.522245,4.174455
37,0.000817,3.412013,0.885447,4.298277,7540.526555,4.310679
38,0.001137,3.449972,0.488712,3.939821,7540.530507,3.952124
39,0.000820,3.406380,0.787116,4.194316,7540.534714,4.206793
40,0.000748,3.451456,0.686706,4.138910,7540.538865,4.151365
41,0.000716,3.413911,0.775887,4.190514,7540.543069,4.203464
42,0.000835,3.487718,0.632410,4.120963,7540.547202,4.133385
43,0.000797,3.497967,0.853890,4.352654,7540.551567,4.365088
44,0.000874,3.466581,0.483963,3.951418,7540.555531,3.963927
45,0.000828,3.400492,0.815259,4.216579,7540.559760,4.229110
46,0.000800,3.479106,0.635232,4.115138,7540.563889,4.128137
47,0.000770,3.397540,0.770828,4.169138,7540.568070,4.181627
48,0.000791,11.020905,0.361796,11.383492,7540.579466,11.396168
49,0.000873,3.393951,0.079493,3.474317,7540.582952,3.485376
50,0.000801,3.450040,0.157630,3.608471,7540.586571,3.618832
51,0.000848,3.469713,0.157197,3.627758,7540.590209,3.638573
52,0.001247,3.470513,0.138407,3.610167,7540.593830,3.620906
53,0.000871,3.562793,0.209136,3.772800,7540.597614,3.784354
54,0.001514,3.459642,0.145348,3.606504,7540.601241,3.626791
55,0.000732,3.405070,0.721801,4.127603,7540.605380,4.139204
56,0.000740,3.420285,0.921669,4.342694,7540.609734,4.353405
57,0.000802,3.480288,0.675640,4.156730,7540.613903,4.169252
58,0.000831,3.469136,0.682265,4.152232,7540.618068,4.164697
59,0.000788,3.492362,0.605096,4.098246,7540.622179,4.110761
60,0.000755,3.477091,0.741126,4.218972,7540.626410,4.231373
61,0.000738,3.459198,0.687402,4.147338,7540.630570,4.159827
62,0.000731,3.471923,0.698528,4.171182,7540.634753,4.183472
63,0.000727,3.471154,0.678831,4.150712,7540.638916,4.163098
64,0.000707,3.470812,0.678967,4.150486,7540.643080,4.163357
65,0.000746,3.472359,0.611530,4.084635,7540.647177,4.097792
66,0.000753,3.468570,0.746274,4.215597,7540.651405,4.227927
67,0.000843,3.482284,0.676894,4.160021,7540.655578,4.172400
68,0.000800,3.504548,0.639420,4.144768,7540.659735,4.157051
69,0.000680,3.484839,0.599252,4.084771,7540.663832,4.097146
