FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001358,3.348967,0.124129,3.474454,12237.577794,N/A
1,0.001237,3.354758,0.071644,3.427639,12237.581232,3.438840
2,0.000795,3.333722,0.125131,3.459648,12237.584703,3.470435
3,0.000751,3.371675,0.124003,3.496429,12237.588209,3.505882
4,0.000829,3.372997,0.123126,3.496952,12237.591715,3.506512
5,0.000794,3.357676,0.134013,3.492483,12237.595218,3.502449
6,0.000892,3.347137,0.068536,3.416565,12237.598644,3.426236
7,0.000808,3.318398,0.074354,3.393560,12237.602047,3.403387
8,0.000771,3.375959,0.129421,3.506151,12237.605563,3.515881
9,0.000722,3.361209,0.071090,3.433021,12237.609006,3.442949
10,0.000798,3.377777,0.125336,3.503911,12237.612520,3.513964
11,0.000837,3.542483,0.186412,3.729732,12237.616259,3.739328
12,0.002445,3.445501,0.080918,3.528864,12237.619808,3.548841
13,0.001011,3.372131,0.129032,3.502174,12237.623323,3.514345
14,0.000806,3.380730,0.124052,3.505588,12237.626838,3.515633
15,0.000820,3.353633,0.130866,3.485319,12237.630334,3.495303
16,0.000767,3.370666,0.127772,3.499205,12237.633842,3.508828
17,0.001031,3.376634,0.124570,3.502235,12237.637355,3.512646
18,0.000778,3.341029,0.068790,3.410597,12237.640775,3.420340
19,0.001044,3.353504,0.123609,3.478157,12237.644263,3.487799
20,0.000918,3.376988,0.131663,3.509569,12237.647783,3.519439
21,0.000684,3.375374,0.123736,3.499794,12237.651292,3.509663
22,0.000901,3.368596,0.121583,3.491080,12237.654793,3.500738
23,0.000857,3.369501,0.122829,3.493187,12237.658296,3.503030
24,0.000734,3.365573,0.118577,3.484884,12237.661791,3.494576
25,0.000737,3.369649,0.127023,3.497409,12237.665298,3.507745
26,0.000921,3.346806,0.117551,3.465278,12237.668773,3.474873
27,0.000737,3.384049,0.124054,3.508840,12237.672292,3.518687
28,0.000772,3.375609,0.122951,3.499332,12237.675801,3.509048
29,0.000716,3.368826,0.124682,3.494224,12237.679305,3.504180
30,0.000874,3.359473,0.067284,3.427631,12237.682742,3.437194
31,0.000859,3.335162,0.121691,3.457712,12237.686210,3.467251
32,0.000715,3.346058,0.127337,3.474110,12237.689693,3.483675
33,0.000714,3.356148,0.127914,3.484776,12237.693188,3.494683
34,0.000798,3.354829,0.126642,3.482269,12237.696680,3.491997
35,0.000749,3.367005,0.124528,3.492282,12237.700182,3.501994
36,0.000865,3.363303,0.125663,3.489831,12237.703681,3.499452
37,0.000792,3.351153,0.088861,3.440806,12237.707132,3.450394
38,0.000833,3.322091,0.070255,3.393179,12237.710535,3.402853
39,0.000734,3.362173,0.067964,3.430871,12237.713975,3.440776
40,0.001015,3.508158,0.190322,3.699495,12237.717684,3.709017
41,0.003130,3.487760,0.136609,3.627499,12237.721337,3.652301
42,0.001584,3.379691,0.123210,3.504485,12237.724852,3.515636
43,0.000648,3.374541,0.123569,3.498758,12237.728361,3.508674
44,0.000737,3.377735,0.125348,3.503820,12237.731874,3.513463
45,0.000699,3.346691,0.105878,3.453268,12237.735337,3.462811
46,0.000889,3.333021,0.126115,3.460025,12237.738807,3.469728
47,0.000753,3.383170,0.095569,3.479492,12237.742296,3.488979
48,0.000710,3.352924,0.124333,3.477967,12237.745784,3.487847
49,0.000662,3.390067,0.123329,3.514058,12237.749308,3.523723
50,0.000741,3.371187,0.124858,3.496786,12237.752814,3.506519
51,0.000703,3.351729,0.070239,3.422671,12237.756247,3.432462
52,0.000903,3.338269,0.124758,3.463930,12237.759720,3.473504
53,0.000659,3.352480,0.125123,3.478262,12237.763209,3.488595
54,0.000732,3.369890,0.126443,3.497065,12237.766716,3.506982
55,0.000844,3.363613,0.132101,3.496558,12237.770222,3.506155
56,0.000736,3.366963,0.124038,3.491737,12237.773723,3.501363
57,0.000639,3.380914,0.125529,3.507082,12237.777240,3.516569
58,0.000663,3.384784,0.131754,3.517201,12237.780767,3.526782
59,0.000673,3.362347,0.126475,3.489495,12237.784266,3.499051
60,0.001050,3.368567,0.123519,3.493136,12237.787768,3.502600
