FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001440,3.783577,0.371379,4.156396,9613.614585,N/A
1,0.001316,3.761319,0.409631,4.172266,9613.618774,4.189227
2,0.001030,3.494327,0.813069,4.308426,9613.623094,4.319950
3,0.000924,3.499189,0.559748,4.059861,9613.627167,4.073040
4,0.000975,3.435141,0.870449,4.306565,9613.631486,4.318955
5,0.000817,3.466912,0.524583,3.992312,9613.635491,4.005357
6,0.001340,3.489070,0.824294,4.314704,9613.639819,4.327168
7,0.000902,3.466475,0.481524,3.948901,9613.643780,3.961494
8,0.000895,3.430659,0.850747,4.282301,9613.648075,4.294538
9,0.000929,3.528818,0.497709,4.027456,9613.652115,4.040342
10,0.000921,3.495907,0.878459,4.375287,9613.656503,4.387693
11,0.000939,3.467278,0.511575,3.979792,9613.660495,3.992139
12,0.001033,3.557090,0.602418,4.160541,9613.664668,4.172764
13,0.002263,3.560923,0.584573,4.147759,9613.668835,4.167083
14,0.000985,3.464519,0.782494,4.247998,9613.673096,4.260821
15,0.000923,3.500920,0.522650,4.024493,9613.677132,4.036962
16,0.000891,3.444106,0.846536,4.291533,9613.681436,4.303979
17,0.000900,3.418080,0.622642,4.041622,9613.685492,4.055127
18,0.000950,3.493857,0.809664,4.304471,9613.689809,4.317117
19,0.001091,3.454131,0.539848,3.995070,9613.693816,4.007437
20,0.001029,3.467885,0.838799,4.307713,9613.698136,4.320222
21,0.001129,3.495675,0.524881,4.021685,9613.702171,4.034333
22,0.001257,3.490920,0.611196,4.103373,9613.706287,4.115822
23,0.000975,3.492299,0.713809,4.207083,9613.710506,4.219598
24,0.000958,3.429218,0.870250,4.300426,9613.714819,4.312855
25,0.001227,3.496097,0.497072,3.994396,9613.718826,4.007482
26,0.000820,3.435978,0.822023,4.258821,9613.723098,4.271316
27,0.000939,3.488277,0.541690,4.030906,9613.727141,4.043310
28,0.000975,3.438506,0.687898,4.127379,9613.731281,4.140018
29,0.000889,3.426556,0.765405,4.192850,9613.735486,4.205381
30,0.000970,3.490712,0.839328,4.331010,9613.739830,4.343522
31,0.000954,3.447035,0.540139,3.988128,9613.743830,4.000398
32,0.000985,3.432321,0.846772,4.280078,9613.748123,4.292516
33,0.000882,3.531813,0.492671,4.025366,9613.752161,4.038347
34,0.000880,3.471432,0.645440,4.117752,9613.756292,4.130245
35,0.000937,3.502774,0.697828,4.201539,9613.760505,4.213992
36,0.001238,3.451991,0.720549,4.173778,9613.764692,4.186250
37,0.003269,3.664792,0.449114,4.117175,9613.768839,4.147728
38,0.001308,3.478369,0.760235,4.239912,9613.773096,4.256185
39,0.000991,3.432911,0.761348,4.195250,9613.777304,4.208278
40,0.000840,3.497003,0.513974,4.011817,9613.781328,4.024201
41,0.000920,3.428890,0.734215,4.164025,9613.785505,4.177185
42,0.000881,3.491209,0.822296,4.314386,9613.789832,4.326961
43,0.001061,3.463314,0.537898,4.002273,9613.793847,4.014757
44,0.000888,3.432091,0.848794,4.281773,9613.798141,4.294377
45,0.000949,3.481029,0.541858,4.023836,9613.802178,4.036569
46,0.000931,3.496839,0.821534,4.319304,9613.806510,4.331747
47,0.000989,3.511988,0.459402,3.972379,9613.810494,3.984758
48,0.000929,12.121546,0.155473,12.277948,9613.822785,12.290293
49,0.000908,3.414889,0.895230,4.311027,9613.827107,4.321956
50,0.000900,3.496128,0.717836,4.214864,9613.831334,4.227325
51,0.000919,3.496486,0.631812,4.129217,9613.835476,4.141509
52,0.000956,3.486863,0.692124,4.179943,9613.839668,4.192199
53,0.000983,3.464402,0.540583,4.005968,9613.843687,4.019149
54,0.000910,3.494594,0.810988,4.306492,9613.848006,4.318836
55,0.000893,3.490110,0.639790,4.130793,9613.852149,4.143468
56,0.000956,3.497030,0.681925,4.179911,9613.856342,4.192372
57,0.000948,3.494940,0.613865,4.109753,9613.860464,4.122163
58,0.000886,3.485626,0.580103,4.066615,9613.864543,4.078877
59,0.001357,5.765651,0.214690,5.981698,9613.870540,5.996950
60,0.001720,3.535662,0.155920,3.693302,9613.874252,3.712593
61,0.000923,3.499400,0.155291,3.655614,9613.877919,3.666725
62,0.000917,3.412528,0.142682,3.556127,9613.881486,3.567055
63,0.000877,3.435513,0.382974,3.819364,9613.885316,3.829584
64,0.000731,3.407381,0.788501,4.196613,9613.889522,4.206923
65,0.000802,3.475582,0.842938,4.319322,9613.893855,4.332858
66,0.000800,3.497536,0.643133,4.141469,9613.898009,4.153915
67,0.000799,3.514261,0.634004,4.149064,9613.902171,4.161563
68,0.000858,3.491444,0.665574,4.157876,9613.906341,4.170231
69,0.000784,3.494418,0.524305,4.019507,9613.910373,4.031868
70,0.000822,3.474670,0.819948,4.295440,9613.914681,4.307875
71,0.000891,3.497367,0.657504,4.155762,9613.918849,4.168057
72,0.000850,3.485637,0.671698,4.158185,9613.923019,4.170656
73,0.000801,3.501301,0.621615,4.123717,9613.927156,4.136255
74,0.000783,3.471092,0.710230,4.182105,9613.931350,4.194617
75,0.000818,3.487646,0.645129,4.133593,9613.935496,4.145827
76,0.000898,3.501645,0.671391,4.173934,9613.939682,4.186089
77,0.000823,3.490250,0.663049,4.154122,9613.943853,4.170397
78,0.000870,3.436918,0.716806,4.154594,9613.948020,4.166958
79,0.001098,3.494586,0.571155,4.066839,9613.952099,4.079289
80,0.000829,3.472292,0.792132,4.265253,9613.956377,4.277585
81,0.000772,3.432227,0.682525,4.115524,9613.960504,4.127578
82,0.000778,3.425149,0.745689,4.171616,9613.964688,4.183706
83,0.000914,3.682270,0.408691,4.091875,9613.968792,4.103866
84,0.001751,3.572189,0.611338,4.185278,9613.972998,4.206759
85,0.000853,3.444727,0.777259,4.222839,9613.977239,4.240400
86,0.000836,3.443947,0.660438,4.105221,9613.981356,4.117339
87,0.000881,3.425844,0.690185,4.116910,9613.985485,4.129062
88,0.000778,3.464773,0.733254,4.198805,9613.989696,4.210769
89,0.000812,3.445488,0.706037,4.152337,9613.993860,4.164396
90,0.000780,3.449957,0.706229,4.156966,9613.998029,4.168893
91,0.000784,3.436675,0.633743,4.071202,9614.002113,4.083318
92,0.000919,3.436048,0.820177,4.257144,9614.006382,4.269298
93,0.000850,3.441407,0.653912,4.096169,9614.010492,4.110236
94,0.000792,3.423621,0.759367,4.183780,9614.014688,4.195841
95,0.000783,3.455419,0.737688,4.193890,9614.018894,4.205955
96,0.000789,3.449658,0.676599,4.127046,9614.023033,4.139147
97,0.000791,3.471547,0.730460,4.202798,9614.027248,4.214922
98,0.000782,3.537792,0.407564,3.946138,9614.031206,3.958236
99,0.000763,3.502051,0.652409,4.155223,9614.035373,4.167261
100,0.000929,3.453443,0.856716,4.311088,9614.039697,4.323114
101,0.000770,3.580654,0.499373,4.080797,9614.043789,4.092824
102,0.000843,3.512704,0.716563,4.230110,9614.048032,4.242453
103,0.000762,3.472978,0.594249,4.067989,9614.052112,4.080126
104,0.000785,3.429887,0.839587,4.270259,9614.056395,4.282549
105,0.000782,3.425913,0.657906,4.084601,9614.060491,4.096721
106,0.000797,3.415753,0.777835,4.194385,9614.064698,4.206375
107,0.000804,3.642594,0.446771,4.090169,9614.068800,4.102174
108,0.002414,3.570696,0.557986,4.131096,9614.072951,4.151384
109,0.000779,3.325222,0.947754,4.273755,9614.077243,4.291358
110,0.000825,3.508566,0.460045,3.969436,9614.081224,3.981704
111,0.000759,3.474083,0.754794,4.229636,9614.085466,4.241847
112,0.000807,3.434366,0.793132,4.228305,9614.089707,4.240444
113,0.000808,3.412059,0.738307,4.151174,9614.093870,4.163278
114,0.000780,3.363180,0.828666,4.192626,9614.098075,4.204716
115,0.000850,3.430363,0.687940,4.119153,9614.102206,4.131251
116,0.000850,3.430676,0.726560,4.158086,9614.106376,4.170138
117,0.000759,3.430733,0.689726,4.121218,9614.110509,4.133269
118,0.000874,3.447844,0.736942,4.185660,9614.114707,4.197690
