FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001155,3.514715,0.586367,4.102237,9640.463713,N/A
1,0.001121,3.477117,0.729844,4.208082,9640.467936,4.222495
2,0.001052,3.407912,0.732094,4.141058,9640.472089,4.153945
3,0.000990,3.500630,0.667007,4.168627,9640.476271,4.181399
4,0.000970,3.487639,0.642181,4.130790,9640.480414,4.143258
5,0.000943,3.481077,0.698945,4.180965,9640.484608,4.193995
6,0.001225,3.529847,0.634358,4.165430,9640.488786,4.177961
7,0.001086,3.435952,0.664730,4.101768,9640.492899,4.113279
8,0.001038,3.418862,0.996531,4.416431,9640.497327,4.427685
9,0.000978,3.496056,0.403827,3.900861,9640.501241,3.913656
10,0.000905,3.463398,0.735020,4.199323,9640.505452,4.211801
11,0.000921,3.479984,0.665216,4.146121,9640.509611,4.158709
12,0.001493,3.480290,0.615104,4.096887,9640.513721,4.109433
13,0.000948,3.493155,0.721588,4.215691,9640.517949,4.228141
14,0.000941,3.485837,0.644991,4.131769,9640.522093,4.144210
15,0.000896,3.491796,0.678875,4.171567,9640.526277,4.184085
16,0.001034,3.489941,0.635623,4.126598,9640.530416,4.138997
17,0.001012,3.477055,0.702492,4.180559,9640.534610,4.193977
18,0.001038,3.520562,0.655199,4.176799,9640.538800,4.189538
19,0.002396,3.685746,0.350957,4.039099,9640.542864,4.063997
20,0.001541,3.478041,0.979248,4.458830,9640.547338,4.473962
21,0.000964,3.507109,0.396162,3.904235,9640.551255,3.917366
22,0.000948,3.505338,0.629145,4.135431,9640.555403,4.148001
23,0.000995,3.509235,0.714087,4.224317,9640.559640,4.236933
24,0.001029,3.513511,0.609107,4.123647,9640.563776,4.136336
25,0.000912,3.505034,0.662932,4.168878,9640.567958,4.182211
26,0.000904,3.514073,0.601215,4.116192,9640.572087,4.128857
27,0.000869,3.500203,0.698616,4.199688,9640.576299,4.212181
28,0.000931,3.503635,0.580551,4.085117,9640.580397,4.097998
29,0.000941,3.488178,0.739159,4.228278,9640.584638,4.240836
30,0.000912,3.460292,0.625617,4.086821,9640.588738,4.099315
31,0.000925,3.499801,0.716272,4.216998,9640.592967,4.229583
32,0.000989,3.500421,0.607298,4.108708,9640.597089,4.121556
33,0.000880,3.512593,0.684389,4.197862,9640.601299,4.210775
34,0.000925,3.501591,0.590690,4.093206,9640.605405,4.105830
35,0.000911,3.486008,0.741520,4.228439,9640.609646,4.240928
36,0.000966,3.489887,0.630683,4.121536,9640.613780,4.133951
37,0.000945,3.492481,0.681299,4.174725,9640.617967,4.187194
38,0.000864,3.502483,0.606689,4.110036,9640.622090,4.122503
39,0.000971,3.476345,0.725189,4.202505,9640.626304,4.214262
40,0.000983,3.472315,0.609424,4.082722,9640.630399,4.095271
41,0.000893,3.467002,0.756261,4.224156,9640.634637,4.237218
42,0.000819,3.450238,0.688621,4.139678,9640.638789,4.152159
43,0.001871,3.663123,0.436585,4.101579,9640.642912,4.123319
44,0.001501,3.480029,0.754980,4.236510,9640.647168,4.256162
45,0.000936,3.466702,0.610868,4.078506,9640.651260,4.091303
46,0.000887,3.479691,0.656605,4.137183,9640.655409,4.149675
47,0.000933,12.322573,0.237265,12.560771,9640.667983,12.573247
48,0.000967,3.373623,0.805622,4.180212,9640.672174,4.191741
49,0.000901,3.463016,0.593635,4.057552,9640.676244,4.070131
50,0.000835,3.480651,0.509250,3.990736,9640.680248,4.003295
51,0.000836,3.482660,0.666866,4.150362,9640.684411,4.162870
52,0.001174,3.465742,0.888876,4.355792,9640.688779,4.368223
53,0.000891,3.468869,0.676488,4.146248,9640.692938,4.159565
54,0.000848,3.427142,0.650785,4.078775,9640.697030,4.091311
55,0.000915,3.474738,0.761546,4.237199,9640.701279,4.249738
56,0.001018,3.468430,0.488102,3.957550,9640.705249,3.970089
57,0.000899,3.486842,0.658690,4.146431,9640.709408,4.159013
58,0.000865,3.476138,0.817348,4.294351,9640.713715,4.306864
59,0.000830,3.488623,0.670295,4.159748,9640.717888,4.172388
60,0.000914,3.449856,0.655993,4.106763,9640.722007,4.119274
61,0.000837,3.464434,0.780539,4.245810,9640.726266,4.259210
62,0.000862,3.478907,0.491827,3.971596,9640.730250,3.984155
63,0.000819,3.466933,0.650247,4.117999,9640.734381,4.130625
64,0.000896,3.468468,0.924271,4.393635,9640.738786,4.405215
65,0.000861,3.644191,0.467345,4.112397,9640.742912,4.125992
66,0.001666,3.470180,0.638610,4.110456,9640.747043,4.130944
67,0.000836,3.466698,0.761386,4.228920,9640.751285,4.241597
68,0.000925,3.408317,0.723511,4.132753,9640.755430,4.145210
69,0.000842,3.383930,0.798364,4.183136,9640.759625,4.195372
70,0.000832,3.440791,0.663851,4.105474,9640.763743,4.117607
71,0.000832,3.426015,0.769366,4.196213,9640.767951,4.208433
72,0.000924,3.399862,0.673193,4.073979,9640.772038,4.086201
73,0.000847,3.401641,0.843513,4.246001,9640.776296,4.258326
74,0.000921,3.392351,0.556511,3.949783,9640.780258,3.962052
75,0.000813,3.384678,0.944700,4.330191,9640.784600,4.342404
76,0.000906,3.363931,0.813064,4.177901,9640.788790,4.189988
77,0.000886,3.363192,0.581939,3.946017,9640.792752,3.961268
78,0.000843,3.438727,0.842648,4.282218,9640.797046,4.294351
79,0.000883,3.393291,0.835334,4.229508,9640.801288,4.242047
