FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001194,3.377136,0.073052,3.451382,12372.274011,N/A
1,0.000921,3.370776,0.078693,3.450390,12372.277474,3.462572
2,0.000887,3.362852,0.069428,3.433167,12372.280917,3.443335
3,0.000782,3.376165,0.139559,3.516506,12372.284444,3.526753
4,0.000888,3.369651,0.096471,3.467010,12372.287921,3.476925
5,0.000818,3.378503,0.130439,3.509760,12372.291441,3.520285
6,0.000906,3.370444,0.111864,3.483214,12372.294935,3.493206
7,0.000809,3.349564,0.072075,3.422448,12372.298367,3.432321
8,0.000928,3.367203,0.127288,3.495419,12372.301872,3.505428
9,0.000875,3.386448,0.124667,3.511990,12372.305394,3.522122
10,0.000833,3.367399,0.124153,3.492385,12372.308897,3.502288
11,0.000825,3.370273,0.095488,3.466586,12372.312373,3.476349
12,0.000692,3.342880,0.068045,3.411617,12372.315795,3.421815
13,0.000770,3.348849,0.077062,3.426681,12372.319231,3.436335
14,0.000906,3.342488,0.124172,3.467566,12372.322709,3.477438
15,0.000900,3.359522,0.135440,3.495862,12372.326214,3.505699
16,0.000976,3.369861,0.139956,3.510793,12372.329735,3.520456
17,0.000800,3.341876,0.135243,3.477919,12372.333223,3.488362
18,0.000775,3.365481,0.140532,3.506788,12372.336740,3.516583
19,0.001242,3.341732,0.108971,3.451945,12372.340201,3.461663
20,0.000773,3.369934,0.068394,3.439101,12372.343650,3.448720
21,0.000787,3.344173,0.099930,3.444890,12372.347105,3.454668
22,0.000938,3.373266,0.142590,3.516794,12372.350631,3.526486
23,0.000882,3.374423,0.141906,3.517211,12372.354158,3.526855
24,0.001254,3.369760,0.136469,3.507483,12372.357675,3.517063
25,0.000766,3.355623,0.138081,3.494470,12372.361180,3.504784
26,0.000790,3.571949,0.137707,3.710446,12372.364900,3.720222
27,0.001676,3.422209,0.140923,3.564808,12372.368480,3.579616
28,0.000780,3.358558,0.076227,3.435565,12372.371926,3.446047
29,0.000766,3.374511,0.143396,3.518673,12372.375454,3.528556
30,0.000908,3.384446,0.065756,3.451110,12372.378915,3.460925
31,0.000837,3.370293,0.138243,3.509373,12372.382434,3.518878
32,0.000801,3.343698,0.073800,3.418299,12372.385862,3.427982
33,0.000777,3.351955,0.129501,3.482233,12372.389354,3.492310
34,0.000843,3.360850,0.113340,3.475033,12372.392839,3.484531
35,0.000878,3.372427,0.125811,3.499116,12372.396348,3.508826
36,0.000781,3.377174,0.121925,3.499880,12372.399857,3.509509
37,0.000743,3.368696,0.123462,3.492901,12372.403360,3.502473
38,0.000987,3.346964,0.103096,3.451047,12372.406821,3.460950
39,0.000867,3.372918,0.098530,3.472315,12372.410303,3.481906
40,0.000820,3.352479,0.122027,3.475326,12372.413788,3.485205
41,0.000855,3.365172,0.124774,3.490801,12372.417289,3.501485
42,0.000780,3.365765,0.122259,3.488804,12372.420788,3.498867
43,0.000731,3.370996,0.123489,3.495216,12372.424293,3.504718
44,0.001002,3.375910,0.104220,3.481132,12372.427784,3.490732
45,0.000736,3.339510,0.070516,3.410762,12372.431204,3.420488
46,0.001208,3.361976,0.127349,3.490533,12372.434704,3.500303
47,0.000834,3.367914,0.125592,3.494340,12372.438208,3.503867
48,0.000845,3.362699,0.118611,3.482155,12372.441700,3.491705
49,0.000714,3.365695,0.126253,3.492662,12372.445202,3.502294
50,0.000779,3.341303,0.095795,3.437877,12372.448650,3.447482
51,0.000771,3.365980,0.068918,3.435669,12372.452095,3.445346
52,0.000849,3.357087,0.121570,3.479506,12372.455584,3.489168
53,0.000827,3.355348,0.071572,3.427747,12372.459022,3.438056
54,0.000825,3.371431,0.124686,3.496942,12372.462529,3.506938
55,0.000864,5.751704,0.117668,5.870236,12372.468410,5.880200
56,0.002935,3.449424,0.074361,3.526720,12372.471953,3.543430
57,0.001013,3.389058,0.145180,3.535251,12372.475499,3.546399
58,0.000854,3.384249,0.067702,3.452805,12372.478962,3.463104
59,0.000809,3.383806,0.137455,3.522070,12372.482494,3.531908
60,0.000834,3.385310,0.068561,3.454705,12372.485959,3.464634
61,0.000751,3.350412,0.147558,3.498721,12372.489468,3.508579
62,0.000946,3.390974,0.070960,3.462880,12372.492940,3.472724
63,0.000862,11.995208,0.077677,12.073747,12372.505024,12.083493
64,0.000841,3.343796,0.147357,3.491994,12372.508526,3.502222
65,0.000816,3.375962,0.066771,3.443549,12372.511980,3.454314
66,0.000845,3.383442,0.145888,3.530175,12372.515520,3.539869
67,0.000806,3.371740,0.063986,3.436532,12372.518966,3.446185
68,0.000824,3.388575,0.066281,3.455680,12372.522432,3.465141
69,0.000788,3.377438,0.072538,3.450764,12372.525892,3.460271
70,0.000894,3.383104,0.142815,3.526813,12372.529428,3.536527
71,0.000920,3.378376,0.095664,3.474960,12372.532913,3.484520
72,0.000905,3.388511,0.140257,3.529673,12372.536452,3.539145
73,0.000943,3.359674,0.096113,3.456730,12372.539918,3.466428
74,0.000845,3.392617,0.141428,3.534890,12372.543463,3.544439
75,0.000796,3.380717,0.067961,3.449474,12372.546922,3.459034
76,0.000937,3.386551,0.143025,3.530513,12372.550462,3.539986
77,0.000913,3.381259,0.068434,3.450606,12372.553925,3.462740
78,0.000882,3.394748,0.141259,3.536889,12372.557471,3.546536
79,0.000939,3.378596,0.067021,3.446556,12372.560927,3.456170
80,0.000859,3.430459,0.171679,3.602997,12372.564540,3.612442
81,0.001792,3.546026,0.177412,3.725230,12372.568280,3.740465
82,0.001384,3.414434,0.142368,3.558186,12372.571855,3.575092
83,0.000843,3.394489,0.134138,3.529470,12372.575396,3.540228
84,0.000753,3.381560,0.097572,3.479885,12372.578885,3.489654
85,0.000916,3.377402,0.143810,3.522128,12372.582417,3.531835
86,0.000885,3.386330,0.093493,3.480708,12372.585907,3.490254
87,0.000765,3.388345,0.140990,3.530100,12372.589447,3.539950
88,0.001259,3.377525,0.067634,3.446418,12372.592903,3.456107
89,0.000742,3.377645,0.138966,3.517353,12372.596430,3.527125
90,0.000765,3.385402,0.095807,3.481974,12372.599922,3.491703
91,0.000871,3.378279,0.138281,3.517431,12372.603449,3.526854
92,0.000904,3.371804,0.067868,3.440576,12372.606899,3.450151
93,0.000892,3.393139,0.141592,3.535623,12372.610446,3.546798
94,0.000988,3.375670,0.067905,3.444563,12372.613900,3.454123
95,0.000920,3.392503,0.139376,3.532799,12372.617442,3.542340
96,0.001022,3.389700,0.065814,3.456536,12372.620909,3.466153
97,0.000902,3.391068,0.140016,3.531986,12372.624450,3.541586
98,0.000826,3.379243,0.067331,3.447400,12372.627907,3.456907
99,0.000837,3.380350,0.139718,3.520905,12372.631437,3.530227
100,0.000808,3.382593,0.094621,3.478022,12372.634925,3.487564
101,0.000829,3.441614,0.145280,3.587723,12372.638522,3.597207
102,0.000891,3.386208,0.065184,3.452283,12372.641984,3.461805
103,0.000776,3.397773,0.135859,3.534408,12372.645528,3.543993
104,0.000948,3.379102,0.061903,3.441953,12372.648980,3.451624
105,0.000799,3.349233,0.136171,3.486203,12372.652475,3.495419
106,0.001406,3.377828,0.065492,3.444726,12372.655929,3.454034
