FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001542,3.565019,0.597247,4.163808,9750.118822,N/A
1,0.001350,3.546639,0.602718,4.150707,9750.122992,4.169382
2,0.001619,3.577883,0.563124,4.142626,9750.127157,4.165924
3,0.001291,3.565844,0.586605,4.153740,9750.131328,4.170597
4,0.001429,3.556300,0.634249,4.191978,9750.135537,4.209370
5,0.001362,3.587965,0.500181,4.089508,9750.139646,4.108164
6,0.001478,3.577621,0.569200,4.148299,9750.143810,4.164258
7,0.001394,3.544798,0.649878,4.196070,9750.148023,4.213031
8,0.001454,3.557670,0.575958,4.135082,9750.152175,4.152573
9,0.001597,3.561526,0.580342,4.143465,9750.156337,4.161438
10,0.001242,3.545217,0.669740,4.216199,9750.160571,4.233912
11,0.001451,3.510788,0.540077,4.052316,9750.164638,4.067516
12,0.001516,3.564353,0.656735,4.222604,9750.168878,4.240005
13,0.001492,3.552528,0.524874,4.078894,9750.172975,4.096712
14,0.001344,3.577899,0.592589,4.171832,9750.177163,4.188443
15,0.001227,3.607132,0.586788,4.195147,9750.181376,4.212342
16,0.004652,3.765086,0.334153,4.103891,9750.185512,4.135950
17,0.002235,3.551853,0.540513,4.094601,9750.189631,4.118971
18,0.001550,3.575122,0.615090,4.191762,9750.193836,4.205429
19,0.001496,3.549874,0.581130,4.132500,9750.197986,4.149890
20,0.001312,3.597968,0.559679,4.158959,9750.202166,4.180278
21,0.001096,3.566010,0.561159,4.128265,9750.206312,4.145888
22,0.001166,3.574123,0.581702,4.156991,9750.210486,4.173637
23,0.001377,3.575385,0.576834,4.153596,9750.214657,4.170882
24,0.001228,3.565840,0.628379,4.195447,9750.218869,4.212054
25,0.001368,3.549023,0.536205,4.086596,9750.222974,4.105268
26,0.001433,3.588920,0.579000,4.169353,9750.227161,4.186755
27,0.001309,3.574029,0.590209,4.165547,9750.231343,4.181836
28,0.001367,3.552474,0.599121,4.152962,9750.235513,4.170834
29,0.001303,3.559833,0.592115,4.153251,9750.239684,4.170477
30,0.001309,3.544244,0.580380,4.125933,9750.243828,4.143609
31,0.001524,3.563869,0.579282,4.144675,9750.247990,4.162115
32,0.001497,3.586932,0.588841,4.177270,9750.252188,4.198265
33,0.001166,3.543594,0.576217,4.120977,9750.256327,4.139423
34,0.001372,3.567903,0.607342,4.176617,9750.260521,4.193901
35,0.001952,3.558112,0.591279,4.151343,9750.264691,4.169316
36,0.001435,3.547902,0.596645,4.145982,9750.268854,4.163638
37,0.001466,3.549132,0.570165,4.120763,9750.272993,4.138897
38,0.001172,3.542262,0.645122,4.188556,9750.277204,4.211184
39,0.001267,3.568302,0.588991,4.158560,9750.281381,4.176789
40,0.002596,3.809151,0.281913,4.093660,9750.285502,4.121126
41,0.002279,3.571926,0.563348,4.137553,9750.289663,4.161135
42,0.001419,3.574406,0.583397,4.159222,9750.293840,4.176367
43,0.001435,3.554440,0.594044,4.149919,9750.298007,4.166837
44,0.001373,3.576338,0.564801,4.142512,9750.302166,4.159874
45,0.001003,3.581582,0.553765,4.136350,9750.306319,4.152795
46,0.001095,3.572097,0.643690,4.216882,9750.310553,4.233560
47,0.001512,13.250649,0.120663,13.372824,9750.323944,13.391156
48,0.001011,3.347705,0.150276,3.498992,9750.327453,3.509358
49,0.000946,3.484213,0.310286,3.795445,9750.331259,3.805718
50,0.000926,3.486071,0.613785,4.100782,9750.335372,4.113060
51,0.000811,3.496655,0.802750,4.300216,9750.339684,4.312391
52,0.000896,3.494098,0.658760,4.153754,9750.343850,4.165965
53,0.001246,3.432514,0.730633,4.164393,9750.348028,4.177455
54,0.000938,3.497420,0.546503,4.044861,9750.352085,4.057318
55,0.000909,3.498465,0.756854,4.256228,9750.356354,4.268507
56,0.000910,3.495585,0.614635,4.111130,9750.360477,4.123317
57,0.000949,3.483090,0.721203,4.205242,9750.364694,4.217341
58,0.000922,3.469376,0.682134,4.152432,9750.368859,4.164592
59,0.000999,3.457437,0.696178,4.154614,9750.373026,4.166896
60,0.000934,3.508707,0.617912,4.127553,9750.377166,4.139994
61,0.000885,3.492743,0.703127,4.196755,9750.381375,4.209026
62,0.000910,3.626662,0.379743,4.007315,9750.385394,4.019611
63,0.002368,3.544422,0.731653,4.278443,9750.389694,4.299382
64,0.000926,3.505217,0.639403,4.145546,9750.393852,4.158023
65,0.000856,3.457258,0.711325,4.169439,9750.398035,4.182886
66,0.001039,3.490327,0.556114,4.047480,9750.402095,4.059794
67,0.000917,3.491340,0.761986,4.254243,9750.406361,4.266454
68,0.000897,3.492089,0.658225,4.151211,9750.410524,4.163357
69,0.000902,3.492464,0.672941,4.166307,9750.414703,4.178629
70,0.000920,3.498305,0.645051,4.144276,9750.418860,4.156626
71,0.000922,3.467299,0.691666,4.159887,9750.423032,4.172177
72,0.000926,3.493580,0.682616,4.177122,9750.427221,4.189393
73,0.000904,3.504098,0.479112,3.984114,9750.431218,3.996585
74,0.000873,3.491159,0.653053,4.145085,9750.435375,4.157224
75,0.000859,3.492274,0.818631,4.311764,9750.439699,4.324061
76,0.000931,3.485313,0.669323,4.155567,9750.443867,4.167760
77,0.000935,3.472551,0.722346,4.195832,9750.448078,4.211185
78,0.000995,3.426817,0.685429,4.113241,9750.452203,4.125193
79,0.000891,3.419171,0.733207,4.153269,9750.456368,4.165136
80,0.000913,3.426595,0.730032,4.157540,9750.460538,4.169539
81,0.000875,3.477032,0.678935,4.156842,9750.464707,4.168754
82,0.000890,3.421192,0.737381,4.159463,9750.468878,4.171459
83,0.000830,3.387430,0.766928,4.155188,9750.473045,4.167157
84,0.000875,3.431380,0.676183,4.108438,9750.477166,4.120247
85,0.000829,3.536948,0.653793,4.191570,9750.481369,4.203632
86,0.001010,3.588943,0.529104,4.119057,9750.485500,4.131001
87,0.002499,3.487820,0.690974,4.181293,9750.489703,4.203311
88,0.000967,3.428599,0.730612,4.160178,9750.493876,4.172323
89,0.001159,3.473396,0.719679,4.194234,9750.498082,4.206256
90,0.001160,3.426084,0.709869,4.137113,9750.502231,4.149108
91,0.000838,3.536651,0.454543,3.992032,9750.506235,4.003968
92,0.000876,3.481662,0.688579,4.171117,9750.510418,4.183056
93,0.000903,3.416167,0.736166,4.153236,9750.514585,4.167156
94,0.000952,3.477200,0.800154,4.278306,9750.518876,4.290766
95,0.001047,3.441335,0.760705,4.203087,9750.523091,4.215102
