FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001129,3.461420,0.696638,4.159187,7562.624930,N/A
1,0.000903,3.396825,0.749693,4.147421,7562.629092,4.161928
2,0.000906,3.503683,0.636426,4.141015,7562.633245,4.153751
3,0.000824,3.674864,0.439007,4.114695,7562.637373,4.127217
4,0.001908,3.536991,0.684371,4.223270,7562.641616,4.243892
5,0.000864,3.415751,0.721153,4.137768,7562.645767,4.151062
6,0.000887,3.474587,0.676368,4.151842,7562.649932,4.164496
7,0.000825,3.433226,0.722508,4.156559,7562.654101,4.169076
8,0.000982,3.485493,0.673218,4.159693,7562.658273,4.172368
9,0.000831,3.468545,0.657689,4.127065,7562.662413,4.140065
10,0.000916,3.476570,0.633302,4.110788,7562.666537,4.123401
11,0.000850,3.480557,0.744829,4.226236,7562.670776,4.238772
12,0.000936,3.463031,0.688922,4.152889,7562.674941,4.165556
13,0.000854,3.385869,0.750334,4.137057,7562.679091,4.149693
14,0.000819,3.444526,0.726894,4.172239,7562.683276,4.184828
15,0.000917,3.470553,0.613965,4.085435,7562.687374,4.098320
16,0.000870,3.462706,0.711086,4.174662,7562.691561,4.187289
17,0.000895,3.470792,0.929902,4.401589,7562.695976,4.414962
18,0.001138,3.462339,0.459501,3.922978,7562.699912,3.935392
19,0.000804,3.449374,0.720584,4.170762,7562.704095,4.183302
20,0.000887,3.490373,0.677919,4.169179,7562.708277,4.181922
21,0.000858,3.481045,0.602665,4.084568,7562.712374,4.097041
22,0.000867,3.468305,0.752103,4.221275,7562.716608,4.233896
23,0.000777,3.405908,0.746940,4.153625,7562.720774,4.166075
24,0.000856,3.475521,0.677753,4.154130,7562.724941,4.166738
25,0.001010,3.413745,0.723705,4.138460,7562.729093,4.151904
26,0.000859,3.473070,0.707067,4.180996,7562.733286,4.193620
27,0.000776,3.599540,0.487098,4.087414,7562.737386,4.099930
28,0.001916,3.518765,0.667255,4.187936,7562.741598,4.212230
29,0.000857,3.478582,0.690729,4.170168,7562.745781,4.182964
30,0.000904,3.487156,0.647022,4.135082,7562.749929,4.147560
31,0.000775,3.443398,0.702511,4.146684,7562.754088,4.159446
32,0.000854,3.489611,0.699748,4.190213,7562.758291,4.202769
33,0.000762,3.474054,0.605965,4.080781,7562.762385,4.093824
34,0.000842,3.474418,0.738394,4.213654,7562.766611,4.226108
35,0.001008,3.469935,0.688046,4.158989,7562.770782,4.171376
36,0.000771,3.470681,0.690937,4.162389,7562.774958,4.175123
37,0.000795,3.489165,0.637860,4.127820,7562.779098,4.140323
38,0.000786,3.470408,0.702847,4.174041,7562.783284,4.186573
39,0.000838,3.483050,0.607623,4.091511,7562.787389,4.104093
40,0.000847,3.479180,0.739300,4.219327,7562.791620,4.231770
41,0.000840,3.462378,0.690995,4.154213,7562.795788,4.167943
42,0.000815,3.472217,0.681603,4.154635,7562.799955,4.167110
43,0.000855,3.476454,0.676137,4.153446,7562.804121,4.165941
44,0.001471,3.492542,0.643313,4.137326,7562.808271,4.149906
45,0.000833,12.202102,0.232132,12.435067,7562.820719,12.447541
46,0.001189,3.403581,0.920209,4.324979,7562.825055,4.336590
47,0.001277,3.500370,0.471654,3.973301,7562.829041,3.985816
48,0.000861,3.472410,0.717727,4.190998,7562.833245,4.203422
49,0.000774,3.565116,3.479058,7.044948,7562.840302,7.057411
50,0.002952,4.272457,1.176868,5.452277,7562.845788,5.486504
51,0.001327,3.482551,0.651192,4.135070,7562.849938,4.149573
52,0.000887,3.539485,0.586358,4.126730,7562.854077,4.138883
53,0.000782,3.474854,0.688039,4.163675,7562.858254,4.176679
54,0.000847,3.478357,0.474787,3.953991,7562.862220,3.966238
55,0.000848,3.501856,0.676391,4.179095,7562.866411,4.191290
56,0.000829,3.497634,0.856892,4.355355,7562.870779,4.367495
57,0.000773,3.491765,0.681206,4.173744,7562.874965,4.185985
58,0.000784,3.486187,0.592581,4.079552,7562.879056,4.091531
59,0.000768,3.498070,0.718572,4.217410,7562.883286,4.229707
60,0.000813,3.488810,0.454455,3.944078,7562.887242,3.956224
61,0.000795,3.497022,0.662813,4.160630,7562.891415,4.172755
62,0.000799,3.492406,0.863925,4.357130,7562.895784,4.369236
63,0.000838,3.494765,0.659313,4.154916,7562.899951,4.167068
64,0.000741,3.502856,0.651991,4.155588,7562.904119,4.167604
65,0.001017,3.492497,0.654741,4.148255,7562.908280,4.161182
66,0.000792,3.494243,0.423558,3.918593,7562.912211,3.930638
67,0.000903,3.512074,0.683656,4.196633,7562.916418,4.207459
68,0.001187,3.509403,0.854321,4.364911,7562.920795,4.377022
69,0.000734,3.484375,0.676032,4.161141,7562.924968,4.173390
70,0.000838,3.492575,0.620990,4.114403,7562.929095,4.126532
71,0.000816,3.492854,0.683058,4.176728,7562.933284,4.188943
72,0.000868,3.593582,0.410333,4.004783,7562.937301,4.016976
73,0.001825,3.585199,0.715175,4.302199,7562.941626,4.325477
74,0.000834,3.486780,0.594277,4.081891,7562.945722,4.095212
75,0.000764,3.502161,0.722822,4.225747,7562.949960,4.238004
