FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001257,3.374792,0.100018,3.476067,12402.153912,N/A
1,0.001025,3.348888,0.139897,3.489810,12402.157414,3.501576
2,0.000908,3.370158,0.117804,3.488870,12402.160914,3.500458
3,0.000785,3.377330,0.137362,3.515477,12402.164440,3.525484
4,0.000815,3.339463,0.119073,3.459351,12402.167909,3.469124
5,0.000796,3.444527,0.139420,3.584743,12402.171504,3.595046
6,0.000903,3.427401,0.119372,3.547676,12402.175061,3.557630
7,0.002223,3.602155,0.170935,3.775313,12402.178856,3.794282
8,0.001229,3.400333,0.137943,3.539505,12402.182409,3.553749
9,0.000972,3.366548,0.103495,3.471015,12402.185891,3.481986
10,0.000938,3.377053,0.141717,3.519708,12402.189422,3.530642
11,0.000789,3.382366,0.105239,3.488394,12402.192920,3.498131
12,0.000871,3.343173,0.138151,3.482195,12402.196413,3.492493
13,0.000863,3.365162,0.103653,3.469678,12402.199892,3.479210
14,0.000893,3.345395,0.141742,3.488030,12402.203390,3.497628
15,0.000851,3.368735,0.129387,3.498973,12402.206899,3.509137
16,0.000820,3.369735,0.138214,3.508769,12402.210417,3.518266
17,0.001173,3.347592,0.121059,3.469824,12402.213897,3.480313
18,0.000905,3.370251,0.146678,3.517834,12402.217425,3.527821
19,0.000887,3.343826,0.109607,3.454320,12402.220889,3.464001
20,0.000930,3.381575,0.138281,3.520786,12402.224419,3.530330
21,0.000861,3.371778,0.102485,3.475124,12402.227904,3.484896
22,0.000927,3.382884,0.141483,3.525294,12402.231439,3.534873
23,0.000890,3.370458,0.097171,3.468519,12402.234917,3.478041
24,0.000816,3.380965,0.134788,3.516569,12402.238443,3.526152
25,0.000804,3.375988,0.067855,3.444647,12402.241898,3.454627
26,0.000933,3.372651,0.148252,3.521836,12402.245430,3.531573
27,0.000831,3.372523,0.093531,3.466885,12402.248906,3.476665
28,0.000839,3.418574,0.138045,3.557458,12402.252473,3.566981
29,0.000867,3.379391,0.068755,3.449013,12402.255932,3.459100
30,0.000909,3.378677,0.161029,3.540615,12402.259482,3.550106
31,0.000839,3.380194,0.068027,3.449060,12402.262941,3.458750
32,0.000804,3.377335,0.146532,3.524671,12402.266475,3.534129
33,0.000898,3.350606,0.066640,3.418144,12402.269903,3.427850
34,0.000913,3.377457,0.141056,3.519426,12402.273432,3.528937
35,0.000892,7.067513,0.122898,7.191303,12402.280633,7.201265
