FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001093,3.475241,0.815054,4.291388,7567.825662,N/A
1,0.000787,3.486298,0.552795,4.039880,7567.829716,4.054088
2,0.000785,3.475685,0.800547,4.277017,7567.834006,4.289465
3,0.000818,3.454159,0.620094,4.075071,7567.838094,4.087873
4,0.001359,3.476288,0.690603,4.168250,7567.842274,4.180773
5,0.000743,3.477173,0.562923,4.040839,7567.846328,4.053766
6,0.000779,3.472669,0.820095,4.293543,7567.850634,4.305889
7,0.000783,3.494444,0.575396,4.070623,7567.854718,4.083778
8,0.000839,3.482423,0.794503,4.277765,7567.859008,4.290249
9,0.001161,3.481506,0.567644,4.050311,7567.863071,4.062964
10,0.000871,3.473917,0.767577,4.242365,7567.867326,4.254823
11,0.000747,3.472579,0.550734,4.024060,7567.871362,4.036526
12,0.000784,3.475088,0.614274,4.090146,7567.875465,4.102606
13,0.000762,3.468341,0.891838,4.360941,7567.879839,4.373624
14,0.000819,3.467825,0.563135,4.031779,7567.883883,4.044097
15,0.001089,3.432958,0.806595,4.240642,7567.888136,4.252910
16,0.000841,3.549721,0.504979,4.055541,7567.892204,4.068006
17,0.002645,3.565283,0.549679,4.117607,7567.896346,4.142666
18,0.000925,3.479419,0.799325,4.279669,7567.900640,4.293239
19,0.000796,3.492253,0.578490,4.071539,7567.904724,4.084100
20,0.000784,3.479728,0.779769,4.260281,7567.908996,4.272824
21,0.000775,3.470543,0.571165,4.042483,7567.913057,4.060269
22,0.000764,3.472481,0.803422,4.276667,7567.917346,4.289181
23,0.000757,3.472860,0.560681,4.034298,7567.921393,4.046699
24,0.001162,3.471375,0.775797,4.248334,7567.925653,4.260628
25,0.001023,3.482915,0.586117,4.070055,7567.929736,4.083024
26,0.000863,3.487124,0.763137,4.251124,7567.934000,4.263371
27,0.000875,3.470769,0.603721,4.075365,7567.938092,4.092833
28,0.000744,3.481681,0.735095,4.217520,7567.942322,4.229998
29,0.000773,3.478194,0.569168,4.048135,7567.946383,4.060624
30,0.000834,3.473964,0.796605,4.271403,7567.950667,4.283723
31,0.000869,3.480871,0.574948,4.056688,7567.954736,4.068986
32,0.000881,3.475607,0.787112,4.263600,7567.959012,4.275939
33,0.000734,3.476149,0.574436,4.051319,7567.963076,4.064239
34,0.000790,3.470794,0.784572,4.256156,7567.967344,4.268372
35,0.000829,3.468441,0.569149,4.038419,7567.971395,4.050935
36,0.000821,3.471296,0.792695,4.264812,7567.975672,4.277036
37,0.000816,3.482683,0.572109,4.055608,7567.979740,4.068006
38,0.000748,3.475490,0.784390,4.260628,7567.984013,4.273155
39,0.001177,3.474377,0.570798,4.046352,7567.988072,4.058902
40,0.000756,3.479207,0.640585,4.120548,7567.992205,4.132886
41,0.001416,3.656862,0.533107,4.191385,7567.996419,4.213479
42,0.001524,3.509597,0.719594,4.230715,7568.000668,4.248920
43,0.000854,3.473037,0.626722,4.100613,7568.004781,4.113397
44,0.000770,3.470018,0.731010,4.201798,7568.008995,4.214363
45,0.000825,3.478757,0.553625,4.033207,7568.013046,4.050240
46,0.000830,3.469315,0.825247,4.295392,7568.017353,4.307649
47,0.000817,13.068244,0.160901,13.229962,7568.030596,13.242400
48,0.000891,3.498379,0.160038,3.659308,7568.034266,3.670411
49,0.000919,3.468435,0.123456,3.592810,7568.037870,3.603735
50,0.000818,3.415687,0.894847,4.311352,7568.042192,4.322055
51,0.000848,3.473879,0.561617,4.036344,7568.046240,4.048564
52,0.000804,3.489336,0.629620,4.119760,7568.050371,4.130656
53,0.000782,3.493664,0.887761,4.382207,7568.054767,4.395465
54,0.001173,3.510000,0.590320,4.101493,7568.058880,4.113835
55,0.000850,3.449009,0.787846,4.237705,7568.063130,4.249993
56,0.000880,3.495460,0.463016,3.959356,7568.067102,3.971614
57,0.000773,3.507105,0.798205,4.306083,7568.071420,4.318324
58,0.000801,3.490884,0.669618,4.161303,7568.075594,4.173480
59,0.000754,3.504259,0.562314,4.067327,7568.079673,4.079553
60,0.000743,3.499195,0.732485,4.232423,7568.083918,4.244714
61,0.000831,3.428663,0.743252,4.172746,7568.088103,4.185080
62,0.000802,3.502172,0.462796,3.965770,7568.092081,3.977931
63,0.000814,5.542540,0.163440,5.706794,7568.097800,5.719113
64,0.002523,3.633660,0.183162,3.819345,7568.101643,3.843016
65,0.001277,3.523182,0.155303,3.679762,7568.105339,3.696092
66,0.000851,3.497366,0.084430,3.582647,7568.108933,3.593606
67,0.000844,3.436921,0.495532,3.933297,7568.112877,3.944114
68,0.000800,3.413952,0.749423,4.164175,7568.117052,4.174851
69,0.001019,3.437062,0.942952,4.381033,7568.121443,4.391386
70,0.000837,3.484592,0.626861,4.112290,7568.125568,4.124635
71,0.000867,3.492526,0.600563,4.093956,7568.129674,4.106227
72,0.000754,3.503137,0.709019,4.212910,7568.133899,4.225173
73,0.000783,3.486549,0.679918,4.167250,7568.138079,4.179629
74,0.000800,3.501588,0.584747,4.087135,7568.142178,4.099406
75,0.000820,3.486990,0.729083,4.216893,7568.146407,4.229121
76,0.000894,3.488879,0.651472,4.141245,7568.150561,4.153431
77,0.000726,3.502362,0.667475,4.170563,7568.154746,4.185274
78,0.000812,3.496733,0.654005,4.151550,7568.158910,4.163753
79,0.000827,3.439797,0.656131,4.096755,7568.163019,4.109018
80,0.000846,3.493080,0.653902,4.147828,7568.167179,4.160107
81,0.000847,3.493716,0.639488,4.134051,7568.171325,4.146211
82,0.000730,3.496975,0.737473,4.235178,7568.175573,4.247273
83,0.000719,3.488549,0.680210,4.169478,7568.179754,4.181785
84,0.000730,3.500292,0.642449,4.143471,7568.183910,4.155657
85,0.000776,3.435512,0.723240,4.159528,7568.188082,4.171766
86,0.000826,3.492872,0.606368,4.100066,7568.192194,4.112433
87,0.000908,3.493575,0.624953,4.119436,7568.196326,4.131631
88,0.003127,3.626483,0.528362,4.157972,7568.200524,4.197748
89,0.001096,3.534156,0.542096,4.077348,7568.204619,4.095179
90,0.000812,3.468091,0.810113,4.279016,7568.208910,4.291323
91,0.000925,3.469045,0.693193,4.163163,7568.213086,4.175518
92,0.000740,3.498995,0.592075,4.091810,7568.217190,4.104031
93,0.000775,3.493244,0.721584,4.215603,7568.221421,4.231352
94,0.000849,3.496401,0.650945,4.148195,7568.225581,4.160405
95,0.000779,3.505743,0.659567,4.166089,7568.229760,4.178223
96,0.000800,3.482676,0.660063,4.143539,7568.233915,4.155746
97,0.000767,3.406970,0.788799,4.196536,7568.238124,4.208562
98,0.000758,3.489581,0.539022,4.029361,7568.242165,4.041543
99,0.000761,3.429405,0.825552,4.255718,7568.246433,4.267671
100,0.000750,3.456578,0.684044,4.141372,7568.250586,4.153200
101,0.000751,3.502230,0.665013,4.167994,7568.254766,4.180083
102,0.000829,3.516263,0.595998,4.113090,7568.258891,4.125075
103,0.001120,3.364032,0.848602,4.213754,7568.263117,4.225777
104,0.000788,3.434926,0.643144,4.078858,7568.267208,4.090955
105,0.000764,3.476728,0.757351,4.234843,7568.271455,4.246769
106,0.000936,3.507644,0.591740,4.100320,7568.275567,4.112232
107,0.000836,3.428661,0.781945,4.211442,7568.279791,4.223391
108,0.000758,3.422739,0.698909,4.122406,7568.283925,4.134305
109,0.000772,3.407259,0.776504,4.184535,7568.288124,4.198888
110,0.000774,3.432890,0.645588,4.079252,7568.292215,4.091386
111,0.000731,3.438228,0.743219,4.182178,7568.296409,4.194135
112,0.000935,3.607091,0.499542,4.107568,7568.300530,4.120331
113,0.001306,3.447936,0.768439,4.217681,7568.304768,4.238089
114,0.000831,3.423037,0.720820,4.144688,7568.308925,4.156816
115,0.000832,3.358006,0.823823,4.182661,7568.313119,4.194657
116,0.000758,3.426034,0.666982,4.093774,7568.317225,4.105805
117,0.000763,3.430771,0.766337,4.197871,7568.321435,4.209845
118,0.000816,3.418866,0.727061,4.146743,7568.325594,4.158694
119,0.000772,3.422614,0.700169,4.123555,7568.329729,4.135452
