FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001335,3.352617,0.069675,3.423627,12441.021913,N/A
1,0.001090,3.359503,0.142383,3.502976,12441.025428,3.514932
2,0.000927,3.386377,0.099640,3.486944,12441.028927,3.498393
3,0.000758,3.419161,0.140856,3.560775,12441.032498,3.571503
4,0.000904,3.378742,0.066726,3.446372,12441.035955,3.456645
5,0.000955,3.344997,0.137037,3.482989,12441.039449,3.494274
6,0.000906,3.382522,0.069429,3.452857,12441.042912,3.462775
7,0.000828,3.363309,0.140615,3.504752,12441.046427,3.514578
8,0.000857,3.376714,0.094677,3.472248,12441.049909,3.482150
9,0.000890,3.390928,0.138995,3.530813,12441.053450,3.541339
10,0.001066,3.375910,0.067459,3.444435,12441.056904,3.454403
11,0.001121,3.350679,0.147642,3.499442,12441.060414,3.509439
12,0.000939,3.397741,0.099922,3.498602,12441.063922,3.508374
13,0.000868,3.357503,0.133600,3.491971,12441.067424,3.501943
14,0.000833,3.378738,0.096812,3.476383,12441.070910,3.486115
15,0.000814,3.379370,0.141821,3.522005,12441.074442,3.531732
16,0.001352,3.388870,0.067477,3.457699,12441.077910,3.467791
17,0.000926,3.386279,0.138950,3.526155,12441.081447,3.536772
18,0.000927,3.390632,0.068268,3.459827,12441.084916,3.469778
19,0.000998,3.351643,0.148336,3.500977,12441.088427,3.510887
20,0.001019,3.588077,0.184812,3.773908,12441.092211,3.783641
21,0.002166,3.481753,0.146426,3.630345,12441.095860,3.649435
22,0.001392,3.421584,0.140360,3.563336,12441.099435,3.574678
23,0.001011,3.393072,0.070788,3.464871,12441.102911,3.475718
24,0.000879,3.390870,0.141419,3.533168,12441.106454,3.543319
25,0.000806,3.345896,0.097670,3.444372,12441.109909,3.455073
26,0.000743,3.422756,0.141704,3.565203,12441.113484,3.575198
27,0.000808,3.392670,0.070642,3.464120,12441.116958,3.474082
28,0.000865,3.384848,0.137826,3.523539,12441.120492,3.533440
29,0.000779,3.381655,0.067748,3.450182,12441.123952,3.460039
30,0.000839,3.350717,0.135417,3.486973,12441.127449,3.497066
