FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001115,3.467547,0.715678,4.184340,9820.269039,N/A
1,0.000884,3.496515,0.694884,4.192283,9820.273245,4.206177
2,0.001082,3.491972,0.602007,4.095061,9820.277353,4.108121
3,0.000899,3.498204,0.643716,4.142819,9820.281509,4.155494
4,0.000961,3.477014,0.741209,4.219184,9820.285740,4.231480
5,0.000921,3.491636,0.661792,4.154349,9820.289908,4.167157
6,0.000906,3.439702,0.693595,4.134203,9820.294054,4.146497
7,0.000936,3.474450,0.712620,4.188006,9820.298255,4.200537
8,0.000968,3.498902,0.586207,4.086077,9820.302353,4.098611
9,0.001309,3.482620,0.717000,4.200929,9820.306567,4.213639
10,0.001019,3.496160,0.621729,4.118908,9820.310699,4.131618
11,0.000830,3.498350,0.703069,4.202249,9820.314913,4.214673
12,0.000881,3.419696,0.704269,4.124846,9820.319051,4.137346
13,0.000975,3.497021,0.698000,4.195996,9820.323259,4.208496
14,0.000899,3.505210,0.566865,4.072974,9820.327344,4.085363
15,0.000921,3.501320,0.667753,4.169994,9820.331527,4.182390
16,0.000950,3.499535,0.673007,4.173492,9820.335713,4.185971
17,0.000908,3.661177,0.470760,4.132845,9820.339859,4.146344
18,0.002054,3.502056,0.711657,4.215767,9820.344094,4.235253
19,0.000950,3.499576,0.583741,4.084267,9820.348192,4.097329
20,0.000926,3.497626,0.700741,4.199293,9820.352403,4.211767
21,0.000908,3.496645,0.669722,4.167275,9820.356583,4.179645
22,0.000989,3.501411,0.587847,4.090247,9820.360686,4.102548
23,0.000853,3.509305,0.718958,4.229116,9820.364927,4.241552
24,0.000889,3.431521,0.723630,4.156040,9820.369096,4.168413
25,0.000830,3.502291,0.653129,4.156250,9820.373265,4.169797
26,0.000973,3.497641,0.590230,4.088844,9820.377367,4.101128
27,0.000897,3.491784,0.660324,4.153005,9820.381532,4.165364
28,0.000872,3.499221,0.717889,4.217982,9820.385762,4.230466
29,0.001172,3.505574,0.649196,4.155942,9820.389931,4.168499
30,0.000839,3.428827,0.717319,4.146985,9820.394090,4.159381
31,0.000911,3.498587,0.579287,4.078785,9820.398181,4.091175
