FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001371,3.516195,0.687380,4.204946,9846.747303,N/A
1,0.000961,3.493618,0.583775,4.078354,9846.751395,4.091952
2,0.000918,3.457899,0.765042,4.223859,9846.755632,4.236565
3,0.001228,3.451188,0.720292,4.172708,9846.759817,4.185517
4,0.000929,3.428039,0.696038,4.125006,9846.763955,4.137528
5,0.000976,3.499666,0.627977,4.128619,9846.768096,4.141890
6,0.000987,3.503191,0.691878,4.196056,9846.772305,4.208475
7,0.000918,3.494781,0.602386,4.098085,9846.776415,4.110505
8,0.001271,3.472859,0.720861,4.194991,9846.780623,4.207487
9,0.000901,3.457756,0.699238,4.157895,9846.784794,4.170571
10,0.000927,3.497171,0.647649,4.145747,9846.788952,4.158059
11,0.000926,3.375771,0.745967,4.122664,9846.793087,4.134971
12,0.001008,3.468467,0.732879,4.202354,9846.797302,4.215100
13,0.000974,3.455283,0.624800,4.081057,9846.801395,4.093287
14,0.000890,3.451749,0.769263,4.221902,9846.805629,4.234276
15,0.000947,3.453200,0.715620,4.169767,9846.809811,4.182192
16,0.000883,3.455490,0.670480,4.126853,9846.813951,4.139264
17,0.001278,3.501482,0.680034,4.182794,9846.818147,4.196101
18,0.001468,3.663778,0.434044,4.099290,9846.822261,4.114560
19,0.001503,3.488878,0.619354,4.109735,9846.826389,4.128046
20,0.000916,3.501762,0.695629,4.198307,9846.830600,4.210843
21,0.000951,3.449473,0.897883,4.348307,9846.834961,4.360753
22,0.001046,3.423892,0.526602,3.951540,9846.838925,3.963860
23,0.000870,3.429368,0.708002,4.138240,9846.843076,4.150820
24,0.000911,3.470604,0.749077,4.220592,9846.847309,4.232870
25,0.000907,3.490004,0.584184,4.075095,9846.851397,4.088384
26,0.000875,3.452429,0.776079,4.229383,9846.855639,4.241865
27,0.000993,3.444157,0.861458,4.306608,9846.859958,4.318897
28,0.000890,3.460926,0.465124,3.926940,9846.863897,3.939251
29,0.000893,3.451389,0.727234,4.179516,9846.868089,4.191871
30,0.000999,3.496060,0.709541,4.206600,9846.872308,4.219359
31,0.000900,3.496245,0.579627,4.076772,9846.876397,4.089103
32,0.000938,3.456780,0.913525,4.371243,9846.880781,4.383564
33,0.001067,3.490927,0.480555,3.972549,9846.884766,3.985130
34,0.001286,3.502632,0.684442,4.188360,9846.888967,4.200618
35,0.001020,3.502024,0.611974,4.115018,9846.893094,4.127374
36,0.000942,3.475682,0.717814,4.194438,9846.897301,4.206830
37,0.000873,3.469495,0.626359,4.096727,9846.901410,4.109398
38,0.000914,3.445217,0.770300,4.216431,9846.905639,4.228761
39,0.000967,3.441133,0.720388,4.162488,9846.909814,4.174768
40,0.001006,3.419075,0.694848,4.114929,9846.913941,4.127230
41,0.000899,3.485093,0.702028,4.188020,9846.918142,4.200761
42,0.001055,3.599164,0.526634,4.126853,9846.922281,4.139128
43,0.002709,3.528583,0.569166,4.100458,9846.926401,4.119840
44,0.000934,3.467716,0.925333,4.393983,9846.930808,4.406897
45,0.001025,3.473782,0.463761,3.938568,9846.934758,3.950871
46,0.001298,3.489163,0.717502,4.207963,9846.938979,4.220282
47,0.000915,13.244086,0.088092,13.333093,9846.952324,13.345405
48,0.000987,3.362607,0.149909,3.513503,9846.955849,3.524429
49,0.001076,3.385853,0.400076,3.787005,9846.959646,3.797194
50,0.000890,3.490479,0.771234,4.262603,9846.963921,4.274909
51,0.000913,3.455820,0.618235,4.074968,9846.968008,4.087276
52,0.000911,3.495121,0.715443,4.211475,9846.972232,4.223722
53,0.001159,3.490225,0.490853,3.982237,9846.976227,3.995350
