FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001181,3.511827,0.586981,4.099989,7574.301304,N/A
1,0.000783,3.512285,0.674851,4.187919,7574.305507,4.202405
2,0.000851,3.434832,0.739401,4.175084,7574.309695,4.187740
3,0.000803,3.500688,0.633393,4.134884,7574.313842,4.147510
4,0.001013,3.458054,0.721477,4.180544,7574.318035,4.192990
5,0.000740,3.511733,0.605775,4.118248,7574.322166,4.131258
6,0.000795,3.503944,0.675307,4.180046,7574.326359,4.192773
7,0.000849,3.505491,0.615706,4.122046,7574.330494,4.134936
8,0.000868,3.501441,0.673585,4.175894,7574.334682,4.188305
9,0.000800,3.504011,0.657214,4.162025,7574.338858,4.175274
10,0.000759,3.465106,0.708606,4.174471,7574.343045,4.187296
11,0.000822,3.496280,0.589861,4.086963,7574.347144,4.099533
12,0.000917,3.518429,0.624839,4.144185,7574.351301,4.156912
13,0.000954,3.462800,0.741220,4.204974,7574.355518,4.216278
14,0.000798,3.550906,0.573819,4.125523,7574.359656,4.138303
15,0.001001,3.556972,0.594015,4.151988,7574.363820,4.164546
16,0.000852,5.561554,0.226823,5.789229,7574.369622,5.801897
17,0.003082,4.011195,0.131425,4.145702,7574.373797,4.174888
18,0.001871,3.447888,0.159562,3.609321,7574.377423,3.625608
19,0.000797,3.518092,0.091096,3.609985,7574.381044,3.621280
20,0.001004,3.513962,0.123727,3.638693,7574.384694,3.650223
21,0.000809,3.461621,0.663299,4.125729,7574.388832,4.137441
22,0.000813,3.468018,0.695197,4.164028,7574.393008,4.176665
23,0.000770,3.502868,0.689767,4.193405,7574.397215,4.206307
24,0.001180,3.501790,0.551653,4.054623,7574.401282,4.067097
25,0.001064,3.472864,0.757203,4.231131,7574.405526,4.244229
26,0.000769,3.492618,0.674281,4.167668,7574.409706,4.180083
27,0.000774,3.489276,0.670137,4.160187,7574.413879,4.172677
28,0.000801,3.421812,0.738247,4.160860,7574.418053,4.173852
29,0.000757,3.486714,0.652313,4.139784,7574.422205,4.152205
30,0.000801,3.525426,0.573307,4.099534,7574.426317,4.112049
31,0.000780,3.494030,0.652667,4.147477,7574.430477,4.159870
32,0.000868,3.495174,0.742259,4.238301,7574.434728,4.251069
33,0.000768,3.476444,0.655945,4.133157,7574.438874,4.146194
34,0.000809,3.432527,0.828240,4.261576,7574.443148,4.274141
35,0.000844,3.495015,0.476681,3.972540,7574.447133,3.985132
