FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001204,3.391398,0.143969,3.536571,12489.328878,N/A
1,0.000941,3.354486,0.125111,3.480538,12489.332370,3.492160
2,0.000838,3.379998,0.178838,3.559674,12489.335940,3.570519
3,0.001094,3.378688,0.124232,3.504014,12489.339454,3.513625
4,0.000844,3.372825,0.068284,3.441953,12489.342906,3.451752
5,0.000800,3.348067,0.123334,3.472201,12489.346388,3.482413
6,0.000907,3.375876,0.125919,3.502702,12489.349901,3.512808
7,0.000870,3.380632,0.131469,3.512971,12489.353424,3.522958
8,0.000966,3.356261,0.093773,3.451000,12489.356885,3.460950
9,0.000896,3.377794,0.123560,3.502250,12489.360397,3.512399
10,0.000948,3.375159,0.123780,3.499887,12489.363907,3.509709
11,0.000791,3.372262,0.123675,3.496728,12489.367414,3.506768
12,0.000868,3.368822,0.098638,3.468328,12489.370892,3.478266
13,0.000982,3.380262,0.123480,3.504724,12489.374407,3.514878
14,0.001235,3.376459,0.099285,3.476979,12489.377894,3.486764
15,0.000681,3.373572,0.128385,3.502638,12489.381406,3.512728
16,0.000868,3.372862,0.097746,3.471476,12489.384887,3.481122
17,0.000792,3.382965,0.125771,3.509528,12489.388408,3.520102
18,0.000848,3.373615,0.096964,3.471427,12489.391888,3.480895
19,0.000924,3.389443,0.142247,3.532614,12489.395431,3.542697
20,0.000905,3.401011,0.100177,3.502093,12489.398943,3.511854
21,0.001670,3.620614,0.159519,3.781803,12489.402739,3.796387
22,0.001618,3.383587,0.124089,3.509294,12489.406262,3.523079
23,0.001559,3.379545,0.166026,3.547130,12489.409820,3.557552
24,0.000965,3.391425,0.130134,3.522524,12489.413353,3.532586
25,0.001058,3.377426,0.122192,3.500676,12489.416864,3.510963
26,0.000891,3.379720,0.136624,3.517235,12489.420390,3.526906
27,0.000833,3.339180,0.122204,3.462217,12489.423862,3.471799
28,0.000868,3.382349,0.126067,3.509284,12489.427381,3.518761
29,0.000894,3.372676,0.122408,3.495978,12489.430886,3.505422
30,0.000884,3.341517,0.124126,3.466527,12489.434363,3.476132
31,0.000777,3.379969,0.120704,3.501450,12489.437874,3.511374
32,0.000920,3.377998,0.144643,3.523561,12489.441407,3.533090
33,0.000882,3.376884,0.096565,3.474331,12489.444892,3.484528
34,0.000908,3.385934,0.172499,3.559341,12489.448461,3.569077
35,0.000789,3.373650,0.066857,3.441296,12489.451912,3.450905
36,0.001128,3.385111,0.125215,3.511454,12489.455433,3.521189
37,0.000825,3.380263,0.092619,3.473707,12489.458916,3.483513
38,0.000888,3.389398,0.123378,3.513664,12489.462440,3.523552
39,0.000840,3.371074,0.116777,3.488691,12489.465938,3.498203
40,0.000819,3.358640,0.123496,3.482955,12489.469431,3.492752
41,0.000799,3.372970,0.097543,3.471312,12489.472912,3.481515
42,0.000867,3.374807,0.125945,3.501619,12489.476424,3.511265
43,0.000856,3.365372,0.095430,3.461658,12489.479895,3.471328
44,0.000793,3.342746,0.121986,3.465525,12489.483370,3.475075
45,0.001149,3.371674,0.127309,3.500132,12489.486880,3.509730
46,0.000824,3.373127,0.121137,3.495088,12489.490384,3.504499
47,0.000849,3.370988,0.124169,3.496006,12489.493890,3.505414
48,0.000718,3.364746,0.119870,3.485334,12489.497384,3.494857
49,0.000789,3.503895,0.144358,3.649042,12489.501043,3.658809
50,0.003760,3.492385,0.141111,3.637256,12489.504701,3.657970
51,0.001122,3.418695,0.124965,3.544782,12489.508261,3.559358
52,0.000893,3.396407,0.125138,3.522438,12489.511793,3.532489
53,0.000891,3.376049,0.124791,3.501731,12489.515306,3.512423
54,0.001020,3.373085,0.122691,3.496796,12489.518812,3.506579
55,0.000742,3.381827,0.121951,3.504520,12489.522326,3.514265
56,0.001030,3.374041,0.124447,3.499518,12489.525836,3.509194
57,0.000890,3.376971,0.129307,3.507168,12489.529352,3.516603
58,0.000856,3.369263,0.124369,3.494488,12489.532856,3.504291
59,0.000911,3.375797,0.126532,3.503240,12489.536369,3.512748
60,0.000829,3.370879,0.124859,3.496567,12489.539875,3.506304
61,0.000876,12.738277,0.150469,12.889622,12489.552775,12.899350
62,0.000903,3.362303,0.103721,3.466927,12489.556252,3.476677
63,0.000941,3.390008,0.148025,3.538974,12489.559800,3.548654
64,0.000864,3.381564,0.137410,3.519838,12489.563330,3.529855
65,0.001094,3.374553,0.136455,3.512102,12489.566853,3.522700
66,0.000861,3.380027,0.135791,3.516679,12489.570379,3.526397
67,0.000974,3.381050,0.130821,3.512845,12489.573902,3.522456
68,0.000831,3.387625,0.136818,3.525274,12489.577436,3.534785
69,0.000734,3.382154,0.095998,3.478886,12489.580925,3.488514
70,0.000846,3.389647,0.140810,3.531303,12489.584466,3.540837
71,0.000801,3.380851,0.067673,3.449325,12489.587925,3.458956
72,0.000888,3.388176,0.140796,3.529860,12489.591464,3.539507
73,0.000827,3.372120,0.069214,3.442161,12489.594916,3.451635
74,0.000812,3.386111,0.193543,3.580466,12489.598506,3.590233
75,0.000937,3.503583,0.198012,3.702532,12489.602218,3.711965
76,0.002192,3.455063,0.140666,3.597921,12489.605835,3.616601
77,0.000776,3.386016,0.139667,3.526459,12489.609375,3.540089
78,0.001028,3.375293,0.130946,3.507267,12489.612892,3.517428
79,0.000818,3.390763,0.139325,3.530906,12489.616433,3.540676
80,0.000893,3.383475,0.094950,3.479318,12489.619922,3.489049
81,0.000873,3.389487,0.201437,3.591797,12489.623523,3.601371
82,0.000943,3.379046,0.064880,3.444869,12489.626978,3.454726
83,0.000763,3.380580,0.141395,3.522738,12489.630510,3.532131
84,0.000728,3.373858,0.065832,3.440418,12489.633960,3.449843
85,0.000848,3.377668,0.142619,3.521135,12489.637491,3.530722
86,0.000860,3.376696,0.066576,3.444132,12489.640944,3.453729
87,0.000806,3.387701,0.140374,3.528881,12489.644483,3.538460
88,0.000842,3.385221,0.066412,3.452475,12489.647945,3.462071
89,0.000817,3.383520,0.140795,3.525132,12489.651479,3.534527
90,0.000891,3.380202,0.066348,3.447441,12489.654937,3.457204
91,0.000879,3.396679,0.141016,3.538574,12489.658485,3.547886
92,0.000907,3.371131,0.065980,3.438018,12489.661932,3.447793
93,0.000778,3.381755,0.146564,3.529097,12489.665474,3.541266
94,0.000960,3.377413,0.067213,3.445586,12489.668929,3.455437
95,0.001074,3.389941,0.140244,3.531259,12489.672470,3.541021
96,0.000878,3.390712,0.066445,3.458035,12489.675938,3.467547
97,0.000863,3.390204,0.141569,3.532636,12489.679480,3.542172
98,0.000738,3.378182,0.066213,3.445133,12489.682935,3.454854
99,0.000771,3.383495,0.139715,3.523981,12489.686468,3.533519
100,0.000803,3.375079,0.065979,3.441861,12489.689919,3.451355
101,0.000749,3.393421,0.141229,3.535399,12489.693464,3.544873
102,0.000723,3.387737,0.065472,3.453932,12489.696928,3.463420
