FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001146,3.377052,0.141915,3.520113,12525.801547,N/A
1,0.000980,3.382611,0.087328,3.470919,12525.805030,3.482739
2,0.000938,3.386683,0.149967,3.537588,12525.808579,3.548990
3,0.000935,3.376870,0.084841,3.462646,12525.812052,3.473288
4,0.001095,3.390639,0.150081,3.541815,12525.815604,3.552342
5,0.001017,3.432423,0.139455,3.572895,12525.819188,3.583324
6,0.000869,3.391365,0.138848,3.531082,12525.822729,3.541779
7,0.000814,3.407997,0.137073,3.545884,12525.826286,3.556211
8,0.000840,3.395000,0.142752,3.538592,12525.829835,3.548995
9,0.000812,3.448710,0.137863,3.587385,12525.833433,3.598364
10,0.000891,3.412833,0.072705,3.486429,12525.836930,3.496999
11,0.000904,3.411491,0.160272,3.572667,12525.840513,3.582794
12,0.001019,3.433145,0.077473,3.511637,12525.844035,3.522066
13,0.000979,3.393776,0.139451,3.534206,12525.847580,3.544882
14,0.000837,3.393081,0.111357,3.505275,12525.851095,3.515455
15,0.000887,3.414193,0.157452,3.572532,12525.854678,3.582824
16,0.000759,3.405638,0.148974,3.555371,12525.858244,3.565739
17,0.000856,3.383890,0.136782,3.521528,12525.861776,3.532633
18,0.000826,3.412401,0.145377,3.558604,12525.865345,3.568657
19,0.000901,3.374234,0.139664,3.514799,12525.868870,3.524939
20,0.001058,3.437923,0.136520,3.575501,12525.872456,3.585797
21,0.000808,3.403246,0.071584,3.475638,12525.875942,3.486053
22,0.000750,3.419034,0.117753,3.537537,12525.879489,3.547574
23,0.000831,3.467851,0.164451,3.633133,12525.883133,3.643456
24,0.003049,3.585240,0.162353,3.750642,12525.886905,3.772377
25,0.001482,3.427718,0.139117,3.568317,12525.890489,3.583441
26,0.000864,3.431905,0.075501,3.508270,12525.894008,3.518913
27,0.000993,3.379664,0.142857,3.523514,12525.897542,3.534284
28,0.001053,3.395432,0.076502,3.472987,12525.901025,3.483298
29,0.000903,3.420976,0.160567,3.582446,12525.904618,3.593104
30,0.000911,3.413688,0.144511,3.559110,12525.908188,3.569446
31,0.000806,3.413798,0.143845,3.558449,12525.911756,3.568792
32,0.000881,3.425638,0.143055,3.569574,12525.915336,3.579733
33,0.000922,3.422434,0.138029,3.561385,12525.918908,3.571909
34,0.000833,3.411634,0.137011,3.549478,12525.922468,3.559598
35,0.000837,3.405968,0.071847,3.478652,12525.925957,3.488980
36,0.001175,3.396677,0.067979,3.465831,12525.929433,3.476186
37,0.000828,3.414237,0.070035,3.485100,12525.932928,3.495140
38,0.000885,3.522465,0.143966,3.667316,12525.936605,3.677398
39,0.000822,3.476597,0.151966,3.629385,12525.940245,3.639803
40,0.001003,3.553047,0.103268,3.657318,12525.943914,3.668363
41,0.000998,3.498764,0.141960,3.641722,12525.947566,3.652875
42,0.000963,3.496120,0.145297,3.642380,12525.951219,3.653021
43,0.001023,3.521576,0.189510,3.712109,12525.954943,3.723081
44,0.001282,3.468718,0.140389,3.610389,12525.958564,3.621522
45,0.001137,3.402253,0.130678,3.534068,12525.962109,3.544677
46,0.000982,3.441523,0.136306,3.578811,12525.965698,3.589032
47,0.000897,3.477080,0.140957,3.618934,12525.969327,3.628994
48,0.000764,3.440508,0.109339,3.550611,12525.972887,3.560555
49,0.001040,3.440776,0.144332,3.586148,12525.976484,3.596478
50,0.001014,3.436878,0.068309,3.506201,12525.980000,3.516145
51,0.000766,3.422735,0.136208,3.559709,12525.983574,3.574504
52,0.001540,3.603653,0.160819,3.766012,12525.987354,3.779713
53,0.001783,3.441359,0.100180,3.543322,12525.990912,3.558221
54,0.000897,3.406493,0.122400,3.529790,12525.994453,3.540294
55,0.000844,3.477708,0.071191,3.549743,12525.998012,3.559729
56,0.000849,3.426724,0.135492,3.563065,12526.001586,3.573473
57,0.000785,3.439863,0.143393,3.584041,12526.005180,3.594349
58,0.000806,3.428151,0.165227,3.594184,12526.008785,3.604322
59,0.000845,3.459398,0.141255,3.601498,12526.012396,3.611264
60,0.000865,12.348038,0.135384,12.484287,12526.024890,12.494189
61,0.000816,3.455518,0.144706,3.601040,12526.028501,3.611088
62,0.000771,3.442129,0.073469,3.516369,12526.032028,3.526493
63,0.001109,3.410836,0.139190,3.551135,12526.035589,3.561327
64,0.000761,3.445223,0.140740,3.586724,12526.039186,3.596608
65,0.000927,3.436291,0.136586,3.573804,12526.042770,3.584461
66,0.000807,3.450611,0.140629,3.592047,12526.046372,3.601799
67,0.000760,3.382977,0.129293,3.513030,12526.049894,3.522689
68,0.000881,3.416789,0.136137,3.553807,12526.053458,3.563387
69,0.000979,3.416893,0.065044,3.482916,12526.056950,3.492620
70,0.000920,3.437692,0.141637,3.580249,12526.060540,3.589689
71,0.000933,3.388257,0.077645,3.466835,12526.064017,3.476533
72,0.000749,3.353598,0.137180,3.491527,12526.067518,3.501594
73,0.000852,3.412057,0.069651,3.482560,12526.071011,3.492222
74,0.001024,3.362655,0.147257,3.510936,12526.074531,3.520667
75,0.000808,3.411516,0.068039,3.480363,12526.078021,3.489959
76,0.001030,3.398782,0.139990,3.539802,12526.081571,3.549395
77,0.000976,3.370742,0.099517,3.471235,12526.085054,3.483864
78,0.001271,3.629609,0.175680,3.806560,12526.088877,3.822277
79,0.001630,3.515633,0.137003,3.654266,12526.092549,3.672100
80,0.000814,3.404701,0.066912,3.472427,12526.096032,3.483046
81,0.000776,3.390620,0.139076,3.530472,12526.099572,3.540237
82,0.000742,3.394380,0.135624,3.530746,12526.103112,3.540256
83,0.000803,3.387396,0.140972,3.529171,12526.106651,3.539063
84,0.001249,3.426336,0.136545,3.564130,12526.110225,3.573690
85,0.000891,3.390689,0.136226,3.527806,12526.113763,3.537451
86,0.000824,3.460025,0.135532,3.596381,12526.117368,3.605920
87,0.000787,3.387932,0.130790,3.519509,12526.120898,3.529093
88,0.000733,3.453201,0.135180,3.589114,12526.124496,3.598937
89,0.000821,3.380252,0.095335,3.476408,12526.127983,3.486082
90,0.000874,3.382788,0.140233,3.523895,12526.131516,3.533569
91,0.000770,3.368769,0.066291,3.435830,12526.134962,3.445763
92,0.000923,3.342742,0.140686,3.484351,12526.138456,3.493847
93,0.000914,3.377262,0.064720,3.442896,12526.141910,3.454445
94,0.000909,3.369497,0.141310,3.511716,12526.145431,3.521260
95,0.000810,3.388937,0.067469,3.457216,12526.148899,3.467113
96,0.000742,3.350298,0.135361,3.486401,12526.152395,3.496158
97,0.000791,3.385888,0.102847,3.489526,12526.155894,3.499464
98,0.000805,3.350865,0.140151,3.491821,12526.159396,3.501437
99,0.000847,3.374827,0.102438,3.478112,12526.162883,3.487861
100,0.001338,3.339284,0.145152,3.485774,12526.166379,3.495691
101,0.000812,3.365605,0.130065,3.496482,12526.169885,3.505967
102,0.000928,3.348617,0.138193,3.487738,12526.173382,3.497361
103,0.001155,3.368987,0.135423,3.505565,12526.176898,3.515355
104,0.000823,3.349874,0.136338,3.487035,12526.180395,3.496763
105,0.000950,3.381665,0.104626,3.487241,12526.183891,3.496555
106,0.000807,3.547562,0.186015,3.734384,12526.187635,3.743777
107,0.002206,5.523706,0.111180,5.637092,12526.193290,5.655441
108,0.001597,3.430962,0.138268,3.570827,12526.196879,3.588965
109,0.000865,3.305399,0.136758,3.443022,12526.200337,3.457821
110,0.000860,3.316637,0.140543,3.458040,12526.203805,3.468039
111,0.000799,3.319276,0.136008,3.456083,12526.207271,3.465882
112,0.000782,3.311564,0.137976,3.450322,12526.210731,3.459822
113,0.001049,3.333213,0.137197,3.471459,12526.214212,3.481156
114,0.000770,3.313624,0.137445,3.451839,12526.217674,3.461520
115,0.000808,3.297442,0.073175,3.371425,12526.221055,3.380968
116,0.000813,3.314148,0.140013,3.454974,12526.224519,3.464892
117,0.000809,3.363849,0.066746,3.431404,12526.227961,3.441061
118,0.000809,3.315426,0.139574,3.455809,12526.231426,3.465398
119,0.000748,3.305818,0.136379,3.442945,12526.234879,3.452827
120,0.000861,3.285295,0.136305,3.422461,12526.238311,3.432102
121,0.001060,3.314314,0.137384,3.452758,12526.241773,3.462100
122,0.000777,3.313242,0.141083,3.455102,12526.245238,3.464655
123,0.000867,3.314714,0.188641,3.504222,12526.248751,3.513828
124,0.000967,3.320909,0.139158,3.461034,12526.252222,3.470645
125,0.000861,3.473569,0.139787,3.614217,12526.255846,3.623589
126,0.001073,3.379012,0.137276,3.517361,12526.259375,3.529406
127,0.000781,3.454466,0.075070,3.530317,12526.262915,3.540345
128,0.000956,3.351621,0.137442,3.490019,12526.266416,3.500690
129,0.000835,3.398261,0.101645,3.500741,12526.269930,3.513634
130,0.000999,3.364449,0.153881,3.519329,12526.273460,3.530121
131,0.000997,3.388799,0.074692,3.464488,12526.276935,3.475196
132,0.001069,3.305819,0.140497,3.447385,12526.280393,3.458176
133,0.000925,3.367957,0.129958,3.498840,12526.283902,3.508921
134,0.000798,3.390740,0.172399,3.563937,12526.287476,3.574029
135,0.002748,3.650316,0.169187,3.822251,12526.291316,3.840290
136,0.001281,3.355180,0.140328,3.496789,12526.294829,3.512659
137,0.000760,3.334516,0.136570,3.471846,12526.298312,3.482611
138,0.000774,3.318621,0.139337,3.458732,12526.301780,3.468616
139,0.000798,3.307784,0.137948,3.446530,12526.305237,3.456321
140,0.000855,3.319398,0.136461,3.456714,12526.308704,3.466844
141,0.001025,3.362568,0.139037,3.502630,12526.312216,3.512639
142,0.000770,3.355163,0.138913,3.494846,12526.315721,3.504590
143,0.001007,3.341399,0.137560,3.479966,12526.319211,3.489951
144,0.000867,3.320967,0.161271,3.483105,12526.322704,3.492945
145,0.000874,3.329163,0.140024,3.470061,12526.326184,3.480029
146,0.000831,3.320155,0.139792,3.460778,12526.329654,3.470367
147,0.000697,3.325042,0.105200,3.430939,12526.333095,3.441047
148,0.000790,3.325501,0.139941,3.466232,12526.336571,3.476053
149,0.000859,3.330773,0.064600,3.396232,12526.339980,3.408939
150,0.000849,3.293720,0.143896,3.438465,12526.343428,3.448193
151,0.000965,3.319046,0.130648,3.450659,12526.346889,3.460523
152,0.000817,3.310950,0.138048,3.449815,12526.350348,3.459714
153,0.000755,3.321165,0.135795,3.457715,12526.353816,3.467225
154,0.000796,3.321931,0.142138,3.464865,12526.357290,3.474419
155,0.000769,3.298557,0.142574,3.441900,12526.360742,3.451765
156,0.000801,3.330564,0.136468,3.467833,12526.364219,3.477494
157,0.000761,3.323789,0.141032,3.465582,12526.367695,3.475461
158,0.000753,3.321443,0.137706,3.459902,12526.371164,3.469612
159,0.000696,3.312289,0.131114,3.444099,12526.374619,3.454152
160,0.000814,3.347519,0.112686,3.461019,12526.378089,3.470818
161,0.000835,3.352123,0.141727,3.494685,12526.381594,3.504532
162,0.000849,3.320297,0.066572,3.387718,12526.384991,3.397245
163,0.001355,3.424274,0.212323,3.637952,12526.388645,3.653954
164,0.002146,3.548979,0.153063,3.704188,12526.392368,3.722656
165,0.000691,3.344991,0.137084,3.482766,12526.395865,3.496941
166,0.000614,3.342289,0.145634,3.488537,12526.399364,3.498922
167,0.000618,3.341726,0.117695,3.460039,12526.402834,3.470014
168,0.000982,3.395542,0.138377,3.534901,12526.406381,3.547233
169,0.000754,3.321602,0.137294,3.459650,12526.409850,3.469528
170,0.000693,3.331915,0.143863,3.476471,12526.413337,3.486410
171,0.000761,3.332054,0.137764,3.470579,12526.416818,3.480733
172,0.000631,3.314415,0.138789,3.453835,12526.420281,3.463496
173,0.000747,3.328101,0.185802,3.514650,12526.423808,3.527288
174,0.000676,3.325514,0.103783,3.429973,12526.427249,3.440188
175,0.000767,3.293607,0.140106,3.434480,12526.430693,3.444453
176,0.000750,3.320460,0.148543,3.469753,12526.434172,3.479289
177,0.000807,3.305225,0.137002,3.443034,12526.437625,3.453121
178,0.000875,3.325888,0.076172,3.402935,12526.441038,3.412603
179,0.001016,3.331835,0.141298,3.474149,12526.444522,3.484285
180,0.000708,3.337831,0.067298,3.405837,12526.447938,3.415752
181,0.000684,3.296017,0.138373,3.435074,12526.451383,3.444826
182,0.000735,3.342527,0.137276,3.480538,12526.454873,3.490213
183,0.000813,3.311998,0.138022,3.450833,12526.458334,3.460760
184,0.000658,3.317874,0.141890,3.460422,12526.461804,3.470184
185,0.000829,3.356379,0.136996,3.494204,12526.465308,3.504256
186,0.000715,3.389164,0.138671,3.528550,12526.468847,3.538428
187,0.000776,3.324592,0.136595,3.461963,12526.472319,3.472022
188,0.000872,3.350065,0.136479,3.487416,12526.475816,3.496976
189,0.000770,3.342091,0.140348,3.483209,12526.479309,3.492892
190,0.000743,3.392471,0.134878,3.528092,12526.482847,3.537886
191,0.000927,3.385680,0.143162,3.529769,12526.486386,3.539505
192,0.000688,3.702327,0.172684,3.875699,12526.490271,3.885352
193,0.001775,3.541302,0.069422,3.612499,12526.493902,3.630414
194,0.000702,3.304514,0.138873,3.444089,12526.497356,3.454113
195,0.000791,3.316178,0.137185,3.454154,12526.500820,3.464047
196,0.000912,3.323023,0.136545,3.460480,12526.504290,3.470324
197,0.000749,3.314015,0.138694,3.453458,12526.507754,3.463383
198,0.000881,3.317018,0.139749,3.457648,12526.511221,3.467507
199,0.000786,3.327261,0.145909,3.473956,12526.514705,3.483928
200,0.001009,3.282217,0.147331,3.430557,12526.518146,3.440496
201,0.000816,3.319906,0.136846,3.457568,12526.521616,3.470286
202,0.000786,3.306583,0.066757,3.374126,12526.525000,3.383926
203,0.001511,3.329651,0.143761,3.474923,12526.528495,3.494876
204,0.000924,3.339460,0.067992,3.408376,12526.531913,3.418326
205,0.000762,3.304434,0.142171,3.447367,12526.535371,3.457681
206,0.000825,3.321655,0.135297,3.457777,12526.538838,3.467581
207,0.000796,3.318386,0.138040,3.457222,12526.542305,3.466970
208,0.000742,3.321297,0.139910,3.461949,12526.545777,3.471610
209,0.000799,3.351931,0.123735,3.476465,12526.549263,3.486191
210,0.000753,3.311505,0.122627,3.434885,12526.552708,3.444818
211,0.001020,3.309598,0.125454,3.436072,12526.556154,3.446014
212,0.000860,3.325323,0.137609,3.463792,12526.559628,3.473747
213,0.001042,3.313553,0.075808,3.390403,12526.563028,3.400387
214,0.000853,3.317548,0.139361,3.457762,12526.566496,3.467966
215,0.000862,3.326594,0.068488,3.395944,12526.569902,3.405613
216,0.000838,3.291958,0.140475,3.433271,12526.573344,3.442860
217,0.000745,3.314319,0.135959,3.451023,12526.576805,3.460587
218,0.000715,3.341039,0.139558,3.481312,12526.580296,3.491446
219,0.000766,3.326751,0.138161,3.465678,12526.583772,3.475723
220,0.000812,3.309900,0.136812,3.447524,12526.587229,3.457196
221,0.000717,3.569895,0.138492,3.709104,12526.590948,3.718994
222,0.001706,3.471721,0.198041,3.671468,12526.594639,3.690377
223,0.000968,3.337783,0.110353,3.449104,12526.598099,3.460283
224,0.000711,3.319784,0.138224,3.458719,12526.601568,3.469334
225,0.000698,3.317343,0.067133,3.385174,12526.604963,3.394799
226,0.000676,3.297989,0.143146,3.441811,12526.608415,3.451753
227,0.000700,3.340030,0.138870,3.479600,12526.611904,3.489393
228,0.000860,3.356584,0.186348,3.543792,12526.615458,3.553747
229,0.000817,3.321589,0.105167,3.427573,12526.618896,3.437534
230,0.000843,3.304404,0.143070,3.448317,12526.622354,3.458135
231,0.000844,3.390883,0.128436,3.520163,12526.625884,3.530028
232,0.000779,3.315535,0.134840,3.451154,12526.629345,3.461195
233,0.000746,3.322191,0.133170,3.456107,12526.632814,3.468594
234,0.000738,3.340390,0.189207,3.530335,12526.636354,3.540177
235,0.000834,3.335454,0.136391,3.472679,12526.639836,3.482665
236,0.000920,3.321893,0.136979,3.459792,12526.643306,3.469614
237,0.000846,3.364770,0.132328,3.497944,12526.646814,3.508080
238,0.000869,3.337021,0.068414,3.406304,12526.650230,3.416223
239,0.000836,3.307281,0.138765,3.446882,12526.653687,3.456897
240,0.000846,3.423393,0.124089,3.548328,12526.657245,3.558022
241,0.000844,3.330451,0.136674,3.467969,12526.660723,3.477599
242,0.000807,3.340470,0.150999,3.492276,12526.664225,3.502091
243,0.000811,3.323771,0.137354,3.461936,12526.667697,3.471622
244,0.000869,3.330455,0.138626,3.469950,12526.671176,3.479709
245,0.000846,3.322810,0.142007,3.465663,12526.674652,3.475449
246,0.000834,3.359054,0.151123,3.511011,12526.678172,3.520714
247,0.000796,3.315289,0.139693,3.455778,12526.681638,3.465727
248,0.000785,3.311906,0.074061,3.386752,12526.685035,3.396644
249,0.001005,3.330894,0.153751,3.485650,12526.688530,3.495427
250,0.000870,3.895271,0.184166,4.080307,12526.692622,4.092098
251,0.002006,3.637718,0.140186,3.779910,12526.696420,3.797930
252,0.001100,3.538508,0.152493,3.692101,12526.700123,3.702596
253,0.000890,3.510026,0.140376,3.651292,12526.703785,3.661986
254,0.000957,3.567004,0.143059,3.711020,12526.707506,3.721346
255,0.000882,3.378867,0.066906,3.446655,12526.710964,3.457395
256,0.000854,3.462652,0.138936,3.602442,12526.714576,3.612288
257,0.000903,3.386340,0.071020,3.458263,12526.718044,3.468026
258,0.000866,3.386406,0.138748,3.526020,12526.721580,3.535837
259,0.000671,3.382804,0.073177,3.456652,12526.725046,3.466487
260,0.000881,3.368737,0.136687,3.506305,12526.728562,3.515891
261,0.000874,3.373931,0.067687,3.442492,12526.732014,3.452037
262,0.000943,3.429636,0.141937,3.572516,12526.735597,3.582470
263,0.000735,3.367518,0.070653,3.438906,12526.739045,3.448482
264,0.000697,3.372730,0.143413,3.516840,12526.742572,3.526453
265,0.000734,3.402555,0.113600,3.516889,12526.746098,3.526693
266,0.000687,3.405730,0.138769,3.545186,12526.749653,3.554806
267,0.000716,3.382882,0.141864,3.525462,12526.753188,3.534940
268,0.001272,3.382758,0.132375,3.516405,12526.756714,3.525882
269,0.000856,3.412128,0.136471,3.549455,12526.760275,3.561402
270,0.000898,3.374609,0.141318,3.516825,12526.763802,3.526235
271,0.000792,3.458354,0.138832,3.597978,12526.767409,3.607449
272,0.000725,3.372057,0.099763,3.472545,12526.770891,3.481981
273,0.000743,3.405390,0.142324,3.548457,12526.774449,3.558069
274,0.000690,3.376328,0.064758,3.441776,12526.777900,3.451327
275,0.000754,3.433878,0.136353,3.570985,12526.781481,3.580445
276,0.000970,3.381675,0.065055,3.447700,12526.784938,3.457247
277,0.001007,3.411710,0.138899,3.551616,12526.788499,3.561381
278,0.000892,3.572407,0.206545,3.779844,12526.792289,3.789278
279,0.002095,3.574036,0.083870,3.660001,12526.795969,3.680179
280,0.001128,3.429882,0.145282,3.576292,12526.799558,3.589307
281,0.000721,3.392620,0.138903,3.532244,12526.803101,3.543102
282,0.000680,3.415473,0.136691,3.552844,12526.806664,3.563148
283,0.000685,3.383048,0.136278,3.520011,12526.810194,3.529343
284,0.000939,3.414646,0.135983,3.551568,12526.813755,3.561252
285,0.000976,3.440081,0.139906,3.580963,12526.817345,3.590472
286,0.001030,3.411519,0.132710,3.545259,12526.820900,3.554848
287,0.001091,3.377880,0.135074,3.514045,12526.824424,3.523656
288,0.000803,3.415529,0.064653,3.480985,12526.827915,3.490588
289,0.000878,3.461706,0.139370,3.601954,12526.831526,3.611565
290,0.000705,3.415829,0.068500,3.485034,12526.835021,3.494549
291,0.000894,3.372962,0.137337,3.511193,12526.838542,3.520860
292,0.000877,3.442804,0.104325,3.548006,12526.842099,3.557460
293,0.000685,3.442947,0.139053,3.582685,12526.845691,3.592074
294,0.001216,3.390796,0.140685,3.532697,12526.849233,3.541967
295,0.001040,3.409595,0.133752,3.544387,12526.852787,3.554074
296,0.000770,3.449250,0.139832,3.589852,12526.856386,3.599028
297,0.000813,3.408745,0.094266,3.503824,12526.859900,3.513409
298,0.000702,3.498534,0.142104,3.641340,12526.863551,3.651052
299,0.000716,3.511208,0.232674,3.744598,12526.867305,3.754232
300,0.001010,3.506574,0.094844,3.602428,12526.870917,3.612204
301,0.000746,3.441948,0.136984,3.579678,12526.874506,3.589009
302,0.000822,3.384188,0.065458,3.450468,12526.877966,3.459966
303,0.000980,3.386618,0.138666,3.526264,12526.881502,3.535598
304,0.000721,3.381502,0.063728,3.445951,12526.884957,3.455345
305,0.000835,3.376533,0.139551,3.516919,12526.888483,3.526370
306,0.000769,3.398063,0.064101,3.462933,12526.891956,3.472366
307,0.000749,5.286163,0.186396,5.473308,12526.897438,5.482574
308,0.002408,3.773897,0.174386,3.950691,12526.901425,3.986859
309,0.001340,3.391235,0.070319,3.462894,12526.904913,3.487395
310,0.000860,3.287902,0.146898,3.435660,12526.908359,3.446284
311,0.001096,3.307817,0.144297,3.453210,12526.911822,3.463022
312,0.000804,3.387632,0.139737,3.528173,12526.915359,3.537461
313,0.000769,3.317767,0.139132,3.457668,12526.918827,3.467417
314,0.000725,3.318736,0.138495,3.457956,12526.922294,3.467390
315,0.000845,3.340936,0.135933,3.477714,12526.925781,3.487155
316,0.000798,3.386727,0.138806,3.526331,12526.929317,3.535828
317,0.000771,3.337461,0.138735,3.476967,12526.932804,3.486758
318,0.000830,3.387962,0.102365,3.491157,12526.936305,3.501172
319,0.000735,3.275242,0.139452,3.415429,12526.939730,3.424941
320,0.000692,3.322669,0.130988,3.454349,12526.943194,3.463811
321,0.000979,3.320152,0.144457,3.465588,12526.946669,3.475067
322,0.000866,3.309768,0.100870,3.411504,12526.950090,3.421638
323,0.000627,3.304254,0.144600,3.449481,12526.953550,3.459157
324,0.000855,3.308289,0.064019,3.373163,12526.956932,3.382542
325,0.000678,3.334772,0.141151,3.476601,12526.960419,3.486351
326,0.000725,3.341137,0.132621,3.474483,12526.963903,3.484160
327,0.000843,3.285682,0.137532,3.424057,12526.967337,3.433823
328,0.000809,3.306913,0.141331,3.449053,12526.970795,3.458656
329,0.000744,3.351818,0.134409,3.486971,12526.974292,3.496343
330,0.000711,3.307802,0.136501,3.445014,12526.977746,3.454718
331,0.000710,3.384647,0.140390,3.525747,12526.981282,3.535368
332,0.000869,3.310270,0.144665,3.455804,12526.984747,3.465659
333,0.000696,3.332222,0.138126,3.471044,12526.988228,3.480594
334,0.000778,3.306482,0.140815,3.448075,12526.991685,3.457610
335,0.000732,3.375891,0.138148,3.514771,12526.995210,3.524479
336,0.000766,4.432748,0.183383,4.616897,12526.999836,4.626454
337,0.002652,3.534693,0.147077,3.684422,12527.003539,3.703041
338,0.000850,3.385394,0.089737,3.475981,12527.007026,3.486355
339,0.000765,3.416474,0.139402,3.556641,12527.010606,3.580195
340,0.000942,3.346479,0.069561,3.416982,12527.014033,3.426821
341,0.000774,3.325283,0.140959,3.467016,12527.017510,3.476884
342,0.000784,3.304139,0.093909,3.398832,12527.020918,3.408422
343,0.000749,3.285280,0.140939,3.426968,12527.024354,3.436305
