FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001293,3.389958,0.138165,3.529416,12546.047415,N/A
1,0.000860,3.379317,0.097030,3.477207,12546.050904,3.488623
2,0.000747,3.380241,0.142403,3.523391,12546.054438,3.534451
3,0.000739,3.380690,0.095844,3.477273,12546.057926,3.487245
4,0.000764,3.378944,0.138017,3.517725,12546.061454,3.527855
5,0.000699,3.381818,0.067051,3.449568,12546.064913,3.459887
6,0.000855,3.378914,2.151079,5.530848,12546.070454,5.540602
7,0.000846,3.397167,0.071063,3.469076,12546.073935,3.480833
8,0.000805,3.383463,0.141628,3.525896,12546.077471,3.536142
9,0.000866,3.384587,0.070374,3.455827,12546.080938,3.466572
10,0.000752,3.385323,0.136858,3.522933,12546.084470,3.532828
11,0.000654,3.378694,0.070161,3.449509,12546.087930,3.459431
12,0.000832,3.349324,0.137227,3.487383,12546.091427,3.497149
13,0.000826,3.375744,0.096003,3.472573,12546.094909,3.482124
14,0.000947,3.378176,0.136867,3.515990,12546.098435,3.525971
15,0.000781,6.705177,0.173666,6.879624,12546.105324,6.889415
16,0.003112,3.637142,0.155866,3.796120,12546.109139,3.814021
17,0.001283,3.468100,0.150960,3.620343,12546.112777,3.638165
18,0.000797,3.417260,0.140185,3.558242,12546.116346,3.569734
19,0.000937,3.423373,0.110097,3.534407,12546.119891,3.544636
20,0.001106,3.412946,0.147377,3.561429,12546.123462,3.571399
21,0.000803,3.393935,0.067135,3.461873,12546.126934,3.471840
22,0.000809,3.414397,0.138869,3.554075,12546.130498,3.563705
23,0.000715,3.396534,0.064960,3.462209,12546.133970,3.472013
24,0.000896,3.405845,0.143457,3.550198,12546.137530,3.560002
25,0.000724,3.400947,0.069135,3.470806,12546.141011,3.480817
26,0.000892,3.421353,0.149801,3.572046,12546.144593,3.581925
27,0.000762,3.378804,0.119725,3.499291,12546.148102,3.509163
28,0.000900,3.391814,0.070446,3.463160,12546.151575,3.472957
29,0.000785,3.393110,0.123345,3.517240,12546.155102,3.527033
30,0.000888,3.417641,0.135559,3.554088,12546.158666,3.563950
31,0.001134,3.423152,0.139459,3.563745,12546.162239,3.573305
32,0.000881,3.373455,0.069915,3.444251,12546.165693,3.453969
33,0.000806,3.372065,0.075222,3.448093,12546.169151,3.458230
34,0.000719,3.366273,0.132132,3.499124,12546.172660,3.509027
35,0.000768,3.408481,0.158003,3.567252,12546.176237,3.577082
36,0.000755,3.408814,0.138938,3.548507,12546.179796,3.558210
37,0.000742,3.417885,0.136498,3.555125,12546.183361,3.565012
38,0.000951,3.397160,0.130706,3.528817,12546.186899,3.538746
39,0.000739,3.412652,0.142685,3.556076,12546.190465,3.565934
40,0.000824,3.415273,0.074108,3.490205,12546.193965,3.499999
41,0.000935,3.363409,0.069465,3.433809,12546.197410,3.444882
42,0.000754,3.391410,0.096988,3.489152,12546.200909,3.499017
43,0.000744,3.597416,0.175495,3.773655,12546.204693,3.783814
44,0.001575,3.477829,0.140230,3.619634,12546.208330,3.636800
45,0.000768,3.417352,0.129521,3.547641,12546.211888,3.558427
46,0.000787,3.395853,0.136364,3.533004,12546.215431,3.542832
47,0.000831,3.372970,0.071643,3.445444,12546.218886,3.455222
48,0.000774,3.362878,0.112512,3.476164,12546.222372,3.485799
49,0.000730,3.386967,0.131486,3.519183,12546.225901,3.529000
50,0.000729,3.398506,0.144830,3.544065,12546.229455,3.554036
51,0.000740,3.376010,0.067656,3.444406,12546.232909,3.454237
52,0.000693,3.398082,0.147249,3.546024,12546.236465,3.555767
53,0.000725,3.370606,0.073827,3.445158,12546.239921,3.455871
54,0.000824,3.357604,0.120639,3.479067,12546.243410,3.488972
55,0.000700,3.394941,0.099967,3.495608,12546.246915,3.505307
56,0.000790,3.364945,0.140584,3.506319,12546.250432,3.516220
57,0.000807,3.407395,0.067428,3.475630,12546.253917,3.485552
58,0.000722,3.405249,0.144235,3.550206,12546.257477,3.559989
59,0.000863,3.351974,0.068594,3.421431,12546.260908,3.431089
60,0.000704,3.355769,0.071858,3.428331,12546.264346,3.438050
61,0.000789,3.383628,0.143533,3.527950,12546.267884,3.537453
62,0.001052,3.393636,0.139361,3.534049,12546.271427,3.543580
63,0.000684,3.398492,0.117333,3.516509,12546.274954,3.526302
64,0.000874,3.416903,0.137335,3.555112,12546.278518,3.564808
65,0.000767,9.040763,0.342656,9.384186,12546.287913,9.394678
66,0.000995,3.418721,0.142220,3.561936,12546.291485,3.571647
67,0.000765,3.386956,0.066410,3.454131,12546.294949,3.464037
68,0.000792,3.393338,0.141739,3.535869,12546.298494,3.545612
69,0.000823,3.389387,0.066323,3.456533,12546.301961,3.466264
70,0.001017,3.537473,0.183401,3.721891,12546.305692,3.731572
