FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001033,3.489460,0.611868,4.102361,9929.336411,N/A
1,0.000975,3.463957,0.775976,4.240908,9929.340666,4.254552
2,0.000980,3.496648,0.623260,4.120888,9929.344799,4.133634
3,0.000911,3.492548,0.676304,4.169763,9929.348981,4.182172
4,0.000883,3.462735,0.717182,4.180800,9929.353174,4.193085
5,0.000885,3.423175,0.689078,4.113138,9929.357300,4.125852
6,0.000927,3.467555,0.642151,4.110633,9929.361423,4.122978
7,0.000888,3.419596,0.813163,4.233647,9929.365669,4.245959
8,0.000888,3.502228,0.654693,4.157809,9929.369839,4.170189
9,0.001177,3.444313,0.679160,4.124650,9929.373977,4.137413
10,0.000965,3.477393,0.700239,4.178597,9929.378168,4.190935
11,0.000881,3.455101,0.663353,4.119335,9929.382299,4.131669
12,0.000890,3.471044,0.645896,4.117830,9929.386430,4.130308
13,0.000993,3.421524,0.809762,4.232279,9929.390674,4.244560
14,0.000964,3.485345,0.650607,4.136916,9929.394823,4.149015
15,0.000951,3.471537,0.663780,4.136268,9929.398972,4.148526
16,0.000947,3.417401,0.740529,4.158877,9929.403143,4.171144
17,0.003300,3.675051,0.444638,4.122989,9929.407293,4.150079
18,0.001384,3.506968,0.621556,4.129908,9929.411440,4.146912
19,0.001038,3.435790,0.790636,4.227464,9929.415680,4.239755
20,0.000883,3.497564,0.612176,4.110623,9929.419803,4.123003
21,0.000877,3.447920,0.714131,4.162928,9929.423978,4.175196
22,0.000915,3.474783,0.679531,4.155229,9929.428145,4.167305
23,0.000909,3.415805,0.692056,4.108770,9929.432266,4.121130
24,0.000887,3.470498,0.683993,4.155378,9929.436434,4.167695
25,0.001193,3.407354,0.821513,4.230060,9929.440677,4.243243
26,0.001331,3.523923,0.570934,4.096188,9929.444786,4.108536
27,0.000949,3.462475,0.716705,4.180129,9929.448978,4.192279
28,0.000861,3.505380,0.684516,4.190757,9929.453181,4.203038
29,0.000907,3.424799,0.712584,4.138290,9929.457332,4.150583
30,0.000973,3.470910,0.619340,4.091223,9929.461435,4.103583
31,0.000904,3.414223,0.813207,4.228334,9929.465676,4.240425
32,0.000962,3.484302,0.678061,4.163325,9929.469851,4.175463
33,0.000995,3.440685,0.673995,4.115675,9929.473980,4.128600
34,0.000949,3.468971,0.713633,4.183553,9929.478176,4.195962
35,0.000836,3.476001,0.686451,4.163288,9929.482351,4.175407
36,0.000876,3.504805,0.624177,4.129858,9929.486493,4.142212
37,0.000894,3.463513,0.709031,4.173438,9929.490679,4.185600
38,0.000838,3.494594,0.646432,4.141864,9929.494833,4.154380
39,0.000918,3.437107,0.701092,4.139117,9929.498985,4.151748
40,0.001202,3.502580,0.692499,4.196281,9929.503194,4.208612
41,0.000919,3.690069,0.373982,4.064970,9929.507272,4.078173
