FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001083,3.472810,0.685501,4.159394,7586.565471,N/A
1,0.000757,3.384893,0.766833,4.152483,7586.569638,4.166768
2,0.000772,3.445267,0.709668,4.155707,7586.573806,4.167966
3,0.000804,3.432492,0.737428,4.170724,7586.577990,4.183374
4,0.001055,3.430755,0.702383,4.134193,7586.582144,4.154845
5,0.000689,3.447524,0.699938,4.148151,7586.586305,4.161091
6,0.000763,3.537113,0.631652,4.169528,7586.590488,4.182235
7,0.001885,3.504540,0.623971,4.130396,7586.594638,4.150117
8,0.000698,3.473747,0.677180,4.151625,7586.598802,4.164599
9,0.000827,3.438703,0.742483,4.182013,7586.602997,4.194770
10,0.000717,3.460232,0.666188,4.127137,7586.607143,4.145844
11,0.001140,3.451307,0.697968,4.150415,7586.611306,4.162986
12,0.000720,3.484407,0.528931,4.014058,7586.615332,4.026274
13,0.000742,3.407932,0.759512,4.168186,7586.619513,4.180607
14,0.000833,3.427712,0.760706,4.189251,7586.623715,4.201701
15,0.000747,3.443906,0.716630,4.161283,7586.627888,4.173804
16,0.000852,3.393802,0.762079,4.156733,7586.632059,4.171021
17,0.000723,3.457328,0.679946,4.137997,7586.636210,4.150982
18,0.000812,3.450599,0.710028,4.161439,7586.640384,4.174051
19,0.000726,3.451520,0.654554,4.106800,7586.644504,4.119265
20,0.000869,3.382537,0.823832,4.207238,7586.648723,4.219638
21,0.000740,3.480896,0.662204,4.143840,7586.652880,4.156279
22,0.000805,3.389471,0.778748,4.169024,7586.657061,4.181430
23,0.000700,3.465124,0.687046,4.152870,7586.661227,4.166161
24,0.000709,3.488556,0.605874,4.095139,7586.665335,4.107615
25,0.000742,3.464054,0.698756,4.163552,7586.669512,4.176849
26,0.000769,3.383242,0.811678,4.195689,7586.673720,4.208134
27,0.000762,3.455510,0.698555,4.154827,7586.677887,4.167323
28,0.000744,3.415033,0.742069,4.157846,7586.682057,4.170211
29,0.000740,3.461054,0.685583,4.147377,7586.686217,4.159602
30,0.000898,6.866125,0.630350,7.497373,7586.693727,7.509762
31,0.002642,3.909760,0.193819,4.106221,7586.697854,4.127557
32,0.001284,3.431554,0.147161,3.579999,7586.701451,3.596271
33,0.000773,3.467150,0.089267,3.557190,7586.705019,3.568059
34,0.000807,3.469015,0.153293,3.623115,7586.708653,3.634356
35,0.001086,3.501147,0.156186,3.658419,7586.712322,3.669146
36,0.000869,3.414635,0.148026,3.563530,7586.715896,3.574330
37,0.000866,3.356235,0.211284,3.568385,7586.719475,3.578621
38,0.000880,3.358793,0.831281,4.190954,7586.723677,4.202112
39,0.001159,3.503974,0.660833,4.165966,7586.727855,4.178239
40,0.000756,3.427097,0.734868,4.162721,7586.732030,4.175014
41,0.000746,3.519489,0.591659,4.111894,7586.736155,4.124835
42,0.000775,3.491889,0.692729,4.185393,7586.740353,4.197758
43,0.000830,3.491684,0.692046,4.184560,7586.744550,4.196789
44,0.000807,3.559367,0.498359,4.058533,7586.748621,4.070717
45,0.000991,3.452249,0.768878,4.222118,7586.752856,4.235161
46,0.000779,3.467729,0.689281,4.157789,7586.757026,4.170269
47,0.001231,3.496947,0.640735,4.138913,7586.761177,4.151254
48,0.000755,3.493863,8.854541,12.349159,7586.773539,12.361502
49,0.000743,3.475255,0.168618,3.644616,7586.777196,3.657031
50,0.000747,3.572810,0.083721,3.657278,7586.780864,3.668016
51,0.000698,3.407360,0.146119,3.554177,7586.784429,3.564885
52,0.000739,3.460673,0.081045,3.542457,7586.787981,3.552475
53,0.000748,3.583023,0.228136,3.811907,7586.791805,3.823473
54,0.002460,3.542834,0.158816,3.704110,7586.795530,3.725756
55,0.001190,3.412489,0.083010,3.496689,7586.799040,3.509688
56,0.000745,3.412054,0.210254,3.623053,7586.802674,3.633752
57,0.000705,3.372135,0.891728,4.264568,7586.806948,4.274505
58,0.000696,3.356090,0.818867,4.175653,7586.811134,4.185601
59,0.000673,3.454897,0.756476,4.212046,7586.815356,4.221992
60,0.000816,3.487439,0.591456,4.079711,7586.819448,4.091895
61,0.000734,3.495181,0.736513,4.232428,7586.823692,4.244699
62,0.000793,3.503868,0.646950,4.151611,7586.827856,4.163845
63,0.001088,3.418581,0.735001,4.154670,7586.832023,4.166916
64,0.000727,3.486875,0.643578,4.131180,7586.836167,4.143422
65,0.000747,3.505508,0.676283,4.182538,7586.840362,4.195299
66,0.000752,3.490690,0.647502,4.138944,7586.844513,4.151042
67,0.000741,3.467284,0.703823,4.171848,7586.848697,4.184021
68,0.000811,3.468829,0.540890,4.010530,7586.852720,4.022772
69,0.000748,3.515497,0.787645,4.303890,7586.857036,4.316084
70,0.000776,3.487576,0.679696,4.168048,7586.861216,4.180138
71,0.000791,3.470574,0.666669,4.138034,7586.865366,4.150190
72,0.000755,3.487443,0.652186,4.140384,7586.869519,4.152542
73,0.000778,3.484872,0.674531,4.160181,7586.873691,4.172294
74,0.000773,3.488325,0.668063,4.157161,7586.877860,4.169431
75,0.000841,3.461497,0.675104,4.137442,7586.882010,4.149560
76,0.000797,3.493398,0.580446,4.074641,7586.886097,4.086831
77,0.000768,3.491760,0.764489,4.257017,7586.890368,4.270905
78,0.000796,3.582088,0.519686,4.102570,7586.894483,4.114720
79,0.001597,3.551219,0.637441,4.190257,7586.898695,4.212189
80,0.000780,3.491036,0.662336,4.154152,7586.902861,4.166570
81,0.000735,3.460354,0.701967,4.163056,7586.907037,4.175381
82,0.000750,3.489237,0.664121,4.154108,7586.911203,4.166452
83,0.000926,3.480538,0.671559,4.153023,7586.915368,4.165130
84,0.000847,3.495560,0.650669,4.147076,7586.919527,4.159257
85,0.000791,3.509987,0.653839,4.164617,7586.923704,4.176839
86,0.000817,3.503542,0.656885,4.161244,7586.927878,4.173521
87,0.000823,3.468058,0.760207,4.229088,7586.932119,4.241320
88,0.000718,3.500130,0.439481,3.940329,7586.936072,3.952343
89,0.001045,3.435160,0.876861,4.313066,7586.940396,4.324993
90,0.000740,3.440666,0.567918,4.009324,7586.944418,4.021355
91,0.000783,3.458219,0.817132,4.276134,7586.948706,4.287981
92,0.000750,3.507589,0.649315,4.157654,7586.952875,4.169553
93,0.000732,3.400071,0.759461,4.160264,7586.957049,4.174005
94,0.001005,3.427670,0.702514,4.131189,7586.961192,4.143072
95,0.000808,3.436560,0.729377,4.166745,7586.965371,4.178718
