FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001175,3.407835,0.095453,3.504463,12626.680913,N/A
1,0.001166,3.371564,0.139697,3.512427,12626.684437,3.523914
2,0.001225,3.375453,0.097452,3.474130,12626.687922,3.484837
3,0.000820,3.347953,0.076383,3.425156,12626.691357,3.435409
4,0.000859,3.457900,0.097210,3.555969,12626.694923,3.565835
5,0.000977,3.368983,0.138879,3.508839,12626.698442,3.519635
6,0.000986,3.356871,0.096078,3.453935,12626.701906,3.463943
7,0.000939,3.374346,0.147277,3.522562,12626.705440,3.533221
8,0.000849,3.380735,0.068036,3.449620,12626.708900,3.460143
9,0.000901,3.372265,0.140859,3.514025,12626.712424,3.524691
10,0.001048,3.387061,0.078088,3.466197,12626.715901,3.476253
11,0.000980,3.377605,0.140813,3.519398,12626.719431,3.529930
12,0.001202,4.504804,0.130107,4.636113,12626.724077,4.646040
13,0.002150,3.427237,0.158226,3.587613,12626.727680,3.603472
14,0.001130,3.402188,0.143897,3.547215,12626.731239,3.558571
15,0.000983,3.388314,0.137665,3.526962,12626.734776,3.537602
16,0.001248,3.359940,0.072471,3.433659,12626.738220,3.444147
17,0.000954,3.380031,0.141652,3.522637,12626.741754,3.533862
18,0.000903,3.350394,0.075790,3.427087,12626.745191,3.436778
19,0.001160,3.381264,0.140174,3.522598,12626.748724,3.532913
20,0.001074,3.374011,0.141197,3.516282,12626.752250,3.526333
21,0.000905,3.381660,0.138597,3.521162,12626.755782,3.531569
22,0.000939,3.383659,0.138197,3.522795,12626.759315,3.532675
23,0.000896,3.375773,0.144923,3.521592,12626.762846,3.531249
24,0.000878,3.371918,0.140484,3.513280,12626.766372,3.525772
25,0.000863,3.372771,0.129195,3.502829,12626.769885,3.513276
26,0.000939,3.396160,0.144872,3.541971,12626.773436,3.551542
27,0.000934,3.352365,0.103633,3.456932,12626.776903,3.466588
28,0.000839,3.391176,0.138487,3.530502,12626.780443,3.539940
29,0.000872,3.387287,0.068540,3.456699,12626.783910,3.466878
30,0.000867,3.384559,0.137312,3.522738,12626.787442,3.532529
31,0.000821,3.373689,0.096055,3.470565,12626.790922,3.480120
32,0.000788,3.340805,0.147063,3.488656,12626.794420,3.498066
33,0.000847,3.388934,0.096261,3.486042,12626.797917,3.496450
34,0.001171,3.376014,0.141440,3.518625,12626.801445,3.528477
35,0.000886,3.379624,0.067059,3.447569,12626.804903,3.457416
36,0.000755,3.377271,0.135236,3.513262,12626.808426,3.522966
37,0.000832,3.338610,0.123970,3.463412,12626.811899,3.472755
38,0.000830,3.387379,0.140689,3.528898,12626.815437,3.538850
39,0.000881,3.378012,0.096943,3.475836,12626.818923,3.485486
40,0.000787,3.450026,0.185372,3.636185,12626.822569,3.646181
41,0.003481,3.521553,0.160356,3.685390,12626.826282,3.712895
42,0.001441,3.408435,0.139495,3.549371,12626.829846,3.563550
43,0.001027,3.389997,0.136273,3.527297,12626.833383,3.537698
44,0.000947,3.376330,0.120396,3.497673,12626.836891,3.507395
45,0.000831,3.379213,0.141097,3.521141,12626.840422,3.530923
46,0.000919,3.384041,0.103396,3.488356,12626.843920,3.497995
47,0.000809,3.414595,0.145013,3.560417,12626.847489,3.569943
48,0.000954,3.403760,0.066121,3.470835,12626.850970,3.480569
49,0.000902,3.388043,0.136554,3.525499,12626.854506,3.535943
50,0.001000,3.360470,0.069969,3.431439,12626.857947,3.441430
51,0.000823,3.381708,0.139580,3.522111,12626.861479,3.532022
52,0.000851,3.424099,0.068544,3.493494,12626.864983,3.503124
53,0.000882,3.376658,0.143626,3.521166,12626.868515,3.532501
54,0.001076,3.375008,0.068248,3.444332,12626.871969,3.454331
55,0.000862,3.377599,0.135485,3.513946,12626.875493,3.523838
56,0.000875,3.378583,0.068639,3.448097,12626.878951,3.457688
57,0.000914,3.374233,0.136112,3.511259,12626.882472,3.520986
58,0.000986,3.367290,0.069182,3.437458,12626.885919,3.447283
59,0.000804,3.362680,0.139686,3.503170,12626.889432,3.512817
60,0.000862,13.269190,0.137576,13.407628,12626.902849,13.417407
61,0.000839,3.348405,0.144694,3.493938,12626.906353,3.503609
62,0.000840,3.374218,0.139475,3.514533,12626.909877,3.524281
63,0.000785,3.410211,0.137376,3.548372,12626.913435,3.557904
64,0.000910,3.382590,0.093244,3.476744,12626.916922,3.486540
