FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001103,3.472506,0.873677,4.347286,7596.154186,N/A
1,0.000795,3.506109,0.442096,3.949000,7596.158149,3.963319
2,0.000799,3.490283,0.900094,4.391176,7596.162554,4.404456
3,0.000777,3.432305,0.504607,3.937689,7596.166504,3.950380
4,0.000884,3.509840,0.687909,4.198633,7596.170715,4.211198
5,0.000786,3.505284,0.638102,4.144172,7596.174872,4.157286
6,0.000768,3.446909,0.813070,4.260747,7596.179146,4.273745
7,0.001211,3.683995,0.334942,4.020148,7596.183184,4.037741
8,0.001455,3.531277,0.601442,4.134174,7596.187337,4.153131
9,0.000745,3.503305,0.645075,4.149125,7596.191499,4.162158
10,0.000803,3.515263,0.692289,4.208355,7596.195720,4.220870
11,0.000785,3.461294,0.696941,4.159020,7596.199892,4.171570
12,0.000851,3.407171,0.751728,4.159750,7596.204064,4.172244
13,0.000783,3.499372,0.630996,4.131151,7596.208207,4.143569
14,0.000715,3.508579,0.605660,4.114954,7596.212335,4.127667
15,0.000789,3.499251,0.681055,4.181095,7596.216529,4.193589
16,0.000765,3.504721,0.664824,4.170310,7596.220712,4.182929
17,0.000789,3.510863,0.634917,4.146569,7596.224871,4.159881
18,0.000862,3.443292,0.729384,4.173538,7596.229057,4.185996
19,0.000783,3.444621,0.876525,4.321929,7596.233392,4.334340
20,0.000815,3.500073,0.453603,3.954491,7596.237359,3.966986
21,0.000750,3.488141,0.700117,4.189008,7596.241561,4.201753
22,0.000797,3.505587,0.603563,4.109947,7596.245683,4.122436
23,0.000779,3.481234,0.620360,4.102373,7596.249798,4.114784
24,0.000789,3.431639,0.918850,4.351278,7596.254160,4.362364
25,0.000746,3.494180,0.512272,4.007198,7596.258181,4.020539
26,0.000716,3.510919,0.601852,4.113487,7596.262307,4.125926
27,0.000841,3.405274,0.795295,4.201410,7596.266519,4.212382
28,0.000837,3.515275,0.662646,4.178758,7596.270710,4.191221
29,0.000901,3.502923,0.672245,4.176069,7596.274899,4.188467
30,0.000779,3.441478,0.797486,4.239743,7596.279151,4.252307
31,0.000797,3.599789,0.459182,4.059768,7596.283223,4.072298
32,0.001619,3.549752,0.511764,4.063135,7596.287307,4.083388
33,0.000735,3.441663,0.794892,4.237290,7596.291557,4.250448
34,0.000808,3.507522,0.640056,4.148386,7596.295718,4.161061
35,0.001192,3.490804,0.651838,4.143834,7596.299874,4.156245
36,0.000787,3.380156,0.919781,4.300724,7596.304186,4.311841
37,0.000752,3.500044,0.496907,3.997703,7596.308197,4.010296
38,0.000815,3.496436,0.850830,4.348081,7596.312557,4.360586
39,0.000743,3.479608,0.473638,3.953989,7596.316524,3.966442
40,0.000776,3.512688,0.679193,4.192657,7596.320729,4.205216
41,0.000737,3.503558,0.644245,4.148540,7596.324890,4.161524
42,0.000750,3.439673,0.789533,4.229956,7596.329133,4.242628
43,0.000836,3.469226,0.577699,4.047761,7596.333193,4.060216
44,0.000812,3.507212,0.684353,4.192377,7596.337398,4.204770
45,0.000756,3.492175,0.666016,4.158947,7596.341570,4.171621
46,0.001142,3.515490,0.606396,4.123028,7596.345705,4.135623
47,0.001180,12.224985,2.226996,14.453161,7596.360171,14.465668
48,0.000960,3.517420,0.159241,3.677621,7596.363861,3.690452
49,0.000851,3.433976,0.157143,3.591970,7596.367464,3.602912
50,0.000735,3.448087,0.081814,3.530636,7596.371005,3.541090
51,0.000661,3.486358,0.177735,3.664754,7596.374681,3.675335
52,0.000869,3.414740,0.850048,4.265657,7596.378957,4.276660
53,0.000700,4.265260,0.273555,4.539515,7596.383508,4.550971
54,0.003607,5.632080,0.192791,5.828478,7596.389377,5.869002
55,0.001685,3.425277,0.108965,3.535927,7596.392930,3.553193
56,0.000849,3.409515,0.149685,3.560049,7596.396502,3.571065
57,0.000701,3.390620,0.075200,3.466521,7596.399978,3.476711
58,0.000678,3.395829,0.478986,3.875493,7596.403864,3.885720
59,0.000804,3.377198,0.872725,4.250727,7596.408125,4.260877
60,0.000789,3.390622,0.776885,4.168296,7596.412303,4.178446
61,0.000814,3.484895,0.710189,4.195898,7596.416511,4.208208
62,0.001403,3.504333,0.675990,4.181726,7596.420705,4.194017
63,0.000873,3.502165,0.662521,4.165559,7596.424883,4.177952
64,0.000866,3.443427,0.703150,4.147443,7596.429043,4.160049
65,0.000806,3.495352,0.608080,4.104238,7596.433161,4.117273
66,0.000841,3.503644,0.709964,4.214449,7596.437388,4.226748
67,0.000815,3.493315,0.632265,4.126395,7596.441526,4.138905
68,0.000764,3.515571,0.640592,4.156927,7596.445696,4.169248
69,0.000746,3.467854,0.685225,4.153825,7596.449862,4.166144
70,0.000753,3.419868,0.758414,4.179035,7596.454051,4.189537
71,0.000851,3.507228,0.584949,4.093028,7596.458157,4.105480
72,0.000759,3.500049,0.708833,4.209641,7596.462379,4.221906
73,0.000755,3.493291,0.685060,4.179106,7596.466570,4.191519
