FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001970,3.837349,0.079514,3.918833,12649.931641,N/A
1,0.001123,3.494421,0.130328,3.625872,12649.935279,3.637941
2,0.001205,3.676572,0.074473,3.752250,12649.939042,3.762582
3,0.001053,3.578297,0.128312,3.707662,12649.942760,3.718661
4,0.001062,3.732600,0.136498,3.870160,12649.946641,3.880780
5,0.001085,3.792316,0.166840,3.960241,12649.950613,3.972174
6,0.002183,3.738399,0.129255,3.869837,12649.954498,3.884993
7,0.001148,3.601215,0.121461,3.723824,12649.958234,3.735194
8,0.001145,3.519539,0.131506,3.652190,12649.961897,3.663769
9,0.000982,3.722131,0.133019,3.856132,12649.965764,3.866851
10,0.001158,3.610073,0.126487,3.737718,12649.969515,3.750693
11,0.001080,3.685720,0.156320,3.843120,12649.973369,3.853609
12,0.001299,3.434803,0.099159,3.535261,12649.976917,3.548271
13,0.000979,3.646256,0.129250,3.776485,12649.980704,3.786870
14,0.001024,3.585284,0.131802,3.718110,12649.984433,3.729063
15,0.001086,3.729540,0.132995,3.863621,12649.988307,3.874149
16,0.001066,3.614711,0.105512,3.721289,12649.992039,3.732086
17,0.001242,3.427159,0.127301,3.555702,12649.995610,3.570636
18,0.001060,3.652686,0.071913,3.725659,12649.999345,3.735868
19,0.001035,3.525481,0.075207,3.601723,12650.002958,3.612729
20,0.001023,3.464238,0.151505,3.616766,12650.006586,3.627350
21,0.001186,3.516960,0.136825,3.654971,12650.010254,3.668899
22,0.001595,3.516776,0.103566,3.621937,12650.013892,3.637054
23,0.000894,3.544816,0.143753,3.689463,12650.017591,3.699673
24,0.001158,3.611474,0.139605,3.752237,12650.021354,3.762540
25,0.000957,3.560117,0.069127,3.630201,12650.024995,3.641558
26,0.001126,3.564885,0.129240,3.695251,12650.028706,3.710537
27,0.001045,3.588493,0.129804,3.719342,12650.032436,3.729789
28,0.000993,3.566060,0.138056,3.705109,12650.036151,3.715337
29,0.001028,3.404479,0.119768,3.525275,12650.039687,3.535565
30,0.001110,3.563481,0.129334,3.693925,12650.043390,3.703861
31,0.001038,3.533013,0.075438,3.609489,12650.047010,3.619481
32,0.001058,3.795445,0.138116,3.934619,12650.050955,3.945094
33,0.001651,3.626369,0.127893,3.755913,12650.054727,3.771813
34,0.000939,3.564579,0.071381,3.636899,12650.058375,3.647871
35,0.001078,3.546487,0.077179,3.624744,12650.062010,3.635294
36,0.000983,3.547656,0.073037,3.621676,12650.065642,3.632204
37,0.001050,3.546115,0.130891,3.678056,12650.069331,3.688669
38,0.001162,3.427231,0.125591,3.553984,12650.072896,3.565078
39,0.001072,3.532371,0.143137,3.676580,12650.076583,3.686812
40,0.001053,3.580735,0.140307,3.722095,12650.080315,3.732387
41,0.000981,3.584733,0.066848,3.652562,12650.083978,3.663198
42,0.000955,3.539255,0.072216,3.612426,12650.087601,3.622782
43,0.001199,3.545622,0.131327,3.678148,12650.091290,3.688799
44,0.001027,3.588178,0.071733,3.660938,12650.094961,3.671516
45,0.001006,3.622185,0.135441,3.758632,12650.098730,3.768967
46,0.001170,3.481430,0.122294,3.604894,12650.102346,3.615186
47,0.001015,3.504286,0.076297,3.581598,12650.105941,3.595216
48,0.001061,3.592467,0.157952,3.751480,12650.109702,3.761546
49,0.000969,3.587878,0.148035,3.736882,12650.113449,3.747114
50,0.001222,3.616207,0.141193,3.758622,12650.117218,3.768812
51,0.001033,3.673340,0.078242,3.752615,12650.120981,3.763217
52,0.001411,3.654496,0.148894,3.804801,12650.124798,3.816300
53,0.001178,3.628230,0.148112,3.777520,12650.128587,3.789685
54,0.001198,3.643759,0.137863,3.782820,12650.132381,3.793556
55,0.001084,3.508331,0.109580,3.618995,12650.136011,3.629841
56,0.001830,3.454493,0.137508,3.593831,12650.139621,3.610451
57,0.001042,3.585250,0.140397,3.726689,12650.143358,3.736913
58,0.001196,3.549514,0.070783,3.621493,12650.146990,3.631707
59,0.000997,8.802507,0.141614,8.945118,12650.155950,8.960391
60,0.002303,3.384761,0.141758,3.528822,12650.159494,3.543597
61,0.000865,3.383003,0.067252,3.451120,12650.162955,3.461278
62,0.001086,3.373903,0.141933,3.516922,12650.166482,3.526571
63,0.000932,3.380125,0.069268,3.450325,12650.169942,3.460113
64,0.000901,3.383666,0.139790,3.524357,12650.173476,3.534125
65,0.000878,3.376951,0.067173,3.445002,12650.176931,3.455490
66,0.001074,3.380103,0.141750,3.522927,12650.180464,3.532492
67,0.000841,3.374420,0.067175,3.442436,12650.183916,3.452057
68,0.000841,3.374893,0.138827,3.514561,12650.187440,3.524341
69,0.000889,3.382223,0.065593,3.448705,12650.190898,3.457970
70,0.000941,3.382411,0.138913,3.522265,12650.194430,3.531838
