FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001139,3.441745,0.465181,3.908065,10068.845038,N/A
1,0.001230,3.477424,0.912515,4.391169,10068.849459,4.420881
2,0.000945,3.408599,0.658076,4.067620,10068.853539,4.079879
3,0.000967,3.468475,0.708255,4.177697,10068.857729,4.190102
4,0.000970,3.475670,0.618358,4.094998,10068.861836,4.107358
5,0.000901,3.442491,0.820409,4.263801,10068.866127,4.290499
6,0.001027,3.441815,0.506651,3.949493,10068.870089,3.961856
7,0.000882,3.404529,0.964900,4.370311,10068.874471,4.382471
8,0.000958,3.450205,0.609038,4.060201,10068.878544,4.072377
9,0.000996,3.550272,0.553268,4.104536,10068.882661,4.117268
10,0.000937,3.491640,0.749967,4.242544,10068.886916,4.254740
11,0.000967,3.398043,0.800076,4.199086,10068.891127,4.211483
12,0.001021,3.439710,0.583178,4.023909,10068.895163,4.036211
13,0.001273,3.470686,0.774890,4.246849,10068.899436,4.272321
14,0.001041,6.009855,0.222174,6.233070,10068.905681,6.245301
15,0.003828,3.881167,0.192013,4.077008,10068.909780,4.099446
16,0.001543,3.709085,0.160637,3.871265,10068.913668,3.887550
17,0.001266,3.608294,0.153384,3.762944,10068.917443,3.775017
18,0.001004,3.631612,0.149319,3.781935,10068.921236,3.792737
19,0.001059,3.585320,0.077539,3.663918,10068.924911,3.675200
20,0.000928,3.608427,0.151923,3.761278,10068.928683,3.771599
21,0.000956,3.677630,0.221846,3.900432,10068.932593,3.910666
22,0.000914,3.366944,0.879656,4.247514,10068.936851,4.257732
23,0.001129,3.461693,0.646799,4.109621,10068.940974,4.122890
24,0.001100,3.412183,0.795915,4.209198,10068.945198,4.223793
25,0.001060,3.484047,0.535891,4.020998,10068.949232,4.034461
26,0.001011,3.512016,0.689931,4.202958,10068.953447,4.214510
27,0.000956,3.472793,0.758124,4.231873,10068.957691,4.244314
28,0.001009,3.473696,0.597792,4.072497,10068.961776,4.085065
29,0.000925,3.466624,0.786399,4.253948,10068.966043,4.266706
30,0.001072,3.481071,0.597331,4.079474,10068.970135,4.092551
31,0.001272,3.479661,0.689846,4.170779,10068.974319,4.183474
32,0.001022,3.473489,0.651520,4.126031,10068.978457,4.138551
33,0.000908,3.465036,0.757310,4.223254,10068.982694,4.236275
34,0.000926,3.456355,0.695455,4.152736,10068.986859,4.165353
35,0.001152,3.419474,0.734277,4.154903,10068.991028,4.169301
36,0.000941,3.467180,0.666297,4.134418,10068.995175,4.147101
37,0.000943,3.486556,0.688302,4.175801,10068.999364,4.188370
38,0.000979,3.474340,0.593484,4.068803,10069.003445,4.081450
39,0.000994,3.652040,0.513080,4.166114,10069.007624,4.178714
40,0.001911,3.536321,0.668329,4.206561,10069.011849,4.224923
41,0.000905,3.420946,0.752485,4.174336,10069.016037,4.188065
42,0.000938,3.485568,0.653318,4.139824,10069.020189,4.152337
43,0.000948,3.491971,0.655638,4.148557,10069.024351,4.161392
44,0.001295,3.458074,0.627797,4.087166,10069.028451,4.100011
45,0.000965,3.400567,0.816966,4.218498,10069.032682,4.231501
46,0.000992,3.466098,0.710698,4.177788,10069.036873,4.190678
47,0.001087,10.972365,2.085235,13.058687,10069.049946,13.073126
48,0.001164,3.483160,0.153749,3.638073,10069.053597,3.651271
49,0.001113,3.440811,0.414006,3.855930,10069.057464,3.866878
50,0.001392,3.432705,0.831142,4.265239,10069.061740,4.276122
51,0.000980,3.441398,0.636106,4.078484,10069.065829,4.088950
52,0.000999,3.431666,0.785499,4.218164,10069.070058,4.228517
53,0.000956,3.475321,0.763086,4.239363,10069.074310,4.252690
54,0.001045,3.477071,0.576385,4.054501,10069.078377,4.067205
55,0.000993,3.474169,0.805200,4.280362,10069.082670,4.292844
56,0.001005,3.472264,0.694768,4.168037,10069.086851,4.180552
57,0.000857,3.455598,0.699395,4.155850,10069.091019,4.168543
58,0.000883,3.491047,0.522897,4.014827,10069.095048,4.028942
59,0.000929,3.517019,0.775377,4.293325,10069.099354,4.305953
60,0.001039,3.482224,0.520499,4.003762,10069.103371,4.016334
61,0.001059,3.576940,0.747742,4.325741,10069.107709,4.338339
62,0.002362,3.528430,0.376880,3.907672,10069.111638,3.929021
63,0.000916,3.492346,0.894468,4.387730,10069.116039,4.400638
64,0.000981,3.431689,0.583082,4.015752,10069.120067,4.028376
65,0.000921,3.473178,0.792806,4.266905,10069.124348,4.280571
66,0.000924,3.466985,0.654941,4.122850,10069.128483,4.135466
67,0.000948,3.521372,0.675915,4.198235,10069.132694,4.210850
68,0.001051,3.471537,0.677360,4.149948,10069.136858,4.164458
69,0.001010,3.383265,0.770255,4.154530,10069.141027,4.168676
70,0.000909,3.404519,0.619541,4.024969,10069.145064,4.037388
71,0.000909,3.441484,0.823169,4.265562,10069.149342,4.277914
72,0.000951,3.389993,0.563728,3.954672,10069.153309,3.967088
73,0.001077,3.403233,0.746178,4.150488,10069.157472,4.162992
74,0.000892,3.387731,1.012740,4.401363,10069.161886,4.413646
75,0.000864,3.355604,0.788238,4.144706,10069.166043,4.157018
76,0.001343,3.397517,0.615520,4.014380,10069.170070,4.026846
77,0.000841,3.393705,0.880603,4.275149,10069.174359,4.289214
78,0.000927,3.393314,0.724182,4.118423,10069.178490,4.130756
79,0.000908,3.388829,0.804074,4.193811,10069.182696,4.206051
80,0.000955,3.384361,0.765709,4.151025,10069.186859,4.163195
81,0.000905,3.390820,0.776236,4.167961,10069.191039,4.180315
82,0.000907,3.397209,0.623714,4.021830,10069.195074,4.034106
83,0.000860,3.402369,0.865681,4.268910,10069.199355,4.281218
84,0.000867,3.388937,0.557256,3.947060,10069.203314,3.959309
85,0.000866,3.432767,0.909188,4.342821,10069.207669,4.355311
86,0.002234,3.600492,0.413407,4.016133,10069.211714,4.044171
87,0.001154,3.409687,0.817557,4.228398,10069.215956,4.242908
88,0.001327,3.315716,0.824935,4.141978,10069.220112,4.155086
89,0.000887,3.392795,0.844752,4.238434,10069.224363,4.250966
90,0.000905,3.392391,0.728386,4.121682,10069.228497,4.134035
91,0.000911,3.390631,0.796562,4.188104,10069.232697,4.200415
92,0.001497,3.430786,0.757395,4.189678,10069.236899,4.201851
93,0.001052,3.298671,0.855541,4.155264,10069.241070,4.171483
94,0.001226,3.320197,0.708312,4.029735,10069.245112,4.041751
95,0.000906,3.319868,0.950144,4.270918,10069.249395,4.282793
96,0.000869,3.369683,0.753326,4.123878,10069.253531,4.135864
97,0.000818,3.335841,0.854532,4.191191,10069.257734,4.203209
98,0.001042,3.327699,0.815473,4.144214,10069.261892,4.157978
99,0.000930,3.374010,0.793892,4.168832,10069.266073,4.180629
100,0.000892,3.353598,0.743481,4.097971,10069.270182,4.109866
101,0.000920,3.322399,0.874899,4.198218,10069.274393,4.210222
102,0.000890,3.316938,0.623673,3.941501,10069.278346,3.953359
103,0.000902,3.346358,1.022336,4.369596,10069.282728,4.381606
104,0.000899,3.316225,0.842075,4.159199,10069.286899,4.171258
105,0.000896,3.301229,0.859758,4.161883,10069.291073,4.173950
106,0.000886,3.324515,0.766941,4.092342,10069.295177,4.104345
107,0.000911,3.358305,0.824006,4.183222,10069.299373,4.195390
108,0.000939,3.350701,0.591103,3.942743,10069.303327,3.954629
109,0.000852,3.338809,1.072545,4.412206,10069.307754,4.426648
110,0.000889,3.727403,0.273605,4.001897,10069.311768,4.014087
111,0.002142,3.421036,0.902816,4.325994,10069.316114,4.346462
112,0.000886,3.346870,0.698775,4.046531,10069.320173,4.058870
113,0.000890,3.311689,0.880236,4.192815,10069.324378,4.204833
114,0.000867,3.320569,0.776422,4.097858,10069.328488,4.109947
115,0.000868,3.361247,0.877270,4.239385,10069.332739,4.251412
116,0.000867,3.340008,0.815084,4.155959,10069.336907,4.167880
117,0.000888,3.301325,0.893472,4.195685,10069.341115,4.207799
118,0.000945,3.332253,0.737217,4.070415,10069.345197,4.082386
119,0.000865,3.405609,0.830114,4.236588,10069.349446,4.248588
120,0.000947,3.355958,0.740219,4.097124,10069.353555,4.109136
121,0.001198,3.336567,0.810621,4.148386,10069.357716,4.160506
122,0.000951,3.319375,0.868547,4.188873,10069.361917,4.200930
123,0.001105,3.319035,0.864650,4.184790,10069.366115,4.198427
124,0.000923,3.386070,0.632395,4.019388,10069.370146,4.031361
125,0.000889,3.306687,0.940483,4.248059,10069.374407,4.260319
126,0.001015,3.313047,0.694392,4.008454,10069.378427,4.020367
127,0.000847,3.447163,0.856750,4.304760,10069.382744,4.316530
128,0.000884,3.336385,0.794165,4.131434,10069.386887,4.143298
129,0.001287,3.293272,0.914103,4.208662,10069.391112,4.224668
130,0.000882,3.338900,0.685205,4.024987,10069.395149,4.036963
131,0.000963,3.355368,0.893007,4.249338,10069.399410,4.261372
132,0.000959,3.339679,0.820425,4.161063,10069.403583,4.172918
133,0.000871,3.328989,0.823914,4.153774,10069.407749,4.165668
134,0.000876,3.624982,0.446378,4.072236,10069.411833,4.084272
135,0.002079,3.426065,0.832499,4.260643,10069.416115,4.281850
136,0.000923,3.377838,0.691680,4.070441,10069.420197,4.082514
137,0.000877,3.324318,0.988505,4.313700,10069.424523,4.325799
138,0.000885,3.314350,0.614003,3.929238,10069.428464,3.941251
139,0.000910,3.428355,0.823312,4.252577,10069.432729,4.264636
140,0.000943,3.345342,0.828291,4.174576,10069.436916,4.186779
141,0.000878,3.281689,0.874079,4.156646,10069.441084,4.168595
142,0.000974,3.317410,0.773817,4.092201,10069.445188,4.104122
143,0.000885,3.389092,0.902712,4.292689,10069.449493,4.304835
144,0.000910,3.365688,0.706300,4.072898,10069.453578,4.084919
145,0.000867,3.332513,0.805215,4.138595,10069.457729,4.150851
146,0.001040,3.352264,0.795183,4.148487,10069.461891,4.162255
147,0.001093,3.337299,0.889024,4.227416,10069.466133,4.241289
148,0.000954,3.352033,0.704484,4.057471,10069.470202,4.069686
149,0.000921,3.312872,0.891295,4.205088,10069.474422,4.220082
150,0.000965,3.309384,0.694167,4.004516,10069.478439,4.016491
151,0.001236,3.424303,0.850502,4.276041,10069.482727,4.288030
152,0.000969,3.346576,0.819554,4.167099,10069.486906,4.179090
153,0.000996,3.289765,0.933561,4.224322,10069.491142,4.236251
154,0.000906,3.322088,0.717531,4.040525,10069.495195,4.052437
155,0.000927,3.350062,0.865979,4.216968,10069.499424,4.229008
156,0.000928,3.346135,0.668302,4.015365,10069.503451,4.027330
157,0.000873,3.371210,0.895948,4.268031,10069.507731,4.280065
158,0.000952,3.464700,0.630464,4.096116,10069.511839,4.107953
159,0.002602,3.575037,0.621589,4.199228,10069.516081,4.241869
160,0.001140,3.359706,0.732066,4.092912,10069.520189,4.108471
161,0.000952,3.319823,0.903325,4.224100,10069.524426,4.236518
162,0.000884,3.315716,0.691685,4.008285,10069.528446,4.020331
163,0.000899,3.454853,0.851002,4.306754,10069.532765,4.318840
164,0.000992,3.366592,0.779186,4.146770,10069.536924,4.158977
165,0.000802,3.310995,0.863237,4.175034,10069.541111,4.187102
166,0.000853,3.311757,0.766720,4.079330,10069.545202,4.091239
167,0.000823,3.408040,0.819921,4.228784,10069.549443,4.240826
168,0.000823,3.308536,0.672498,3.981857,10069.553437,3.993732
169,0.000790,3.372009,0.907354,4.280153,10069.557742,4.305568
170,0.000956,3.313504,0.857276,4.171736,10069.561926,4.183939
171,0.001036,3.365588,0.821750,4.188374,10069.566128,4.201979
172,0.000828,3.321193,0.734835,4.056856,10069.570197,4.068810
173,0.000857,3.321002,0.920362,4.242221,10069.574454,4.257070
174,0.000924,3.345848,0.661657,4.008429,10069.578474,4.020218
175,0.000812,3.419484,0.861624,4.281920,10069.582768,4.293882
176,0.000883,3.309129,0.849913,4.159925,10069.586940,4.172051
177,0.000853,3.313302,0.852833,4.166988,10069.591119,4.178850
178,0.000772,3.425365,0.639340,4.065477,10069.595197,4.077492
179,0.000791,3.445959,0.796394,4.243144,10069.599452,4.255142
180,0.001110,3.353520,0.624555,3.979185,10069.603443,3.991071
181,0.000814,3.398070,0.920635,4.319519,10069.607774,4.331447
182,0.000937,3.441080,0.728514,4.170531,10069.611956,4.181289
183,0.000908,5.751990,0.230226,5.983124,10069.617951,5.995328
184,0.002181,3.679721,0.184777,3.866679,10069.621836,3.885458
185,0.001498,3.485966,0.150347,3.637811,10069.625490,3.653691
186,0.000963,3.431744,0.114115,3.546822,10069.629048,3.557650
187,0.000990,3.471870,0.181754,3.654614,10069.632713,3.665246
188,0.001012,3.294050,0.830995,4.126057,10069.636850,4.136532
189,0.000861,3.340188,0.712042,4.053091,10069.640913,4.063662
190,0.001095,3.330643,0.983447,4.315185,10069.645239,4.325896
191,0.001012,3.436390,0.745924,4.183326,10069.649434,4.195367
192,0.000956,3.394664,0.758710,4.154330,10069.653601,4.166682
193,0.000880,3.406737,0.747096,4.154713,10069.657768,4.167049
194,0.000931,3.464079,0.702782,4.167792,10069.661948,4.180011
195,0.000921,3.431352,0.714245,4.146518,10069.666107,4.158710
196,0.001315,3.386864,0.742526,4.130705,10069.670250,4.143010
197,0.001260,3.391307,0.703068,4.095635,10069.674358,4.107866
198,0.000973,3.449855,0.783364,4.234192,10069.678604,4.246235
199,0.000865,3.399997,0.757586,4.158448,10069.682775,4.170764
200,0.000938,3.389645,0.758552,4.149135,10069.686936,4.161550
201,0.000928,3.424381,0.715772,4.141081,10069.691106,4.169946
202,0.000899,3.396766,0.713022,4.110687,10069.695229,4.123025
203,0.001075,3.415776,0.808438,4.225289,10069.699467,4.237558
204,0.000971,3.396199,0.737683,4.134853,10069.703614,4.147098
205,0.000871,3.398395,0.748904,4.148170,10069.707774,4.160303
206,0.000928,3.384789,0.777562,4.163279,10069.711950,4.175617
207,0.000890,3.419927,0.648101,4.068918,10069.716031,4.081173
208,0.001990,3.590040,0.477943,4.069973,10069.720141,4.109978
209,0.001481,3.436102,0.852485,4.290068,10069.724450,4.308558
210,0.000897,3.393788,0.725504,4.120189,10069.728582,4.132395
211,0.000858,3.493607,0.693620,4.188085,10069.732782,4.200261
212,0.000932,3.398291,0.758559,4.157782,10069.736952,4.170015
213,0.001022,3.321532,0.837473,4.160027,10069.741125,4.172401
214,0.000923,3.393733,0.659772,4.054428,10069.745191,4.066771
215,0.000940,3.410629,0.840372,4.251941,10069.749456,4.264251
216,0.000991,3.398904,0.744074,4.143969,10069.753612,4.156455
217,0.000929,3.386851,0.771225,4.159005,10069.757783,4.171182
218,0.000881,3.379882,0.780859,4.161622,10069.761957,4.173761
219,0.000898,3.396858,0.757897,4.155653,10069.766125,4.167924
220,0.000973,3.399676,0.738348,4.138997,10069.770276,4.151236
221,0.000905,3.421230,0.746199,4.168334,10069.774457,4.180710
222,0.000957,3.385032,0.562530,3.948519,10069.778418,3.960763
223,0.001220,3.398891,0.928153,4.328264,10069.782758,4.340606
