FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001174,3.667363,0.579069,4.247606,7603.963320,N/A
1,0.001780,3.536092,0.597581,4.135453,7603.967476,4.155246
2,0.000908,3.498112,0.767367,4.266387,7603.971755,4.279180
3,0.000794,3.473079,0.561873,4.035746,7603.975803,4.048117
4,0.000783,3.467593,0.748900,4.217276,7603.980032,4.229411
5,0.000787,3.495143,0.581670,4.077600,7603.984122,4.090096
6,0.000823,3.504300,0.577934,4.083057,7603.988218,4.095332
7,0.000803,3.474045,0.876782,4.351630,7603.992581,4.362884
8,0.000836,3.520396,0.473527,3.994759,7603.996588,4.007020
9,0.000796,3.494084,0.834177,4.329057,7604.000929,4.341794
10,0.000803,3.464551,0.565320,4.030674,7604.004973,4.043191
11,0.000822,3.499941,0.705998,4.206761,7604.009192,4.218939
12,0.001155,3.458442,0.707094,4.166691,7604.013370,4.178818
13,0.000800,3.481871,0.616596,4.099267,7604.017482,4.111426
14,0.000797,3.488173,0.783243,4.272213,7604.021766,4.284591
15,0.000785,3.520133,0.510043,4.030961,7604.025810,4.043404
16,0.000772,3.469119,0.714399,4.184290,7604.030006,4.196470
17,0.000844,3.465572,0.691055,4.157471,7604.034176,4.170142
18,0.000861,3.435919,0.594285,4.031065,7604.038219,4.043040
19,0.001031,3.441801,0.904900,4.347732,7604.042578,4.358663
20,0.000779,3.425195,0.777527,4.203501,7604.046794,4.215530
21,0.000761,3.405892,0.612126,4.018779,7604.050838,4.044024
22,0.000759,3.436790,0.834734,4.272283,7604.055122,4.284212
23,0.000762,3.482803,0.490334,3.973899,7604.059108,3.985987
24,0.000766,3.716469,0.552499,4.269734,7604.063390,4.281796
25,0.001504,3.570369,0.406522,3.978395,7604.067389,3.998887
26,0.001233,3.529898,0.838498,4.369629,7604.071769,4.380437
27,0.000793,3.517635,0.545732,4.064160,7604.075845,4.076164
28,0.000752,3.601021,0.559233,4.161006,7604.080018,4.172972
29,0.000789,3.672708,0.361818,4.035315,7604.084088,4.069539
30,0.000847,3.471621,0.894474,4.366942,7604.088478,4.390705
31,0.000867,3.583252,0.370830,3.954949,7604.092445,3.966861
32,0.000748,3.596347,0.563341,4.160436,7604.096618,4.172341
33,0.001088,3.463333,0.628298,4.092719,7604.100723,4.105125
34,0.000994,3.410548,0.996904,4.408446,7604.105142,4.418964
35,0.000764,3.430785,0.585946,4.017495,7604.109171,4.029348
36,0.000748,3.449311,0.849323,4.299382,7604.113482,4.311151
37,0.000763,3.422155,0.649309,4.072227,7604.117566,4.084302
38,0.000725,3.413532,0.781393,4.195650,7604.121774,4.207565
39,0.000786,3.525699,0.486795,4.013280,7604.125799,4.025001
40,0.000812,3.553609,0.632806,4.187227,7604.129998,4.198954
41,0.000759,3.497344,0.666279,4.164382,7604.134181,4.182774
42,0.000789,3.489046,0.551214,4.041049,7604.138234,4.053230
43,0.000798,3.502321,0.690378,4.193497,7604.142440,4.205807
44,0.000789,3.495478,0.832883,4.329150,7604.146781,4.341403
45,0.000780,13.152360,2.149215,15.302355,7604.162096,15.314758
46,0.002556,3.616185,0.200294,3.819035,7604.165945,3.848848
47,0.001238,3.512991,0.157756,3.671985,7604.169633,3.688165
48,0.000870,3.453885,0.147541,3.602296,7604.173246,3.613381
49,0.000735,3.489482,0.145088,3.635305,7604.176892,3.645442
50,0.001004,3.443159,0.150077,3.594240,7604.180497,3.604728
51,0.001072,3.389926,0.073386,3.464384,7604.183971,3.474737
52,0.000709,3.367812,0.953700,4.322221,7604.188304,4.332371
53,0.000800,3.462064,0.624313,4.087177,7604.192401,4.097738
54,0.000765,3.486202,0.749933,4.236900,7604.196650,4.248955
55,0.000763,3.441867,0.710884,4.153514,7604.200816,4.165582
56,0.000820,3.478393,0.677126,4.156339,7604.204984,4.168509
57,0.000725,3.503390,0.647458,4.151573,7604.209148,4.163731
58,0.000744,3.491212,0.555882,4.047838,7604.213208,4.059917
59,0.000755,3.495745,0.622200,4.118700,7604.217339,4.130630
60,0.000753,3.503297,0.794603,4.298653,7604.221649,4.310636
61,0.000782,3.499925,0.652201,4.152908,7604.225814,4.164845
62,0.000799,3.509705,0.612401,4.122905,7604.229949,4.134998
63,0.000737,3.337864,0.861790,4.200391,7604.234161,4.212166
64,0.000810,3.459728,0.693832,4.154370,7604.238327,4.166053
65,0.000784,3.508696,0.587392,4.096872,7604.242437,4.109409
66,0.000849,3.446788,0.639005,4.086642,7604.246535,4.098470
67,0.000790,3.419394,0.857843,4.278027,7604.250825,4.289836
68,0.000748,3.507435,0.646446,4.154629,7604.254991,4.166349
69,0.000781,3.421620,0.733231,4.155632,7604.259164,4.172702
70,0.000754,3.427992,0.641467,4.070213,7604.263246,4.082039
71,0.001063,5.485420,0.206353,5.692836,7604.268956,5.709678
72,0.001949,3.410066,0.150437,3.562452,7604.272539,3.582624
73,0.000849,3.313538,0.075215,3.389602,7604.275938,3.399723
74,0.000778,3.354581,0.645138,4.000497,7604.279949,4.010536
75,0.000846,3.471254,0.721291,4.193391,7604.284154,4.205551
76,0.000785,3.473509,0.681219,4.155513,7604.288322,4.167743
77,0.000817,3.426139,0.615121,4.042077,7604.292378,4.056277
78,0.000822,3.472379,0.798731,4.271932,7604.296662,4.283684
79,0.000826,3.430494,0.722634,4.153954,7604.300828,4.165697
80,0.000815,3.441385,0.713012,4.155212,7604.304995,4.166965
81,0.000764,3.450308,0.710518,4.161590,7604.309173,4.178140
82,0.000880,3.427226,0.650492,4.078598,7604.313263,4.090394
83,0.000823,3.425584,0.736862,4.163269,7604.317438,4.174910
84,0.000728,3.423397,0.789909,4.214034,7604.321664,4.225734
85,0.001067,3.482359,0.670276,4.153702,7604.325829,4.165322
86,0.000761,3.443611,0.711617,4.155989,7604.329997,4.167751
87,0.000788,3.442442,0.680069,4.123299,7604.334137,4.140211
88,0.000813,3.469527,0.716232,4.186572,7604.338336,4.198517
89,0.000777,3.503950,0.588095,4.092822,7604.342440,4.104573
90,0.000748,3.423293,0.754870,4.178911,7604.346631,4.190764
91,0.000823,3.413997,0.782500,4.197320,7604.350840,4.209161
92,0.000752,3.474556,0.670017,4.145325,7604.354997,4.157131
93,0.000770,3.442995,0.712632,4.156397,7604.359173,4.175571
94,0.000799,3.430437,0.725228,4.156464,7604.363341,4.168288
95,0.000964,3.641240,0.439564,4.081768,7604.367435,4.093696
96,0.001617,3.506569,0.705479,4.213665,7604.371668,4.232982
97,0.000825,3.454934,0.698224,4.153983,7604.375835,4.166858
98,0.000853,3.404360,0.756002,4.161215,7604.380008,4.173276
99,0.000779,3.423586,0.768249,4.192614,7604.384213,4.204556
100,0.000759,3.474055,0.642851,4.117665,7604.388342,4.129443
101,0.000746,3.485686,0.639043,4.125475,7604.392479,4.137325
102,0.000743,3.462485,0.731734,4.194962,7604.396686,4.206751
103,0.000728,3.414868,0.728355,4.143951,7604.400842,4.155701
104,0.001033,3.557876,0.559151,4.118060,7604.404972,4.129840
105,0.000688,3.419576,0.717059,4.137323,7604.409121,4.148960
106,0.000739,3.427500,0.777846,4.206085,7604.413339,4.217954
107,0.000807,3.506017,0.532102,4.038926,7604.417389,4.050800
108,0.000731,3.512491,0.735570,4.248792,7604.421650,4.260677
109,0.000745,3.417285,0.760998,4.179028,7604.425843,4.193149
110,0.000988,3.406079,0.725143,4.132210,7604.429987,4.144201
111,0.000788,3.429646,0.758047,4.188481,7604.434188,4.200290
112,0.001120,3.429899,0.711482,4.142501,7604.438342,4.154320
113,0.000769,3.477549,0.652775,4.131093,7604.442485,4.142872
114,0.000858,3.407734,0.781474,4.190066,7604.446687,4.201913
115,0.000854,3.398148,0.740445,4.139447,7604.450838,4.151219
