FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001137,3.496044,0.654309,4.151490,10092.931367,N/A
1,0.000944,3.484703,0.735556,4.221203,10092.935602,4.234744
2,0.000898,3.479715,0.668353,4.148966,10092.939763,4.161126
3,0.000913,3.491200,0.644996,4.137109,10092.943912,4.149401
4,0.000921,3.447531,0.707270,4.155722,10092.948080,4.167860
5,0.000955,3.485122,0.693513,4.179590,10092.952272,4.192273
6,0.001021,3.474677,0.642784,4.118482,10092.956403,4.130713
7,0.000923,3.481654,0.668411,4.150988,10092.960567,4.163401
8,0.000965,3.488180,0.703277,4.192422,10092.964771,4.204673
9,0.001003,3.477908,0.667803,4.146714,10092.968931,4.159476
10,0.000899,3.417763,0.769401,4.188063,10092.973131,4.200692
11,0.000989,3.747935,0.342999,4.091923,10092.977236,4.104132
12,0.001806,3.506677,0.573911,4.082394,10092.981336,4.100612
13,0.001064,3.473763,0.715717,4.190544,10092.985538,4.201922
14,0.000996,3.484788,0.734888,4.220672,10092.989771,4.232853
15,0.001248,3.474078,0.697704,4.173030,10092.993956,4.185261
16,0.001001,3.458084,0.653120,4.112205,10092.998081,4.124294
17,0.001072,3.473744,0.718497,4.193313,10093.002287,4.206667
18,0.000917,3.467578,0.606308,4.074803,10093.006374,4.087076
19,0.000957,3.396877,0.831527,4.229361,10093.010616,4.241589
20,0.000902,3.497203,0.647774,4.145879,10093.014774,4.158174
21,0.001077,3.471922,0.681599,4.154598,10093.018941,4.166973
22,0.001186,3.421418,0.719441,4.142045,10093.023095,4.154152
23,0.000953,3.481789,0.694374,4.177116,10093.027284,4.189311
24,0.000926,3.488416,0.586922,4.076264,10093.031373,4.088481
25,0.001104,3.490828,0.733809,4.225741,10093.035611,4.238415
26,0.000910,3.477259,0.668717,4.146886,10093.039770,4.159073
27,0.000894,3.474888,0.695413,4.171195,10093.043954,4.183484
28,0.000888,3.507455,0.635219,4.143562,10093.048110,4.155704
29,0.000962,3.487530,0.665789,4.154281,10093.052276,4.166322
30,0.001019,3.478085,0.630469,4.109573,10093.056398,4.121713
31,0.000996,3.476074,0.730652,4.207722,10093.060617,4.219788
32,0.000925,3.463411,0.692698,4.157034,10093.064787,4.169201
33,0.000924,3.467212,0.683129,4.151265,10093.068950,4.163770
34,0.000916,3.417360,0.642938,4.061214,10093.073024,4.073389
35,0.000866,3.621734,0.579243,4.201843,10093.077238,4.214179
36,0.002707,3.560066,0.537782,4.100555,10093.081360,4.121996
37,0.001002,3.489084,0.743239,4.233325,10093.085606,4.245873
38,0.001264,3.425403,0.744419,4.171086,10093.089789,4.183215
39,0.000892,3.495529,0.638843,4.135264,10093.093937,4.147556
40,0.000875,3.463686,0.681362,4.145923,10093.098095,4.158228
41,0.001077,3.507276,0.656261,4.164614,10093.102272,4.177232
42,0.001006,3.491796,0.615637,4.108439,10093.106393,4.120614
43,0.001006,3.487004,0.744208,4.232218,10093.110637,4.244515
44,0.000891,3.428383,0.720081,4.149355,10093.114799,4.161539
45,0.000912,3.497339,0.639993,4.138244,10093.118949,4.150397
46,0.000920,12.393350,0.157408,12.551678,10093.131513,12.563945
47,0.000945,3.392553,0.688632,4.082130,10093.135606,4.092494
48,0.000948,3.473765,0.660740,4.135453,10093.139753,4.147569
49,0.000891,3.493416,0.679184,4.173491,10093.143939,4.185613
50,0.000974,3.419785,0.619570,4.040329,10093.147991,4.052531
51,0.000919,3.493868,0.734606,4.229393,10093.152238,4.246721
52,0.000931,3.486073,0.503952,3.990956,10093.156241,4.003041
53,0.000912,3.497702,0.646003,4.144617,10093.160399,4.157648
54,0.001378,3.489491,0.884187,4.375056,10093.164786,4.387138
55,0.001008,3.496312,0.623724,4.121044,10093.168919,4.133153
56,0.001176,3.467604,0.632969,4.101749,10093.173033,4.114162
57,0.000874,3.574788,0.599589,4.175251,10093.177221,4.187340
58,0.003790,3.560792,0.509608,4.074190,10093.181323,4.102242
59,0.000962,3.486542,0.745051,4.232555,10093.185568,4.244992
60,0.000965,3.499921,0.700068,4.200954,10093.189781,4.213249
61,0.000896,3.479894,0.665268,4.146058,10093.193939,4.158294
62,0.000993,3.457134,0.709786,4.167913,10093.198119,4.180202
63,0.000964,3.496878,0.608475,4.106317,10093.202238,4.118398
