FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001070,3.499678,0.655349,4.156097,10116.584283,N/A
1,0.000981,3.498388,0.672475,4.171844,10116.588469,4.185809
2,0.001087,3.490664,0.706823,4.198574,10116.592680,4.211274
3,0.000943,3.477845,0.657077,4.135865,10116.596828,4.148036
4,0.000939,3.413905,0.750729,4.165573,10116.601006,4.177907
5,0.001112,3.505227,0.581837,4.088176,10116.605107,4.101228
6,0.001291,3.496392,0.657051,4.154734,10116.609274,4.167057
7,0.000886,3.499423,0.627739,4.128048,10116.613415,4.140347
8,0.001048,3.486274,0.755433,4.242755,10116.617670,4.255006
9,0.000927,3.598576,0.525068,4.124571,10116.621807,4.137613
10,0.002399,3.541504,0.572702,4.116605,10116.625946,4.138214
11,0.001001,3.502765,0.650842,4.154608,10116.630113,4.167269
12,0.001022,3.506459,0.697814,4.205295,10116.634330,4.217599
13,0.001002,3.498411,0.616067,4.115480,10116.638458,4.127761
14,0.001010,3.489707,0.702391,4.193108,10116.642664,4.205464
15,0.001229,3.474523,0.674087,4.149839,10116.646826,4.162217
16,0.001013,3.468691,0.708053,4.177757,10116.651016,4.190277
17,0.001025,3.504174,0.597501,4.102700,10116.655132,4.116153
18,0.000971,3.497378,0.652557,4.150906,10116.659295,4.163119
19,0.000940,3.496132,0.657357,4.154429,10116.663462,4.166769
20,0.001008,3.501165,0.705627,4.207800,10116.667682,4.220081
21,0.001136,3.481517,0.584768,4.067421,10116.671762,4.079614
22,0.000936,3.512792,0.734343,4.248071,10116.676022,4.260262
23,0.000977,3.491125,0.592307,4.084409,10116.680119,4.096833
24,0.000973,3.504901,0.720712,4.226586,10116.684358,4.238763
25,0.000972,3.502075,0.623646,4.126693,10116.688498,4.139841
26,0.000943,3.483937,0.666098,4.150978,10116.692661,4.163362
27,0.000892,3.500701,0.587780,4.089373,10116.696763,4.101619
28,0.000915,3.494433,0.752411,4.247759,10116.701022,4.259928
29,0.000925,3.494701,0.618495,4.114121,10116.705149,4.126506
30,0.000910,3.498690,0.633512,4.133112,10116.709294,4.145360
31,0.001282,3.501964,0.687320,4.190566,10116.713497,4.202828
32,0.000935,3.500768,0.644695,4.146398,10116.717656,4.158660
33,0.000984,3.615645,0.485682,4.102311,10116.721771,4.114993
34,0.002717,3.610431,0.554587,4.167735,10116.725962,4.191045
35,0.000998,3.440646,0.739230,4.180874,10116.730156,4.194103
36,0.001057,3.502678,0.665295,4.169030,10116.734337,4.181445
37,0.001172,3.504227,0.609616,4.115015,10116.738465,4.127225
38,0.001091,3.492127,0.717306,4.210524,10116.742688,4.222911
39,0.000972,3.471259,0.608507,4.080738,10116.746781,4.093174
40,0.000980,3.489929,0.743068,4.233977,10116.751027,4.246421
41,0.001126,3.508972,0.593786,4.103884,10116.755144,4.117325
42,0.000949,3.499217,0.650687,4.150853,10116.759308,4.163157
43,0.001126,3.501281,0.654960,4.157367,10116.763477,4.169551
44,0.000899,3.494643,0.704469,4.200011,10116.767690,4.212438
45,0.000914,3.484274,0.660152,4.145340,10116.771847,4.157735
46,0.000924,12.080891,2.037358,14.119173,10116.785979,14.131392
47,0.001041,3.498712,0.152189,3.651942,10116.789643,3.663908
48,0.001045,3.447082,0.149953,3.598080,10116.793252,3.608920
49,0.000947,3.490274,0.140785,3.632006,10116.796894,3.642214
50,0.001029,3.447429,0.451025,3.899483,10116.800804,3.910168
51,0.000957,3.445090,0.810729,4.256776,10116.805071,4.267212
52,0.000958,3.420611,0.935714,4.357283,10116.809439,4.367489
53,0.000896,3.486393,0.433538,3.920827,10116.813373,3.933957
54,0.001008,3.493213,0.777939,4.272160,10116.817657,4.284332
55,0.000975,3.541470,0.563364,4.105809,10116.821775,4.118117
56,0.003000,3.551276,0.609747,4.164023,10116.825964,4.189415
57,0.001154,3.504897,0.588412,4.094463,10116.830074,4.109279
58,0.000916,3.505032,0.738399,4.244347,10116.834330,4.256713
59,0.000943,3.499128,0.567672,4.067743,10116.838410,4.079878
60,0.000983,3.493625,0.742452,4.237060,10116.842660,4.249327
61,0.001100,3.524427,0.513807,4.039334,10116.846711,4.051670
62,0.001081,3.504274,0.766382,4.271737,10116.850995,4.284075
63,0.001255,3.519366,0.510293,4.030914,10116.855044,4.049045
64,0.001037,3.494350,0.770825,4.266212,10116.859323,4.278562
65,0.000946,3.498264,0.548153,4.047363,10116.863384,4.060795
66,0.000926,3.505842,0.758172,4.264940,10116.867661,4.277186
67,0.001237,3.499679,0.662702,4.163618,10116.871837,4.175885
68,0.000950,3.503593,0.634643,4.139186,10116.875988,4.151570
69,0.000945,3.512634,0.565901,4.079480,10116.880086,4.097574
70,0.000991,3.497212,0.731256,4.229459,10116.884328,4.241716
71,0.001028,3.499469,0.620425,4.120922,10116.888461,4.133161
72,0.000981,3.494819,0.699556,4.195356,10116.892669,4.207706
73,0.000963,3.468655,0.592080,4.061698,10116.896743,4.073908
74,0.001013,3.499004,0.754430,4.254447,10116.901009,4.266708
75,0.000932,3.493213,0.562280,4.056425,10116.905078,4.068782
76,0.000970,3.499563,0.745999,4.246532,10116.909337,4.258859
77,0.000932,3.493957,0.609517,4.104406,10116.913456,4.119163
78,0.000978,3.490337,0.719684,4.210999,10116.917679,4.223269
79,0.000986,3.502126,0.458072,3.961184,10116.921653,3.973289
80,0.001830,3.662869,0.681151,4.345850,10116.926015,4.362313
81,0.001746,3.532914,0.492525,4.027185,10116.930063,4.048511
82,0.000929,3.520634,0.784049,4.305612,10116.934382,4.318195
83,0.000930,3.437020,0.666617,4.104567,10116.938498,4.116833
84,0.000945,3.476817,0.718956,4.196718,10116.942707,4.208813
85,0.001159,3.478129,0.473602,3.952890,10116.946672,3.964811
86,0.000942,3.535840,0.855134,4.391916,10116.951076,4.403824
87,0.000929,3.431664,0.596230,4.028823,10116.955117,4.040921
88,0.000959,3.479170,0.759540,4.239669,10116.959369,4.251835
89,0.000933,3.491126,0.637398,4.129457,10116.963510,4.141556
90,0.000926,3.458974,0.699563,4.159463,10116.967682,4.171514
91,0.000927,3.449696,0.536684,3.987307,10116.971681,3.999237
92,0.000971,3.517700,0.664391,4.183062,10116.975876,4.194916
93,0.001144,3.449099,0.760697,4.210940,10116.980100,4.224524
94,0.000925,3.421020,0.819976,4.241921,10116.984354,4.253907
95,0.000914,3.424413,0.494774,3.920101,10116.988287,3.932287
96,0.000936,3.470546,0.894683,4.366165,10116.992665,4.378130
97,0.000939,3.456796,0.696858,4.154593,10116.996831,4.166467
98,0.001135,3.436195,0.712271,4.149601,10117.000993,4.161543
99,0.000936,3.429145,0.675665,4.105746,10117.005116,4.122870
100,0.001279,3.513185,0.692355,4.206819,10117.009334,4.218881
101,0.000974,3.471815,0.559419,4.032208,10117.013379,4.044110
102,0.000975,3.434541,0.838835,4.274351,10117.017665,4.286303
103,0.000887,3.418221,0.738875,4.157983,10117.021835,4.169965
104,0.000989,3.705179,0.394542,4.100710,10117.025948,4.112651
105,0.002022,3.525704,0.580011,4.107737,10117.030077,4.129023
106,0.000931,3.518793,0.726376,4.246100,10117.034335,4.258649
107,0.000891,3.479286,0.655043,4.135220,10117.038482,4.147231
108,0.001061,3.421515,0.752525,4.175101,10117.042669,4.186975
109,0.000937,3.550396,0.557976,4.109309,10117.046794,4.124138
110,0.000926,3.446010,0.762320,4.209256,10117.051015,4.221192
111,0.001034,3.437487,0.651945,4.090466,10117.055117,4.102620
