FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001349,3.469321,0.684842,4.155512,10155.297291,N/A
1,0.000884,3.504765,0.645673,4.151322,10155.301456,4.165507
2,0.001266,3.475718,0.720485,4.197469,10155.305666,4.209789
3,0.000952,3.481961,0.614095,4.097008,10155.309776,4.109471
4,0.001198,3.482349,0.717801,4.201348,10155.313989,4.213589
5,0.001044,3.516881,0.589906,4.107831,10155.318116,4.126206
6,0.001068,3.598072,0.530921,4.130061,10155.322258,4.142488
7,0.002610,3.581015,0.581983,4.165608,10155.326444,4.185986
8,0.000977,3.533335,0.672689,4.207001,10155.330664,4.219952
9,0.001333,3.424597,0.728914,4.154844,10155.334832,4.167574
10,0.000943,3.452825,0.656355,4.110123,10155.338954,4.122574
11,0.000973,3.427397,0.733549,4.161919,10155.343129,4.174404
12,0.001034,3.510337,0.601525,4.112896,10155.347254,4.125235
13,0.001034,3.469666,0.771375,4.242075,10155.351507,4.253089
14,0.001088,3.466434,0.646896,4.114418,10155.355634,4.126866
15,0.000958,3.484366,0.660104,4.145428,10155.359792,4.157816
16,0.001186,3.463143,0.689147,4.153476,10155.363957,4.165912
17,0.001008,3.415318,0.745175,4.161501,10155.368132,4.174719
18,0.001006,3.502828,0.617218,4.121052,10155.372266,4.133627
19,0.000974,3.493968,0.695981,4.190923,10155.376469,4.203497
20,0.000894,3.526847,0.620560,4.148301,10155.380630,4.160740
21,0.000915,3.473846,0.707669,4.182430,10155.384825,4.194883
22,0.000983,3.429618,0.698040,4.128641,10155.388966,4.141520
23,0.000990,3.418668,0.770294,4.189952,10155.393169,4.202363
24,0.000938,3.485057,0.603246,4.089241,10155.397271,4.101776
25,0.001060,3.404780,0.806350,4.212190,10155.401496,4.225872
26,0.000906,3.466002,0.658899,4.125807,10155.405635,4.138239
27,0.000944,3.483174,0.670064,4.154182,10155.409801,4.166668
28,0.001033,3.492029,0.659223,4.152285,10155.413966,4.164841
29,0.001123,3.504415,0.665267,4.170805,10155.418149,4.183155
30,0.001053,3.849467,0.304969,4.155489,10155.422318,4.168192
31,0.005206,4.147619,0.129155,4.281980,10155.426634,4.316335
32,0.001911,3.407344,0.575961,3.985216,10155.430638,4.003734
33,0.000892,3.477597,0.677391,4.155880,10155.434807,4.169166
34,0.000900,3.414996,0.739112,4.155008,10155.438974,4.167499
35,0.000916,3.494614,0.662515,4.158045,10155.443145,4.170619
36,0.000945,3.516951,0.632411,4.150307,10155.447308,4.162826
37,0.000905,3.503490,0.621580,4.125975,10155.451446,4.138331
38,0.000935,3.490389,0.720019,4.211343,10155.455670,4.224131
39,0.001063,3.472926,0.649517,4.123506,10155.459806,4.135838
40,0.000919,3.465382,0.704249,4.170550,10155.463989,4.183047
41,0.000961,3.510034,0.623423,4.134418,10155.468142,4.152621
42,0.000895,3.500642,0.655265,4.156802,10155.472311,4.169244
43,0.000946,3.452224,0.733590,4.186760,10155.476510,4.199140
44,0.001092,3.517168,0.605636,4.123896,10155.480646,4.136243
45,0.000926,3.488003,0.665647,4.154576,10155.484813,4.166922
46,0.001017,3.458538,0.692908,4.152463,10155.488978,4.164850
47,0.000974,3.499497,0.653813,4.154284,10155.493145,4.166608
48,0.000956,3.513399,0.606543,4.120898,10155.497278,4.133325
49,0.001516,3.423045,0.804600,4.229161,10155.501520,4.241668
50,0.000993,3.465620,8.913141,12.379754,10155.513912,12.392098
51,0.001268,3.367798,0.151727,3.520793,10155.517445,3.533462
52,0.000896,3.499200,0.086789,3.586885,10155.521043,3.597443
53,0.000967,3.650373,0.207031,3.858371,10155.524912,3.869749
54,0.003279,3.588458,0.153224,3.744961,10155.528677,3.764364
55,0.000949,3.475577,0.152585,3.629111,10155.532317,3.640182
56,0.000972,3.494321,0.112313,3.607606,10155.535936,3.618541
57,0.001057,3.449883,0.124342,3.575282,10155.539522,3.586243
58,0.000869,3.403930,0.116959,3.521758,10155.543054,3.532136
59,0.001119,3.451496,0.822639,4.275254,10155.547339,4.285383
60,0.000985,3.485397,0.724433,4.210815,10155.551560,4.221205
61,0.000887,3.503278,0.646675,4.150840,10155.555723,4.163017
62,0.000995,3.498239,0.642481,4.141715,10155.559878,4.154079
63,0.000980,3.470436,0.700317,4.171733,10155.564062,4.184042
64,0.000918,3.503163,0.579813,4.083894,10155.568158,4.096289
65,0.000922,3.488456,0.731272,4.220650,10155.572392,4.234037
66,0.000921,3.493326,0.672355,4.166602,10155.576571,4.179420
67,0.000937,3.509649,0.601693,4.112279,10155.580696,4.124625
68,0.000864,3.500644,0.685289,4.186797,10155.584895,4.199115
69,0.000959,3.500911,0.645046,4.146916,10155.589055,4.159473
70,0.000995,3.495125,0.606291,4.102411,10155.593169,4.114807
71,0.001058,3.503077,0.712244,4.216379,10155.597398,4.228766
72,0.000906,3.484289,0.644450,4.129645,10155.601540,4.142045
73,0.000862,3.505642,0.678565,4.185069,10155.605738,4.197366
74,0.000914,3.498672,0.633920,4.133506,10155.609883,4.145783
75,0.000964,3.475247,0.704020,4.180231,10155.614076,4.192691
76,0.000901,3.499269,0.573409,4.073579,10155.618162,4.086035
77,0.000970,3.496960,0.715743,4.213673,10155.622392,4.229611
78,0.000955,4.532157,0.210281,4.743393,10155.627147,4.755736
79,0.001816,3.530821,0.152628,3.685265,10155.630851,3.703666
80,0.001023,3.363301,0.709841,4.074165,10155.634936,4.085374
81,0.000891,3.479430,0.648383,4.128704,10155.639078,4.141197
82,0.000857,3.432702,0.713601,4.147160,10155.643237,4.159199
83,0.000990,3.463868,0.577202,4.042060,10155.647291,4.054049
84,0.000924,3.434040,0.628685,4.063649,10155.651367,4.075862
85,0.001246,3.436748,0.953338,4.391332,10155.655770,4.403474
86,0.000933,3.430466,0.715643,4.147042,10155.659929,4.159178
87,0.001024,3.490993,0.640120,4.132137,10155.664074,4.144248
88,0.000895,3.435999,0.696955,4.133849,10155.668220,4.145962
89,0.000848,3.430025,0.780306,4.211179,10155.672443,4.223311
90,0.000826,3.527792,0.545671,4.074289,10155.676530,4.086630
91,0.000870,3.530007,0.713793,4.244670,10155.680786,4.256800
92,0.001018,3.423700,0.721430,4.146148,10155.684945,4.158323
93,0.000891,3.468867,0.664978,4.134736,10155.689094,4.149192
94,0.000932,3.464189,0.557878,4.022999,10155.693129,4.035251
95,0.000864,3.555522,0.727759,4.284145,10155.697426,4.296472
96,0.000892,3.419395,0.758692,4.178979,10155.701617,4.191096
97,0.000870,3.441118,0.731892,4.173880,10155.705803,4.186108
98,0.000899,3.508125,0.559293,4.068317,10155.709883,4.080444
99,0.001107,3.544411,0.577566,4.123084,10155.714018,4.135106
100,0.000917,3.434868,0.745919,4.181704,10155.718226,4.207620
101,0.000942,3.491457,0.597267,4.089666,10155.722328,4.101823
102,0.001015,3.543130,0.658674,4.202819,10155.726543,4.214925
103,0.002575,3.569062,0.482170,4.053807,10155.730622,4.079504
104,0.000963,3.460098,0.852454,4.313515,10155.734949,4.326604
105,0.000894,3.462553,0.692068,4.155515,10155.739117,4.167932
106,0.000930,3.436232,0.712730,4.149892,10155.743279,4.162073
107,0.001249,3.427458,0.526202,3.954909,10155.747246,3.967288
108,0.000964,3.440716,0.846368,4.288048,10155.751546,4.300164
109,0.000931,3.423717,0.792000,4.216648,10155.755778,4.232207
110,0.000991,3.405132,0.545140,3.951263,10155.759742,3.963487
111,0.000894,3.433541,0.932648,4.367083,10155.764121,4.379372
112,0.000897,3.435039,0.705527,4.141463,10155.768275,4.153562
113,0.001227,3.500545,0.524947,4.026719,10155.772314,4.038936
114,0.000897,3.466036,0.614641,4.081574,10155.776407,4.093596
115,0.000912,3.506904,0.824114,4.331930,10155.780752,4.344172
116,0.000870,3.462213,0.517809,3.980892,10155.784745,3.993001
117,0.000890,3.424918,0.907247,4.333055,10155.789090,4.345549
118,0.000941,3.475295,0.679141,4.155377,10155.793258,4.167549
119,0.000972,3.446106,0.527683,3.974761,10155.797245,3.986791
120,0.000859,3.438505,0.821771,4.261135,10155.801518,4.273372
121,0.000884,3.427965,0.815354,4.244203,10155.805774,4.256400
122,0.000841,3.467999,0.702305,4.171145,10155.809957,4.183154
123,0.000883,3.429318,0.718666,4.148867,10155.814119,4.161455
124,0.000926,3.429663,0.715810,4.146399,10155.818278,4.158848
125,0.000833,3.471201,0.578274,4.050308,10155.822340,4.062507
126,0.000950,3.467646,0.668254,4.136850,10155.826489,4.148948
127,0.003240,4.289844,0.153436,4.446520,10155.830960,4.470475
128,0.001446,3.547026,0.229156,3.777628,10155.834755,3.795817
129,0.000989,3.440333,0.845409,4.286731,10155.839058,4.302188
130,0.000959,3.405684,0.554109,3.960752,10155.843043,3.984872
131,0.000873,3.404404,0.978413,4.383690,10155.847436,4.393861
132,0.000927,3.452165,0.730533,4.183625,10155.851632,4.195851
133,0.000929,3.438341,0.711705,4.150975,10155.855795,4.163215
134,0.000895,3.419804,0.737045,4.157744,10155.859965,4.169971
135,0.000901,3.502074,0.602225,4.105200,10155.864083,4.117482
136,0.000974,3.442349,0.752287,4.195610,10155.868291,4.207896
137,0.001046,3.438903,0.517421,3.957370,10155.872260,3.969557
138,0.000837,3.439016,0.851460,4.291313,10155.876564,4.303433
139,0.000877,3.497088,0.727807,4.225772,10155.880802,4.237871
140,0.000931,3.400477,0.728724,4.130132,10155.884944,4.142272
141,0.000866,3.468856,0.640195,4.109917,10155.889066,4.122386
142,0.001020,3.422794,0.707699,4.131513,10155.893210,4.143630
143,0.000915,3.496715,0.709302,4.206932,10155.897429,4.219044
144,0.000936,3.425950,0.713778,4.140664,10155.901582,4.152698
145,0.000915,3.528049,0.659790,4.188754,10155.905783,4.200914
146,0.000871,3.473563,0.692752,4.167186,10155.909962,4.179229
147,0.000894,3.521185,0.566474,4.088553,10155.914063,4.100830
148,0.000857,3.522157,0.646087,4.169101,10155.918244,4.181150
149,0.000876,3.458586,0.747310,4.206772,10155.922465,4.221325
150,0.000963,3.500742,0.618354,4.120059,10155.926597,4.132317
151,0.000878,5.533087,0.286493,5.820458,10155.932430,5.832586
152,0.015891,3.807447,0.152772,3.976110,10155.936431,4.000937
153,0.001162,3.430517,0.087105,3.518784,10155.939961,3.530041
154,0.000988,3.426512,0.145754,3.573254,10155.943545,3.583967
155,0.001009,3.452843,0.259182,3.713034,10155.947269,3.723589
156,0.001551,3.398544,0.748137,4.148232,10155.951428,4.158931
157,0.000967,3.445435,0.925656,4.372058,10155.955810,4.382560
158,0.001093,3.437262,0.716860,4.155215,10155.959978,4.167424
159,0.000963,3.510881,0.586645,4.098489,10155.964088,4.110668
160,0.000910,3.450531,0.539153,3.990594,10155.968091,4.002655
161,0.000924,3.473639,0.896239,4.370802,10155.972474,4.382844
162,0.000950,3.482171,0.645751,4.128872,10155.976615,4.141052
163,0.000887,3.512636,0.649108,4.162631,10155.980789,4.174701
164,0.001113,3.499228,0.656334,4.156675,10155.984958,4.168624
165,0.000777,3.466200,0.651788,4.118765,10155.989089,4.130763
166,0.000827,3.547202,0.584990,4.133019,10155.993234,4.145275
167,0.000796,3.503095,0.580114,4.084005,10155.997330,4.096094
168,0.000744,3.432607,0.722965,4.156316,10156.001499,4.168345
169,0.000825,3.472308,0.834570,4.307703,10156.005819,4.319992
170,0.000879,3.514031,0.574046,4.088956,10156.009919,4.100976
171,0.000765,3.510479,0.644212,4.155456,10156.014087,4.167562
172,0.000922,3.541562,0.595619,4.138103,10156.018237,4.150235
173,0.000812,3.544687,0.602299,4.147798,10156.022400,4.163165
174,0.000825,3.535632,0.688896,4.225353,10156.026638,4.237410
175,0.000819,3.703988,0.346364,4.051171,10156.030701,4.063241
176,0.002247,3.541172,0.685382,4.228801,10156.034952,4.250458
177,0.001077,3.502544,0.664291,4.167912,10156.039132,4.180228
178,0.000870,3.492415,0.586901,4.080186,10156.043224,4.092479
179,0.000969,3.504236,0.567087,4.072292,10156.047309,4.084617
180,0.000949,3.502609,0.652327,4.155885,10156.051477,4.168261
181,0.001227,3.490543,0.811657,4.303427,10156.055793,4.315673
182,0.000916,3.483789,0.673581,4.158286,10156.059963,4.170586
183,0.000897,3.495177,0.632928,4.129002,10156.064105,4.141393
184,0.000897,3.495153,0.665835,4.161885,10156.068279,4.174590
185,0.000921,3.498735,0.491831,3.991487,10156.072283,4.003808
