FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001506,3.416364,0.790222,4.208092,7616.490154,N/A
1,0.001111,3.464116,0.651298,4.116525,7616.494284,4.130189
2,0.000844,3.463453,0.711957,4.176254,7616.498473,4.188799
3,0.002627,3.712625,0.414444,4.129696,7616.502630,4.157081
4,0.001222,3.458380,0.701705,4.161307,7616.506809,4.178248
5,0.000789,3.432581,0.689349,4.122719,7616.510944,4.135554
6,0.000945,3.403000,0.793801,4.197746,7616.515156,4.211916
7,0.000797,3.483825,0.619568,4.104190,7616.519273,4.117071
8,0.000878,3.472297,0.705880,4.179055,7616.523465,4.192341
9,0.000764,3.463592,0.680831,4.145187,7616.527623,4.157989
10,0.000807,3.458737,0.705881,4.165425,7616.531802,4.178102
11,0.001171,3.482661,0.658821,4.142653,7616.535957,4.155110
12,0.001072,3.487115,0.691690,4.179877,7616.540151,4.194531
13,0.000762,3.493725,0.574379,4.068866,7616.544233,4.081297
14,0.000905,3.490009,0.457664,3.948578,7616.548194,3.961327
15,0.000802,3.490719,0.689117,4.180638,7616.552387,4.193217
16,0.000787,3.472277,0.669232,4.142296,7616.556542,4.154957
17,0.000771,3.477533,0.688085,4.166389,7616.560722,4.179716
18,0.000777,3.478858,0.691608,4.171243,7616.564905,4.183611
19,0.000896,3.432182,0.887792,4.320870,7616.569241,4.335193
20,0.000830,3.493808,0.421319,3.915957,7616.573169,3.928358
21,0.000764,3.454178,0.868111,4.323053,7616.577505,4.335767
22,0.001033,3.454115,0.643678,4.098826,7616.581616,4.111232
23,0.000737,3.466265,0.673002,4.140004,7616.585768,4.152573
24,0.000764,3.471294,0.690952,4.163010,7616.589944,4.175569
25,0.000715,3.491418,0.667960,4.160093,7616.594117,4.172993
26,0.000773,3.484338,0.594763,4.079874,7616.598209,4.092297
27,0.000760,3.609982,0.619674,4.230416,7616.602452,4.242933
28,0.001592,3.530936,0.615137,4.147665,7616.606620,4.167905
29,0.000812,3.462766,0.697847,4.161425,7616.610794,4.174129
30,0.000855,3.463821,0.684964,4.149640,7616.614957,4.162293
31,0.000810,3.493359,0.551349,4.045518,7616.619015,4.058163
32,0.001212,3.480347,0.808857,4.290416,7616.623321,4.306384
33,0.000779,3.492468,0.616190,4.109437,7616.627444,4.122416
34,0.000963,3.469582,0.695604,4.166149,7616.631622,4.178522
35,0.000773,3.463399,0.703488,4.167660,7616.635802,4.180023
36,0.001194,3.484249,0.648883,4.134326,7616.639949,4.146799
37,0.000838,3.487836,0.667795,4.156469,7616.644120,4.171253
38,0.001159,3.485023,0.592607,4.078789,7616.648211,4.091296
39,0.000833,3.480327,0.802472,4.283632,7616.652508,4.296155
40,0.000740,3.468598,0.617086,4.086424,7616.656607,4.099011
41,0.000851,3.470135,0.700056,4.171042,7616.660791,4.183986
42,0.000728,3.457675,0.703118,4.161521,7616.664965,4.173927
43,0.000878,3.471014,0.649653,4.121545,7616.669098,4.133831
44,0.000896,3.474378,0.659483,4.134757,7616.673245,4.147034
45,0.000824,3.470675,0.640228,4.111727,7616.677370,4.124369
46,0.001056,3.475113,0.670399,4.146568,7616.681529,4.159149
47,0.000767,3.483450,0.821058,4.305275,7616.685847,4.317626
48,0.000784,3.476159,0.628826,4.105769,7616.689965,4.118114
49,0.000868,3.393032,0.812820,4.206720,7616.694186,4.220984
50,0.000750,13.655828,0.127313,13.783891,7616.707982,13.796400
51,0.001276,3.527532,0.177859,3.706667,7616.711704,3.722113
52,0.001014,3.505305,0.154307,3.660626,7616.715376,3.671925
53,0.000875,3.492029,0.083578,3.576482,7616.718964,3.588107
54,0.000812,3.498712,0.731265,4.230789,7616.723206,4.241648
55,0.000751,3.469636,0.562527,4.032914,7616.727251,4.045289
56,0.000814,3.499629,0.774427,4.274870,7616.731538,4.287135
57,0.000767,3.503978,0.680673,4.185418,7616.735736,4.197768
58,0.000711,3.466103,0.634147,4.100961,7616.739849,4.113283
59,0.000775,3.411816,0.804072,4.216663,7616.744078,4.228893
60,0.000832,3.498425,0.580495,4.079752,7616.748170,4.092070
61,0.000841,3.488642,0.710466,4.199949,7616.752383,4.212304
62,0.000897,3.455642,0.612475,4.069014,7616.756464,4.081477
63,0.000864,3.481912,0.756771,4.239547,7616.760716,4.251905
64,0.001009,3.498952,0.502288,4.002249,7616.764730,4.014396
65,0.000768,3.466541,0.838211,4.305520,7616.769049,4.318767
66,0.000801,3.482384,0.588728,4.071913,7616.773133,4.084353
67,0.000832,3.457954,0.780120,4.238906,7616.777385,4.251256
68,0.000889,3.493288,0.668230,4.162407,7616.781559,4.174716
69,0.000777,3.501508,0.624077,4.126362,7616.785698,4.138875
70,0.000712,3.502777,0.614810,4.118299,7616.789829,4.130586
71,0.000769,3.416741,0.794492,4.212002,7616.794053,4.224342
72,0.000834,3.503679,0.576910,4.081423,7616.798147,4.093836
73,0.000920,3.526315,0.643538,4.170773,7616.802330,4.183260
74,0.002092,3.612961,0.529265,4.144318,7616.806501,4.170860
75,0.000910,3.517104,0.688122,4.206136,7616.810723,4.221858
76,0.000879,3.491734,0.651487,4.144100,7616.814880,4.157047
77,0.000921,3.419565,0.742713,4.163199,7616.819058,4.177920
78,0.000886,3.476596,0.573994,4.051476,7616.823122,4.063983
79,0.000887,3.490024,0.763691,4.254602,7616.827389,4.266875
80,0.000804,3.419305,0.745217,4.165326,7616.831567,4.177807
81,0.000759,3.476772,0.674231,4.151762,7616.835730,4.163776
82,0.001118,3.430883,0.687798,4.119799,7616.839862,4.131809
83,0.001147,3.398074,0.825801,4.225022,7616.844101,4.238814
84,0.000933,3.495452,0.477348,3.973733,7616.848087,3.985611
85,0.000714,3.381574,0.910270,4.292558,7616.852391,4.304601
86,0.000767,3.408926,0.674487,4.084180,7616.856487,4.096077
87,0.000832,3.418311,0.808524,4.227667,7616.860727,4.239849
88,0.000709,3.507865,0.503942,4.012516,7616.864752,4.024444
89,0.000736,3.416682,0.922482,4.339900,7616.869104,4.351947
90,0.000779,3.446963,0.535601,3.983343,7616.873099,3.995347
91,0.001011,3.385285,0.933621,4.319917,7616.877431,4.331910
92,0.000854,3.366332,0.750742,4.117928,7616.881561,4.130030
93,0.000798,3.418832,0.740098,4.159728,7616.885735,4.173727
94,0.000795,3.441181,0.655197,4.097173,7616.889844,4.109369
95,0.000813,3.340851,0.907843,4.249507,7616.894106,4.261631
96,0.001172,3.465148,0.499160,3.965480,7616.898083,3.977613
97,0.000732,3.430040,0.854581,4.285353,7616.902381,4.297416
98,0.000779,5.510051,0.155105,5.665935,7616.908059,5.678299
99,0.002273,3.631336,0.165624,3.799233,7616.911878,3.818640
100,0.000964,3.400315,0.146523,3.547802,7616.915437,3.559222
101,0.000751,3.457988,0.079659,3.538398,7616.918986,3.548980
102,0.000942,3.450655,0.582647,4.034244,7616.923031,4.044790
103,0.000797,3.433296,0.839503,4.273596,7616.927314,4.283649
104,0.000762,3.472931,0.725889,4.199582,7616.931524,4.209667
105,0.000769,3.481772,0.699607,4.182148,7616.935718,4.194133
106,0.000768,3.430646,0.668015,4.099429,7616.939830,4.111493
107,0.000830,3.446818,0.805520,4.253168,7616.944095,4.265095
108,0.000881,3.438106,0.670053,4.109040,7616.948216,4.121082
109,0.000751,3.477431,0.675126,4.153308,7616.952384,4.167979
110,0.000811,3.433861,0.668732,4.103404,7616.956499,4.115382
111,0.000869,3.471098,0.737234,4.209201,7616.960720,4.221131
112,0.000761,3.416063,0.613376,4.030200,7616.964762,4.042149
113,0.000835,3.481115,0.800250,4.282200,7616.969057,4.294188
114,0.000770,3.427164,0.645598,4.073532,7616.973142,4.085453
115,0.000799,3.480549,0.753503,4.234851,7616.977389,4.246991
116,0.000811,3.470466,0.683327,4.154604,7616.981555,4.166363
117,0.000681,3.470848,0.685181,4.156710,7616.985724,4.168720
118,0.000798,3.460250,0.628037,4.089085,7616.989825,4.101089
119,0.000771,3.477854,0.782221,4.260846,7616.994098,4.272858
