FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001282,3.515598,0.145765,3.662645,10175.948188,N/A
1,0.001081,3.491006,0.149554,3.641641,10175.951842,3.654048
2,0.001102,3.449094,0.151107,3.601303,10175.955454,3.612368
3,0.000928,3.397624,0.080218,3.478770,10175.958943,3.489218
4,0.000959,3.421667,0.076254,3.498880,10175.962452,3.508944
5,0.000949,3.430300,0.574250,4.005499,10175.966468,4.015946
6,0.000922,3.464873,0.810966,4.276761,10175.970755,4.287106
7,0.000936,3.498218,0.633196,4.132350,10175.974900,4.144634
8,0.000943,3.473579,0.698264,4.172786,10175.979085,4.185122
9,0.000931,3.489802,0.614653,4.105386,10175.983203,4.118194
10,0.000928,3.488671,0.845445,4.335044,10175.987551,4.347568
11,0.000954,3.503759,0.437164,3.941877,10175.991505,3.954307
12,0.000974,3.473884,0.728738,4.203596,10175.995721,4.215830
13,0.000943,3.489926,0.698690,4.189559,10175.999923,4.202035
14,0.000982,3.457266,0.680292,4.138540,10176.004074,4.150842
15,0.001011,3.489541,0.824559,4.315111,10176.008402,4.327754
16,0.001037,3.465672,0.477123,3.943832,10176.012358,3.956199
17,0.000965,3.474264,0.734307,4.209536,10176.016581,4.222869
18,0.000933,3.495537,0.653622,4.150092,10176.020743,4.162413
19,0.000867,3.493342,0.650834,4.145043,10176.024900,4.157357
20,0.000904,3.416510,0.742786,4.160200,10176.029073,4.172497
21,0.000922,3.530219,0.620783,4.151924,10176.033237,4.164548
22,0.004068,3.671720,0.439496,4.115284,10176.037381,4.143514
23,0.001238,3.514071,0.666214,4.181523,10176.041579,4.198216
24,0.001004,3.509598,0.621118,4.131720,10176.045723,4.144190
25,0.001211,3.473423,0.693451,4.168085,10176.049905,4.181314
26,0.001054,3.429124,0.740466,4.170644,10176.054088,4.182993
27,0.000988,3.489602,0.654766,4.145356,10176.058245,4.157778
28,0.000986,3.494990,0.615157,4.111133,10176.062369,4.123368
29,0.001178,3.464391,0.729377,4.194946,10176.066576,4.207130
30,0.000902,3.497701,0.651720,4.150323,10176.070739,4.162633
31,0.000972,3.515705,0.642730,4.159407,10176.074910,4.171688
32,0.001106,3.416945,0.747995,4.166046,10176.079089,4.178388
33,0.000888,3.465330,0.690925,4.157143,10176.083259,4.170188
34,0.000897,3.487781,0.611128,4.099806,10176.087371,4.112060
35,0.000956,3.479712,0.704358,4.185026,10176.091568,4.197342
36,0.000912,3.490781,0.682175,4.173868,10176.095754,4.186142
37,0.000935,3.467053,0.690770,4.158758,10176.099925,4.170904
38,0.000891,3.463858,0.690621,4.155370,10176.104093,4.167608
39,0.000900,3.523170,0.597712,4.121782,10176.108227,4.134384
40,0.000977,3.488949,0.635620,4.125546,10176.112365,4.137889
41,0.000877,3.475297,0.730903,4.207077,10176.116585,4.219988
42,0.001021,3.484249,0.678345,4.163615,10176.120761,4.175896
43,0.000885,3.488823,0.642645,4.132353,10176.124906,4.144554
44,0.000937,3.413708,0.762938,4.177583,10176.129095,4.189806
45,0.000910,3.464537,0.682846,4.148293,10176.133256,4.160417
46,0.000911,3.679427,0.451377,4.131715,10176.137400,4.144285
47,0.001769,3.528385,0.634339,4.164493,10176.141583,4.182496
48,0.001080,13.292089,0.088948,13.382117,10176.154977,13.394503
