FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001240,3.399628,0.140475,3.541343,12819.919463,N/A
1,0.000930,3.380778,0.066801,3.448509,12819.922923,3.459838
2,0.000925,3.380627,0.141179,3.522731,12819.926456,3.533430
3,0.000914,3.379982,0.075249,3.456145,12819.929922,3.466138
4,0.000892,3.367856,0.139586,3.508334,12819.933440,3.518165
5,0.000871,3.356724,0.095596,3.453191,12819.936903,3.463187
6,0.000795,3.382801,0.139917,3.523513,12819.940437,3.533535
7,0.000790,3.381426,0.094472,3.476688,12819.943924,3.486546
8,0.000904,3.388216,0.142676,3.531796,12819.947465,3.541500
9,0.000861,3.380194,0.068792,3.449847,12819.950925,3.460068
10,0.000988,3.381242,0.139868,3.522098,12819.954457,3.531957
11,0.000864,3.344397,0.099237,3.444498,12819.957911,3.454306
12,0.000968,3.381945,0.142656,3.525569,12819.961447,3.535414
13,0.001043,3.382412,0.068428,3.451883,12819.964909,3.461851
14,0.000924,3.388337,0.139158,3.528419,12819.968447,3.538296
15,0.000872,3.385794,0.071013,3.457679,12819.971914,3.467561
16,0.000971,3.352973,0.137130,3.491074,12819.975416,3.501162
17,0.000972,3.367988,0.107590,3.476550,12819.978903,3.487095
18,0.000893,3.390709,0.139315,3.530917,12819.982443,3.540740
19,0.000908,3.387567,0.070237,3.458712,12819.985912,3.468514
20,0.000883,3.537372,0.196710,3.734965,12819.989657,3.744556
21,0.002517,3.474133,0.146309,3.622959,12819.993297,3.640912
22,0.001031,3.383441,0.145271,3.529743,12819.996838,3.540262
23,0.000806,3.388165,0.144396,3.533367,12820.000380,3.542698
24,0.000876,3.351330,0.138058,3.490264,12820.003881,3.500351
25,0.000928,3.391166,0.138784,3.530878,12820.007422,3.541295
26,0.000903,3.379981,0.094520,3.475404,12820.010907,3.485033
27,0.000879,3.379020,0.145015,3.524914,12820.014442,3.534482
28,0.000942,3.380102,0.070589,3.451633,12820.017903,3.461463
29,0.000811,3.355834,0.145851,3.502496,12820.021416,3.512464
30,0.000919,3.380894,0.101479,3.483292,12820.024909,3.493350
31,0.000818,3.362022,0.144111,3.506951,12820.028425,3.516430
32,0.000842,3.374493,0.095414,3.470749,12820.031906,3.480529
33,0.000836,3.387512,0.143790,3.532138,12820.035448,3.542058
34,0.000868,3.368361,0.097682,3.466911,12820.038924,3.476551
35,0.000866,3.384095,0.145020,3.529981,12820.042464,3.539553
36,0.000887,3.352702,0.098756,3.452345,12820.045926,3.462186
37,0.000947,3.381546,0.140006,3.522499,12820.049458,3.532134
38,0.000867,3.386716,0.067817,3.455400,12820.052923,3.465046
39,0.000903,3.382206,0.139970,3.523079,12820.056456,3.532874
40,0.000913,3.380854,0.068423,3.450190,12820.059916,3.459962
41,0.000833,3.380253,0.138737,3.519823,12820.063446,3.529912
42,0.000988,3.338803,0.105259,3.445050,12820.066901,3.454813
43,0.001018,3.350903,0.144663,3.496584,12820.070407,3.506476
44,0.000863,3.386841,0.094604,3.482308,12820.073900,3.492123
45,0.000879,3.382891,0.136111,3.519881,12820.077429,3.529404
46,0.000902,3.376906,0.099098,3.476906,12820.080916,3.486698
47,0.000850,3.387981,0.140787,3.529618,12820.084455,3.539504
48,0.000848,3.381789,0.068102,3.450739,12820.087916,3.461120
49,0.000902,3.531023,0.180487,3.712412,12820.091638,3.722041
50,0.001518,3.444410,0.140079,3.586007,12820.095239,3.600904
51,0.000906,3.385519,0.142429,3.528854,12820.098779,3.539683
52,0.000895,3.354686,0.137567,3.493148,12820.102282,3.503068
53,0.000953,3.383344,0.139200,3.523497,12820.105816,3.534235
54,0.000881,3.392001,0.140456,3.533338,12820.109360,3.543444
55,0.000920,3.382772,0.132798,3.516490,12820.112886,3.526170
56,0.000902,3.364233,0.146129,3.511264,12820.116407,3.520933
57,0.001055,3.392765,0.096576,3.490396,12820.119907,3.500081
58,0.000997,3.379517,0.138149,3.518663,12820.123435,3.528417
59,0.000973,3.389864,0.072163,3.463000,12820.126908,3.472999
60,0.000916,3.391857,0.140885,3.533658,12820.130452,3.543367
