FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001337,3.487956,0.623231,4.112524,10211.641738,N/A
1,0.000893,3.507101,0.658838,4.166832,10211.645919,4.180619
2,0.001014,3.442552,0.726822,4.170388,10211.650102,4.183101
3,0.000993,3.504185,0.631385,4.136563,10211.654251,4.149133
4,0.000963,3.496817,0.620975,4.118755,10211.658382,4.131410
5,0.000926,3.499735,0.702618,4.203279,10211.662599,4.216412
6,0.001084,3.482648,0.669858,4.153590,10211.666765,4.166331
7,0.000988,3.502800,0.635928,4.139716,10211.670917,4.152087
8,0.000958,3.463054,0.700477,4.164489,10211.675094,4.177210
9,0.000942,3.516018,0.618715,4.135675,10211.679243,4.148582
10,0.000922,3.500004,0.625665,4.126591,10211.683382,4.139053
11,0.000911,3.503353,0.712277,4.216541,10211.687611,4.228862
12,0.001157,3.476085,0.659201,4.136443,10211.691760,4.148725
13,0.000966,3.504611,0.639312,4.144889,10211.695917,4.157272
14,0.001153,3.424391,0.742583,4.168127,10211.700098,4.180599
15,0.000925,3.494170,0.667352,4.162447,10211.704272,4.174880
16,0.000909,3.492717,0.619370,4.112996,10211.708398,4.125391
17,0.000988,3.498132,0.698288,4.197408,10211.712608,4.210627
18,0.000929,3.479023,0.670832,4.150784,10211.716772,4.163210
19,0.000887,3.506326,0.638569,4.145782,10211.720930,4.158634
20,0.001075,3.468558,0.653083,4.122716,10211.725065,4.135080
21,0.002215,3.717343,0.420927,4.140485,10211.729228,4.163058
22,0.001596,3.533950,0.623050,4.158596,10211.733404,4.175977
23,0.001250,3.509818,0.689085,4.200153,10211.737617,4.212573
24,0.000882,3.471510,0.662698,4.135090,10211.741765,4.147719
25,0.000911,3.512000,0.641232,4.154143,10211.745933,4.168070
26,0.000913,3.468162,0.702496,4.171571,10211.750117,4.184162
27,0.000874,3.507467,0.601270,4.109611,10211.754239,4.122395
28,0.000900,3.480789,0.664902,4.146591,10211.758398,4.158949
29,0.000900,3.510651,0.684804,4.196355,10211.762607,4.208678
30,0.001131,3.494288,0.663569,4.158988,10211.766778,4.171434
31,0.000969,3.491061,0.662691,4.154721,10211.770945,4.167005
32,0.000845,3.503660,0.649686,4.154191,10211.775112,4.166578
33,0.000916,3.500359,0.607311,4.108586,10211.779233,4.121470
34,0.000885,3.448995,0.927018,4.376898,10211.783623,4.389245
35,0.001279,3.513688,0.419964,3.934931,10211.787570,3.947502
36,0.000944,3.503451,0.710699,4.215094,10211.791798,4.227989
37,0.000953,3.494366,0.614715,4.110034,10211.795921,4.122536
38,0.001028,3.470200,0.700151,4.171379,10211.800104,4.183703
39,0.000894,3.490928,0.670185,4.162007,10211.804279,4.174546
40,0.000867,3.498037,0.613951,4.112855,10211.808404,4.125182
41,0.000883,3.491915,0.711115,4.203913,10211.812621,4.216640
42,0.000921,3.479616,0.681676,4.162213,10211.816795,4.174678
43,0.001211,3.490326,0.654045,4.145582,10211.820953,4.157837
44,0.000912,3.523141,0.610385,4.134438,10211.825100,4.147083
45,0.002254,3.687427,0.418193,4.107874,10211.829230,4.129990
46,0.001600,3.539162,0.600698,4.141460,10211.833391,4.160521
47,0.000905,12.178988,0.164911,12.344804,10211.845748,12.357448
48,0.001046,3.431246,0.844712,4.277004,10211.850037,4.288373
49,0.000948,3.478115,0.695707,4.174770,10211.854224,4.187252
50,0.000877,3.501635,0.517968,4.020480,10211.858257,4.032969
51,0.000899,3.504356,0.764071,4.269326,10211.862539,4.281668
52,0.000886,3.507876,0.707854,4.216616,10211.866768,4.228946
53,0.000938,3.498098,0.641104,4.140140,10211.870921,4.153410
54,0.000948,3.466340,0.637544,4.104832,10211.875038,4.117174
55,0.001083,3.501881,0.631060,4.134024,10211.879185,4.146431
56,0.000901,3.500119,0.726642,4.227662,10211.883424,4.239908
