FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001418,3.457853,0.842604,4.301875,7628.549813,N/A
1,0.000868,3.453927,0.531786,3.986581,7628.553814,4.000969
2,0.000817,3.453929,0.862892,4.317638,7628.558145,4.330289
3,0.000897,3.469458,0.537235,4.007590,7628.562165,4.020811
4,0.000953,3.483797,0.807759,4.292509,7628.566470,4.304980
5,0.000765,3.497594,0.513706,4.012065,7628.570496,4.025467
6,0.000762,3.489755,0.685344,4.175861,7628.574684,4.188526
7,0.000763,3.481644,0.869553,4.351960,7628.579049,4.364523
8,0.000783,3.462101,0.470658,3.933542,7628.582995,3.945933
9,0.000805,3.484865,0.709607,4.195277,7628.587207,4.212621
10,0.000771,3.475208,0.664834,4.140813,7628.591361,4.153678
11,0.000771,3.480877,0.624010,4.105658,7628.595479,4.118054
12,0.001154,3.497303,0.721716,4.220173,7628.599712,4.232745
13,0.000789,3.463507,0.685949,4.150245,7628.603875,4.163019
14,0.000787,3.444532,0.815358,4.260677,7628.608148,4.272875
15,0.000764,3.493451,0.518960,4.013175,7628.612174,4.025908
16,0.000772,3.458248,0.730120,4.189140,7628.616375,4.201449
17,0.000805,3.476428,0.645060,4.122293,7628.620510,4.135097
18,0.000884,3.472979,0.794057,4.267920,7628.624790,4.280210
19,0.000816,3.702615,0.329687,4.033118,7628.628836,4.045744
20,0.001462,3.525188,0.660754,4.187404,7628.633041,4.204463
21,0.000756,3.501328,0.656037,4.158121,7628.637211,4.170631
22,0.000859,3.488897,0.662495,4.152251,7628.641376,4.164895
23,0.000773,3.482756,0.660214,4.143743,7628.645532,4.156224
24,0.000753,3.473715,0.687392,4.161860,7628.649707,4.174372
25,0.000771,3.460682,0.879144,4.340597,7628.654060,4.353401
26,0.000781,3.475546,0.483260,3.959587,7628.658032,3.972027
27,0.000764,3.480534,0.638194,4.119492,7628.662164,4.132054
28,0.000888,3.478849,0.717057,4.196794,7628.666374,4.209451
29,0.000768,3.467822,0.644135,4.112725,7628.670499,4.124962
30,0.000767,3.478460,0.911124,4.390351,7628.674902,4.402838
31,0.000907,3.418576,0.511082,3.930565,7628.678844,3.942693
32,0.000790,3.445446,0.885115,4.331351,7628.683188,4.344028
33,0.000742,3.494445,0.471854,3.967041,7628.687168,3.980266
34,0.000771,3.393179,0.980027,4.373977,7628.691555,4.386383
35,0.000823,3.436081,0.463048,3.899952,7628.695467,3.912460
36,0.001164,3.486327,0.934057,4.421548,7628.699901,4.433835
37,0.000732,3.439164,0.482971,3.922867,7628.703836,3.935249
38,0.000769,3.449194,0.890872,4.340835,7628.708190,4.353174
39,0.001299,3.488991,0.476936,3.967226,7628.712169,3.979587
40,0.000855,3.437138,0.953504,4.391497,7628.716573,4.403497
41,0.000836,3.454830,0.467429,3.923095,7628.720509,3.936197
42,0.000788,3.465101,0.922670,4.388559,7628.724910,4.400760
43,0.000769,3.561784,0.363073,3.925626,7628.728847,3.937859
44,0.001715,3.549811,0.582172,4.133698,7628.732999,4.151874
45,0.000867,3.487718,0.716647,4.205232,7628.737223,4.224015
46,0.000700,12.164847,0.228577,12.394124,7628.749630,12.406536
47,0.000853,3.357684,0.940547,4.299084,7628.753940,4.310465
48,0.001056,3.504914,0.464097,3.970067,7628.757923,3.982244
49,0.000772,3.468843,0.771948,4.241563,7628.762176,4.253736
50,0.000818,3.494636,0.667797,4.163251,7628.766352,4.175417
51,0.000804,3.486797,0.577846,4.065447,7628.770429,4.077524
52,0.000811,3.491770,0.742312,4.234893,7628.774676,4.246972
53,0.000769,3.519010,0.631866,4.151645,7628.778841,4.164754
54,0.000763,3.423283,0.747105,4.171151,7628.783024,4.183319
55,0.000750,3.482737,0.637911,4.121398,7628.787158,4.133561
56,0.000786,3.488432,0.687262,4.176480,7628.791347,4.188691
57,0.000920,3.487262,0.650696,4.138878,7628.795498,4.151002
58,0.000791,3.484277,0.690529,4.175597,7628.799685,4.187810
59,0.000780,3.495330,0.661989,4.158099,7628.803856,4.170223
60,0.001123,3.447582,0.704747,4.153452,7628.808021,4.165572
61,0.000830,3.489914,0.574018,4.064762,7628.812098,4.077014
62,0.000786,3.475628,0.766525,4.242939,7628.816353,4.255100
63,0.000768,3.479747,0.632801,4.113316,7628.820479,4.125445
64,0.000763,3.486509,0.710279,4.197551,7628.824688,4.209625
65,0.000753,3.539483,0.531174,4.071410,7628.828773,4.084213
66,0.002091,3.528237,0.745069,4.275397,7628.833080,4.307307
67,0.001230,3.392770,0.637033,4.031033,7628.837127,4.047104
68,0.000849,3.483002,0.737047,4.220898,7628.841360,4.233060
69,0.000793,3.419006,0.660877,4.080676,7628.845453,4.092587
70,0.000740,3.593749,0.610355,4.204844,7628.849669,4.216682
71,0.000804,3.494657,0.679219,4.174680,7628.853856,4.186634
72,0.000797,3.351670,0.807857,4.160324,7628.858028,4.172244
73,0.000707,3.425370,0.657405,4.083482,7628.862124,4.095494
74,0.000866,3.466434,0.754629,4.221929,7628.866358,4.233919
75,0.000806,3.422440,0.607243,4.030489,7628.870400,4.042405
76,0.000914,3.435843,0.855035,4.291792,7628.874704,4.303616
77,0.000769,3.473151,0.662901,4.136821,7628.878854,4.150725
78,0.000805,3.447614,0.722329,4.170748,7628.883037,4.182574
79,0.001204,3.433957,0.685166,4.120327,7628.887169,4.132178
80,0.000771,3.469345,0.706938,4.177054,7628.891358,4.188846
81,0.000723,3.402177,0.715044,4.117944,7628.895488,4.129780
82,0.000742,3.438077,0.697857,4.136676,7628.899636,4.148549
83,0.000775,3.403194,0.824120,4.228089,7628.903876,4.239909
84,0.000789,3.369883,0.775158,4.145830,7628.908034,4.157698
85,0.000806,3.462575,0.635599,4.098980,7628.912145,4.110786
86,0.000747,3.496819,0.726156,4.223722,7628.916380,4.235567
87,0.000773,3.418256,0.718842,4.137871,7628.920530,4.149777
88,0.000737,3.422161,0.753713,4.176611,7628.924719,4.188546
89,0.000721,3.492740,0.529923,4.023384,7628.928754,4.035182
90,0.001446,5.365417,0.242537,5.609400,7628.934377,5.623162
91,0.001941,4.194068,0.161081,4.357090,7628.938753,4.376491
92,0.001439,3.513659,0.152199,3.667297,7628.942432,3.678390
93,0.000809,3.488014,0.110491,3.599314,7628.946043,3.611683
94,0.001114,3.851018,0.084103,3.936235,7628.950008,3.964460
95,0.000779,3.414088,0.305592,3.720459,7628.953739,3.730857
96,0.000743,3.470525,0.727945,4.199213,7628.957948,4.209363
97,0.000740,3.425382,0.760973,4.187095,7628.962145,4.197261
98,0.000685,3.324458,0.965540,4.290683,7628.966446,4.300679
99,0.000920,3.420563,0.631656,4.053139,7628.970511,4.065009
100,0.000724,3.418686,0.812492,4.231902,7628.974755,4.243813
101,0.000740,3.344761,0.651785,3.997286,7628.978764,4.009207
102,0.000758,3.441548,0.885666,4.327972,7628.983104,4.339858
103,0.000810,3.416359,0.664427,4.081596,7628.987198,4.093534
104,0.000776,3.411878,0.822091,4.234745,7628.991444,4.246480
105,0.000795,3.472438,0.628279,4.101512,7628.995557,4.113334
106,0.000750,3.450163,0.759929,4.210842,7628.999780,4.222741
107,0.000863,3.466740,0.630703,4.098306,7629.003890,4.110278
108,0.000853,3.422887,0.776185,4.199925,7629.008102,4.211810
109,0.000802,3.486623,0.530338,4.017763,7629.012134,4.031685
110,0.000745,3.545833,0.780149,4.326727,7629.016472,4.338522
111,0.000832,3.611584,0.354635,3.967051,7629.020451,3.978931
112,0.001048,3.565829,0.738846,4.305723,7629.024769,4.317664
113,0.000731,3.480421,0.586295,4.067447,7629.028848,4.079328
114,0.000718,3.628234,0.533186,4.162138,7629.033022,4.174185
115,0.001743,3.509788,0.619716,4.131247,7629.037176,4.153707
116,0.000886,3.490870,0.715845,4.207601,7629.041396,4.219953
117,0.000779,3.494221,0.605903,4.100903,7629.045509,4.113024
118,0.000752,3.488785,0.656698,4.146235,7629.049668,4.158437
119,0.000700,3.450188,0.781017,4.231905,7629.053912,4.244147
