FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001103,4.277901,0.143557,4.422561,12872.264914,N/A
1,0.001057,3.390873,0.145609,3.537539,12872.268464,3.549773
2,0.000976,3.854694,0.141417,3.997087,12872.272471,4.007493
3,0.001090,3.383634,0.069284,3.454008,12872.275936,3.464725
4,0.001195,3.382992,0.147609,3.531796,12872.279478,3.542326
5,0.000906,3.376502,0.070845,3.448253,12872.282937,3.458681
6,0.000963,3.387953,0.140382,3.529298,12872.286476,3.539017
7,0.000990,3.385897,0.098662,3.485549,12872.289971,3.495393
8,0.000964,3.391355,0.144753,3.537072,12872.293518,3.546660
9,0.000906,3.373108,0.067048,3.441062,12872.296969,3.451382
10,0.001140,3.381323,0.136847,3.519310,12872.300498,3.529167
11,0.000927,3.338019,0.068204,3.407150,12872.303915,3.416884
12,0.000988,3.365924,0.140365,3.507277,12872.307433,3.517283
13,0.000959,3.378378,0.094951,3.474288,12872.310916,3.483762
14,0.001033,3.545716,0.182132,3.728881,12872.314655,3.738253
15,0.002089,3.463592,0.144875,3.610556,12872.318283,3.628542
16,0.001127,3.383834,0.139838,3.524799,12872.321818,3.535310
17,0.001131,3.385771,0.134722,3.521624,12872.325351,3.532215
18,0.000958,3.379184,0.138887,3.519029,12872.328880,3.529014
19,0.001012,3.393469,0.139423,3.533904,12872.332423,3.543708
20,0.001335,3.382179,0.094556,3.478070,12872.335911,3.487541
21,0.000957,3.387828,0.148184,3.536969,12872.339457,3.546479
22,0.000943,3.374305,0.066210,3.441458,12872.342908,3.450849
23,0.000903,3.387169,0.139529,3.527601,12872.346445,3.536909
24,0.000838,3.381305,0.070164,3.452307,12872.349907,3.461746
25,0.000897,3.337769,0.137998,3.476664,12872.353394,3.486864
26,0.000837,3.376056,0.103146,3.480039,12872.356883,3.489500
27,0.000967,3.384174,0.140638,3.525779,12872.360419,3.535241
28,0.001027,3.378310,0.096668,3.476005,12872.363904,3.485640
29,0.000890,3.352555,0.145653,3.499098,12872.367413,3.508442
30,0.000913,3.354472,0.094902,3.450287,12872.370873,3.460391
31,0.001044,3.344040,0.182632,3.527716,12872.374410,3.537140
32,0.000867,3.339862,0.121795,3.462524,12872.377882,3.471987
33,0.000873,3.340573,0.121789,3.463235,12872.381355,3.473321
34,0.000882,3.365873,0.123391,3.490146,12872.384855,3.499537
35,0.000789,3.362076,0.124104,3.486969,12872.388351,3.496467
36,0.000972,3.372099,0.125208,3.498279,12872.391859,3.507502
37,0.000871,3.340984,0.125754,3.467609,12872.395336,3.477074
38,0.000875,3.344955,0.067657,3.413487,12872.398759,3.422838
39,0.001184,3.317773,0.122311,3.441268,12872.402209,3.450598
40,0.000919,3.364797,0.123270,3.488986,12872.405708,3.498672
