FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001095,3.443003,0.643326,4.087424,10264.139860,N/A
1,0.000951,3.459404,0.744023,4.204378,10264.144079,4.218590
2,0.000959,3.459582,0.567701,4.028242,10264.148121,4.041799
3,0.000935,3.450387,0.761902,4.213224,10264.152347,4.226121
4,0.001032,3.452432,0.601923,4.055387,10264.156415,4.068456
5,0.000927,3.448972,0.891951,4.341850,10264.160770,4.354605
6,0.000914,3.481240,0.555730,4.037884,10264.164821,4.050572
7,0.000952,3.442832,0.852909,4.296693,10264.169130,4.309387
8,0.001123,3.458489,0.448640,3.908252,10264.173051,3.920717
9,0.001023,3.448832,0.845694,4.295549,10264.177358,4.307449
10,0.005035,3.623517,0.404854,4.033406,10264.181424,4.065807
11,0.001691,3.469556,0.858574,4.329821,10264.185769,4.345239
12,0.001153,3.500210,0.562550,4.063913,10264.189846,4.076956
13,0.001171,3.481182,0.747428,4.229781,10264.194090,4.244120
14,0.001165,3.466310,0.499823,3.967298,10264.198070,3.979930
15,0.000999,3.458761,0.901680,4.361440,10264.202446,4.375359
16,0.001161,3.444007,0.509283,3.954451,10264.206413,3.967615
17,0.001193,3.462326,0.880212,4.343731,10264.210770,4.357306
18,0.000976,3.451363,0.636049,4.088388,10264.214871,4.100916
19,0.000919,3.466083,0.733495,4.200497,10264.219085,4.213427
20,0.000971,3.458837,0.639845,4.099653,10264.223197,4.112148
21,0.000931,3.450552,0.775782,4.227265,10264.227437,4.239863
22,0.000980,3.448304,0.655398,4.104682,10264.231554,4.117635
23,0.000904,3.444273,0.751044,4.196221,10264.235763,4.208947
24,0.001326,3.463798,0.626746,4.091870,10264.239868,4.104565
25,0.000980,3.446843,0.770367,4.218190,10264.244099,4.231346
26,0.000956,3.450706,0.635764,4.087426,10264.248200,4.100538
27,0.001137,3.471323,0.746686,4.219146,10264.252432,4.231755
28,0.000954,3.445736,0.644482,4.091172,10264.256535,4.103806
29,0.001029,3.462695,0.764978,4.228702,10264.260777,4.241363
30,0.001181,3.420672,0.509029,3.930882,10264.264720,3.943465
31,0.000963,3.458021,0.905028,4.364012,10264.269097,4.376732
32,0.001126,3.468216,0.618279,4.087621,10264.273197,4.100231
33,0.000936,3.445852,0.658152,4.104940,10264.277315,4.117958
34,0.001746,3.652137,0.589089,4.242972,10264.281579,4.263780
35,0.001728,3.488138,0.613495,4.103361,10264.285700,4.120585
36,0.001017,3.464020,0.774834,4.239871,10264.289952,4.252622
37,0.000961,3.448849,0.632948,4.082758,10264.294047,4.095315
38,0.000980,3.463914,0.662054,4.126948,10264.298187,4.139878
39,0.000955,3.476613,0.688365,4.165933,10264.302366,4.178523
40,0.001174,3.444785,0.566831,4.012790,10264.306391,4.025336
41,0.000976,3.446775,0.709619,4.157370,10264.310562,4.170665
42,0.000939,3.468612,0.908873,4.378424,10264.314953,4.391097
43,0.000958,3.442031,0.647799,4.090788,10264.319056,4.103424
44,0.001035,3.453141,0.611809,4.065985,10264.323135,4.078561
45,0.001127,3.489652,0.733529,4.224308,10264.327374,4.238746
46,0.000947,3.482182,0.706497,4.189626,10264.331576,4.202254
47,0.001043,3.397599,0.796901,4.195543,10264.335784,4.207766
48,0.001066,3.412411,0.739145,4.152622,10264.339949,4.164895
49,0.001268,12.585756,0.161550,12.748574,10264.352709,12.760898
50,0.001228,3.392400,0.185124,3.578752,10264.356301,3.591256
51,0.001018,3.294727,1.088614,4.384359,10264.360696,4.394919
52,0.000986,3.278004,0.882146,4.161136,10264.364869,4.173484
53,0.001025,3.315676,0.618711,3.935412,10264.368819,3.950309
54,0.000926,3.319879,0.976984,4.297789,10264.373129,4.309984
55,0.000941,3.309748,0.888993,4.199682,10264.377341,4.211975
56,0.001052,3.574266,0.587324,4.162642,10264.381516,4.174833
57,0.002076,3.358194,0.796658,4.156928,10264.385694,4.178107
58,0.000973,3.354470,0.804676,4.160119,10264.389867,4.172906
59,0.000980,3.316540,0.878370,4.195890,10264.394076,4.208352
60,0.000949,3.314442,0.662266,3.977657,10264.398066,3.989966
61,0.000913,3.318190,0.969288,4.288391,10264.402366,4.300712
62,0.000933,3.357516,0.669735,4.028184,10264.406407,4.040316
63,0.000960,3.327399,0.822378,4.150737,10264.410570,4.163146
64,0.000939,3.310081,0.981614,4.292634,10264.414875,4.304907
65,0.001249,3.309836,0.856830,4.167915,10264.419056,4.181071
66,0.000930,3.308211,0.715395,4.024536,10264.423092,4.036709
67,0.001036,3.316223,0.947319,4.264578,10264.427369,4.276768
68,0.000988,3.313612,0.777854,4.092454,10264.431474,4.104708
69,0.000910,3.308457,0.808697,4.118064,10264.435604,4.130532
70,0.000913,3.324352,0.837056,4.162321,10264.439779,4.174801
71,0.000931,3.309782,0.947166,4.257879,10264.444049,4.270132
72,0.000955,3.309098,0.717070,4.027123,10264.448089,4.039334
73,0.001078,3.302072,0.972707,4.275857,10264.452376,4.286796
74,0.001001,3.311744,0.736249,4.048994,10264.456437,4.061232
75,0.000950,3.306319,0.735028,4.042297,10264.460491,4.054433
76,0.001038,3.347566,1.034720,4.383324,10264.464887,4.395935
77,0.001048,3.338167,0.811821,4.151036,10264.469054,4.166937
78,0.000870,3.312270,0.751239,4.064379,10264.473131,4.076689
79,0.000947,3.328059,0.915209,4.244215,10264.477387,4.256412
