FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001190,3.409244,0.422571,3.833005,7632.287520,N/A
1,0.000843,3.382485,0.871020,4.254348,7632.291787,4.266780
2,0.000813,3.480080,0.760168,4.241061,7632.296041,4.253933
3,0.000992,3.637100,0.349247,3.987339,7632.300045,4.004309
4,0.000943,3.404651,0.715738,4.121332,7632.304178,4.132855
5,0.000717,3.402331,0.987851,4.390899,7632.308581,4.402415
6,0.000788,3.452116,0.521820,3.974724,7632.312568,3.987316
7,0.000893,3.495259,0.825112,4.321264,7632.316902,4.333820
8,0.000838,3.400506,0.738317,4.139661,7632.321054,4.152143
9,0.000776,3.484235,0.456113,3.941124,7632.325008,3.954103
10,0.000798,3.487325,0.868751,4.356874,7632.329381,4.372564
11,0.000807,3.453552,0.618451,4.072810,7632.333466,4.085473
12,0.001164,3.483469,0.780672,4.265305,7632.337744,4.277898
13,0.000804,3.506119,0.577476,4.084399,7632.341841,4.096984
14,0.000843,3.458857,0.738059,4.197759,7632.346051,4.210274
15,0.000774,3.484783,0.481098,3.966655,7632.350030,3.979094
16,0.000837,3.478322,0.880403,4.359562,7632.354403,4.372353
17,0.000809,3.444979,0.573983,4.019771,7632.358436,4.033121
18,0.000928,3.464523,0.846460,4.311911,7632.362760,4.324238
19,0.000790,3.497014,0.506053,4.003857,7632.366776,4.016239
20,0.001209,3.703126,0.486323,4.190658,7632.370990,4.213485
21,0.001227,3.524996,0.523363,4.049586,7632.375064,4.073837
22,0.000783,3.490666,0.840636,4.332085,7632.379408,4.344921
23,0.000859,3.480368,0.568794,4.050021,7632.383474,4.065735
24,0.000787,3.470648,0.792176,4.263611,7632.387750,4.276150
25,0.000789,3.477948,0.561587,4.040324,7632.391804,4.053351
26,0.001085,3.438124,0.793641,4.232850,7632.396049,4.245147
27,0.000791,3.477915,0.498853,3.977559,7632.400039,3.989965
28,0.000869,3.489047,0.878173,4.368089,7632.404419,4.380603
29,0.000817,3.447101,0.603598,4.051516,7632.408483,4.063921
30,0.000776,3.465242,0.774565,4.240583,7632.412736,4.253119
31,0.001012,3.479093,0.552625,4.032730,7632.416786,4.049562
32,0.000752,3.465140,0.835653,4.301545,7632.421100,4.314034
33,0.000814,3.488749,0.437383,3.926946,7632.425040,3.939733
34,0.000786,3.481281,0.772300,4.254367,7632.429307,4.266834
35,0.000801,3.487507,0.726868,4.215176,7632.433534,4.227627
36,0.000903,3.481719,0.675826,4.158448,7632.437706,4.171332
37,0.000896,3.488490,0.661885,4.151271,7632.441870,4.164072
38,0.000724,3.454584,0.721178,4.176486,7632.446059,4.188968
39,0.000905,3.478713,0.566396,4.046014,7632.450121,4.062891
40,0.000767,3.485653,0.779040,4.265460,7632.454399,4.277845
41,0.000773,3.469321,0.600566,4.070660,7632.458483,4.083299
42,0.000745,3.489372,0.761867,4.251984,7632.462747,4.264446
43,0.000803,3.573936,0.420296,3.995035,7632.466755,4.007515
44,0.000909,4.569496,0.218339,4.788744,7632.471556,4.801287
45,0.001691,3.499257,0.155682,3.656630,7632.475229,3.673065
46,0.000906,13.163967,2.160285,15.325158,7632.490565,15.336432
47,0.001533,3.495343,0.158605,3.655481,7632.494234,3.668539
48,0.000820,3.422494,0.147104,3.570418,7632.497815,3.581199
49,0.000808,3.418393,0.146101,3.565302,7632.501391,3.575726
50,0.000699,3.402695,0.106077,3.509471,7632.504911,3.519834
51,0.000730,3.402498,0.146363,3.549591,7632.508471,3.559992
52,0.000790,3.426551,0.537888,3.965229,7632.512446,3.975331
53,0.000865,3.390984,0.947167,4.339016,7632.516796,4.349973
54,0.000780,3.457662,0.698909,4.157351,7632.520966,4.169761
55,0.000834,3.477250,0.672951,4.151035,7632.525129,4.163468
56,0.000993,3.477579,0.626836,4.105408,7632.529247,4.117685
57,0.000767,3.449502,0.736352,4.186621,7632.533445,4.198601
58,0.000844,3.387161,0.786677,4.174682,7632.537632,4.186719
59,0.000802,3.398033,0.758239,4.157074,7632.541801,4.169032
60,0.000838,3.423388,0.734080,4.158306,7632.545972,4.170357
61,0.001129,3.371268,0.725785,4.098182,7632.550082,4.110217
62,0.000797,3.393811,0.814348,4.208956,7632.554303,4.221026
63,0.000802,3.428348,0.606426,4.035576,7632.558350,4.047600
64,0.000859,3.395669,0.882758,4.279286,7632.562642,4.291415
65,0.000771,3.449576,0.701023,4.151370,7632.566806,4.164114
66,0.000826,3.539330,0.548978,4.089134,7632.570907,4.101171
67,0.001861,3.510580,0.601263,4.113704,7632.575059,4.151519
68,0.000873,3.411872,0.819560,4.232305,7632.579304,4.244953
69,0.000849,3.445812,0.627796,4.074457,7632.583390,4.086693
70,0.000773,3.400861,0.847980,4.249614,7632.587652,4.261647
71,0.000850,3.390506,0.749179,4.140535,7632.591805,4.152983
72,0.000824,3.420510,0.738160,4.159494,7632.595976,4.171547
73,0.000774,3.461423,0.676662,4.138859,7632.600127,4.150940
74,0.000779,3.418636,0.758887,4.178302,7632.604318,4.190379
75,0.000867,3.424996,0.610638,4.036501,7632.608366,4.048565
76,0.000868,3.386717,0.756347,4.143932,7632.612522,4.155997
77,0.000779,3.449204,0.825886,4.275869,7632.616813,4.290207
78,0.000785,3.369146,0.669255,4.039186,7632.620864,4.051304
79,0.000772,3.359815,0.889569,4.250156,7632.625126,4.262371
80,0.000941,3.409736,0.767516,4.178193,7632.629317,4.190327
81,0.000777,3.440060,0.649789,4.090626,7632.633419,4.102747
82,0.000797,3.397784,0.829058,4.227639,7632.637659,4.239848
83,0.000852,3.397035,0.751520,4.149407,7632.641821,4.161502
84,0.000819,3.359927,0.790896,4.151642,7632.645985,4.163852
85,0.000759,3.408390,0.727218,4.136367,7632.650133,4.148455
86,0.000779,3.397249,0.798390,4.196418,7632.654341,4.208425
87,0.000885,3.403087,0.614739,4.018711,7632.658372,4.030882
88,0.001100,3.392844,0.746454,4.140398,7632.662525,4.152692
89,0.000782,3.399002,0.880826,4.280610,7632.666818,4.292574
90,0.000789,3.468008,0.573331,4.042128,7632.670872,4.054262
91,0.001778,4.149107,0.203652,4.354537,7632.675249,4.377604
92,0.001217,3.418701,0.616284,4.036202,7632.679302,4.053053
93,0.001151,3.406764,0.645273,4.053188,7632.683371,4.068073
94,0.001023,3.405693,0.746320,4.153036,7632.687536,4.165418
95,0.000788,3.392571,0.880144,4.273503,7632.691822,4.285877
96,0.000773,3.389216,0.741482,4.131471,7632.695965,4.143538
97,0.000821,3.421427,0.753251,4.175499,7632.700153,4.187509
98,0.000773,3.388295,0.766724,4.155792,7632.704321,4.167863
99,0.000741,3.384288,0.723664,4.108693,7632.708441,4.120698
100,0.000748,3.390897,0.810505,4.202150,7632.712656,4.214279
101,0.000799,3.423889,0.729347,4.154035,7632.716822,4.166404
102,0.000772,3.367646,0.786464,4.154882,7632.720989,4.166888
103,0.000835,3.428176,0.681038,4.110049,7632.725133,4.144288
104,0.001163,3.406064,0.811943,4.219170,7632.729365,4.231368
