FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001127,3.510660,0.640336,4.152123,10318.267269,N/A
1,0.002771,3.707905,0.403171,4.113847,10318.271411,4.141758
2,0.001423,3.519701,0.695345,4.216469,10318.275645,4.233970
3,0.000908,3.467665,0.640418,4.108991,10318.279767,4.121570
4,0.000992,3.477203,0.705816,4.184011,10318.283963,4.196514
5,0.000975,3.441462,0.716221,4.158658,10318.288135,4.171556
6,0.000999,3.476332,0.649879,4.127210,10318.292275,4.139902
7,0.000930,3.482053,0.633081,4.116064,10318.296403,4.128405
8,0.000995,3.493675,0.722884,4.217554,10318.300633,4.229935
9,0.000997,3.447904,0.704871,4.153772,10318.304799,4.166528
10,0.000940,3.455478,0.695593,4.152011,10318.308964,4.164571
11,0.000945,3.451005,0.656823,4.108773,10318.313085,4.121279
12,0.001017,3.472361,0.739597,4.212975,10318.317311,4.225499
13,0.000952,3.462834,0.629953,4.093739,10318.321417,4.106280
14,0.001165,3.502595,0.709154,4.212914,10318.325642,4.225291
15,0.000942,3.468627,0.649759,4.119328,10318.329774,4.132042
16,0.001006,3.476763,0.706772,4.184541,10318.333972,4.197328
17,0.000916,3.433795,0.685970,4.120681,10318.338106,4.133966
18,0.001341,3.481803,0.697255,4.180399,10318.342299,4.192863
19,0.000957,3.470286,0.634402,4.105645,10318.346417,4.118617
20,0.000947,3.486455,0.724563,4.211965,10318.350641,4.224218
21,0.001012,3.460458,0.599852,4.061322,10318.354715,4.073859
22,0.000988,3.500335,0.744529,4.245852,10318.358973,4.258216
23,0.000979,3.501830,0.597441,4.100250,10318.363086,4.112554
24,0.001092,3.492505,0.644130,4.137727,10318.367236,4.150133
25,0.002122,3.702672,0.455519,4.160313,10318.371417,4.180434
26,0.001804,3.496085,0.693828,4.191717,10318.375626,4.209606
27,0.000959,3.458167,0.713939,4.173065,10318.379812,4.186152
28,0.000967,3.444166,0.717604,4.162737,10318.383988,4.175340
