FrameIndex,GetImageDuration_ms,UploadDrawDuration_ms,FlipDuration_ms,TotalLoopDuration_ms,SwapTimestamp_sec,InterFrameInterval_ms
0,0.001296,3.347412,0.106092,3.454800,12979.475845,N/A
1,0.000964,3.455854,0.134259,3.591077,12979.479448,3.602899
2,0.000901,3.374837,0.070523,3.446261,12979.482905,3.457167
3,0.000958,3.345322,0.125990,3.472270,12979.486388,3.482494
4,0.001090,3.377572,0.123119,3.501781,12979.489900,3.512211
5,0.001373,3.341019,0.119971,3.462363,12979.493373,3.473019
6,0.001472,3.341227,0.124856,3.467555,12979.496851,3.478269
7,0.000986,3.490581,0.123744,3.615311,12979.500477,3.625429
8,0.000829,3.494330,0.221088,3.716247,12979.504203,3.726509
9,0.002789,3.496668,0.135758,3.635215,12979.507859,3.655389
10,0.001164,3.393146,0.119177,3.513487,12979.511385,3.526869
11,0.000893,3.381121,0.126757,3.508771,12979.514905,3.519580
12,0.001052,3.385078,0.125681,3.511811,12979.518427,3.521901
13,0.000894,3.347022,0.120040,3.467956,12979.521905,3.477970
14,0.001040,3.338945,0.120380,3.460365,12979.525375,3.470286
15,0.000927,3.336096,0.139619,3.476642,12979.528862,3.486634
16,0.000863,3.380510,0.120000,3.501373,12979.532373,3.511283
17,0.000860,3.377013,0.123471,3.501344,12979.535886,3.512479
18,0.001022,3.403558,0.096090,3.500670,12979.539396,3.510570
19,0.000930,3.373790,0.068274,3.442994,12979.542849,3.452797
20,0.000908,3.341263,0.121916,3.464087,12979.546323,3.474053
21,0.000904,3.386733,0.124436,3.512073,12979.549845,3.521841
22,0.000929,3.380600,0.123722,3.505251,12979.553360,3.515109
23,0.001174,3.371173,0.120414,3.492761,12979.556863,3.502609
24,0.001048,3.373083,0.123664,3.497795,12979.560370,3.507442
25,0.001128,3.378516,0.123093,3.502737,12979.563883,3.513144
26,0.001137,3.377947,0.121985,3.501069,12979.567395,3.511379
27,0.000938,3.386281,0.098484,3.485703,12979.570890,3.495701
28,0.000859,3.377550,0.122990,3.501399,12979.574401,3.510955
29,0.000888,3.382071,0.096997,3.479956,12979.577891,3.489823
30,0.000848,3.395976,0.139847,3.536671,12979.581437,3.546347
31,0.000789,3.380842,0.094331,3.475962,12979.584923,3.485560
32,0.000883,3.393610,0.147272,3.541765,12979.588474,3.551298
33,0.000884,3.347636,0.068263,3.416783,12979.591901,3.426800
34,0.000876,3.348617,0.140617,3.490110,12979.595401,3.499979
35,0.000855,3.380923,0.104885,3.486663,12979.598897,3.496345
36,0.000880,3.395532,0.142933,3.539345,12979.602447,3.549158
37,0.000929,3.568850,0.176327,3.746106,12979.606203,3.756120
38,0.002286,3.421901,0.140460,3.564647,12979.609782,3.579358
39,0.000969,3.395666,0.138622,3.535257,12979.613328,3.545716
40,0.000887,3.361295,0.142997,3.505179,12979.616843,3.514954
41,0.000845,3.414115,0.137896,3.552856,12979.620406,3.562982
42,0.000872,3.403069,0.100574,3.504515,12979.623920,3.514089
43,0.000844,3.388345,0.135701,3.524890,12979.627454,3.534519
44,0.000868,3.382681,0.069356,3.452905,12979.630917,3.462564
45,0.000850,3.351180,0.139570,3.491600,12979.634418,3.501454
46,0.000894,3.373904,0.098481,3.473279,12979.637901,3.483152
47,0.000926,3.376300,0.139640,3.516866,12979.641428,3.526648
48,0.000861,3.379034,0.097264,3.477159,12979.644915,3.486937
49,0.000919,3.385201,0.138339,3.524459,12979.648449,3.534010
50,0.001480,3.379329,0.067799,3.448608,12979.651908,3.458488
51,0.000936,3.385984,0.135103,3.522023,12979.655440,3.532012
52,0.000885,3.341076,0.107142,3.449103,12979.658898,3.458786
53,0.000962,3.353542,0.188624,3.543128,12979.662452,3.553609
54,0.000933,3.384858,0.067801,3.453592,12979.665915,3.463317
55,0.000904,3.399260,0.147688,3.547852,12979.669473,3.557596
56,0.000874,3.380377,0.067000,3.448251,12979.672931,3.457969
57,0.000861,3.378533,0.139329,3.518723,12979.676459,3.528348
58,0.001128,3.379794,0.069683,3.450605,12979.679920,3.460361
59,0.000800,3.384763,0.148216,3.533779,12979.683463,3.543445
60,0.000995,3.383523,0.069115,3.453633,12979.686926,3.463466
61,0.000861,3.385192,0.142671,3.528724,12979.690465,3.538594
62,0.000932,12.656859,0.334116,12.991907,12979.703467,13.001685
63,0.001042,5.642264,0.191693,5.834999,12979.709312,5.844997
64,0.002399,3.455767,0.117886,3.576052,12979.712907,3.595802
65,0.001019,3.376080,0.135675,3.512774,12979.716432,3.524557
66,0.000962,3.386506,0.095423,3.482891,12979.719925,3.492989
67,0.000857,3.388198,0.195281,3.584336,12979.723519,3.593996
68,0.001045,3.395755,0.069456,3.466256,12979.726995,3.476196
69,0.000882,3.389858,0.141390,3.532130,12979.730542,3.547045
70,0.000909,3.379096,0.066504,3.446509,12979.733998,3.456208
71,0.000914,3.424578,0.154703,3.580195,12979.737594,3.595078
72,0.000900,3.377074,0.107668,3.485642,12979.741089,3.495256
73,0.000850,3.386673,0.141966,3.529489,12979.744628,3.539237
74,0.000908,3.404949,0.143071,3.548928,12979.748187,3.558662
75,0.000869,3.392769,0.138492,3.532130,12979.751729,3.541894
76,0.000908,3.369994,0.139246,3.510148,12979.755248,3.519641
77,0.000879,3.400465,0.136992,3.538336,12979.758798,3.550182
78,0.000950,3.386503,0.143340,3.530793,12979.762339,3.541005
79,0.001074,3.411320,0.131250,3.543644,12979.765893,3.553587
80,0.000875,3.387626,0.139744,3.528245,12979.769431,3.537875
81,0.001326,3.382375,0.096071,3.479772,12979.772920,3.489225
82,0.000965,3.378125,0.135009,3.514099,12979.776444,3.523597
83,0.000862,3.375747,0.096205,3.472814,12979.779926,3.482406
84,0.000822,3.389312,0.140242,3.530376,12979.783466,3.540131
85,0.000815,3.372290,0.065907,3.439012,12979.786915,3.448743
86,0.000877,3.376460,0.136847,3.514184,12979.790439,3.523729
87,0.000932,3.380141,0.098805,3.479878,12979.793928,3.489510
88,0.000797,3.387852,0.140281,3.528930,12979.797467,3.538679
89,0.000767,3.391837,0.065783,3.458387,12979.800935,3.468049
90,0.000924,3.413887,0.143648,3.558459,12979.804503,3.568104
91,0.000802,3.527940,0.177350,3.706092,12979.808219,3.715853
92,0.002629,3.442686,0.148340,3.593655,12979.811832,3.613088
93,0.000848,3.387868,0.138240,3.526956,12979.815371,3.538835
94,0.000863,3.380460,0.132079,3.513402,12979.818894,3.523193
95,0.001131,3.387238,0.138543,3.526912,12979.822430,3.536438
96,0.000819,3.404953,0.064935,3.470707,12979.825911,3.480462
97,0.000871,3.385124,0.138379,3.524374,12979.829445,3.533879
98,0.000943,3.373778,0.095275,3.469996,12979.832924,3.479576
99,0.000835,3.405832,0.139098,3.545765,12979.836480,3.555457
100,0.000879,3.354201,0.064789,3.419869,12979.839910,3.429687
101,0.000963,3.349483,0.137004,3.487450,12979.843406,3.496945
102,0.000886,3.380970,0.101964,3.483820,12979.846900,3.493231
103,0.000848,3.341879,0.139777,3.482504,12979.850392,3.491893
104,0.000871,3.307010,0.135496,3.443377,12979.853845,3.452963
105,0.000825,3.348910,0.140640,3.490375,12979.857344,3.499642
106,0.000994,3.341475,0.135520,3.477989,12979.860832,3.487467
107,0.000934,3.342332,0.138206,3.481472,12979.864323,3.491315
108,0.001033,3.338751,0.132271,3.472055,12979.867804,3.481318
109,0.001023,3.319158,0.105924,3.426105,12979.871242,3.438028
110,0.001321,3.378929,0.139188,3.519438,12979.874771,3.528851
111,0.000955,3.373589,0.138254,3.512798,12979.878294,3.522313
112,0.000959,3.336894,0.135751,3.473604,12979.881777,3.483462
113,0.000859,3.491435,0.137327,3.629621,12979.885416,3.639071
114,0.001575,3.323833,0.132789,3.458197,12979.888884,3.467819
115,0.000951,3.344586,0.141654,3.487191,12979.892381,3.496813
116,0.000914,3.350623,0.129027,3.480564,12979.895871,3.490134
117,0.000847,3.327389,0.142094,3.470330,12979.899351,3.480079
118,0.000997,3.342408,0.133137,3.476542,12979.902837,3.486300
119,0.000898,3.403381,0.149129,3.553408,12979.906400,3.563127
120,0.001192,3.556648,0.154526,3.712366,12979.910124,3.723232
121,0.001430,3.352949,0.137328,3.491707,12979.913633,3.509152
